name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"67,950,000,000","66,407,000,000","67,822,000,000","63,653,000,000","66,768,000,000","68,719,000,000","67,941,000,000","62,308,000,000","60,787,000,000","61,343,000,000","73,316,000,000","68,199,000,000","68,150,000,000","70,241,000,000","52,247,000,000","41,057,000,000","50,984,000,000","47,158,000,000","48,254,000,000","44,629,000,000","38,701,000,000","35,091,000,000","32,476,000,000","30,583,000,000","30,649,000,000","24,748,000,000","26,525,000,000"
	TotalPremiumsEarned,"44,697,000,000","44,283,000,000","48,510,000,000","41,152,000,000","42,034,000,000","42,235,000,000","43,840,000,000","38,992,000,000","37,202,000,000","36,403,000,000","39,067,000,000","37,674,000,000","37,975,000,000","36,361,000,000","27,071,000,000","26,460,000,000","25,914,000,000","22,970,000,000","26,412,000,000","24,860,000,000","22,200,000,000","20,575,000,000","19,077,000,000","1,888,000,000","1,820,000,000","1,437,000,000","1,360,000,000"
		NetPremiumsWritten,,"44,283,000,000","48,510,000,000","41,152,000,000","42,034,000,000","42,235,000,000","43,840,000,000","38,992,000,000","37,202,000,000","36,403,000,000","39,067,000,000","37,674,000,000","37,975,000,000","36,361,000,000","27,071,000,000",,,,,,,,,,,,
			GrossPremiumsWritten,,"46,471,000,000","50,653,000,000","43,286,000,000","44,233,000,000","44,533,000,000","46,220,000,000","41,368,000,000","39,338,000,000","38,426,000,000","41,521,000,000","39,948,000,000","40,207,000,000","38,669,000,000","28,973,000,000",,,,,,,,,,,,
			CededPremiums,,"-2,188,000,000","-2,143,000,000","-2,134,000,000","-2,199,000,000","-2,298,000,000","-2,380,000,000","-2,376,000,000","-2,136,000,000","-2,023,000,000","-2,454,000,000","-2,274,000,000","-2,232,000,000","-2,308,000,000","-1,902,000,000",,,,,,,,,,,,
	NetInvestmentIncome,"2,115,000,000","1,582,000,000","1,581,000,000","2,575,000,000","5,446,000,000","6,300,000,000","17,017,000,000","16,763,000,000","15,993,000,000","16,775,000,000","22,410,000,000","18,827,000,000","19,748,000,000","23,454,000,000","16,758,000,000","14,837,000,000","16,291,000,000","18,063,000,000","17,082,000,000","14,756,000,000","12,261,000,000","11,373,000,000","11,040,000,000","11,106,000,000","10,886,000,000","9,436,000,000","9,856,000,000"
	NetRealizedGainLossOnInvestments,"13,456,000,000","12,864,000,000","9,876,000,000","12,063,000,000","11,836,000,000","12,739,000,000","-298,000,000","-298,000,000","424,000,000","668,000,000","-137,000,000","327,000,000","-35,000,000","88,000,000","62,000,000","-7,772,000,000","1,812,000,000","-578,000,000","-1,382,000,000","-86,000,000","175,000,000","-551,000,000","-895,000,000","-713,000,000","-444,000,000","-70,000,000",
	FeeRevenueAndOtherIncome,"7,682,000,000","7,678,000,000","7,855,000,000","7,863,000,000","7,452,000,000","7,445,000,000","7,382,000,000","6,851,000,000","7,168,000,000","7,497,000,000","11,976,000,000","11,371,000,000","10,462,000,000","10,338,000,000","8,356,000,000","7,532,000,000","6,967,000,000","6,703,000,000","6,142,000,000","5,099,000,000","4,065,000,000","3,694,000,000","3,254,000,000","18,302,000,000","18,387,000,000","13,945,000,000","15,309,000,000"
		FeesAndCommissions,"7,360,000,000","7,381,000,000","7,335,000,000","7,318,000,000","6,957,000,000","6,892,000,000","5,502,000,000","5,510,000,000","5,483,000,000","5,570,000,000","9,946,000,000","9,451,000,000","8,556,000,000","7,806,000,000","6,028,000,000","5,203,000,000","5,381,000,000","5,238,000,000",,,,,,,,,
		OtherIncomeExpense,"322,000,000","297,000,000","520,000,000","545,000,000","495,000,000","553,000,000","1,880,000,000","1,341,000,000","1,685,000,000","1,927,000,000","2,030,000,000","1,920,000,000","1,906,000,000","2,532,000,000","2,328,000,000","2,329,000,000","1,586,000,000","1,465,000,000","6,142,000,000","5,099,000,000","4,065,000,000","3,694,000,000","3,254,000,000","18,302,000,000","18,387,000,000","13,945,000,000","15,309,000,000"
TotalExpenses,"64,228,000,000","64,245,000,000","61,458,000,000","55,135,000,000","59,841,000,000","61,924,000,000","61,634,000,000","58,772,000,000","56,506,000,000","55,692,000,000","64,512,000,000","64,147,000,000","66,708,000,000","61,057,000,000","48,518,000,000","45,391,000,000","45,923,000,000","41,396,000,000","44,086,000,000","40,336,000,000","35,138,000,000","32,745,000,000","31,070,000,000","30,109,000,000","29,457,000,000","23,701,000,000","24,550,000,000"
	LossAdjustmentExpense,"43,175,000,000","43,551,000,000","45,947,000,000","41,709,000,000","41,461,000,000","41,461,000,000","42,656,000,000","38,313,000,000","36,358,000,000","35,144,000,000","39,102,000,000","38,107,000,000","37,987,000,000","35,471,000,000","29,187,000,000","28,336,000,000","27,437,000,000","23,783,000,000","31,602,000,000","29,393,000,000","25,660,000,000","23,883,000,000","22,473,000,000","21,538,000,000","19,828,000,000",,
		NetPolicyholderBenefitsAndClaims,"43,175,000,000","43,551,000,000","45,947,000,000","41,709,000,000","41,461,000,000","41,461,000,000","42,656,000,000","38,313,000,000","36,358,000,000","35,144,000,000","39,102,000,000","38,107,000,000","37,987,000,000","35,471,000,000","29,187,000,000","28,336,000,000","27,437,000,000","23,783,000,000","31,602,000,000","29,393,000,000","25,660,000,000","23,883,000,000","22,473,000,000","21,538,000,000","19,828,000,000",,
			PolicyholderBenefitsGross,"45,644,000,000","46,020,000,000","48,352,000,000","44,336,000,000","43,966,000,000","43,678,000,000","45,039,000,000","40,742,000,000","38,271,000,000","37,127,000,000","42,535,000,000","41,258,000,000","40,429,000,000","38,689,000,000","32,677,000,000","28,336,000,000","27,437,000,000","23,783,000,000",,,,,,,,,
			PolicyholderBenefitsCeded,,"2,469,000,000","2,405,000,000","2,627,000,000","2,505,000,000","2,217,000,000","2,383,000,000","2,429,000,000","1,913,000,000","1,983,000,000","3,433,000,000","3,151,000,000","2,442,000,000","3,218,000,000","3,490,000,000",,,,,,,,,,,,
	PolicyholderInterest,"8,353,000,000","7,860,000,000","3,894,000,000","5,571,000,000","5,214,000,000","6,464,000,000","4,013,000,000","5,607,000,000","5,176,000,000","4,415,000,000","6,943,000,000","8,179,000,000","7,729,000,000","5,603,000,000","4,919,000,000","4,849,000,000","4,788,000,000","5,461,000,000",,,,,,,,,
	PolicyholderDividends,"607,000,000","622,000,000","706,000,000","880,000,000","1,090,000,000","1,211,000,000","1,251,000,000","1,231,000,000","1,223,000,000","1,356,000,000","1,376,000,000","1,259,000,000","1,369,000,000","1,446,000,000","1,485,000,000","1,650,000,000","1,751,000,000","1,723,000,000",,,,,,,,,
	PolicyAcquisitionExpense,"-908,000,000","-991,000,000","-812,000,000","-749,000,000","147,000,000","-495,000,000","-335,000,000","-461,000,000","-703,000,000","-496,000,000","-493,000,000","-1,815,000,000","-1,712,000,000","-1,357,000,000","-357,000,000",,,"4,114,000,000","3,811,000,000","3,510,000,000","3,090,000,000","2,474,000,000","2,000,000,000","1,651,000,000",,,
	FeesandCommissionExpense,"5,920,000,000","5,819,000,000","5,265,000,000","5,463,000,000","5,596,000,000","6,001,000,000","5,707,000,000","5,387,000,000","5,741,000,000","6,112,000,000","6,012,000,000","6,270,000,000","6,508,000,000","6,713,000,000","3,986,000,000",,,,,,,,,,,,
	SellingGeneralAndAdministration,"6,188,000,000","6,177,000,000","5,860,000,000","5,755,000,000","5,775,000,000","6,554,000,000","6,462,000,000","6,724,000,000","6,866,000,000","7,302,000,000","7,185,000,000","7,426,000,000","8,076,000,000","7,773,000,000","5,363,000,000","8,574,000,000","7,229,000,000","7,128,000,000","3,430,000,000","3,217,000,000","2,915,000,000","2,707,000,000","2,499,000,000","2,459,000,000",,,
		GeneralAndAdministrativeExpense,"6,188,000,000","6,177,000,000","5,860,000,000","5,755,000,000","5,775,000,000","6,554,000,000","6,462,000,000","6,724,000,000","6,866,000,000","7,302,000,000","7,185,000,000","7,426,000,000","8,076,000,000","7,773,000,000","5,363,000,000","5,141,000,000","3,845,000,000","3,921,000,000","3,430,000,000","3,217,000,000","2,915,000,000","2,707,000,000","2,499,000,000","2,459,000,000",,,
			SalariesAndWages,"5,389,000,000","5,349,000,000","5,191,000,000","5,085,000,000","5,014,000,000","5,653,000,000","5,552,000,000","5,595,000,000","5,859,000,000","4,317,000,000","5,367,000,000","5,596,000,000","5,990,000,000","5,750,000,000","3,955,000,000","3,854,000,000","3,368,000,000","3,548,000,000","3,430,000,000","3,217,000,000","2,915,000,000","2,707,000,000","2,499,000,000","2,459,000,000",,,
			OtherGandA,"799,000,000","828,000,000","669,000,000","670,000,000","761,000,000","901,000,000","910,000,000","1,129,000,000","1,007,000,000","2,985,000,000","1,818,000,000","1,830,000,000","2,086,000,000","2,023,000,000","1,408,000,000","1,287,000,000","477,000,000","373,000,000",,,,,,,,,
		SellingAndMarketingExpense,,,,,,,,,,,,,,"6,378,000,000","3,646,000,000","3,433,000,000","3,384,000,000","3,207,000,000",,,,,,,,,
	NetNonOperatingInterestIncomeExpense,"-1,055,000,000","-1,045,000,000","-938,000,000","-920,000,000","-913,000,000","-955,000,000","-1,122,000,000","-1,129,000,000","-1,157,000,000","-1,168,000,000","-1,216,000,000","-1,282,000,000","-1,356,000,000","-1,724,000,000","-1,687,000,000","-876,000,000","-720,000,000","-600,000,000","-900,000,000","-659,000,000","-408,000,000","-478,000,000","-403,000,000","-332,000,000",,,
		InterestExpenseNonOperating,"1,055,000,000","1,045,000,000","938,000,000","920,000,000","913,000,000","955,000,000","1,122,000,000","1,129,000,000","1,157,000,000","1,168,000,000","1,216,000,000","1,282,000,000","1,356,000,000","1,724,000,000","1,687,000,000","876,000,000","720,000,000","600,000,000","900,000,000","659,000,000","408,000,000","478,000,000","403,000,000","332,000,000",,,
	IncomefromAssociatesandOtherParticipatingInterests,"824,000,000","498,000,000","948,000,000","5,043,000,000","1,074,000,000","901,000,000",,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,"41,000,000","34,000,000","45,000,000",,,,"-260,000,000",,"0","0","-1,868,000,000","0","0",,,,,,,,,,,,
		RestructuringAndMergernAcquisition,,,"-41,000,000","-34,000,000","-45,000,000",,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,"260,000,000",,"0","0","1,868,000,000","0","0",,,,,,,,,,,,
	OtherOperatingExpenses,"662,000,000","660,000,000","608,000,000","629,000,000","764,000,000","674,000,000","758,000,000","842,000,000","688,000,000","691,000,000","3,171,000,000","3,439,000,000","3,527,000,000","3,684,000,000","2,248,000,000","1,106,000,000","3,998,000,000","2,701,000,000","12,484,000,000","3,557,000,000","28,725,000,000","27,086,000,000","26,168,000,000","25,667,000,000","10,703,000,000",,
PretaxIncome,"3,722,000,000","2,162,000,000","6,364,000,000","8,518,000,000","6,927,000,000","6,795,000,000","6,307,000,000","3,536,000,000","4,281,000,000","5,651,000,000","8,804,000,000","4,052,000,000","1,442,000,000","9,184,000,000","3,729,000,000","-4,334,000,000","5,061,000,000","5,762,000,000","4,168,000,000","4,293,000,000","3,563,000,000","2,346,000,000","1,406,000,000","474,000,000","1,192,000,000","1,047,000,000","1,975,000,000"
TaxProvision,"785,000,000","560,000,000","1,062,000,000","1,642,000,000","1,509,000,000","886,000,000","1,179,000,000","-1,470,000,000","693,000,000","1,590,000,000","2,465,000,000","661,000,000","128,000,000","2,793,000,000","1,110,000,000","-2,015,000,000","1,580,000,000","1,660,000,000","1,097,000,000","1,222,000,000","991,000,000","580,000,000","490,000,000","204,000,000","421,000,000",,
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,"197,000,000","34,000,000","45,000,000","-511,000,000","-699,000,000"
NetIncomeCommonStockholders,"2,708,000,000","1,380,000,000","5,099,000,000","6,654,000,000","5,191,000,000","5,721,000,000","4,982,000,000","3,907,000,000","747,000,000","5,215,000,000","6,187,000,000","3,246,000,000","1,202,000,000","6,155,000,000","2,545,000,000","-2,368,000,000","3,084,000,000","4,180,000,000","6,159,000,000","4,651,000,000","2,758,000,000","2,196,000,000","1,605,000,000","473,000,000","953,000,000","617,000,000","1,343,000,000"
	NetIncome,"2,909,000,000","1,578,000,000","5,284,000,000","6,855,000,000","5,407,000,000","5,899,000,000","5,123,000,000","4,010,000,000","850,000,000","5,373,000,000","6,309,000,000","3,368,000,000","1,324,000,000","6,423,000,000","2,667,000,000","-2,246,000,000","3,209,000,000","4,317,000,000","6,293,000,000","4,714,000,000","2,758,000,000","2,217,000,000","1,605,000,000","473,000,000","953,000,000","617,000,000","1,343,000,000"
		NetIncomeIncludingNoncontrollingInterests,"2,937,000,000","1,602,000,000","5,302,000,000","6,876,000,000","5,418,000,000","5,909,000,000","5,128,000,000","4,020,000,000","854,000,000","5,385,000,000","6,336,000,000","3,393,000,000","1,362,000,000","6,415,000,000","2,663,000,000","-2,278,000,000","3,278,000,000","4,317,000,000","6,293,000,000","4,560,000,000","2,606,000,000","2,107,000,000","1,532,000,000","416,000,000","953,000,000","617,000,000","1,343,000,000"
			NetIncomeContinuousOperations,"2,937,000,000","1,602,000,000","5,302,000,000","6,876,000,000","5,418,000,000","5,909,000,000","5,128,000,000","5,006,000,000","3,588,000,000","4,061,000,000","6,339,000,000","3,391,000,000","1,314,000,000","6,391,000,000","2,619,000,000","-2,319,000,000","3,481,000,000","4,102,000,000","3,071,000,000","3,071,000,000","2,572,000,000","1,766,000,000","1,113,000,000","304,000,000","816,000,000","536,000,000","1,276,000,000"
			NetIncomeDiscontinuousOperations,,,,,,"0","0","-986,000,000","-2,734,000,000","1,324,000,000","-3,000,000","2,000,000","48,000,000","24,000,000","44,000,000","41,000,000","-203,000,000","215,000,000","3,222,000,000","1,643,000,000","272,000,000","477,000,000","492,000,000","169,000,000","137,000,000","81,000,000","67,000,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,"0","-86,000,000","-26,000,000",,"0","0","0",
		MinorityInterests,"-28,000,000","-24,000,000","-18,000,000","-21,000,000","-11,000,000","-10,000,000","-5,000,000","-10,000,000","-4,000,000","-12,000,000","-27,000,000","-25,000,000","-38,000,000","8,000,000","4,000,000","32,000,000","-69,000,000","240,000,000","234,000,000","154,000,000","152,000,000","110,000,000","73,000,000","57,000,000",,,
	PreferredStockDividends,"201,000,000","198,000,000","185,000,000","201,000,000","216,000,000","178,000,000","141,000,000","103,000,000","103,000,000","158,000,000","122,000,000","122,000,000","122,000,000","268,000,000","122,000,000","122,000,000","125,000,000","137,000,000","134,000,000","63,000,000",,,,,,,
