name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,01/31/1993,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"-7,120,000,000","-33,536,000,000","-6,397,000,000","33,971,000,000","-25,231,000,000","40,773,000,000","7,305,000,000","-4,505,000,000","5,383,000,000","-4,463,000,000","1,086,000,000","35,009,000,000","24,759,000,000","15,382,000,000","40,614,000,000","-45,951,000,000","73,417,000,000","-22,249,000,000","-61,245,000,000","-31,352,000,000","-27,458,000,000","2,355,000,000","-5,054,000,000","-24,091,000,000","-2,384,000,000","-28,945,000,000","15,369,000,000","-558,000,000","2,208,400,000","1,476,800,000","2,894,100,000","1,350,600,000","4,799,300,000","-2,756,600,000","-4,679,400,000","-8,458,600,000"
	CashFlowFromContinuingOperatingActivities,"-7,120,000,000","-33,536,000,000","-6,397,000,000","33,971,000,000","-25,231,000,000","40,773,000,000","7,305,000,000","-4,505,000,000","5,383,000,000","-4,463,000,000","1,086,000,000","35,009,000,000","24,759,000,000","15,382,000,000","40,614,000,000","-45,951,000,000","73,417,000,000","-22,249,000,000","-61,245,000,000","-31,352,000,000","-27,458,000,000","2,355,000,000","-5,054,000,000","-24,091,000,000","-2,384,000,000","-28,945,000,000","15,369,000,000","-558,000,000","2,208,400,000","1,476,800,000","2,894,100,000","1,350,600,000","4,799,300,000","-2,756,600,000","-4,679,400,000","-8,458,600,000"
		NetIncomeFromContinuingOperations,"10,555,000,000","9,230,000,000","11,179,000,000","15,120,000,000","11,179,000,000","9,237,000,000","8,883,000,000","6,216,000,000","6,123,000,000","6,279,000,000","3,667,000,000","3,613,000,000","716,000,000","4,645,000,000","5,702,000,000","1,406,000,000","1,778,000,000","3,249,000,000","7,472,000,000","4,939,000,000","4,486,000,000","3,787,000,000","2,988,000,000","3,521,000,000","5,456,000,000","4,791,000,000","3,393,000,000","2,586,000,000","951,400,000","856,400,000","740,900,000","603,600,000","510,500,000","475,100,000","270,400,000","443,000,000"
		OperatingGainsLosses,,,,,,,,"-1,000,000","-33,000,000","-198,000,000","-196,000,000","-496,000,000","-130,000,000","828,000,000","-140,000,000","-1,048,000,000","-4,484,000,000","-168,000,000","40,000,000","311,000,000",,,,,,,,,,"-326,500,000",,,"4,063,500,000",,"-7,468,800,000","-9,554,100,000"
			GainLossOnSaleOfBusiness,,,,,,,,,,,,"-34,000,000","-156,000,000","-24,000,000","-48,000,000","-606,000,000","-2,232,000,000","-168,000,000","0","0",,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,"-35,000,000","-112,000,000","-84,000,000","-40,000,000","-45,000,000","-78,000,000","-143,000,000","-102,000,000","0","0","47,000,000","40,000,000",,,,,,,,,,,"-326,500,000",,,"4,063,500,000",,"-7,468,800,000","-9,554,100,000"
			EarningsLossesFromEquityInvestments,,,,,,,,"34,000,000","79,000,000","-114,000,000","-156,000,000","-451,000,000","-52,000,000","995,000,000","37,000,000","49,000,000",,"47,000,000",,"311,000,000",,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,"0","0","-54,000,000","0","0",,,,,,,,,,,,,,,,,,,
			RealizedGainLossOnSaleOfLoansAndLease,,,,,,,,,,,,,,,"1,190,000,000","0",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"4,640,000,000","4,256,000,000","3,998,000,000","4,216,000,000","3,769,000,000","2,643,000,000","1,844,000,000","1,753,000,000","1,736,000,000","1,433,000,000","1,161,000,000","1,511,000,000","1,581,000,000","1,404,000,000","1,419,000,000","1,224,000,000","794,000,000","475,000,000","876,000,000","815,000,000","805,000,000","637,000,000","787,000,000","729,000,000","727,000,000","541,000,000","575,000,000","338,000,000","83,300,000","70,000,000","58,800,000","51,300,000",,,,
			DepreciationAndAmortization,"4,640,000,000","4,256,000,000","3,998,000,000","4,216,000,000","3,769,000,000","2,643,000,000","1,844,000,000","1,753,000,000","1,736,000,000","1,433,000,000","1,161,000,000","1,511,000,000","1,581,000,000","1,404,000,000","1,419,000,000","1,224,000,000","794,000,000","475,000,000","876,000,000","815,000,000","805,000,000","637,000,000","787,000,000","729,000,000","727,000,000","541,000,000","575,000,000","338,000,000","83,300,000","70,000,000","58,800,000","51,300,000",,,,
		DeferredTax,,"-463,000,000","-849,000,000","4,000,000","-250,000,000","165,000,000","449,000,000","2,747,000,000","1,579,000,000","1,189,000,000","-231,000,000","-117,000,000","-639,000,000","413,000,000","-129,000,000","-932,000,000","-1,224,000,000","-1,669,000,000","111,000,000","-999,000,000","-261,000,000","205,000,000","55,000,000","-427,000,000","-219,000,000","-160,000,000","-55,000,000","-77,000,000","-83,400,000","-93,400,000","-155,600,000","-102,400,000","-110,300,000","-70,500,000","22,700,000","78,800,000"
			DeferredIncomeTax,,"-463,000,000","-849,000,000","4,000,000","-250,000,000","165,000,000","449,000,000","2,747,000,000","1,579,000,000","1,189,000,000","-231,000,000","-117,000,000","-639,000,000","413,000,000","-129,000,000","-932,000,000","-1,224,000,000","-1,669,000,000","111,000,000","-999,000,000","-261,000,000","205,000,000","55,000,000","-427,000,000","-219,000,000","-160,000,000","-55,000,000","-77,000,000","-83,400,000","-93,400,000","-155,600,000","-102,400,000","-110,300,000","-70,500,000","22,700,000","78,800,000"
