name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"208,264,000,000","200,730,000,000","155,107,160,000","142,601,105,000","119,872,757,000","120,097,403,000","118,593,487,000","123,449,206,000","122,787,884,000","96,685,535,000","85,162,391,000","83,008,803,000","77,924,287,000","68,021,263,000","68,880,399,000","65,815,757,000","64,875,639,000","57,064,905,000","55,146,406,000","52,938,721,000","49,826,081,000","33,201,181,000","31,450,196,000","28,949,456,000","22,409,100,000","20,583,900,000","14,002,900,000","12,943,900,000","11,955,900,000","10,528,600,000","10,365,000,000","9,587,900,000","9,171,100,000","7,715,400,000","6,233,800,000"
	CashCashEquivalentsAndFederalFundsSold,"29,800,000,000","26,479,000,000","43,209,881,000","25,216,553,000","8,626,459,000","9,710,636,000","6,499,791,000","6,321,187,000","8,962,390,000","7,844,224,000","3,324,072,000","2,116,560,000","1,607,357,000","1,034,977,000","1,379,677,000","1,668,435,000","1,785,978,000","1,731,603,000","1,498,867,000","1,374,046,000","1,912,976,000","1,291,987,000","1,011,091,000","770,622,000","1,237,500,000","723,600,000","387,600,000","497,300,000","489,600,000","381,000,000","580,200,000","687,000,000","336,500,000","704,700,000","541,000,000"
		CashAndCashEquivalents,"29,800,000,000","26,476,000,000","43,209,881,000","25,216,553,000","8,622,959,000","9,710,636,000","6,499,791,000","6,321,187,000","8,962,390,000","7,760,832,000","3,224,499,000","2,113,560,000","1,604,507,000","1,009,977,000","1,359,558,000","1,557,088,000","1,737,940,000","1,612,145,000","1,487,647,000","1,344,870,000","1,890,688,000","971,628,000","970,005,000","753,361,000","593,900,000","723,600,000","387,600,000","497,300,000","489,600,000","381,000,000","580,200,000","687,000,000","336,500,000","704,700,000","541,000,000"
			CashFinancial,"1,731,000,000","1,517,000,000","1,337,577,000","1,552,743,000","1,432,805,000","1,605,439,000","1,420,888,000","1,320,549,000","1,368,040,000","1,289,965,000","1,573,361,000","1,983,615,000","1,449,547,000","908,755,000","1,226,223,000","1,546,804,000","1,719,509,000","1,605,506,000","1,479,239,000",,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,,"1,719,509,000","1,605,506,000","1,479,239,000","1,334,628,000","1,877,494,000","963,772,000","965,664,000","750,259,000","592,800,000","722,900,000","386,900,000","450,000,000","364,100,000","380,900,000","525,200,000","577,000,000",,"301,300,000","293,600,000"
			CashAndDueFromBanks,"28,069,000,000","24,959,000,000","41,872,304,000","23,663,810,000","7,190,154,000","8,105,197,000","5,078,903,000","5,000,638,000","7,594,350,000","6,470,867,000","1,651,138,000","129,945,000","154,960,000","101,222,000","133,335,000","10,284,000","18,431,000","6,639,000","8,408,000","10,242,000","13,194,000","7,856,000","4,341,000","3,102,000","1,100,000","700,000","700,000","47,300,000","125,500,000","100,000","55,000,000","110,000,000","336,500,000","403,400,000","247,400,000"
		MoneyMarketInvestments,,"3,000,000",,,"3,500,000",,,,,"83,392,000","99,573,000","3,000,000","2,850,000","25,000,000","20,119,000","111,347,000","48,038,000","119,458,000","11,220,000","29,176,000","22,288,000","320,359,000","41,086,000","17,261,000","643,600,000",,,,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"0","3,000,000","0","0","3,500,000","0",,,,"83,392,000","99,573,000","3,000,000","2,850,000","25,000,000","20,119,000","111,347,000","48,038,000","119,458,000","11,220,000","29,176,000","22,288,000","320,359,000","41,086,000","17,261,000","643,600,000",,,,,,,,,,
				FederalFundsSold,"0","3,000,000","0","0","3,500,000","0",,,,"83,392,000","99,573,000","3,000,000","2,850,000","25,000,000","20,119,000","21,347,000","48,038,000","19,458,000","11,220,000",,,,,,,,,,,,,,,,
				SecurityAgreeToBeResell,,,,,,,,,,,,,,,,"90,000,000","0","100,000,000",,,,,,,,,,,,,,,,,
	SecuritiesAndInvestments,"27,003,000,000","25,329,000,000","7,205,605,000","8,114,278,000","9,967,380,000","12,878,397,000","14,797,434,000","16,574,335,000","15,930,222,000","13,301,717,000","9,172,628,000","6,563,327,000","8,234,988,000","7,674,374,000","8,167,593,000","8,537,028,000","9,243,242,000","7,388,350,000","8,591,781,000","8,634,565,000","7,473,983,000","4,006,778,000","3,063,066,000","3,347,284,000","2,541,600,000","2,958,700,000","1,782,500,000","1,609,000,000","1,779,000,000","1,796,400,000","2,439,000,000","1,774,100,000","2,629,000,000","1,548,500,000","1,209,300,000"
		TradingSecurities,"106,000,000","118,000,000","49,745,000","1,068,581,000","470,129,000","185,584,000","132,909,000","323,867,000","273,783,000","308,175,000","376,131,000","488,966,000","561,834,000","523,834,000","386,984,000","617,821,000","281,244,000","136,752,000","191,617,000","159,946,000","214,833,000","51,628,000","38,929,000","37,431,000","641,100,000","173,100,000","57,300,000","37,300,000","9,700,000","5,400,000","9,800,000","53,500,000","43,000,000","125,300,000","72,600,000"
		AvailableForSaleSecurities,"6,597,000,000","932,000,000","465,382,000","474,102,000","521,558,000","693,664,000","415,028,000","461,118,000","554,059,000","328,742,000","298,581,000","302,648,000","366,886,000","412,709,000","508,624,000","583,176,000","506,388,000","356,851,000","367,402,000","8,474,619,000","7,259,150,000","3,955,150,000","3,024,137,000","3,309,853,000","1,900,500,000","2,785,600,000","1,725,200,000","1,571,700,000","1,769,300,000","1,791,000,000","2,429,200,000","1,720,600,000","2,586,000,000","1,423,200,000","1,136,700,000"
		HeldToMaturitySecurities,"15,315,000,000","13,530,000,000","2,734,674,000","1,748,989,000","2,656,917,000","3,316,640,000","3,353,213,000","2,457,278,000","2,859,709,000","3,507,868,000","3,966,130,000","1,032,276,000","1,077,708,000","1,324,339,000","567,607,000","485,838,000","76,441,000","64,899,000","101,059,000",,,,,,,,,,,,,,,,
		OtherShortTermInvestments,"4,985,000,000","10,749,000,000","3,955,804,000","4,822,606,000","6,318,776,000","8,682,509,000","10,896,284,000","13,332,072,000","12,242,671,000","9,156,932,000","4,531,786,000","4,739,437,000","6,228,560,000","5,413,492,000","6,704,378,000","6,850,193,000","8,379,169,000","6,829,848,000","7,931,703,000",,,,,,,,,,,,,,,,
	NetLoan,"129,125,000,000","127,057,000,000","90,346,580,000","95,552,584,000","88,459,601,000","86,040,132,000","85,546,223,000","88,444,909,000","85,180,189,000","64,412,190,000","61,757,555,000","64,172,159,000","57,655,100,000","49,440,906,000","49,181,364,000","46,497,538,000","45,637,265,000","40,873,712,000","38,406,052,000","37,771,613,000","35,158,377,000","25,291,312,000","24,762,752,000","22,368,111,000","17,090,600,000","15,485,200,000","11,221,900,000","10,451,700,000","9,293,500,000","7,974,000,000","7,065,200,000","6,832,100,000","5,946,300,000","5,297,900,000","4,315,600,000"
		GrossLoan,"132,122,000,000","129,492,000,000","92,040,032,000","97,628,892,000","89,776,328,000","87,326,591,000","86,817,324,000","89,682,167,000","86,365,916,000","65,562,165,000","62,926,855,000","65,317,248,000","58,845,260,000","50,669,407,000","50,429,157,000","47,644,716,000","46,727,404,000","41,783,317,000","39,266,761,000","38,644,622,000","36,037,598,000","25,936,942,000","25,395,468,000","22,970,314,000","17,572,900,000","16,005,700,000","11,765,600,000","11,120,300,000","9,873,700,000","8,447,100,000","7,439,100,000","7,148,500,000","6,206,700,000","5,502,100,000","4,498,800,000"
			CommercialLoan,"55,000,000,000","49,775,000,000","22,524,542,000","26,554,486,000","22,575,700,000","21,730,012,000","20,474,696,000","21,351,119,000","19,223,419,000","18,280,049,000","17,477,238,000","16,500,202,000","14,419,490,000","11,999,065,000","11,913,437,000","12,848,070,000","11,762,168,000","10,472,919,000","9,818,897,000",,,,,,,,,,,,,,,,
			ConsumerLoan,"20,780,000,000","20,579,000,000","17,964,331,000","16,558,889,000","15,373,881,000","13,956,086,000","13,251,665,000","12,130,094,000","11,584,347,000","10,969,879,000","10,280,527,000","11,550,274,000","12,020,229,000","11,483,564,000","12,041,617,000","11,004,275,000","11,306,719,000","9,916,334,000","10,475,809,000",,,,,,,,,,,,,,,,
			MortgageLoan,"56,342,000,000","59,138,000,000","51,551,159,000","54,515,517,000","51,826,747,000","51,640,493,000","53,090,963,000","56,200,954,000","55,558,150,000","36,312,237,000","35,169,090,000","37,266,772,000","32,405,541,000","27,186,778,000","26,474,103,000","23,792,371,000","23,658,517,000","21,394,064,000","18,972,055,000",,,,,,,,,,,,,,,,
			OtherLoanAssets,,,,,,,,,,,,,,,,,"48,352,262,000","43,206,954,000","40,553,691,000","38,644,622,000","36,037,598,000","25,936,942,000","25,395,468,000","22,970,314,000","17,572,900,000","16,005,700,000","11,765,600,000","11,120,300,000","9,873,700,000","8,447,100,000","7,439,100,000","7,148,500,000","6,206,700,000","5,502,100,000","4,498,800,000"
