name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"1,830,198,000","1,836,495,000","1,727,715,000","810,619,000","835,368,000","803,590,000","718,918,000","613,954,000","606,037,000","583,782,000","568,554,000","501,604,000","494,911,000","450,596,000","384,630,000","394,859,000","410,294,000","374,329,000","363,601,000","379,050,000","394,645,000","464,156,000","443,926,000","404,266,000","371,584,000","364,392,000","283,300,000","269,300,000","245,700,000","228,800,000","192,100,000","173,800,000","151,200,000","119,100,000","105,400,000","86,100,000",,,,
	NetInterestIncome,"1,484,373,000","1,503,153,000","1,327,936,000","596,400,000","596,094,000","604,273,000","537,602,000","437,168,000","402,703,000","366,116,000","366,370,000","317,424,000","308,757,000","272,873,000","218,416,000","231,399,000","243,325,000","219,191,000","212,717,000","219,152,000","231,757,000","272,007,000","289,429,000","291,299,000","269,871,000","281,242,000","224,900,000","218,200,000","201,300,000","189,200,000","159,400,000","144,100,000","127,400,000","101,200,000","89,400,000","71,100,000",,,,
		InterestIncome,"2,425,914,000","2,206,821,000","1,454,202,000","638,649,000","663,308,000","730,387,000","632,045,000","495,336,000","447,134,000","399,189,000","389,729,000","341,810,000","344,699,000","326,593,000","296,848,000","340,677,000","392,522,000","461,368,000","451,713,000","425,239,000","417,120,000","469,748,000","547,383,000","629,707,000","638,275,000","565,813,000","456,500,000","435,100,000","390,900,000","375,700,000","277,900,000","254,200,000","240,900,000","231,700,000","234,100,000","196,500,000",,,,
			InterestIncomeFromLoansAndLease,"2,037,997,000","1,860,077,000","1,203,747,000","502,434,000","529,888,000","585,637,000","524,592,000","403,189,000","361,382,000","316,018,000","306,348,000","261,910,000","266,034,000","237,899,000","185,238,000","217,993,000","284,610,000","344,293,000","333,488,000","310,047,000","300,650,000","338,099,000","408,990,000","511,369,000","521,492,000","452,105,000","357,600,000","332,000,000","299,400,000","284,700,000","200,700,000","176,700,000","166,700,000","162,100,000","159,600,000","130,400,000",,,,
				InterestIncomeFromLoans,"2,037,997,000","1,860,077,000","1,203,747,000","502,434,000","529,888,000","585,637,000","524,592,000","403,189,000","361,382,000","316,018,000","306,348,000","261,910,000","266,034,000","237,899,000","185,238,000","217,993,000","284,610,000","344,293,000","333,488,000","310,047,000","300,650,000","338,099,000","408,990,000","511,369,000","521,492,000","452,105,000","357,600,000","332,000,000","299,400,000","284,700,000","200,700,000","176,700,000","166,700,000","162,100,000","159,600,000","130,400,000",,,,
			InterestIncomeFromSecurities,"387,917,000","346,744,000","250,455,000","136,215,000","133,420,000","144,750,000","107,453,000","92,147,000","85,752,000","83,171,000","83,381,000","79,900,000","78,665,000","88,694,000","111,610,000","122,684,000","107,912,000","117,075,000","118,225,000","115,192,000","116,470,000","131,649,000","138,393,000","118,338,000","116,783,000","113,708,000","98,900,000","102,900,000","91,500,000","91,000,000","75,100,000","73,100,000","70,200,000","64,400,000","65,200,000","56,000,000",,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"700,000","200,000","300,000","800,000","500,000","400,000","700,000","1,300,000",,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,600,000","3,400,000","1,900,000","3,600,000","3,600,000","4,800,000","8,600,000","8,900,000",,,,
			OtherInterestIncome,,,,,"568,000","1,670,000","630,000","258,000","130,000","47,000","42,000","38,000","54,000","362,000","431,000",,,,,,,,,,,,"100,000","200,000","-100,000",,"-100,000",,"-100,000",,,"-100,000",,,,
		InterestExpense,"941,541,000","703,668,000","126,266,000","42,249,000","67,214,000","126,114,000","94,443,000","58,168,000","44,431,000","33,073,000","23,359,000","24,386,000","35,942,000","53,720,000","78,432,000","109,278,000","149,197,000","242,177,000","238,996,000","206,087,000","185,363,000","197,741,000","257,954,000","338,408,000","368,404,000","284,571,000","231,600,000","216,900,000","189,600,000","186,500,000","118,500,000","110,100,000","113,500,000","130,500,000","144,700,000","125,400,000",,,,
