name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1991
OperatingCashFlow,"-62,313,000","-18,810,000","64,492,000","227,786,000","-54,059,000","79,142,000","168,570,000","-16,136,000","-66,865,000","-19,413,000","78,315,000","-3,429,000","-9,452,000","81,537,000","-137,277,000","54,717,000","59,759,000","113,667,000","114,303,000","-89,734,000","125,611,000","-56,693,000","-3,240,000","22,341,000","53,569,000","-14,500,000","-8,122,000","72,490,000","31,858,000","-3,989,000","-11,700,000"
	CashFlowFromContinuingOperatingActivities,"-62,313,000","-18,810,000","64,492,000","227,786,000","-54,059,000","79,142,000","168,570,000","-16,136,000","-66,865,000","-19,413,000","78,315,000","-3,429,000","-9,452,000","81,537,000","-137,277,000","54,717,000","59,759,000","113,667,000","114,303,000","-89,734,000","125,611,000","-56,693,000","-3,240,000","22,341,000","53,569,000","-14,500,000","-8,122,000","72,490,000","31,858,000","-3,989,000","-11,700,000"
		NetIncomeFromContinuingOperations,"61,386,000","30,272,000","32,110,000","158,964,000","122,986,000","52,953,000","28,892,000","22,816,000","491,000","2,898,000","9,561,000","26,153,000","-851,000","12,617,000","40,780,000","19,487,000","-20,770,000","75,367,000","44,577,000","22,916,000","21,077,000","28,696,000","9,321,000","19,150,000","40,901,000","27,400,000","12,447,000","26,731,000","30,279,000","20,899,000",
		OperatingGainsLosses,,,"-235,000",,"-86,000",,,,"-16,475,000",,,,,,,,,"-2,455,000","-4,146,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"37,834,000","37,205,000","34,409,000","34,119,000","33,293,000","32,821,000","6,871,000","5,657,000","8,074,000","7,915,000","10,567,000","11,286,000","17,555,000","19,733,000","16,772,000","17,444,000","16,532,000","10,426,000","10,318,000","33,223,000","40,391,000","40,923,000","4,864,000","3,974,000","3,472,000","3,500,000","2,905,000","1,357,000","955,000","579,000","700,000"
			DepreciationAndAmortization,"37,834,000","37,205,000","34,409,000","34,119,000","33,293,000","32,821,000","6,871,000","5,657,000","8,074,000","7,915,000","10,567,000","11,286,000","17,555,000","19,733,000","16,772,000","17,444,000","16,532,000","10,426,000","10,318,000","33,223,000","40,391,000","40,923,000","4,864,000","3,974,000","3,472,000","3,500,000","2,905,000","1,357,000","955,000","579,000","700,000"
				Depreciation,"37,681,000","37,205,000","34,409,000","34,119,000","33,293,000","32,821,000","6,871,000","5,657,000","6,788,000","7,188,000","7,748,000","9,405,000","10,466,000","11,899,000","12,448,000","12,630,000","11,474,000","9,691,000","9,583,000",,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,"0","0","1,286,000","727,000","2,819,000","1,881,000","7,089,000","7,834,000","4,324,000","4,814,000","5,058,000","735,000","735,000",,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,"0","0","1,286,000","727,000","2,819,000","1,881,000","7,089,000","7,834,000","4,324,000","4,814,000","5,058,000","735,000","735,000",,,,,,,,,,,,
		DeferredTax,"7,479,000","6,457,000","-14,616,000","-792,000","21,336,000","9,878,000","2,773,000","-2,045,000","-2,941,000","4,538,000","6,001,000","23,436,000","-26,642,000","-745,000","31,606,000","-14,271,000","-12,300,000","7,621,000","382,000","-3,975,000","7,322,000","963,000",,,,,,,,,
			DeferredIncomeTax,"7,479,000","6,457,000","-14,616,000","-792,000","21,336,000","9,878,000","2,773,000","-2,045,000","-2,941,000","4,538,000","6,001,000","23,436,000","-26,642,000","-745,000","31,606,000","-14,271,000","-12,300,000","7,621,000","382,000","-3,975,000","7,322,000","963,000",,,,,,,,,
		AmortizationOfSecurities,,,,,,,,,,,,,,"19,699,000","19,657,000","18,462,000","16,761,000","19,419,000","20,676,000",,,,,,,,,,,,
		AssetImpairmentCharge,,,,,"341,000","184,000","0","430,000","0","0","588,000","0","0",,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"-129,000","-5,000","-2,955,000","2,896,000","-41,000","-435,000","117,000","-25,000","-1,751,000","118,000","4,000","167,000","-292,000","-168,000","338,000",,,,,,,,,,,,,,,,
		StockBasedCompensation,"23,602,000","16,940,000","15,914,000","31,138,000","16,220,000","11,819,000","6,710,000","12,573,000","6,203,000","2,860,000","6,074,000","9,249,000","4,191,000","1,100,000","4,242,000","17,246,000","-112,000","9,657,000","5,000,000",,,,,,,,,,,,
		OtherNonCashItems,"17,457,000","16,139,000","13,815,000","13,677,000","12,224,000","13,391,000","12,799,000","12,574,000","13,444,000","13,193,000","17,161,000","19,401,000","13,134,000","20,685,000","20,300,000",,"-2,000","7,165,000","2,337,000","2,064,000","5,915,000","-2,639,000","-442,000","443,000",,"-400,000",,,,,"-12,400,000"
		ChangeInWorkingCapital,"-209,993,000","-125,818,000","-14,185,000","-12,216,000","-260,077,000","-41,285,000","110,408,000","-67,686,000","-73,170,000","-50,658,000","31,021,000","-93,121,000","-16,547,000","28,315,000","-251,315,000","-5,191,000","56,948,000","-7,549,000","37,344,000","-143,962,000","50,906,000","-124,636,000","-16,983,000","-1,226,000","9,196,000","-45,000,000","-23,474,000","44,402,000","624,000","-25,467,000",
			ChangeInReceivables,"-70,579,000","30,106,000","-30,852,000","-102,103,000","-363,145,000","-88,971,000","134,169,000","31,017,000","317,989,000","5,063,000","-19,609,000","-139,394,000","669,772,000","-412,310,000","-214,400,000","-34,221,000","-62,845,000","59,285,000","8,498,000",,,,,,,,,,,,
				ChangesInAccountReceivables,"-57,928,000","64,258,000","-14,534,000","-79,919,000","-354,061,000","-72,522,000","147,954,000","27,004,000","140,602,000","-22,722,000","55,074,000","63,731,000","-171,413,000","101,894,000","-10,429,000",,,,,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-32,121,000","-1,015,000","-10,723,000","16,375,000","-34,928,000","19,263,000","-25,456,000","-4,037,000","11,305,000","-12,980,000","-12,831,000","2,275,000","9,862,000","-12,588,000","2,570,000",,,,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-261,699,000","-305,226,000","10,571,000","151,014,000","-26,544,000","226,084,000","-6,290,000","-55,877,000","-173,687,000","-127,374,000","-19,941,000","-17,633,000","86,987,000","28,049,000","-101,175,000","127,748,000","-4,058,000","-16,791,000","49,165,000","4,185,000","2,332,000","-1,990,000","565,000","-3,487,000","-16,606,000","18,000,000","-13,387,000","3,708,000","2,697,000","7,110,000",
				ChangeInPayable,"-271,012,000","-318,453,000","117,921,000","127,776,000","-108,911,000","189,765,000","128,000","-77,061,000","-166,823,000","-114,931,000","-4,576,000","-43,214,000","81,421,000","59,663,000","-81,809,000","113,607,000","-53,376,000","-49,726,000","22,433,000","4,185,000","2,332,000","-1,990,000","565,000","-3,487,000","-16,606,000","18,000,000","-13,387,000","3,708,000","2,697,000","7,110,000",
					ChangeInTaxPayable,"0","-4,130,000","-9,406,000","3,810,000","9,726,000","0","0",,,,,,,"0",,"0","-11,020,000","-2,209,000","12,062,000","4,185,000","2,332,000","-1,990,000","565,000","-3,487,000","-16,606,000","18,000,000","-13,387,000","3,708,000","2,697,000","7,110,000",
						ChangeInIncomeTaxPayable,"0","-4,130,000","-9,406,000","3,810,000","9,726,000","0","0",,,,,,,"0",,"0","-11,020,000","-2,209,000","12,062,000","4,185,000","2,332,000","-1,990,000","565,000","-3,487,000","-16,606,000","18,000,000","-13,387,000","3,708,000","2,697,000","7,110,000",
					ChangeInAccountPayable,"-271,040,000","-323,325,000","127,327,000","123,966,000","-118,637,000","206,113,000","26,192,000","-80,245,000","-158,040,000","-127,569,000","8,249,000","-34,826,000","76,683,000","68,870,000","-94,767,000","38,018,000","14,986,000","7,283,000","-6,005,000",,,,,,,,,,,,
				ChangeInAccruedExpense,"9,313,000","13,227,000","-107,350,000","23,238,000","82,367,000","36,319,000","-6,418,000","21,184,000","-6,864,000","-12,443,000","-15,365,000","25,581,000","5,566,000","-31,614,000","-19,366,000","14,141,000","49,318,000","32,935,000","26,732,000",,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"-129,214,000","-307,964,000","152,322,000","41,827,000","83,767,000","-15,833,000","119,285,000","-256,619,000","87,327,000","66,806,000","123,608,000","-199,233,000","239,201,000","-590,409,000","-199,998,000","-18,078,000","138,184,000","-24,567,000","-7,025,000",,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,"283,620,000","458,281,000","-135,503,000","-119,329,000","80,773,000","-181,828,000","-111,300,000","217,830,000","-314,804,000","-2,012,000","-53,855,000","267,964,000","-1,012,067,000","1,027,400,000","263,144,000","-59,540,000","-14,333,000","2,098,000","-2,471,000",,,,,,,,,,,,
			ChangeInOtherWorkingCapital,,"13,227,000","-107,350,000","23,238,000","82,367,000","36,319,000","-6,418,000","21,184,000","-1,300,000","19,839,000","13,649,000","-7,100,000","-10,302,000","-11,827,000","-1,456,000","-21,100,000","12,576,000","-27,574,000","-10,823,000","-148,147,000","48,574,000","-122,646,000","-17,548,000","2,261,000","25,802,000","-63,000,000","-10,087,000","40,694,000","-2,073,000","-32,577,000",
		TaxesRefundPaid,,,,,,,"0","0","-740,000","-277,000","-2,074,000","0","0",,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-7,797,000","-15,561,000","-14,137,000","-6,267,000","-3,941,000","-8,304,000","-8,191,000","-3,867,000","39,717,000","-5,889,000","-4,398,000","-14,012,000","-14,739,000","-5,192,000","-12,157,000","-7,762,000","-65,578,000","-11,553,000","-7,272,000","-4,589,000","-10,219,000","-27,826,000","-3,633,000","341,000","-2,589,000","-4,000,000","-2,564,000","-38,134,000","-995,000","-440,000","700,000"
	CashFlowFromContinuingInvestingActivities,"-7,797,000","-15,561,000","-14,137,000","-6,267,000","-3,941,000","-8,304,000","-8,191,000","-3,867,000","39,717,000","-5,889,000","-4,398,000","-14,012,000","-14,739,000","-5,192,000","-12,157,000","-7,762,000","-65,578,000","-11,553,000","-7,272,000","-4,589,000","-10,219,000","-27,826,000","-3,633,000","341,000","-2,589,000","-4,000,000","-2,564,000","-38,134,000","-995,000","-440,000","700,000"
		NetPPEPurchaseAndSale,"-8,989,000","-17,056,000","-16,311,000","-8,268,000","-4,528,000","-10,024,000","-8,672,000","-5,611,000","-5,731,000","-5,889,000","-4,398,000","-14,012,000","-14,739,000","-5,192,000","-12,157,000","-7,762,000","-15,243,000","-11,553,000","-7,272,000","-4,589,000","-10,219,000","-12,215,000","-1,360,000","-1,009,000","-1,821,000","-4,600,000","-2,564,000","-39,492,000","-995,000","-597,000",
			PurchaseOfPPE,"-8,989,000","-17,056,000","-16,311,000","-8,268,000","-4,528,000","-10,024,000","-8,672,000","-5,611,000","-5,731,000","-5,889,000","-4,398,000","-14,012,000","-14,739,000","-5,192,000","-12,157,000","-7,762,000","-15,243,000","-11,553,000","-7,272,000",,,,,,,,,,,,
		NetIntangiblesPurchaseAndSale,,,,,"0","0","-400,000","0","0",,,,,,,,,,,,,,,,,,,,,,
			PurchaseOfIntangibles,,,,,"0","0","-400,000","0","0",,,,,,,,,,,,,,,,,,,,,,
		NetBusinessPurchaseAndSale,,"-2,929,000","0","0",,,,,,,,,,,,"0","-50,335,000","0","0",,,"-15,611,000","-2,297,000","-1,789,000","-768,000",,,,,,
			PurchaseOfBusiness,,"-2,929,000","0","0",,,,,,,,,,,,,"-50,335,000",,,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,,,,,,,,,,,,,,,,,,,,,,,"24,000",,,,,,,,"2,200,000"
			PurchaseOfInvestment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-400,000"
			SaleOfInvestment,,,,,,,,,,,,,,,,,,,,,,,"24,000",,,,,,,,"2,600,000"
		NetOtherInvestingChanges,"4,121,000","4,424,000","2,174,000","2,001,000","587,000","1,720,000","881,000","1,744,000","45,448,000",,,,,,,,,,,,,,,"3,139,000",,"600,000",,"1,358,000",,"157,000","-1,500,000"
FinancingCashFlow,"48,376,000","-74,761,000","-253,912,000","84,581,000","13,874,000","-81,963,000","-117,858,000","3,244,000","28,697,000","24,859,000","-108,404,000","-19,631,000","89,228,000","-58,870,000","133,370,000","-24,722,000","24,802,000","-97,954,000","-115,502,000","92,946,000","-116,480,000","102,882,000","-1,229,000","-13,134,000","-47,149,000","17,800,000","11,403,000","-32,935,000","-31,207,000","3,093,000","12,300,000"
	CashFlowFromContinuingFinancingActivities,"48,376,000","-74,761,000","-253,912,000","84,581,000","13,874,000","-81,963,000","-117,858,000","3,244,000","28,697,000","24,859,000","-108,404,000","-19,631,000","89,228,000","-58,870,000","133,370,000","-24,722,000","24,802,000","-97,954,000","-115,502,000","92,946,000","-116,480,000","102,882,000","-1,229,000","-13,134,000","-47,149,000","17,800,000","11,403,000","-32,935,000","-31,207,000","3,093,000","12,300,000"
		NetIssuancePaymentsOfDebt,"124,400,000","-1,000,000","-80,450,000","-12,500,000","57,000,000","-65,000,000","-103,300,000","22,500,000","45,600,000","40,800,000","-103,800,000","-10,100,000","100,800,000","-47,003,000","137,000,000","-21,660,000","41,838,000","-103,671,000","-115,271,000","114,652,000","-119,636,000","100,316,000",,"-13,265,000","-40,423,000",,"18,462,000","-31,262,000","-29,400,000","5,375,000","11,700,000"
			NetLongTermDebtIssuance,"124,400,000","-1,000,000","-10,950,000","0","57,000,000","-65,000,000","-103,300,000","50,000,000","0","0","-45,000,000","0","0","72,497,000","-10,000,000","-21,660,000","64,338,000","-41,050,000","-46,825,000","114,652,000","-119,636,000","100,316,000",,"-13,265,000","-40,423,000",,"18,462,000","-31,262,000","-29,400,000","5,375,000","11,700,000"
				LongTermDebtIssuance,,,,"0","207,000,000","0","0","200,000,000","0","0",,"0","0","200,000,000","0",,"100,000,000",,"125,000,000","137,327,000",,"125,300,000",,,,,"18,462,000",,,"5,375,000","13,200,000"
