name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996
OperatingCashFlow,"877,068,000","881,551,000","764,946,000","528,202,000","551,946,000","424,644,000","705,314,000","384,480,000","241,928,000","201,178,000","96,766,000","59,319,000","-15,698,000","20,588,000","40,900,000","47,963,000","46,082,000","42,670,000","22,616,000","32,054,000","34,842,000","30,199,000","21,391,000","4,900,000","9,777,000","12,700,000","2,200,000","3,500,000","2,800,000"
	CashFlowFromContinuingOperatingActivities,"877,068,000","881,551,000","764,946,000","528,202,000","551,946,000","424,644,000","705,314,000","384,480,000","241,928,000","201,178,000","96,766,000","59,319,000","-15,698,000","20,588,000","40,900,000","47,963,000","46,082,000","42,670,000","22,616,000","32,054,000","34,842,000","30,199,000","21,391,000","4,900,000","9,777,000","12,700,000","2,200,000","3,500,000","2,800,000"
		NetIncomeFromContinuingOperations,"702,052,000","690,839,000","564,090,000","579,033,000","291,866,000","425,908,000","417,081,000","421,937,000","270,080,000","182,314,000","118,588,000","91,265,000","77,064,000","101,303,000","63,924,000","43,083,000","34,690,000","31,746,000","31,693,000","31,489,000","25,883,000","20,201,000","14,406,000","8,959,000","7,627,000","7,400,000","5,600,000","4,500,000","3,000,000"
		OperatingGainsLosses,"-6,626,000","-12,272,000","-13,486,000","-10,466,000","-11,330,000","-2,946,000","-2,236,000","-9,586,000","-550,000","-16,431,000","-12,864,000","-8,195,000","-5,553,000","4,854,000","3,614,000","-27,685,000","595,000","-1,007,000","-3,828,000","-780,000","-774,000","-144,000","217,000","-153,000",,,,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,"-4,667,000",,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"-802,000","177,000","544,000",,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-1,442,000","-3,243,000","-2,019,000","-504,000","-4,467,000","-713,000","-17,000","-4,033,000","-4,000","-5,481,000","-144,000","-161,000","-457,000","-933,000","-4,544,000","-26,982,000","3,433,000","-520,000","-3,917,000","-213,000","-774,000","-144,000","217,000","-153,000",,,,,
			RealizedGainLossOnSaleOfLoansAndLease,,,,,,,,,,,,,,"-3,606,000","-24,890,000","-880,000","51,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"44,396,000","41,025,000","43,990,000","43,131,000","43,791,000","42,509,000","35,440,000","34,070,000","25,032,000","17,461,000","12,982,000","10,001,000","8,798,000","7,035,000","4,902,000","4,282,000","3,766,000","3,548,000","2,127,000","2,052,000","2,749,000","2,882,000","1,757,000","1,736,000","1,679,000","1,600,000","1,100,000","600,000","600,000"
			DepreciationAndAmortization,"44,396,000","41,025,000","43,990,000","43,131,000","43,791,000","42,509,000","35,440,000","34,070,000","25,032,000","17,461,000","12,982,000","10,001,000","8,798,000","7,035,000","4,902,000","4,282,000","3,766,000","3,548,000","2,127,000","2,052,000","2,749,000","2,882,000","1,757,000","1,736,000","1,679,000","1,600,000","1,100,000","600,000","600,000"
				Depreciation,"34,695,000","37,396,000","37,098,000","35,751,000","33,763,000","29,650,000","21,920,000","20,550,000","15,236,000","10,801,000","7,986,000","7,196,000","6,761,000","5,358,000","4,471,000","4,172,000","3,552,000",,,,,,,,,,,,
				AmortizationCashFlow,"9,701,000","3,629,000","6,892,000","7,380,000","10,028,000","12,859,000","13,520,000","13,520,000","9,796,000","6,660,000","4,996,000","2,805,000","2,037,000","1,677,000","431,000","110,000","214,000",,,,,,,,,,,,
					AmortizationOfIntangibles,"9,701,000","3,629,000","6,892,000","7,380,000","10,028,000","12,859,000","13,520,000","13,520,000","9,796,000","6,660,000","4,996,000","2,805,000","2,037,000","1,677,000","431,000","110,000","214,000",,,,,,,,,,,,
		DeferredTax,"-22,636,000","-52,933,000","63,825,000","-61,208,000","53,757,000","-100,903,000","33,057,000","198,637,000","12,703,000","7,391,000","-258,000","-10,148,000","-7,808,000","11,866,000","8,195,000","-1,706,000","-6,146,000","-1,057,000","-352,000","21,000","597,000","344,000","-836,000","-569,000","405,000","100,000","-200,000",,"-300,000"
			DeferredIncomeTax,"-22,636,000","-52,933,000","63,825,000","-61,208,000","53,757,000","-100,903,000","33,057,000","198,637,000","12,703,000","7,391,000","-258,000","-10,148,000","-7,808,000","11,866,000","8,195,000","-1,706,000","-6,146,000","-1,057,000","-352,000","21,000","597,000","344,000","-836,000","-569,000","405,000","100,000","-200,000",,"-300,000"
		OtherNonCashItems,"-28,815,000","-27,441,000","-27,999,000","-31,683,000","-38,927,000","-46,740,000","-56,223,000","-81,779,000","-95,414,000","-52,567,000","-60,183,000","-39,384,000","-85,723,000","-71,603,000","-44,842,000","-6,105,000","-133,000","5,821,000","2,510,000","147,000","3,894,000","9,061,000","3,952,000","-8,876,000","1,503,000","6,100,000","-2,300,000","-700,000","-300,000"
		AmortizationOfFinancingCostsAndDiscounts,,,,,"-21,781,000","-25,248,000","-43,870,000","-78,639,000","-70,467,000","-51,823,000","-62,775,000","-59,930,000","-61,820,000","-66,867,000","-17,141,000","0",,,,,,,,,,,,,
		AmortizationOfSecurities,"17,093,000","20,189,000","32,198,000","59,371,000","30,712,000","17,800,000","22,076,000","15,972,000","6,562,000","379,000","646,000","-6,656,000","-7,185,000","-9,715,000","-3,014,000",,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,"0","0","4,915,000","0",,"0","0","379,000","0","1,250,000","0",,,,,,,,,,,,,,
		StockBasedCompensation,"19,109,000","17,432,000","13,206,000","16,007,000","14,848,000","14,169,000","14,135,000","12,329,000","10,754,000","8,202,000","5,675,000","4,487,000","2,607,000","1,528,000","833,000","712,000","862,000",,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,"0","-3,576,000","-7,049,000","-4,682,000","-3,173,000","-1,538,000","-870,000","-535,000","-111,000","-283,000",,,,,,,,,,,,
		ProvisionForLoanLeaseAndOtherLosses,"179,803,000","165,470,000","83,494,000","-77,938,000","203,639,000","26,241,000","64,398,000","28,092,000","23,792,000","19,415,000","16,915,000","12,075,000","11,745,000","11,775,000","16,000,000","48,809,000","19,025,000",,,,,,,,,,,,
		ChangeInWorkingCapital,"-27,308,000","39,242,000","5,628,000","11,955,000","-36,410,000","48,606,000","172,671,000","-235,192,000","-7,455,000","42,063,000","19,947,000","8,668,000","-8,105,000","30,032,000","8,964,000","-13,427,000","-6,294,000","3,619,000","-9,534,000","-875,000","2,493,000","-2,145,000","1,895,000","3,803,000","-1,437,000","-2,500,000","-2,000,000","-900,000","-200,000"
			ChangeInReceivables,"-32,560,000","-44,980,000","-42,240,000","3,952,000","-13,641,000","6,710,000","-17,360,000","-234,323,000","551,000","28,540,000","-1,098,000","-34,000","887,000","1,551,000","1,430,000","4,117,000","-1,392,000",,,,,,,,,,,,
				ChangesInAccountReceivables,"-32,560,000","-44,980,000","-42,240,000","3,952,000","-13,641,000","6,710,000","-17,360,000","-12,689,000","-14,064,000","-2,949,000","-1,098,000","-34,000","887,000","1,551,000","1,430,000",,,,,,,,,,,,,,
			ChangeInPayablesAndAccruedExpense,"-53,403,000","25,232,000","46,885,000","9,278,000","-37,350,000","8,893,000","3,348,000","-869,000","-8,006,000","13,523,000","17,846,000","49,000","-12,784,000","14,844,000","1,015,000","-4,946,000","-909,000",,,,,,,,,,,,
				ChangeInPayable,"-53,403,000","25,232,000","46,885,000","9,278,000","-37,350,000","8,893,000","3,348,000","-869,000","-8,006,000","13,523,000","17,846,000","49,000","-12,784,000","14,844,000","1,015,000",,,,,,,,,,,,,,
					ChangeInAccountPayable,"-53,403,000","25,232,000","46,885,000","9,278,000","-37,350,000","8,893,000","3,348,000","-869,000","-8,006,000","13,523,000","17,846,000","49,000","-12,784,000","14,844,000","1,015,000",,,,,,,,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,"17,846,000","49,000",,"14,844,000","1,015,000","-4,946,000","-909,000",,,,,,,,,,,,
			ChangeInOtherCurrentAssets,"48,221,000","46,930,000","-7,169,000","13,185,000","14,581,000","33,003,000","186,683,000",,"14,615,000","31,489,000","3,199,000","8,653,000","3,792,000","13,637,000","6,519,000","-12,598,000","-3,993,000",,,,,,,,,,,,
			ChangeInOtherWorkingCapital,"10,434,000","12,060,000","8,152,000","-14,460,000",,,,,,,,,,,,,,,,,,,,,,,,,
InvestingCashFlow,"-4,826,012,000","-5,530,549,000","-2,430,245,000","140,209,000","-2,972,239,000","120,631,000","-1,526,460,000","-2,630,397,000","-2,284,245,000","-1,334,715,000","-564,558,000","-84,278,000","187,596,000","793,010,000","492,100,000","476,171,000","-493,439,000","-190,559,000","-384,682,000","-404,664,000","-337,982,000","-299,782,000","-173,591,000","-28,032,000","-38,490,000","-181,100,000","-231,900,000","-72,100,000","-59,600,000"
	CashFlowFromContinuingInvestingActivities,"-4,826,012,000","-5,530,549,000","-2,430,245,000","140,209,000","-2,972,239,000","120,631,000","-1,526,460,000","-2,630,397,000","-2,284,245,000","-1,334,715,000","-564,558,000","-84,278,000","187,596,000","793,010,000","492,100,000","476,171,000","-493,439,000","-190,559,000","-384,682,000","-404,664,000","-337,982,000","-299,782,000","-173,591,000","-28,032,000","-38,490,000","-181,100,000","-231,900,000","-72,100,000","-59,600,000"
