name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"20,424,000,000","21,509,000,000","21,114,000,000","19,211,000,000","16,901,000,000","16,839,000,000","16,190,000,000","16,329,000,000","15,162,000,000","15,225,000,000","15,281,000,000","16,012,000,000","15,512,000,000","14,326,000,000","15,016,000,000","15,117,000,000","6,182,000,000","5,891,000,000","6,494,000,000","6,327,000,000","5,541,000,000","5,253,000,000","5,394,000,000","4,914,000,000","5,114,000,000","4,794,000,000","4,574,000,000","4,350,000,000","3,875,000,000","3,102,300,000","2,732,200,000","2,774,200,000","2,544,100,000","2,247,200,000","2,005,800,000","1,886,700,000",,,,
	NetInterestIncome,"13,387,000,000","13,916,000,000","13,014,000,000","10,647,000,000","9,946,000,000","9,965,000,000","9,721,000,000","9,108,000,000","8,391,000,000","8,278,000,000","8,525,000,000","9,147,000,000","9,640,000,000","8,700,000,000","9,230,000,000","9,083,000,000","3,854,000,000","2,947,000,000","2,245,000,000","2,154,000,000","1,969,000,000","1,996,000,000","2,197,000,000","2,262,000,000","2,164,000,000","2,344,000,000","2,488,000,000","2,495,000,000","2,444,000,000","2,141,900,000","1,909,600,000","1,829,000,000","1,657,300,000","1,435,200,000","1,349,300,000","1,306,100,000",,,,
		InterestIncome,"25,773,000,000","24,308,000,000","15,436,000,000","11,134,000,000","11,307,000,000","13,762,000,000","12,582,000,000","10,814,000,000","9,652,000,000","9,323,000,000","9,431,000,000","10,007,000,000","10,734,000,000","10,194,000,000","11,150,000,000","12,086,000,000","6,301,000,000","6,144,000,000","4,612,000,000","3,734,000,000","2,752,000,000","2,712,000,000","3,172,000,000","4,137,000,000","4,732,000,000","4,583,000,000","5,024,000,000","5,051,000,000","4,938,000,000","5,149,500,000","3,861,800,000","3,201,100,000","3,219,000,000","3,657,500,000","4,223,400,000","4,064,500,000",,,,
			InterestIncomeFromLoansAndLease,"19,179,000,000","18,299,000,000","11,795,000,000","9,007,000,000","8,927,000,000","10,525,000,000","9,580,000,000","8,238,000,000","7,414,000,000","7,203,000,000","7,427,000,000","7,866,000,000","8,284,000,000","7,595,000,000","8,276,000,000","8,919,000,000","4,138,000,000","4,232,000,000","3,203,000,000","2,669,000,000","2,043,000,000","1,988,000,000","2,429,000,000","3,398,000,000","4,249,000,000","4,168,000,000","4,606,000,000","4,354,000,000","3,943,000,000","3,742,900,000","2,479,100,000","1,950,900,000","1,964,200,000","2,537,100,000","2,908,600,000","2,954,500,000",,,,
				InterestIncomeFromLoans,"19,179,000,000","18,299,000,000","11,795,000,000","9,007,000,000","8,927,000,000","10,525,000,000","9,580,000,000","8,238,000,000","7,414,000,000","7,203,000,000","7,427,000,000","7,866,000,000","8,284,000,000","7,595,000,000","8,276,000,000","8,919,000,000","4,138,000,000","4,232,000,000","3,203,000,000","2,669,000,000","2,043,000,000","1,988,000,000","2,429,000,000","3,398,000,000","4,249,000,000","4,168,000,000","4,606,000,000","4,354,000,000","3,943,000,000","3,742,900,000","2,479,100,000","1,950,900,000","1,964,200,000","2,537,100,000","2,908,600,000","2,954,500,000",,,,
			InterestIncomeFromSecurities,"3,661,000,000","3,545,000,000","2,726,000,000","1,834,000,000","2,041,000,000","2,426,000,000","2,261,000,000","1,998,000,000","1,826,000,000","1,679,000,000","1,624,000,000","1,749,000,000","2,035,000,000","2,161,000,000","2,389,000,000","2,688,000,000","1,746,000,000","1,429,000,000","1,049,000,000","822,000,000","568,000,000","579,000,000","616,000,000","625,000,000","386,000,000","362,000,000","361,000,000","540,000,000","859,000,000","1,282,900,000","1,291,000,000","1,225,500,000","1,209,700,000","1,045,200,000","1,212,000,000","938,100,000",,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,800,000","22,100,000","28,200,000","141,600,000",,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,000,000","29,700,000","63,800,000","23,500,000",,,,
			OtherInterestIncome,"2,933,000,000","2,464,000,000","915,000,000","293,000,000","339,000,000","811,000,000","741,000,000","578,000,000","412,000,000","441,000,000","380,000,000","392,000,000","415,000,000","438,000,000","485,000,000","479,000,000","417,000,000","483,000,000","360,000,000","243,000,000","141,000,000","145,000,000","127,000,000","114,000,000","97,000,000","53,000,000","57,000,000","157,000,000","136,000,000","123,700,000","91,700,000","24,700,000","19,300,000","23,400,000","10,800,000","6,800,000",,,,
		InterestExpense,"12,386,000,000","10,392,000,000","2,422,000,000","487,000,000","1,361,000,000","3,797,000,000","2,861,000,000","1,706,000,000","1,261,000,000","1,045,000,000","906,000,000","860,000,000","1,094,000,000","1,494,000,000","1,920,000,000","3,003,000,000","2,447,000,000","3,197,000,000","2,367,000,000","1,580,000,000","783,000,000","716,000,000","975,000,000","1,875,000,000","2,568,000,000","2,239,000,000","2,536,000,000","2,556,000,000","2,494,000,000","3,007,600,000","1,952,200,000","1,372,100,000","1,561,700,000","2,222,300,000","2,874,100,000","2,758,400,000",,,,
			InterestExpenseForDeposit,"7,948,000,000","6,609,000,000","1,267,000,000","126,000,000","643,000,000","1,986,000,000","1,229,000,000","623,000,000","430,000,000","403,000,000","325,000,000","344,000,000","386,000,000","668,000,000","963,000,000","1,741,000,000","1,485,000,000","2,053,000,000","1,590,000,000","981,000,000","484,000,000","457,000,000","659,000,000","1,229,000,000","1,653,000,000","1,369,000,000","1,471,000,000","1,457,000,000","1,428,000,000","1,551,800,000","935,900,000","742,800,000","1,063,400,000","1,727,800,000","1,973,100,000","1,907,800,000",,,,
			InterestExpenseForShortTermDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"816,400,000","788,500,000",,,,
