name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
OperatingCashFlow,"9,018,000,000","6,510,000,000","5,158,000,000","9,812,000,000","8,368,000,000","19,625,000,000","21,664,000,000","13,460,000,000","14,876,000,000","13,942,000,000","19,396,000,000","8,445,000,000","20,909,000,000","12,377,000,000","6,542,000,000","5,840,000,000","10,855,000,000","5,966,000,000","4,375,000,000","4,032,000,000","4,577,000,000","784,000,000","6,884,000,000","76,000,000"
	CashFlowFromContinuingOperatingActivities,"9,018,000,000","6,510,000,000","5,158,000,000","9,812,000,000","8,368,000,000","19,625,000,000","21,664,000,000","13,460,000,000","14,876,000,000","13,942,000,000","19,396,000,000","8,445,000,000","20,909,000,000","12,377,000,000","6,542,000,000","5,840,000,000","10,855,000,000","5,966,000,000","4,375,000,000","4,032,000,000","4,577,000,000","784,000,000","6,884,000,000","76,000,000"
		NetIncomeFromContinuingOperations,"2,857,000,000","2,508,000,000","-1,675,000,000","8,938,000,000","-146,000,000","4,238,000,000","4,088,000,000","7,974,000,000","4,419,000,000","5,712,000,000","1,438,000,000","-560,000,000","570,000,000","3,666,000,000","3,012,000,000","3,090,000,000","-1,081,000,000","3,704,000,000","3,428,000,000","3,540,000,000","2,256,000,000","1,264,000,000","194,000,000","-154,000,000"
		OperatingGainsLosses,"1,461,000,000","878,000,000","2,784,000,000","-1,929,000,000","-1,571,000,000","-512,000,000","-1,114,000,000","-768,000,000","-2,177,000,000","-3,501,000,000","-1,975,000,000","5,456,000,000","828,000,000","-3,066,000,000","-1,551,000,000","650,000,000","2,399,000,000","-613,000,000","-774,000,000","-770,000,000","-912,000,000",,,
			GainLossOnSaleOfBusiness,,,,,,,,,,,,,,,"0","-2,247,000,000","0",,,,,,,
			GainLossOnInvestmentSecurities,"1,573,000,000","950,000,000","2,664,000,000","-1,943,000,000","-1,569,000,000","-512,000,000","-1,114,000,000","-768,000,000","-2,177,000,000","-3,501,000,000","-1,975,000,000","5,456,000,000","828,000,000","-3,066,000,000","-1,551,000,000","2,897,000,000","2,399,000,000","-613,000,000","-774,000,000","-770,000,000","-912,000,000",,,
			EarningsLossesFromEquityInvestments,"-112,000,000","-72,000,000","120,000,000","14,000,000","-2,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortization,"255,000,000","-70,000,000","117,000,000","206,000,000","457,000,000","460,000,000","161,000,000","222,000,000","318,000,000","113,000,000","631,000,000","411,000,000","302,000,000","290,000,000","-104,000,000","175,000,000","717,000,000","272,000,000","350,000,000","501,000,000","537,000,000","714,000,000","559,000,000","446,000,000"
		OtherNonCashItems,"-2,241,000,000","-2,186,000,000","-2,230,000,000","-2,134,000,000","-2,652,000,000","-2,616,000,000","-2,248,000,000","-2,476,000,000","-1,907,000,000","-1,883,000,000","-2,156,000,000","-1,649,000,000","-1,412,000,000","-1,147,000,000","-978,000,000","-2,753,000,000","663,000,000","2,307,000,000","2,191,000,000","1,239,000,000","-1,209,000,000","-3,510,000,000","688,000,000","1,325,000,000"
		AssetImpairmentCharge,,"177,000,000","903,000,000","1,060,000,000","0","0",,,,,,,,,,,,,,,,,,
		InterestCreditedOnPolicyholderDeposits,"4,238,000,000","3,983,000,000","2,193,000,000","3,431,000,000","4,538,000,000","4,880,000,000","3,196,000,000","3,822,000,000","3,761,000,000","3,479,000,000","4,263,000,000","3,111,000,000","4,234,000,000","4,484,000,000","4,209,000,000","4,484,000,000","2,335,000,000",,,,,,,
		UnrealizedGainsLossesOnDerivatives,"1,541,000,000","2,178,000,000","3,260,000,000","-3,484,000,000","4,715,000,000",,,,,,,,,,,,,,,,,,,
		ChangeInWorkingCapital,"730,000,000","-958,000,000","-194,000,000","3,724,000,000","3,027,000,000","13,175,000,000","17,581,000,000","4,686,000,000","10,462,000,000","10,022,000,000","17,195,000,000","1,676,000,000","16,387,000,000","8,150,000,000","1,954,000,000","194,000,000","5,822,000,000","296,000,000","-820,000,000","-478,000,000","3,905,000,000","2,316,000,000","5,443,000,000","-1,541,000,000"
			ChangeInReceivables,,,,,,,,,,,,,,,,,,"-1,649,000,000","-1,245,000,000","-931,000,000","1,781,000,000","-560,000,000","1,596,000,000",
				ChangesInAccountReceivables,,,,,,,,,,,,,,,,,,"-1,649,000,000","-1,245,000,000","-931,000,000","1,781,000,000","-560,000,000","1,596,000,000",
			ChangeInPrepaidAssets,,,,,,,,,,,,,,,,,,"-1,253,000,000","-1,294,000,000","-792,000,000","-665,000,000","-606,000,000","-211,000,000","-259,000,000"
			ChangeInPayablesAndAccruedExpense,,,,,"-424,000,000","-339,000,000","49,000,000","-1,619,000,000","618,000,000","1,217,000,000","298,000,000","-1,343,000,000","527,000,000","-83,000,000","-1,133,000,000","1,101,000,000","-537,000,000","105,000,000","2,688,000,000","3,140,000,000","2,285,000,000","2,021,000,000","1,231,000,000","-1,282,000,000"
				ChangeInPayable,,,,,"-424,000,000","-339,000,000","49,000,000","-1,619,000,000","618,000,000","1,217,000,000","298,000,000","-1,343,000,000","527,000,000","-83,000,000","-1,133,000,000","1,101,000,000","-537,000,000","105,000,000","2,688,000,000","3,140,000,000","2,285,000,000","2,021,000,000","1,231,000,000","-1,282,000,000"
					ChangeInTaxPayable,,,,,"-424,000,000","-339,000,000","49,000,000","-1,619,000,000","618,000,000","1,217,000,000","298,000,000","-1,343,000,000","527,000,000","-83,000,000","-1,133,000,000","1,101,000,000","-537,000,000","105,000,000","593,000,000","-575,000,000","470,000,000","263,000,000","-205,000,000","-1,282,000,000"
						ChangeInIncomeTaxPayable,,,,,"-424,000,000","-339,000,000","49,000,000","-1,619,000,000","618,000,000","1,217,000,000","298,000,000","-1,343,000,000","527,000,000","-83,000,000","-1,133,000,000","1,101,000,000","-537,000,000","105,000,000","593,000,000","-575,000,000","470,000,000","263,000,000","-205,000,000","-1,282,000,000"
					ChangeInAccountPayable,,,,,,,,,,,,,,,,,,"3,136,000,000","2,688,000,000","3,140,000,000","2,285,000,000","2,021,000,000","1,231,000,000",
			ChangeInLossAndLossAdjustmentExpenseReserves,"6,402,000,000","5,489,000,000","6,132,000,000","8,741,000,000","10,817,000,000","10,992,000,000","16,481,000,000","10,940,000,000","10,584,000,000","8,311,000,000","11,276,000,000","8,379,000,000","17,784,000,000","6,799,000,000","4,497,000,000",,,,,,,,,
