name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
TotalRevenue,"62,181,000,000","54,265,000,000","56,960,000,000","71,149,000,000","57,030,000,000","64,800,000,000","62,992,000,000","59,689,000,000","58,779,000,000","57,119,000,000","54,105,000,000","41,461,000,000","84,847,000,000","49,085,000,000","38,217,000,000","32,566,000,000","29,219,000,000","34,401,000,000","32,268,000,000","31,347,000,000","27,813,000,000","27,298,000,000","26,071,000,000","26,415,000,000"
	TotalPremiumsEarned,"34,449,000,000","27,364,000,000","36,475,000,000","33,950,000,000","31,140,000,000","34,202,000,000","35,779,000,000","32,091,000,000","30,964,000,000","28,521,000,000","29,293,000,000","26,237,000,000","65,354,000,000","24,301,000,000","18,238,000,000","16,545,000,000","15,468,000,000","14,351,000,000","13,908,000,000","13,756,000,000","12,521,000,000","13,163,000,000","13,053,000,000","11,714,000,000"
		NetPremiumsWritten,"34,449,000,000","27,364,000,000","36,475,000,000","33,950,000,000","31,140,000,000","34,202,000,000","35,779,000,000","32,091,000,000","30,964,000,000","28,521,000,000","29,293,000,000","26,237,000,000","65,354,000,000","24,301,000,000","18,238,000,000",,,,,,,,,
			GrossPremiumsWritten,"41,738,000,000","34,480,000,000","38,793,000,000","36,367,000,000","33,427,000,000","36,282,000,000","37,622,000,000","33,902,000,000","32,727,000,000","30,143,000,000","30,800,000,000","27,716,000,000","66,790,000,000","25,654,000,000","19,501,000,000",,,,,,,,,
			CededPremiums,"-7,289,000,000","-7,116,000,000","-2,318,000,000","-2,417,000,000","-2,287,000,000","-2,080,000,000","-1,843,000,000","-1,811,000,000","-1,763,000,000","-1,622,000,000","-1,507,000,000","-1,479,000,000","-1,436,000,000","-1,353,000,000","-1,263,000,000",,,,,,,,,
	NetInvestmentIncome,"17,145,000,000","15,577,000,000","12,362,000,000","21,727,000,000","12,282,000,000","15,822,000,000","16,176,000,000","16,168,000,000","15,298,000,000","14,688,000,000","15,200,000,000","14,530,000,000","13,324,000,000","12,589,000,000","11,133,000,000","11,403,000,000","11,881,000,000","12,017,000,000","11,320,000,000","10,595,000,000","9,454,000,000","8,651,000,000","8,782,000,000","9,079,000,000"
	NetRealizedGainLossOnInvestments,"-1,687,000,000","-985,000,000","-1,162,000,000","2,174,000,000","1,238,000,000","1,297,000,000","1,977,000,000","699,000,000","2,416,000,000","4,166,000,000","1,692,000,000","-5,007,000,000","-1,104,000,000","3,366,000,000","1,782,000,000","-2,897,000,000","-2,399,000,000","613,000,000","774,000,000","1,378,000,000","778,000,000","375,000,000","-1,290,000,000","-603,000,000"
	FeeRevenueAndOtherIncome,"12,274,000,000","12,309,000,000","9,285,000,000","13,298,000,000","12,370,000,000","13,479,000,000","9,060,000,000","10,731,000,000","10,101,000,000","9,744,000,000","7,920,000,000","5,701,000,000","7,273,000,000","8,829,000,000","7,064,000,000","7,515,000,000","4,269,000,000","7,420,000,000","6,266,000,000","5,618,000,000","5,060,000,000","5,109,000,000","5,526,000,000","6,225,000,000"
		FeesAndCommissions,"8,343,000,000","8,244,000,000","8,677,000,000","10,334,000,000","10,420,000,000","10,217,000,000","10,102,000,000","9,430,000,000","9,658,000,000","9,744,000,000","9,898,000,000","8,900,000,000","7,542,000,000","8,829,000,000","7,064,000,000","7,515,000,000","4,269,000,000","7,420,000,000",,,,,,
		OtherIncomeExpense,"3,931,000,000","4,065,000,000","608,000,000","2,964,000,000","1,950,000,000","3,262,000,000","-1,042,000,000","1,301,000,000","443,000,000",,"-1,978,000,000","-3,199,000,000","-269,000,000",,,,,"7,420,000,000","6,266,000,000","5,618,000,000","5,060,000,000","5,109,000,000","5,526,000,000","6,225,000,000"
