name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
TotalAssets,"82,166,000,000","78,624,000,000","75,803,000,000","70,379,000,000","51,333,000,000","43,332,000,000","40,774,000,000","33,103,000,000","28,881,000,000","21,917,000,000","19,160,000,000"
	CurrentAssets,"62,569,000,000","57,424,000,000","52,574,000,000","50,995,000,000","38,495,000,000","32,963,000,000","32,645,000,000","25,733,000,000","20,648,000,000","17,565,000,000","14,620,000,000"
		CashCashEquivalentsAndShortTermInvestments,"14,057,000,000","10,851,000,000","9,391,000,000","13,083,000,000","10,761,000,000","9,109,000,000","5,695,000,000","4,975,000,000","3,411,000,000","2,230,000,000","1,925,000,000"
			CashAndCashEquivalents,"9,081,000,000","7,776,000,000","5,197,000,000","4,794,000,000","7,349,000,000","7,575,000,000","2,883,000,000","1,590,000,000","1,393,000,000","2,201,000,000","1,604,000,000"
			OtherShortTermInvestments,"4,976,000,000","3,075,000,000","4,194,000,000","8,289,000,000","3,412,000,000","1,534,000,000","2,812,000,000","3,385,000,000","2,018,000,000","29,000,000","321,000,000"
		Receivables,"46,000,000,000","44,658,000,000","41,787,000,000","36,764,000,000","26,934,000,000","22,907,000,000","26,237,000,000","19,925,000,000","16,582,000,000","14,957,000,000","12,428,000,000"
			AccountsReceivable,"40,004,000,000","37,227,000,000","36,941,000,000","33,995,000,000","22,962,000,000","20,375,000,000","18,525,000,000","14,577,000,000","12,398,000,000","10,677,000,000","9,329,000,000"
			LoansReceivable,"5,996,000,000","7,431,000,000","4,846,000,000","2,769,000,000","3,972,000,000","2,532,000,000","7,712,000,000","5,348,000,000","4,184,000,000","3,586,000,000","2,789,000,000"
			NotesReceivable,,,,,,,,,"0","694,000,000","310,000,000"
			ReceivablesAdjustmentsAllowances,,,,,"-258,000,000","-172,000,000","-129,000,000","-339,000,000","-233,000,000",,
		PrepaidAssets,,"1,898,000,000","1,287,000,000","1,148,000,000","800,000,000","947,000,000","713,000,000","833,000,000","655,000,000","378,000,000",
		RestrictedCash,"3,000,000","17,000,000","109,000,000",,,,,,,,
		OtherCurrentAssets,"2,509,000,000","1,898,000,000","1,287,000,000","1,148,000,000","800,000,000","947,000,000","713,000,000","833,000,000","655,000,000","378,000,000","267,000,000"
	TotalNonCurrentAssets,"19,597,000,000","21,200,000,000","23,229,000,000","19,384,000,000","12,838,000,000","10,369,000,000","8,129,000,000","7,370,000,000","8,233,000,000","4,352,000,000","4,540,000,000"
		NetPPE,"1,488,000,000","1,730,000,000","1,909,000,000","1,807,000,000","1,693,000,000","1,724,000,000","1,528,000,000","1,482,000,000","1,344,000,000","922,000,000","858,000,000"
			GrossPPE,"8,436,000,000","8,112,000,000","7,590,000,000","7,009,000,000","6,416,000,000","5,907,000,000","5,158,000,000","4,500,000,000","3,849,000,000","2,862,000,000","2,403,000,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"333,000,000","388,000,000","380,000,000","340,000,000","430,000,000","408,000,000","364,000,000","357,000,000","352,000,000","162,000,000","162,000,000"
				BuildingsAndImprovements,,,,,,,,,"297,000,000","186,000,000",
				MachineryFurnitureEquipment,"7,752,000,000","7,335,000,000","6,745,000,000","6,209,000,000","5,446,000,000","4,960,000,000","4,258,000,000","3,540,000,000","3,067,000,000","2,350,000,000","1,983,000,000"
				ConstructionInProgress,"34,000,000","25,000,000","86,000,000","83,000,000","80,000,000","119,000,000","148,000,000","268,000,000","133,000,000","164,000,000","92,000,000"
				Leases,"317,000,000","364,000,000","379,000,000","377,000,000","460,000,000","420,000,000","388,000,000","335,000,000","297,000,000","186,000,000","166,000,000"
			AccumulatedDepreciation,"-6,948,000,000","-6,382,000,000","-5,681,000,000","-5,202,000,000","-4,723,000,000","-4,183,000,000","-3,630,000,000","-3,018,000,000","-2,505,000,000","-1,940,000,000","-1,545,000,000"
		GoodwillAndOtherIntangibleAssets,"11,563,000,000","11,997,000,000","12,786,000,000","10,183,000,000","6,990,000,000","7,109,000,000","4,507,000,000","4,270,000,000","4,427,000,000","3,345,000,000","3,445,000,000"
			Goodwill,"11,026,000,000","11,209,000,000","11,454,000,000","9,135,000,000","6,212,000,000","6,284,000,000","4,339,000,000","4,059,000,000","4,069,000,000","3,189,000,000","3,187,000,000"
			OtherIntangibleAssets,"537,000,000","788,000,000","1,332,000,000","1,048,000,000","778,000,000","825,000,000","168,000,000","211,000,000","358,000,000","156,000,000","258,000,000"
		InvestmentsAndAdvances,"3,273,000,000","5,018,000,000","6,797,000,000","6,089,000,000","2,863,000,000","971,000,000","1,961,000,000","1,539,000,000","2,348,000,000","31,000,000","196,000,000"
			InvestmentinFinancialAssets,"1,391,000,000","2,817,000,000","3,545,000,000",,,,,,,,
				AvailableForSaleSecurities,"1,391,000,000","2,817,000,000","3,545,000,000",,,,,,,,
			OtherInvestments,"1,882,000,000","2,201,000,000","3,252,000,000",,,,,,,,
		OtherNonCurrentAssets,"3,273,000,000","2,455,000,000","1,737,000,000","1,305,000,000","1,292,000,000","565,000,000","133,000,000","79,000,000","114,000,000","54,000,000","41,000,000"
TotalLiabilitiesNetMinorityInterest,"61,115,000,000","58,350,000,000","54,076,000,000","50,316,000,000","34,404,000,000","27,946,000,000","24,780,000,000","18,391,000,000","15,122,000,000","13,669,000,000","11,770,000,000"
	CurrentLiabilities,"48,466,000,000","45,008,000,000","43,029,000,000","38,447,000,000","26,919,000,000","25,904,000,000","22,863,000,000","16,878,000,000","13,617,000,000","13,283,000,000","11,261,000,000"
		PayablesAndAccruedExpenses,"48,466,000,000","45,008,000,000","43,029,000,000","38,447,000,000","26,919,000,000","23,906,000,000","21,863,000,000","16,878,000,000","13,617,000,000","12,190,000,000","10,158,000,000"
			Payables,"42,074,000,000","40,140,000,000","39,274,000,000","35,799,000,000","24,832,000,000","21,904,000,000","20,082,000,000","15,419,000,000","12,438,000,000","10,756,000,000","9,387,000,000"
				AccountsPayable,"42,074,000,000","40,140,000,000","39,038,000,000","35,670,000,000","24,759,000,000","21,843,000,000","19,999,000,000","15,355,000,000","12,406,000,000","10,727,000,000","9,350,000,000"
