name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
OperatingCashFlow,"7,315,000,000","4,843,000,000","5,813,000,000","5,797,000,000","6,219,000,000","4,071,000,000","5,480,000,000","2,531,000,000","3,158,000,000","2,546,000,000","2,220,000,000","1,993,000,000","1,565,000,000"
	CashFlowFromContinuingOperatingActivities,"7,315,000,000","4,843,000,000","5,813,000,000","5,797,000,000","6,219,000,000","4,071,000,000","5,480,000,000","2,531,000,000","3,158,000,000","2,546,000,000","2,220,000,000","1,993,000,000","1,565,000,000"
		NetIncomeFromContinuingOperations,"4,438,000,000","4,246,000,000","2,419,000,000","4,169,000,000","4,202,000,000","2,459,000,000","2,057,000,000","1,795,000,000","1,401,000,000","1,228,000,000","419,000,000","955,000,000","778,000,000"
		OperatingGainsLosses,"-321,000,000","-557,000,000","304,000,000","-46,000,000","-1,914,000,000","-208,000,000","-87,000,000","-25,000,000","-24,000,000","-40,000,000",,,
			GainLossOnSaleOfBusiness,,"-356,000,000","0","0",,,,,,,,,
			GainLossOnInvestmentSecurities,"35,000,000","-201,000,000","304,000,000","-46,000,000","-1,914,000,000","-208,000,000","-87,000,000",,,,,,
		DepreciationAmortizationDepletion,"1,061,000,000","1,072,000,000","1,317,000,000","1,265,000,000","1,189,000,000","912,000,000","776,000,000","805,000,000","724,000,000","608,000,000","516,000,000","453,000,000","382,000,000"
			DepreciationAndAmortization,"1,061,000,000","1,072,000,000","1,317,000,000","1,265,000,000","1,189,000,000","912,000,000","776,000,000","805,000,000","724,000,000","608,000,000","516,000,000","453,000,000","382,000,000"
				Depreciation,,"846,000,000","846,000,000","822,000,000",,,,,,,,,
				AmortizationCashFlow,,"226,000,000","471,000,000","443,000,000",,,,,,,,,
					AmortizationOfIntangibles,,"226,000,000","471,000,000","443,000,000",,,,,,,,,
		DeferredTax,"-493,000,000","-668,000,000","-811,000,000","-482,000,000","165,000,000","-269,000,000","-171,000,000","-1,299,000,000","52,000,000","127,000,000","680,000,000","52,000,000","46,000,000"
			DeferredIncomeTax,"-493,000,000","-668,000,000","-811,000,000","-482,000,000","165,000,000","-269,000,000","-171,000,000","-1,299,000,000","52,000,000","127,000,000","680,000,000","52,000,000","46,000,000"
		AmortizationOfSecurities,"-402,000,000","-367,000,000","-70,000,000","73,000,000",,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,"1,741,000,000","1,380,000,000","1,274,000,000","1,011,000,000","1,088,000,000","809,000,000","646,000,000","502,000,000","365,000,000"
		UnrealizedGainLossOnInvestmentSecurities,"-548,000,000",,,,,"-207,000,000","-86,000,000","0",,,,,
		StockBasedCompensation,"1,430,000,000","1,475,000,000","1,261,000,000","1,376,000,000","1,376,000,000","1,021,000,000","853,000,000","733,000,000","438,000,000","346,000,000","299,000,000","253,000,000","205,000,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-40,000,000","-26,000,000","-41,000,000","-76,000,000","-57,000,000"
		OtherNonCashItems,"2,203,000,000","956,000,000","1,847,000,000","1,087,000,000","1,788,000,000","1,231,000,000","159,000,000","67,000,000","-24,000,000","809,000,000","646,000,000","502,000,000","365,000,000"
		ChangeInWorkingCapital,"-601,000,000","-1,314,000,000","-454,000,000","-1,645,000,000","-587,000,000","-1,075,000,000","619,000,000","-581,000,000","-481,000,000","-506,000,000","-299,000,000","-146,000,000","-154,000,000"
			ChangeInReceivables,"-68,000,000","-114,000,000","-163,000,000","-222,000,000","-100,000,000","-116,000,000","1,348,000,000","-1,296,000,000","-53,000,000","113,000,000","-37,000,000","80,000,000","-97,000,000"
				ChangesInAccountReceivables,"-68,000,000","-114,000,000","-163,000,000","-222,000,000","-100,000,000","-120,000,000","-59,000,000","12,000,000","-77,000,000","-22,000,000","-13,000,000","1,000,000","-20,000,000"
			ChangeInPayablesAndAccruedExpense,"8,000,000","7,000,000","-35,000,000","-31,000,000","-234,000,000","-36,000,000","-18,000,000","81,000,000","80,000,000","-165,000,000","77,000,000","71,000,000","106,000,000"
				ChangeInPayable,"8,000,000","7,000,000","-35,000,000","-31,000,000","-234,000,000","-36,000,000","-18,000,000","81,000,000","80,000,000","-165,000,000","77,000,000","71,000,000","121,000,000"
					ChangeInTaxPayable,,,"373,000,000","73,000,000","-230,000,000","-40,000,000","-44,000,000","19,000,000","69,000,000","40,000,000","37,000,000","41,000,000","100,000,000"
						ChangeInIncomeTaxPayable,,,"373,000,000","73,000,000","-230,000,000","-40,000,000","-44,000,000","19,000,000","69,000,000","40,000,000","37,000,000","41,000,000","100,000,000"
