name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012
TotalRevenue,"31,028,000,000","29,771,000,000","27,518,000,000","25,371,000,000","21,454,000,000","17,772,000,000","15,451,000,000","13,094,000,000","10,842,000,000","9,248,000,000","8,025,000,000","6,727,000,000","5,662,000,000"
	OperatingRevenue,"31,028,000,000","29,771,000,000","27,518,000,000","25,371,000,000","21,454,000,000","17,772,000,000","15,451,000,000","13,094,000,000","10,842,000,000","9,248,000,000","8,025,000,000","6,727,000,000","5,662,000,000"
CostOfRevenue,"16,918,000,000","16,067,000,000","13,745,000,000","11,375,000,000","9,675,000,000","8,170,000,000","6,855,000,000","5,430,000,000","4,434,000,000","3,419,000,000","2,816,000,000","2,337,000,000","1,883,000,000"
GrossProfit,"14,110,000,000","13,704,000,000","13,773,000,000","13,996,000,000","11,779,000,000","9,602,000,000","8,596,000,000","7,664,000,000","6,408,000,000","5,829,000,000","5,209,000,000","4,390,000,000","3,779,000,000"
OperatingExpense,"8,668,000,000","8,760,000,000","9,729,000,000","9,672,000,000","8,351,000,000","6,812,000,000","6,093,000,000","5,405,000,000","4,822,000,000","4,320,000,000","3,941,000,000","3,299,000,000","2,880,000,000"
	SellingGeneralAndAdministration,"3,870,000,000","3,868,000,000","4,356,000,000","4,559,000,000","3,931,000,000","3,112,000,000","2,855,000,000","2,400,000,000","1,997,000,000","1,810,000,000","1,687,000,000","1,169,000,000","1,007,000,000"
		GeneralAndAdministrativeExpense,"2,095,000,000","2,059,000,000","2,099,000,000","2,114,000,000","2,070,000,000","1,711,000,000","1,541,000,000","1,258,000,000","1,028,000,000","873,000,000","733,000,000","378,000,000","345,000,000"
			OtherGandA,"2,095,000,000","2,059,000,000","2,099,000,000","2,114,000,000","2,070,000,000","1,711,000,000","1,541,000,000","1,258,000,000","1,028,000,000","873,000,000","733,000,000","378,000,000","345,000,000"
		SellingAndMarketingExpense,"1,775,000,000","1,809,000,000","2,257,000,000","2,445,000,000","1,861,000,000","1,401,000,000","1,314,000,000","1,142,000,000","969,000,000","937,000,000","954,000,000","791,000,000","662,000,000"
	ResearchAndDevelopment,"2,969,000,000","2,973,000,000","3,253,000,000","3,038,000,000","2,642,000,000","2,085,000,000","1,831,000,000","1,740,000,000","834,000,000","792,000,000","747,000,000","727,000,000","677,000,000"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,"776,000,000","805,000,000","724,000,000","608,000,000","516,000,000","453,000,000","382,000,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,"776,000,000","805,000,000","724,000,000","608,000,000","516,000,000","453,000,000","382,000,000"
	OtherOperatingExpenses,"1,829,000,000","1,919,000,000","2,120,000,000","2,075,000,000","1,778,000,000","1,615,000,000","1,407,000,000","1,265,000,000","1,267,000,000","1,110,000,000","991,000,000","950,000,000","814,000,000"
OperatingIncome,"5,442,000,000","4,944,000,000","4,044,000,000","4,324,000,000","3,428,000,000","2,790,000,000","2,503,000,000","2,259,000,000","1,586,000,000","1,509,000,000","1,268,000,000","1,091,000,000","899,000,000"
NetNonOperatingInterestIncomeExpense,"235,000,000","133,000,000","-130,000,000","-175,000,000","-121,000,000","82,000,000","91,000,000","78,000,000","56,000,000",,,,
	InterestIncomeNonOperating,"587,000,000","480,000,000","174,000,000","57,000,000","88,000,000","197,000,000","168,000,000","85,000,000","59,000,000",,,,
	InterestExpenseNonOperating,"352,000,000","347,000,000","304,000,000","232,000,000","209,000,000","115,000,000","77,000,000","7,000,000","3,000,000",,,,
OtherIncomeExpense,"-35,000,000","334,000,000","-548,000,000","-50,000,000","1,758,000,000","126,000,000","-218,000,000","-137,000,000","-11,000,000","-21,000,000","-7,000,000","-7,000,000","-8,000,000"
	GainOnSaleOfSecurity,"-35,000,000","201,000,000","-304,000,000","46,000,000","1,914,000,000","208,000,000","87,000,000",,,,,,
	SpecialIncomeCharges,"-53,000,000","84,000,000","-207,000,000","-62,000,000","-139,000,000","-71,000,000","-309,000,000","-132,000,000","0","-48,000,000","0","0","-19,000,000"
		RestructuringAndMergernAcquisition,"53,000,000","-84,000,000","207,000,000","62,000,000","139,000,000","71,000,000","309,000,000","132,000,000","0","48,000,000","0","0","19,000,000"
	OtherNonOperatingIncomeExpenses,"53,000,000","49,000,000","-37,000,000","-34,000,000","-17,000,000","-11,000,000","4,000,000","-5,000,000","-11,000,000","27,000,000","-7,000,000","-7,000,000","11,000,000"
PretaxIncome,"5,642,000,000","5,411,000,000","3,366,000,000","4,099,000,000","5,065,000,000","2,998,000,000","2,376,000,000","2,200,000,000","1,631,000,000","1,488,000,000","1,261,000,000","1,084,000,000","891,000,000"
