name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"152,194,000,000","155,220,000,000","162,938,000,000","147,389,000,000","126,240,000,000","125,688,000,000","124,294,000,000","125,968,000,000","126,050,000,000","119,563,000,000","117,396,000,000","121,347,000,000","127,050,000,000","132,351,000,000","142,318,000,000","146,248,000,000","141,041,717,000","143,369,021,000","84,785,600,000","84,106,438,000","48,597,996,000","47,938,840,000","45,382,712,000","43,688,293,000","42,714,400,000","36,831,900,000","31,414,100,000","18,930,200,000","13,708,600,000","12,839,300,000","10,476,300,000","7,881,000,000","6,745,100,000","6,344,400,000","5,549,600,000"
	CashCashEquivalentsAndFederalFundsSold,"6,801,000,000","11,227,000,000","29,411,000,000","17,956,000,000","4,114,000,000","3,538,000,000","3,981,000,000","5,451,000,000","5,314,000,000","4,004,000,000","5,273,000,000","5,489,000,000","7,245,000,000","6,919,000,000","8,011,000,000","10,973,000,000","4,745,141,000","4,717,418,000","3,216,940,000","2,685,980,000","1,930,379,000","2,215,886,000","1,999,327,000","1,309,668,000","1,469,200,000","1,996,900,000","1,518,000,000","808,100,000","531,700,000","596,800,000","579,800,000","2,009,700,000","479,500,000","384,800,000","498,600,000"
		CashAndCashEquivalents,"6,801,000,000","11,227,000,000","29,411,000,000","17,956,000,000","4,114,000,000","3,538,000,000","3,911,000,000","5,436,000,000","5,314,000,000","3,904,000,000","5,273,000,000","5,489,000,000","7,045,000,000","6,523,000,000","7,632,000,000","10,183,000,000","3,752,071,000","3,821,343,000","2,506,658,000","1,968,417,000","1,352,390,000","1,881,098,000","1,906,784,000","1,214,118,000","1,403,100,000","1,996,900,000","1,518,000,000","808,100,000","531,700,000","596,800,000","579,800,000","569,100,000","479,500,000","384,800,000","498,600,000"
			CashFinancial,"2,635,000,000","1,997,000,000","1,350,000,000","1,558,000,000","1,598,000,000","2,018,000,000","2,012,000,000","1,853,000,000","1,382,000,000","1,601,000,000","1,661,000,000","1,979,000,000","2,132,000,000","1,643,000,000","2,052,000,000","2,643,000,000","3,720,365,000","3,550,742,000","2,414,560,000",,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,"2,642,509,000","3,720,365,000","3,550,742,000","2,414,560,000","1,853,399,000","1,255,853,000","1,577,536,000","1,239,598,000","1,210,872,000","1,393,400,000","1,852,900,000","1,469,800,000","795,700,000","484,700,000","596,200,000","568,800,000","568,800,000","448,400,000","324,500,000","424,700,000"
			CashAndDueFromBanks,"4,166,000,000","9,230,000,000","28,061,000,000","16,398,000,000","2,516,000,000","1,520,000,000","1,899,000,000","3,583,000,000","3,932,000,000","2,303,000,000","3,612,000,000","3,510,000,000","4,913,000,000","4,880,000,000","5,580,000,000","7,540,000,000","31,706,000","270,601,000","92,098,000","115,018,000","96,537,000","303,562,000","667,186,000","3,246,000","9,700,000","144,000,000","48,200,000","12,400,000","47,000,000","600,000","11,000,000","300,000","31,100,000","60,300,000","73,900,000"
		MoneyMarketInvestments,,,,,,,"70,000,000","15,000,000",,"100,000,000",,,"200,000,000","396,000,000","379,000,000","790,000,000","993,070,000","896,075,000","710,282,000","717,563,000","577,989,000","334,788,000","92,543,000","95,550,000","66,100,000",,,,,,,"1,440,600,000",,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,"0","70,000,000","15,000,000","0","100,000,000","0","0","200,000,000","396,000,000","379,000,000","790,000,000","993,070,000","896,075,000","710,282,000","717,563,000","577,989,000","334,788,000","92,543,000","95,550,000","66,100,000",,,,,,,"1,440,600,000",,,
	CustomerAcceptances,,,,,,,,,,,,,,,,,,,"22,924,000","31,982,000","61,053,000","60,320,000","63,854,000","107,912,000","72,100,000","57,000,000","157,300,000","78,100,000","51,300,000","110,500,000","75,900,000","27,200,000","22,800,000","8,000,000","2,200,000"
	SecuritiesAndInvestments,"30,275,000,000","30,042,000,000","30,567,000,000","29,493,000,000","25,456,000,000","25,930,000,000","26,952,000,000","26,911,000,000","26,451,000,000","24,950,000,000","24,035,000,000","28,270,000,000","26,838,000,000","25,648,000,000","27,873,000,000","20,844,000,000","18,965,023,000","20,005,054,000","12,971,356,000","13,545,265,000","9,903,878,000","9,780,592,000","8,589,055,000","9,007,608,000","10,927,600,000","8,018,500,000","6,366,700,000","3,900,200,000","3,054,700,000","2,634,100,000","2,388,800,000","241,700,000","1,580,300,000","1,502,900,000","1,141,000,000"
		TradingSecurities,,,,,,,"189,000,000","124,000,000","143,000,000","106,000,000","111,000,000","116,000,000","1,266,000,000","1,116,000,000","3,039,000,000","1,050,000,000","1,091,400,000","1,442,994,000","992,082,000","928,676,000","816,074,000","785,992,000","741,896,000","13,437,000","14,500,000","49,400,000","50,800,000","29,600,000","28,900,000","24,900,000","20,400,000","12,100,000","4,600,000","13,700,000","7,900,000"
		AvailableForSaleSecurities,"4,396,000,000","1,308,000,000","1,187,000,000","1,217,000,000","1,518,000,000","1,719,000,000","1,891,000,000","1,644,000,000","1,652,000,000","616,000,000","86,000,000","900,000,000","1,085,000,000","1,219,000,000","734,000,000","897,000,000","504,614,000","18,562,060,000","11,979,274,000","12,616,589,000","9,087,804,000","8,994,600,000","7,847,159,000","8,994,171,000","10,913,100,000","7,969,100,000","6,315,900,000","3,870,600,000","3,025,800,000","2,609,200,000","2,368,400,000","229,600,000","1,575,700,000","1,489,200,000","1,133,100,000"
		HeldToMaturitySecurities,"754,000,000","801,000,000","899,000,000","1,122,000,000","1,332,000,000","1,482,000,000","1,658,000,000","1,362,000,000","1,946,000,000","2,175,000,000","2,353,000,000","10,000,000","16,000,000","24,000,000","31,000,000","47,000,000","50,935,000","47,728,000","31,464,000",,,,,,,,,,,,,,,,
