name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"2,272,000,000","2,308,000,000","3,102,000,000","3,030,000,000","2,324,000,000","2,581,000,000","2,275,000,000","2,297,000,000","2,037,000,000","1,599,000,000","2,107,000,000","3,745,000,000","2,441,000,000","4,753,000,000","4,227,000,000","2,037,000,000","2,007,000,000","3,287,000,000","2,754,521,000","1,916,227,000","1,072,298,000","926,373,000","337,578,000","-32,113,000","954,048,000","999,500,000","-303,100,000","446,500,000","354,900,000","281,300,000","337,700,000","61,200,000","66,200,000","89,300,000","102,100,000","-20,000,000"
	CashFlowFromContinuingOperatingActivities,"2,272,000,000","2,308,000,000","3,102,000,000","3,030,000,000","2,324,000,000","2,581,000,000","2,275,000,000","2,297,000,000","2,037,000,000","1,599,000,000","2,107,000,000","3,745,000,000","2,441,000,000","4,753,000,000","4,227,000,000","2,037,000,000","2,007,000,000","3,287,000,000","2,754,521,000","1,916,227,000","1,072,298,000","926,373,000","337,578,000","-32,113,000","954,048,000","999,500,000","-303,100,000","446,500,000","354,900,000","281,300,000","337,700,000","61,200,000","66,200,000","89,300,000","102,100,000","-20,000,000"
		NetIncomeFromContinuingOperations,"1,750,000,000","2,074,000,000","2,245,000,000","2,521,000,000","1,094,000,000","1,582,000,000","1,759,000,000","1,263,000,000","1,163,000,000","1,062,000,000","1,147,000,000","1,091,000,000","1,120,000,000","-215,000,000","-539,000,000","-1,031,000,000","-5,596,000,000","1,251,000,000","1,353,145,000","1,000,544,000","823,765,000","651,841,000","619,902,000","508,934,000","527,523,000","525,400,000","421,700,000","397,500,000","317,900,000","197,800,000","145,900,000","112,000,000","95,000,000","78,300,000","68,900,000","62,600,000"
		OperatingGainsLosses,"43,000,000","-44,000,000","-29,000,000","-256,000,000","-223,000,000","-80,000,000","-355,000,000","-140,000,000","-116,000,000","-73,000,000","-170,000,000","-102,000,000","-199,000,000","-77,000,000","-180,000,000","-59,000,000","23,000,000","-76,000,000","-68,459,000","-150,106,000","-20,830,000","-27,884,000","-51,915,000","-32,106,000","38,763,000","-1,600,000","-7,500,000","200,000","-4,600,000","400,000","-5,100,000","-8,400,000","-200,000","500,000","1,000,000","-200,000"
			GainLossOnSaleOfBusiness,,,,,"0","0","-281,000,000","0","0",,"0","0","-19,000,000","0","0",,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,"0","0","18,000,000","-29,000,000","8,522,000","-3,155,000","283,000",,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,,,,,,,,,,,"-13,111,000",,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"103,000,000","5,000,000","1,000,000","-3,000,000","-4,000,000","28,000,000","-1,000,000","-22,000,000","-6,000,000","-29,000,000","-27,000,000","-26,000,000","-48,000,000","-112,000,000","-394,000,000","-69,000,000","-92,000,000","9,000,000","-8,123,000","18,892,000","-63,086,000","-25,658,000","-51,654,000","-32,106,000","39,928,000","-200,000","-7,000,000","-500,000","-3,900,000","400,000","-4,500,000","-8,300,000","-300,000",,,"300,000"
			RealizedGainLossOnSaleOfLoansAndLease,"-56,000,000","-45,000,000","-30,000,000","-273,000,000","-241,000,000","-124,000,000","-73,000,000","-118,000,000","-124,000,000","-87,000,000","-143,000,000","-113,000,000","-165,000,000","-89,000,000","-62,000,000","-71,000,000","-57,000,000","-66,000,000","-81,088,000","-182,609,000",,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"201,000,000","236,000,000","353,000,000","371,000,000","421,000,000","426,000,000","462,000,000","537,000,000","574,000,000","523,000,000","523,000,000","645,000,000","717,000,000","683,000,000","732,000,000","284,000,000","371,000,000","270,000,000","160,038,000","79,506,000","104,414,000","180,375,000","175,232,000","178,746,000","138,327,000","130,800,000","138,000,000","67,900,000","52,500,000","35,100,000","40,700,000","33,000,000","27,700,000","13,900,000","12,600,000","12,400,000"
