name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"7,144,000,000","7,574,000,000","7,164,000,000","6,436,000,000","6,275,000,000","5,845,000,000","5,759,000,000","5,560,000,000","5,509,000,000","5,406,000,000","5,218,000,000","5,359,000,000","5,257,000,000","5,335,000,000","5,626,000,000","5,983,000,000","6,893,000,000","7,247,000,000","5,338,022,000","4,468,209,000","3,775,465,000","2,873,355,000","2,756,466,000","2,430,274,000","1,986,016,000","1,963,000,000","1,799,500,000","1,586,200,000","1,356,900,000","811,700,000","579,000,000","474,100,000","431,800,000","366,500,000","314,800,000","274,900,000",,,,
	NetInterestIncome,"4,892,000,000","5,320,000,000","4,786,000,000","3,914,000,000","3,894,000,000","3,745,000,000","3,735,000,000","3,614,000,000","3,501,000,000","3,335,000,000","3,280,000,000","3,263,000,000","3,300,000,000","3,410,000,000","3,389,000,000","3,293,000,000","3,843,000,000","4,398,000,000","3,308,302,000","2,781,389,000","2,113,034,000","1,474,598,000","1,497,588,000","1,425,493,000","1,388,797,000","1,425,900,000","1,324,800,000","1,179,200,000","1,011,800,000","624,300,000","435,600,000","342,100,000","312,700,000","264,800,000","222,100,000","203,700,000",,,,
		InterestIncome,"7,003,000,000","6,897,000,000","5,102,000,000","4,081,000,000","4,262,000,000","4,596,000,000","4,337,000,000","3,987,000,000","3,814,000,000","3,603,000,000","3,589,000,000","3,647,000,000","3,903,000,000","4,252,000,000","4,637,000,000","5,277,000,000","6,563,000,000","8,074,000,000","5,649,118,000","4,271,145,000","2,955,685,000","2,219,130,000","2,536,989,000","3,055,637,000","3,234,243,000","2,854,700,000","2,597,800,000","2,276,600,000","1,954,300,000","1,259,600,000","785,800,000","555,700,000","536,800,000","556,800,000","519,800,000","496,400,000",,,,
			InterestIncomeFromLoansAndLease,"5,812,000,000","5,773,000,000","4,124,000,000","3,489,000,000","3,638,000,000","3,883,000,000","3,628,000,000","3,338,000,000","3,207,000,000","2,991,000,000","2,963,000,000","3,034,000,000","3,211,000,000","3,480,000,000","3,744,000,000","4,254,000,000","5,585,000,000","7,017,000,000","4,862,350,000","3,656,704,000","2,436,722,000","1,797,979,000","2,052,816,000","2,500,243,000","2,622,654,000","2,282,800,000","2,117,200,000","1,857,600,000","1,569,800,000","1,019,100,000","621,700,000","437,400,000","401,600,000","425,300,000","418,500,000","387,400,000",,,,
				InterestIncomeFromLoans,"5,812,000,000","5,773,000,000","4,124,000,000","3,489,000,000","3,638,000,000","3,883,000,000","3,628,000,000","3,244,000,000","3,082,000,000","2,958,000,000","2,963,000,000","3,034,000,000","3,211,000,000","3,480,000,000","3,744,000,000","4,254,000,000","5,585,000,000","7,017,000,000","4,862,350,000","3,656,704,000","2,436,722,000","1,797,979,000","2,052,816,000","2,500,243,000","2,622,654,000","2,282,800,000","2,117,200,000","1,857,600,000","1,569,800,000","1,019,100,000","621,700,000","437,400,000","401,600,000","425,300,000","418,500,000","387,400,000",,,,
				InterestIncomeFromLeases,,,,,,"54,000,000","70,000,000","94,000,000","125,000,000","33,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InterestIncomeFromSecurities,"805,000,000","749,000,000","688,000,000","533,000,000","582,000,000","643,000,000","625,000,000","596,000,000","563,000,000","569,000,000","587,000,000","575,000,000","683,000,000","759,000,000","878,000,000","1,007,000,000","931,000,000","968,000,000","700,677,000","564,062,000","491,231,000","399,213,000","456,029,000","505,690,000","604,956,000","565,900,000","458,200,000","399,200,000","367,700,000","230,000,000","161,900,000","116,600,000","128,300,000","126,100,000","95,500,000","96,000,000",,,,
			InterestIncomeFromDeposits,,,,,,,,,,,,,,,,,,"2,687,000","2,900,000","1,905,000","797,000","189,000","488,000","11,083,000","1,096,000","1,700,000","4,800,000","2,900,000","5,700,000","2,800,000","100,000","200,000","100,000","400,000","1,600,000","6,200,000",,,,
			InterestIncomeFromFederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,,,,,,,,,,,,,,,"3,000,000","3,000,000","18,000,000","51,000,000","45,650,000","19,301,000","7,701,000","5,828,000","8,377,000","17,890,000","5,537,000","4,300,000","17,600,000","16,900,000","11,100,000","7,800,000","2,000,000","1,500,000","6,600,000","5,000,000","4,200,000","6,800,000",,,,
			OtherInterestIncome,"386,000,000","375,000,000","290,000,000","59,000,000","42,000,000","70,000,000","84,000,000","53,000,000","44,000,000","43,000,000","39,000,000","38,000,000","9,000,000","13,000,000","15,000,000","16,000,000","29,000,000","38,000,000","40,441,000","29,173,000","19,234,000","15,921,000","19,279,000","20,731,000",,,,,"100,000","-100,000","100,000",,"200,000",,,,,,,
