name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"9,425,000,000","19,587,000,000","2,057,000,000","2,118,000,000","6,852,000,000","9,325,000,000","12,456,000,000","-839,000,000","3,603,000,000","1,246,000,000","2,348,000,000","1,656,000,000","1,266,000,000","2,464,000,000","-9,000,000","1,437,000,000","2,000,000","1,746,000,000","1,760,000,000","777,000,000","686,000,000","7,000,000","169,000,000","-584,000,000","2,916,000,000","1,094,000,000","718,100,000","268,100,000","357,700,000","247,300,000","205,900,000","131,800,000","120,700,000","107,200,000","51,300,000","83,100,000"
	CashFlowFromContinuingOperatingActivities,"9,425,000,000","19,587,000,000","2,057,000,000","2,118,000,000","6,852,000,000","9,325,000,000","12,456,000,000","-839,000,000","3,603,000,000","1,246,000,000","2,348,000,000","1,656,000,000","1,266,000,000","2,464,000,000","-9,000,000","1,437,000,000","2,000,000","1,746,000,000","1,760,000,000","777,000,000","686,000,000","7,000,000","169,000,000","-584,000,000","2,916,000,000","1,094,000,000","718,100,000","268,100,000","357,700,000","247,300,000","205,900,000","131,800,000","120,700,000","107,200,000","51,300,000","83,100,000"
		NetIncomeFromContinuingOperations,"4,864,000,000","5,067,000,000","7,183,000,000","5,855,000,000","3,299,000,000","3,704,000,000","3,507,000,000","2,354,000,000","1,889,000,000","1,447,000,000","1,321,000,000","1,071,000,000","928,000,000","864,000,000","454,000,000","787,000,000","1,230,000,000","2,407,000,000","1,227,000,000","725,000,000","286,000,000","472,000,000","109,000,000","199,000,000","718,000,000","666,000,000","348,500,000","270,300,000","233,800,000","172,600,000","135,300,000","124,400,000","81,200,000","49,500,000","16,800,000","18,900,000"
		OperatingGainsLosses,,,,,,,,,,,"1,000,000","10,000,000","32,000,000","31,000,000","36,000,000","-51,000,000","-4,000,000",,,"5,000,000","128,000,000",,,"-26,000,000","-38,340,000",,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,"-38,340,000",,,,,,,,,,,
			RealizedGainLossOnSaleOfLoansAndLease,,,,,,,,,,,,,,"129,000,000","-72,000,000","-51,000,000","-4,000,000",,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,421,000,000","1,338,000,000","1,248,000,000","1,164,000,000","604,000,000","349,000,000","306,000,000","269,000,000","234,000,000","224,000,000","199,000,000","202,000,000","196,000,000","155,000,000","146,000,000","159,000,000","152,000,000","156,000,000","157,000,000","179,000,000","226,000,000","284,000,000","321,000,000","404,000,000","308,000,000","181,000,000","138,500,000","124,700,000","98,300,000","68,700,000","54,600,000","44,400,000","40,500,000","51,900,000","49,100,000","52,500,000"
			DepreciationAndAmortization,"1,421,000,000","1,338,000,000","1,248,000,000","1,164,000,000","604,000,000","349,000,000","306,000,000","269,000,000","234,000,000","224,000,000","199,000,000","202,000,000","196,000,000","155,000,000","146,000,000","159,000,000","152,000,000","156,000,000","157,000,000","179,000,000","226,000,000","284,000,000","321,000,000","404,000,000","308,000,000","181,000,000","138,500,000","124,700,000","98,300,000","68,700,000","54,600,000","44,400,000","40,500,000","51,900,000","49,100,000","52,500,000"
				Depreciation,"897,000,000","804,000,000","652,000,000","549,000,000","414,000,000","322,000,000","277,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"524,000,000","534,000,000","596,000,000","615,000,000","190,000,000","27,000,000","29,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
