name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"2,520,003,000","2,383,553,000","2,354,702,000","2,167,256,000","2,151,370,000","1,971,668,000","1,853,369,000","1,636,823,000","1,588,628,000","1,542,875,000","1,439,169,000","1,309,824,000","1,294,559,000","1,377,223,000","1,533,808,000","1,341,715,000","1,252,365,000","1,079,705,000","657,147,000","615,475,000","592,629,000","464,147,000","460,916,000","375,582,000","253,800,000","208,800,000","168,900,000","141,000,000","101,300,000","102,300,000","100,400,000","86,000,000","83,100,000","84,200,000","75,700,000","75,000,000","70,900,000","77,700,000","91,000,000"
	CurrentAssets,"1,478,116,000","1,453,308,000","1,404,229,000","1,300,977,000","1,304,845,000","1,190,812,000","1,139,808,000","1,037,833,000","1,003,724,000","955,427,000","847,100,000","701,404,000","634,951,000","683,719,000","841,403,000","739,671,000","694,934,000","586,473,000","305,976,000","355,679,000","352,413,000","261,435,000","266,142,000","249,031,000","147,000,000","113,500,000","84,000,000","65,000,000","54,100,000","59,100,000","55,700,000","43,600,000","37,300,000","39,400,000","22,900,000","37,000,000","28,700,000","28,400,000","24,700,000"
		CashCashEquivalentsAndShortTermInvestments,"866,031,000","885,156,000","859,674,000","818,690,000","874,932,000","785,417,000","765,773,000","717,040,000","700,896,000","688,621,000","599,406,000","472,335,000","441,935,000","496,292,000","590,877,000","416,643,000","377,698,000","286,948,000","149,837,000","216,966,000","199,953,000","165,724,000","163,685,000","147,676,000","73,200,000","53,000,000","16,900,000","13,200,000","10,300,000","20,200,000","17,900,000","17,500,000","13,700,000","19,400,000","2,100,000","20,700,000","13,400,000","9,100,000","5,500,000"
			CashAndCashEquivalents,"834,697,000","853,008,000","831,407,000","784,626,000","841,446,000","754,525,000","744,247,000","695,701,000","679,661,000","667,446,000","578,273,000","452,247,000","420,986,000","496,292,000","590,877,000","416,643,000","360,921,000","286,948,000","130,128,000","216,966,000","199,953,000","165,724,000","163,685,000","147,676,000","73,200,000","53,000,000","16,900,000","13,200,000","10,300,000","20,200,000","17,900,000","17,500,000","13,700,000","19,400,000","2,100,000","20,700,000","13,400,000","9,100,000","5,500,000"
			OtherShortTermInvestments,"31,334,000","32,148,000","28,267,000","34,064,000","33,486,000","30,892,000","21,526,000","21,339,000","21,235,000","21,175,000","21,133,000","20,088,000","20,949,000","0",,,"16,777,000",,"19,709,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"557,320,000","519,098,000","500,645,000","440,490,000","394,523,000","365,205,000","339,372,000","289,718,000","271,121,000","242,812,000","226,028,000","202,818,000","167,909,000","165,772,000","212,451,000","208,209,000","275,109,000","244,599,000","128,545,000","108,795,000","86,612,000","74,642,000","81,877,000","75,011,000","57,800,000","49,100,000","57,000,000","43,400,000","31,200,000","34,300,000","32,800,000","22,900,000","21,200,000","18,300,000","19,100,000","14,700,000","13,500,000","17,700,000","18,200,000"
			AccountsReceivable,"171,242,000","172,736,000","170,245,000","154,377,000","140,208,000","126,231,000","133,426,000","110,444,000","95,277,000","96,787,000","83,866,000","77,734,000","63,622,000","34,528,000",,,"275,109,000","244,599,000","128,545,000","108,795,000","86,612,000","74,642,000","81,877,000","75,011,000","57,800,000",,,,,,,,,,,,,,
			OtherReceivables,"386,741,000","347,263,000","332,002,000","287,213,000","255,516,000","239,692,000","206,641,000","179,797,000","176,493,000","146,809,000","142,813,000","125,889,000","105,211,000","132,439,000",,,,,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,"-663,000","-901,000","-1,602,000","-1,100,000","-1,201,000","-718,000","-695,000","-523,000","-649,000","-784,000","-651,000","-805,000","-924,000","-1,195,000",,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,000","400,000","500,000",,,"800,000","400,000"
