name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
OperatingCashFlow,"80,261,000,000","86,068,000,000","14,647,000,000","31,425,000,000","36,958,000,000","19,705,000,000","28,913,000,000","-52,099,000,000","-18,292,000,000","3,145,360,365.829","7,286,388,964.736","61,268,549,922.814","73,566,945,262.95","-15,132,452,794.1","14,319,336,721.048","83,790,338,164.251","71,918,748,540.742","-45,905,945,612.411","-4,418,000,000","-47,993,166,287.016","-21,084,000,000","2,745,000,000","-1,712,000,000","7,769,000,000","7,247,000,000","2,096,000,000"
	CashFlowFromContinuingOperatingActivities,"80,258,000,000","86,067,000,000","14,646,000,000","31,426,000,000","36,959,000,000","19,705,000,000","28,914,000,000","-52,100,000,000","-18,290,000,000","3,144,348,670.633","7,287,400,260.914","61,268,549,922.814","73,568,040,661.182","-15,132,452,794.1","14,320,406,525.809","83,790,338,164.251","71,915,946,766.285","-45,905,945,612.411","-4,418,000,000","-47,993,166,287.016","-21,084,000,000","2,745,000,000","-1,712,000,000","7,769,000,000","7,247,000,000","2,096,000,000"
		NetIncomeFromContinuingOperations,"2,434,000,000","27,866,000,000","7,661,000,000","7,486,000,000","6,572,000,000","4,310,000,000","4,522,000,000","1,046,000,000","3,432,000,000","6,460,685,524.665","3,681,118,089.055","3,809,706,243.591","-2,470,123,013.221","4,681,805,140.847","8,297,405,723.455","-2,053,140,096.618","-19,354,657,950.035","-4,150,028,648.244","9,862,000,000","11,154,138,192.863","7,422,000,000","5,150,000,000","2,560,000,000","3,001,000,000","4,828,000,000","3,863,000,000"
		OperatingGainsLosses,"351,000,000","246,000,000","-1,502,000,000","-335,000,000","-782,000,000","175,000,000","-574,000,000","-267,000,000","-1,332,000,000","-1,115,899,801.708","-324,626,073.238","-643,402,030.491","-628,758,585.184","-1,102,976,335.951","-654,720,513.506","374,879,227.053","-738,734,531.87","-3,706,641,985.103","-1,810,952,615.183","-3,958,997,722.096","-416,000,000","-51,000,000","714,000,000","310,000,000","-452,000,000","-1,433,000,000"
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,"310,000,000","-452,000,000","-1,433,000,000"
			EarningsLossesFromEquityInvestments,"274,000,000","348,000,000","-32,000,000","-105,000,000","-84,000,000","-45,000,000","-528,000,000","-69,000,000","-109,000,000","-170,976,488.204","-95,061,840.761","-55,213,133.965","-96,395,044.418","-44,629,100.299","-86,654,185.611","-35,748,792.271","5,603,548.914","-105,778,130.372","-95,917,363.502","-115,413,819.286","-58,792,558.793",,,,,
		DepreciationAmortizationDepletion,"4,157,000,000","3,750,000,000","2,061,000,000","2,118,000,000","2,126,000,000","1,940,000,000","1,293,000,000","1,124,000,000","1,090,000,000","1,039,010,966.776","910,166,560.481","1,012,991,988.462","870,841,594.462","943,586,692.027","1,107,247,927.253","2,290,821,256.039","1,676,395,050.198","1,353,078,584.336","1,248,000,000","1,439,635,535.308","2,315,000,000","1,861,000,000","2,883,000,000","1,772,000,000","1,410,000,000","1,166,000,000"
			DepreciationAndAmortization,"4,157,000,000","3,750,000,000","2,061,000,000","2,118,000,000","2,126,000,000","1,940,000,000","1,293,000,000","1,124,000,000","1,090,000,000","1,039,010,966.776","910,166,560.481","1,012,991,988.462","870,841,594.462","943,586,692.027","1,107,247,927.253","2,290,821,256.039","1,676,395,050.198","1,353,078,584.336","1,248,000,000","1,439,635,535.308","2,315,000,000","1,861,000,000","2,883,000,000","1,772,000,000","1,410,000,000","1,166,000,000"
				Depreciation,"4,157,000,000","3,750,000,000","2,061,000,000","2,118,000,000","2,126,000,000","1,940,000,000","1,228,000,000","1,053,000,000","997,000,000","930,759,580.754","826,228,977.681","919,467,700.317","754,729,381.867","808,636,793.505","982,080,770.259","1,012,560,386.473","1,159,000,700.444","1,104,499,977.963","1,086,243,646.499","1,181,473,044.799","1,382,941,382.941",,,,,
				AmortizationCashFlow,,,,,"57,000,000","65,000,000","65,000,000","71,000,000","93,000,000","108,251,386.022","83,937,582.8","93,524,288.145","116,112,212.595","134,949,898.522","125,167,156.994","1,278,260,869.565","517,394,349.755","248,578,606.373","160,682,079.029","258,162,490.509","935,415,935.416",,,,,
					AmortizationOfIntangibles,,,,,"57,000,000","65,000,000","65,000,000","71,000,000","93,000,000","108,251,386.022","83,937,582.8","93,524,288.145","116,112,212.595","134,949,898.522","125,167,156.994","1,278,260,869.565","517,394,349.755","248,578,606.373","160,682,079.029","258,162,490.509","935,415,935.416",,,,,
		DeferredTax,"-532,000,000","-694,000,000","494,000,000","434,000,000","352,000,000","477,000,000","425,000,000","3,414,000,000","-43,000,000","-1,631,864,351.908","-1,653,469,251.54","-614,105,265.53","322,047,080.216","844,765,112.795","-678,256,218.24","-927,536,231.884","-6,556,152,229.746","-327,030,719.732","-249,000,000","-290,053,151.101","150,000,000","415,000,000","-369,000,000","176,000,000","337,000,000","301,000,000"
			DeferredIncomeTax,"-532,000,000","-694,000,000","494,000,000","434,000,000","352,000,000","477,000,000","425,000,000","3,414,000,000","-43,000,000","-1,631,864,351.908","-1,653,469,251.54","-614,105,265.53","322,047,080.216","844,765,112.795","-678,256,218.24","-927,536,231.884","-6,556,152,229.746","-327,030,719.732","-249,000,000","-290,053,151.101","150,000,000","415,000,000","-369,000,000","176,000,000","337,000,000","301,000,000"
		OtherNonCashItems,"-23,537,000,000","-34,388,000,000","-10,742,000,000","3,901,000,000","-4,831,000,000","7,347,000,000","-6,008,000,000","1,255,000,000","9,669,000,000","2,262,150,459.31","-5,173,791,248.243","10,495,002,647.977","10,739,284,266.795","-2,287,772,689.116","17,568,333,779.085","8,072,463,768.116","-44,737,800,607.051","3,331,129,622.284","1,062,000,000","3,056,188,306.758","-99,000,000","-7,000,000","143,000,000","258,000,000","-118,000,000","468,000,000"
		AssetImpairmentCharge,,,,,,"110,000,000","0","0",,,"0","0","3,319,056,643.043","0","0",,,,,,,,,,,
		ProvisionForLoanLeaseAndOtherLosses,"576,000,000","1,037,000,000","29,000,000","-148,000,000","694,000,000","78,000,000","118,000,000","131,000,000","38,000,000","118,368,337.987","78,881,101.908","56,339,932.617","129,256,991.379","89,258,200.597","70,607,114.202","1,770,048,309.179","2,798,038,757.88","209,793,291.904","-127,889,818.003","-283,978,739.56","-211,477,711.478",,,,,
		ChangeInWorkingCapital,"71,698,000,000","90,103,000,000","18,228,000,000","19,103,000,000","33,829,000,000","6,182,000,000","30,088,000,000","-57,758,000,000","-30,501,000,000","-3,429,646,716.037","10,374,887,493.3","47,582,453,491.386","61,571,239,224.02","-17,930,272,343.772","-10,858,518,320.407","74,750,724,637.681","139,660,051,365.865","-39,387,368,328.265","-16,341,000,000","-57,292,331,055.429","-30,872,000,000","-4,623,000,000","-7,643,000,000","2,252,000,000","1,242,000,000","-2,269,000,000"
			ChangeInReceivables,,,,,,,,,,,,,"-973,809,028.272","11,080,768,045.564","-2,133,190,692.699","-4,065,700,483.092","29,765,117,908.008","-2,122,614,482.789","-3,718,642,400.394","-931,662,870.159","-9,484,906,984.907",,,,,
			ChangeInPayablesAndAccruedExpense,,,,,,,,,,,,,"-869,746,196.23","-2,177,262,535.995","1,332,976,731.746","-28,253,140,096.618","-52,516,460,424.936","16,939,486,094.583","-2,139,000,000","11,796,507,213.364","-1,171,000,000","-890,000,000","-414,000,000","-1,051,000,000","-594,000,000","-667,000,000"
				ChangeInPayable,,,,,,,,,,,,,,,"-3,668,360,524.204","-305,314,009.662","-827,000,000","-3,232,000,000","-2,139,000,000","-1,822,000,000","-1,171,000,000","-890,000,000","-414,000,000","-1,051,000,000","-594,000,000","-667,000,000"
					ChangeInTaxPayable,,,,,,,,,,,,,,,,,"-827,000,000","-3,232,000,000","-2,139,000,000","-1,822,000,000","-1,171,000,000","-890,000,000","-414,000,000","-1,051,000,000","-594,000,000","-667,000,000"
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,,,"-827,000,000","-3,232,000,000","-2,139,000,000","-1,822,000,000","-1,171,000,000","-890,000,000","-414,000,000","-1,051,000,000","-594,000,000","-667,000,000"
				ChangeInAccruedExpense,,,,,,,,,,,,,"-869,746,196.23","-2,177,262,535.995","1,332,976,731.746","-28,253,140,096.618","-52,516,460,424.936","16,939,486,094.583","12,276,602,721.758","11,796,507,213.364","19,321,691,821.692",,,,,
			ChangeInLoans,"22,476,000,000","22,360,000,000","7,972,000,000","-29,776,000,000","31,323,000,000","-7,464,000,000","-12,939,000,000","-17,816,000,000","3,321,000,000","1,402,209,542.309","-20,657,747,034.374","-8,009,284,820.895","17,382,874,544.04","6,447,842,395.52","-41,576,892,217.17","116,657,004,830.918","35,883,259,397.618","131,199,259,553.087","67,975,077,881.62","-60,381,169,324.222","-30,813,443,313.443",,,,,
			ChangeInOtherCurrentAssets,,,,,,,"-1,447,000,000","-2,454,000,000","-4,182,000,000","3,323,418,720.408","-7,383,473,397.854","-25,253,811,396.442","112,208,213,295.944","-71,215,292,905.036","-26,796,469,644.29","157,315,942,028.986","547,836,563,156.666",,,,,,,,,
			ChangeInOtherCurrentLiabilities,,,,,,,,"7,629,685,142.03","-6,514,399,010.62","-2,943,021,326.535","-3,739,773,267.397","-26,658,929,315.921","-72,742,110,394.234","28,813,397,230.871",,"-39,952,657,004.831","-206,336,679,897.268",,,,,,,,,
			ChangeInOtherWorkingCapital,"49,222,000,000","67,743,000,000","10,256,000,000","48,879,000,000","2,506,000,000","13,646,000,000","43,027,000,000","-39,942,000,000","-33,822,000,000","-4,831,856,258.346","31,032,634,527.674","55,591,738,312.281","44,188,364,679.979","-24,378,114,739.292","31,518,587,857.716","-9,587,439,613.527","126,528,134,485.174","-185,403,499,493.146","-14,202,000,000","-7,776,006,074.412","-32,736,000,000","-3,733,000,000","-7,229,000,000","3,303,000,000","1,836,000,000","-1,602,000,000"
		TaxesRefundPaid,"-2,150,000,000","-1,852,000,000","-1,582,000,000","-1,134,000,000","-1,002,000,000","-804,000,000","-951,000,000","-1,044,000,000","-645,000,000","-557,444,053.256","-606,777,706.987","-430,437,085.197","-285,898,938.559","-370,846,571.529","-532,762,770.794","-487,922,705.314","-828,391,314.499","-3,228,877,429.591","-2,137,235,612.395","-1,817,767,653.759","-1,180,238,680.239",,,,,
InvestingCashFlow,"1,012,000,000","103,228,000,000","-12,447,000,000","-2,119,000,000","-6,785,000,000","-1,558,000,000","-6,132,000,000","5,186,000,000","36,637,000,000","-8,539,719,153.413","2,625,324,878.897","6,148,940,245.867","-16,298,430,294.334","20,589,954,202.042","4,382,990,104.306","-76,146,859,903.382","-1,565,257,996.731","2,426,726,607.607","3,642,000,000","-1,829,157,175.399","-855,000,000","1,186,000,000","1,000,000,000","-4,697,000,000","-11,856,000,000","928,000,000"
	CashFlowFromContinuingInvestingActivities,"1,012,000,000","103,228,000,000","-12,447,000,000","-2,119,000,000","-6,786,000,000","-1,558,000,000","-6,132,000,000","5,186,000,000","36,636,000,000","-8,538,707,458.217","2,624,313,582.719","6,147,813,447.215","-16,299,525,692.566","20,589,954,202.042","4,382,990,104.306","-76,147,826,086.957","-1,565,257,996.731","2,426,726,607.607","3,642,000,000","-1,829,157,175.399","-855,000,000","1,186,000,000","1,000,000,000","-4,697,000,000","-11,856,000,000","928,000,000"
		NetInvestmentPurchaseAndSale,"2,446,000,000","-3,779,000,000","-12,692,000,000","-1,165,000,000","-5,926,000,000","-73,000,000","-4,408,000,000","6,533,000,000","38,187,000,000","-7,693,941,969.164","4,154,404,700.505","6,722,480,759.913","-15,329,002,858.989","21,550,542,456.088","4,454,667,023.268","-75,725,603,864.734","-664,954,471.165","5,272,158,314.602","4,704,000,000","-1,888,382,687.927","-465,000,000","1,869,000,000","1,559,000,000",,,
			PurchaseOfInvestment,"-8,553,000,000","-14,244,000,000","-31,491,000,000","-5,672,000,000","-10,456,000,000","-3,986,000,000","-5,769,000,000","-8,717,000,000","-16,246,000,000","-102,372,425,235.725","-137,870,007,989.24",,,,,"-19,446,376,811.594","-2,065,000,000","-2,062,000,000",,"-1,893,000,000","-2,200,000,000",,,,,
			SaleOfInvestment,"10,999,000,000","10,465,000,000","18,799,000,000","4,507,000,000","4,530,000,000","3,913,000,000","1,361,000,000","15,250,000,000","54,433,000,000","94,678,483,266.561","142,024,412,689.744",,,,,,"1,573,000,000","6,058,000,000","4,704,000,000","2,466,000,000","1,735,000,000","1,869,000,000","1,559,000,000",,,
		NetPPEPurchaseAndSale,"-1,664,000,000","-1,620,000,000","-1,482,000,000","-1,546,000,000","-1,488,000,000","-1,573,000,000","-1,574,000,000","-1,580,000,000","-1,618,000,000","-1,314,192,060.216","-1,582,678,519.058","-672,698,795.452","-1,003,384,780.537","-952,087,473.037","-319,871,623.429","-667,632,850.242","-1,072,145,692.272","-1,565,516,329.499","-1,062,000,000","-1,231,586,940.015","-390,000,000","-1,110,000,000","-1,277,000,000","-990,000,000","-1,016,000,000","-1,771,000,000"
			PurchaseOfPPE,"-1,768,000,000","-1,685,000,000","-1,643,000,000","-1,841,000,000","-1,854,000,000","-1,584,000,000","-1,688,000,000","-1,627,000,000","-1,800,000,000","-1,862,530,856.703","-1,936,632,181.467","-1,392,723,134.303","-1,224,655,223.406","-1,199,672,719.931","-578,764,375.501","-825,120,772.947","-1,136,586,504.786","-1,683,635,241.747","-1,469,913,100.508","-1,436,598,329.537","-1,008,248,508.249",,,,,
			SaleOfPPE,"104,000,000","65,000,000","161,000,000","295,000,000","366,000,000","11,000,000","114,000,000","47,000,000","182,000,000","548,338,796.487","353,953,662.409","720,024,338.851","221,270,442.87","247,585,246.895","258,892,752.073","157,487,922.705","64,440,812.515","118,118,912.248","409,083,456.304","205,011,389.522","617,760,617.761",,,,,
		NetBusinessPurchaseAndSale,"126,000,000","117,000,000","1,727,000,000","592,000,000","628,000,000","88,000,000","-150,000,000","233,000,000","67,000,000","469,426,571.163","52,587,401.272","98,031,482.754","32,861,946.961","-8,500,781.009","248,194,704.466","245,410,628.019","171,842,166.706","-1,279,915,377.496","3,287,424,167.896","1,290,812,452.544","-1,082,836,082.836",,,,,
			PurchaseOfBusiness,,"-4,000,000","-3,000,000","-1,000,000","-46,000,000","-26,000,000","-287,000,000","-106,000,000","-27,000,000","-13,152,037.554","-18,203,331.21","-55,213,133.965","-12,049,380.552","-61,630,662.317","-80,235,357.047","-40,579,710.145","-1,402,755,078.216","-2,060,029,088.986",,"-1,169,324,221.716","-2,203,404,703.405",,,,,
			SaleOfBusiness,"130,000,000","121,000,000","1,730,000,000","593,000,000","674,000,000","114,000,000","137,000,000","339,000,000","94,000,000","482,578,608.717","70,790,732.482","153,244,616.719","44,911,327.513","53,129,881.308","328,430,061.514","285,990,338.164","1,574,597,244.922","780,113,711.49","3,287,424,167.896","2,460,136,674.26","1,120,568,620.569",,,,,
		NetOtherInvestingChanges,,"108,510,000,000",,,"1,000,000",,,"-1,026,599.185","1,000,000","-1,011,695.196","1,011,296.178","1,126,798.652","1,095,398.232",,,"966,183.575",,,,"1,500,000,000","-882,000,000","427,000,000","718,000,000","-3,707,000,000","-10,840,000,000","2,699,000,000"
FinancingCashFlow,"-95,122,000,000","-58,262,000,000","-9,094,000,000","10,345,000,000","12,432,000,000","-25,614,000,000","190,000,000","26,988,000,000","-612,000,000","-6,672,129,820.728","2,131,812,343.881","-53,584,909,912.448","-41,745,626,622.559","2,837,135,661.839","1,887,135,597.753","-52,350,724,637.681","-5,189,820,219.472","65,730,530,212.878","39,459,000,000","49,012,148,823.083","34,897,000,000","-10,756,000,000","-23,512,000,000","10,925,000,000","-980,000,000","8,561,000,000"
	CashFlowFromContinuingFinancingActivities,"-95,121,000,000","-58,262,000,000","-9,095,000,000","10,346,000,000","12,433,000,000","-25,614,000,000","191,000,000","26,987,000,000","-612,000,000","-6,673,141,515.924","2,129,789,751.525","-53,584,909,912.448","-41,746,722,020.791","2,836,073,064.213","1,887,135,597.753","-52,350,724,637.681","-5,189,820,219.472","65,730,530,212.878","39,459,000,000","49,012,148,823.083","34,897,000,000","-10,756,000,000","-23,512,000,000","10,925,000,000","-980,000,000","8,561,000,000"
		NetIssuancePaymentsOfDebt,"-90,396,000,000","-53,083,000,000","-804,000,000","15,270,000,000","17,002,000,000","-20,985,000,000","4,093,000,000","30,763,000,000","5,275,000,000","-2,868,155,881.996","3,894,501,582.679","-50,965,103,045.737","-39,802,390,158.942","5,633,892,613.884","5,755,549,612.196","-56,040,579,710.145","-28,432,407,191.221","71,522,764,335.14","45,009,000,000","52,445,709,946.849","41,950,000,000","8,089,000,000","1,608,000,000","-147,000,000","-6,045,000,000","3,484,000,000"
			NetLongTermDebtIssuance,"-84,978,000,000","-56,252,000,000","11,445,000,000","18,363,000,000","-6,843,000,000","-3,836,000,000","16,338,000,000","6,263,000,000","-199,000,000","3,610,740,156.206","6,848,497,719.527","-46,131,136,827.16","1,786,594,516.436","-10,664,229,776.111","985,290,184.541","1,969,082,125.604","9,519,495,680.598","42,722,905,372.648","31,125,000,000","34,813,971,146.545","23,216,000,000","8,089,000,000","1,608,000,000","-147,000,000","-6,045,000,000","3,484,000,000"
				LongTermDebtIssuance,"117,395,000,000","109,735,000,000","79,115,000,000","98,272,000,000","80,255,000,000","65,047,000,000","60,682,000,000","51,450,000,000","33,703,000,000","48,348,913,439.359","41,444,939,979.572","31,566,137,446.9","61,221,807,188.003","55,882,009,159.592","83,891,949,719.176","64,794,202,898.551","96,275,507,821.62","97,733,703,556.79","80,142,000,000","57,940,015,186.029","44,876,000,000","19,069,000,000","12,405,000,000","11,004,000,000","9,222,000,000","7,950,000,000"
				LongTermDebtPayments,"-202,373,000,000","-165,987,000,000","-67,670,000,000","-79,909,000,000","-87,098,000,000","-68,883,000,000","-44,344,000,000","-45,187,000,000","-33,902,000,000","-44,738,173,283.153","-34,596,442,260.045","-77,697,274,274.06","-59,435,212,671.567","-66,546,238,935.702","-82,906,659,534.635","-62,825,120,772.947","-86,756,012,141.023","-55,010,798,184.142","-49,017,000,000","-23,126,044,039.484","-21,660,000,000","-10,980,000,000","-10,797,000,000","-11,151,000,000","-15,267,000,000","-4,466,000,000"
			NetShortTermDebtIssuance,"-5,418,000,000","3,169,000,000","-12,249,000,000","-3,093,000,000","23,845,000,000","-17,149,000,000","-12,245,000,000","24,500,000,000","5,474,000,000","-6,478,896,038.202","-2,953,996,136.849","-4,833,966,218.576","-41,588,984,675.379","16,298,122,389.995","4,770,259,427.654","-58,009,661,835.749","-37,951,902,871.819","28,799,858,962.493","13,884,000,000","17,631,738,800.304","18,734,000,000",,,,,
