name,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2003
TotalAssets,"90,499,000,000","85,501,000,000","82,896,000,000","80,919,000,000","72,574,000,000","69,225,000,000","67,977,000,000","64,035,000,000","39,367,000,000","38,569,000,000","35,956,000,000","40,013,000,000","34,760,000,000","33,408,000,000","32,281,000,000","34,981,000,000","4,390,000,000","2,963,918,000","1,905,000,000"
	CurrentAssets,"33,532,000,000","30,205,000,000","27,607,000,000","27,645,000,000","20,970,000,000","18,216,000,000","19,023,000,000","14,313,000,000","10,021,000,000","9,562,000,000","7,822,000,000","11,786,000,000","9,190,000,000","8,734,000,000","9,241,000,000","11,174,000,000","2,507,000,000","1,593,931,000","867,000,000"
		CashCashEquivalentsAndShortTermInvestments,"20,128,000,000","18,522,000,000","18,512,000,000","20,041,000,000","12,074,000,000","11,709,000,000","13,438,000,000","8,938,000,000","6,015,000,000","3,950,000,000","4,255,000,000","2,817,000,000","3,398,000,000","4,051,000,000","4,732,000,000","5,334,000,000","1,022,000,000","930,575,000","86,000,000"
			CashAndCashEquivalents,"16,286,000,000","15,689,000,000","16,487,000,000","16,289,000,000","7,838,000,000","8,162,000,000","9,874,000,000","5,619,000,000","3,518,000,000","1,971,000,000","2,186,000,000","2,074,000,000","2,127,000,000","3,867,000,000","4,617,000,000","4,979,000,000","275,000,000","270,124,000","86,000,000"
			OtherShortTermInvestments,"3,842,000,000","2,833,000,000","2,025,000,000","3,752,000,000","4,236,000,000","3,547,000,000","3,564,000,000","3,319,000,000","2,497,000,000","1,979,000,000","2,069,000,000","743,000,000","1,271,000,000","184,000,000","115,000,000","355,000,000","747,000,000","660,451,000",
		Receivables,"4,474,000,000","3,952,000,000","3,726,000,000","2,882,000,000","4,590,000,000","2,790,000,000","2,554,000,000","2,508,000,000","1,332,000,000","1,699,000,000","1,702,000,000","1,356,000,000","1,084,000,000","878,000,000","1,049,000,000","1,473,000,000","255,000,000","258,035,000",
			AccountsReceivable,"2,291,000,000","2,020,000,000","1,968,000,000","1,618,000,000","1,542,000,000","1,208,000,000","1,132,000,000","1,041,000,000","847,000,000","822,000,000","761,000,000","723,000,000","560,000,000","476,000,000","444,000,000","342,000,000","245,000,000","216,585,000",
			TaxesReceivable,,,,,,,,"232,000,000","77,000,000","91,000,000","142,000,000","179,000,000","112,000,000",,,,,,
			OtherReceivables,"2,183,000,000","1,932,000,000","1,758,000,000","1,264,000,000","3,048,000,000","1,582,000,000","1,422,000,000","1,467,000,000","408,000,000","786,000,000","799,000,000","454,000,000","412,000,000","402,000,000","605,000,000","1,131,000,000","10,000,000","41,450,000",
		PrepaidAssets,,"2,668,000,000","856,000,000","757,000,000","712,000,000","562,000,000","550,000,000","555,000,000","137,000,000","103,000,000","111,000,000","69,000,000","96,000,000","242,000,000","366,000,000","1,190,000,000","271,000,000","148,057,000",
		RestrictedCash,"4,769,000,000","3,791,000,000","3,154,000,000","2,751,000,000","2,853,000,000","2,815,000,000","2,137,000,000","2,028,000,000","2,095,000,000","2,459,000,000","915,000,000","5,255,000,000","3,788,000,000","1,866,000,000","1,365,000,000","1,298,000,000","0",,
		CurrentDeferredAssets,,,,,,,,,"871,000,000","1,028,000,000","481,000,000","2,027,000,000","489,000,000","623,000,000","703,000,000","944,000,000","795,000,000","149,671,000",
