name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005
OperatingCashFlow,"20,213,000,000","20,755,000,000","18,849,000,000","15,227,000,000","10,440,000,000","12,784,000,000","12,941,000,000","9,317,000,000","5,574,000,000","6,584,000,000","7,205,000,000","3,022,000,000","5,009,000,000","3,872,000,000","2,691,000,000","558,000,000","531,000,000","505,000,000","450,000,000","480,629,000"
	CashFlowFromContinuingOperatingActivities,"20,213,000,000","20,755,000,000","18,849,000,000","15,227,000,000","10,440,000,000","12,784,000,000","12,941,000,000","9,317,000,000","5,574,000,000","6,584,000,000","7,205,000,000","3,022,000,000","5,009,000,000","3,872,000,000","2,691,000,000","558,000,000","531,000,000","505,000,000","450,000,000","480,629,000"
		NetIncomeFromContinuingOperations,"19,106,000,000","17,273,000,000","14,957,000,000","12,311,000,000","10,866,000,000","12,080,000,000","10,301,000,000","6,699,000,000","5,991,000,000","6,328,000,000","5,438,000,000","4,980,000,000","2,142,000,000","3,646,000,000","2,964,000,000","2,352,000,000","804,000,000","-1,076,000,000","455,000,000","360,445,000"
		OperatingGainsLosses,"41,000,000","104,000,000","264,000,000","-712,000,000","-101,000,000","-131,000,000","5,491,000,000","4,565,000,000","-255,000,000","110,000,000","2,592,000,000","2,321,000,000","2,155,000,000","-122,000,000","-79,000,000","-466,000,000","33,000,000","-42,000,000","-11,000,000","-176,246,000"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,"2,000,000","0","2,000,000","3,000,000",
			GainLossOnInvestmentSecurities,,,,,,,,,"-255,000,000","110,000,000",,,,"-122,000,000","-79,000,000","-468,000,000","34,000,000","-4,000,000","-1,000,000","-7,732,000"
			EarningsLossesFromEquityInvestments,"41,000,000","104,000,000","264,000,000","-712,000,000","-101,000,000","-131,000,000",,,,,,,,,"7,000,000","0","-1,000,000","-40,000,000","-13,000,000","-168,514,000"
		DepreciationAmortizationDepletion,"1,007,000,000","943,000,000","861,000,000","804,000,000","767,000,000","656,000,000","613,000,000","556,000,000","502,000,000","494,000,000","435,000,000","397,000,000","333,000,000","288,000,000","265,000,000","226,000,000","237,000,000","126,000,000","155,000,000","135,528,000"
			DepreciationAndAmortization,"1,007,000,000","943,000,000","861,000,000","804,000,000","767,000,000","656,000,000","613,000,000","556,000,000","502,000,000","494,000,000","435,000,000","397,000,000","333,000,000","288,000,000","265,000,000","226,000,000","237,000,000","126,000,000","155,000,000","135,528,000"
				Depreciation,,,,,,,,,,,,,,,,,"237,000,000","125,505,000","138,000,000","118,531,000"
				AmortizationCashFlow,,,,,,,,,,,,,,,,,"0","11,135,000","17,000,000","16,997,000"
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,"0","11,135,000","17,000,000","16,997,000"
		DeferredTax,"-329,000,000","-483,000,000","-336,000,000","873,000,000","307,000,000","214,000,000","-1,277,000,000","1,700,000,000","-764,000,000","195,000,000","-580,000,000","1,527,000,000","-1,690,000,000","164,000,000","249,000,000","297,000,000","-27,000,000","-874,000,000","32,000,000","85,186,000"
			DeferredIncomeTax,"-329,000,000","-483,000,000","-336,000,000","873,000,000","307,000,000","214,000,000","-1,277,000,000","1,700,000,000","-764,000,000","195,000,000","-580,000,000","1,527,000,000","-1,690,000,000","164,000,000","249,000,000","297,000,000","-27,000,000","-874,000,000","32,000,000","85,186,000"
		AmortizationOfSecurities,,,,,,,,,,,,,,"1,880,000,000","1,560,000,000","1,234,000,000","1,161,000,000","500,000,000","580,000,000",
		AssetImpairmentCharge,,,,,,,,,,,,,,,"3,000,000","11,000,000","34,000,000","0","13,000,000","1,276,000"
		ProvisionandWriteOffofAssets,,,,,,,,,"4,000,000","14,000,000","453,000,000","3,000,000","4,101,000,000","18,000,000","-18,000,000","95,000,000",,,,
		UnrealizedGainLossOnInvestmentSecurities,,,,,,,"0","0","-255,000,000","110,000,000","0","0","0","-122,000,000","-79,000,000",,,,,
		StockBasedCompensation,"836,000,000","765,000,000","602,000,000","542,000,000","416,000,000","407,000,000","327,000,000","235,000,000","221,000,000","187,000,000","172,000,000","179,000,000","147,000,000","154,000,000","131,000,000","115,000,000","74,000,000","0","0",
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-63,000,000","-84,000,000","-90,000,000","-74,000,000","-71,000,000","-18,000,000","-14,000,000","-7,000,000","0","0",,
		OtherNonCashItems,"13,521,000,000","12,175,000,000","10,158,000,000","8,111,000,000","6,583,000,000","5,861,000,000","5,416,000,000","4,602,000,000","3,464,000,000","2,885,000,000","2,629,000,000","2,371,000,000","2,147,000,000","1,776,000,000","1,528,000,000","-37,000,000","1,553,000,000","2,918,000,000","130,000,000","807,247,000"
		ChangeInWorkingCapital,"-13,969,000,000","-10,022,000,000","-7,657,000,000","-6,702,000,000","-8,398,000,000","-6,303,000,000","-2,439,000,000","-4,475,000,000","-3,522,000,000","-3,531,000,000","-1,252,000,000","-6,361,000,000","-2,100,000,000","-2,034,000,000","-2,335,000,000","-3,262,000,000","-3,338,000,000","-1,047,000,000","-904,000,000","-732,807,000"
			ChangeInReceivables,"69,000,000","-410,000,000","-494,000,000","-811,000,000","1,815,000,000","-1,866,000,000","-293,000,000","40,000,000","326,000,000","359,000,000","-40,000,000","-383,000,000","-270,000,000","-55,000,000","196,000,000","424,000,000","-567,000,000","3,000,000","-24,000,000","-31,909,000"
				ChangesInAccountReceivables,"-236,000,000","-250,000,000","-97,000,000","-343,000,000","-43,000,000","-333,000,000","-70,000,000","-54,000,000","-65,000,000","-19,000,000","-53,000,000","-38,000,000","-161,000,000","-79,000,000","-7,000,000","-102,000,000","-24,000,000","-29,000,000","-18,000,000","-14,285,000"
			ChangeInPayablesAndAccruedExpense,"-764,000,000","1,426,000,000","2,854,000,000","1,766,000,000","-1,730,000,000","2,303,000,000","2,477,000,000","260,000,000","-25,000,000","-879,000,000","1,562,000,000","-3,136,000,000","-114,000,000","-96,000,000","-1,103,000,000","-2,475,000,000","-1,232,000,000","-228,000,000","-269,000,000","3,138,000"
				ChangeInPayable,"-1,015,000,000","-160,000,000","1,323,000,000","767,000,000","-2,363,000,000","1,907,000,000","265,000,000","-206,000,000","-259,000,000","-565,000,000","51,000,000","546,000,000","253,000,000","65,000,000","-266,000,000","-464,000,000","441,000,000","-59,000,000","16,000,000","85,173,000"
					ChangeInAccountPayable,"58,000,000","34,000,000","67,000,000","88,000,000","21,000,000","-24,000,000","3,000,000","-30,000,000","43,000,000","-13,000,000","-56,000,000","40,000,000","-17,000,000","29,000,000","-21,000,000","-3,000,000","-10,000,000","-20,000,000","-9,000,000","56,580,000"
				ChangeInAccruedExpense,"251,000,000","1,586,000,000","1,531,000,000","999,000,000","633,000,000","396,000,000","2,212,000,000","466,000,000","234,000,000","-314,000,000","1,511,000,000","-3,682,000,000","-367,000,000","-161,000,000","-837,000,000","-2,011,000,000","-1,673,000,000","-169,000,000","-285,000,000","-82,035,000"
			ChangeInOtherCurrentAssets,"-131,000,000","-24,000,000","-666,000,000","-147,000,000","-402,000,000","-310,000,000","59,000,000","-147,000,000","-315,000,000","-41,000,000","-379,000,000","-506,000,000","41,000,000","-26,000,000","-42,000,000","34,000,000","0","0",,"-76,336,000"
			ChangeInOtherWorkingCapital,"-13,143,000,000","-11,014,000,000","-9,351,000,000","-7,510,000,000","-8,081,000,000","-6,430,000,000","-4,682,000,000","-4,628,000,000","-3,508,000,000","-2,970,000,000","-2,395,000,000","-2,336,000,000","-1,757,000,000","-1,857,000,000","-1,386,000,000","-1,245,000,000","-1,539,000,000","-822,000,000","-611,000,000","-627,700,000"
InvestingCashFlow,"-3,698,000,000","-2,006,000,000","-4,288,000,000","-152,000,000","1,427,000,000","-591,000,000","-3,084,000,000","735,000,000","-10,916,000,000","-1,435,000,000","-941,000,000","-1,164,000,000","-2,414,000,000","-2,299,000,000","-1,904,000,000","1,830,000,000","554,000,000","-463,000,000","-278,000,000","-473,131,000"
	CashFlowFromContinuingInvestingActivities,"-3,698,000,000","-2,006,000,000","-4,288,000,000","-152,000,000","1,427,000,000","-591,000,000","-3,084,000,000","735,000,000","-10,916,000,000","-1,435,000,000","-941,000,000","-1,164,000,000","-2,414,000,000","-2,299,000,000","-1,904,000,000","1,830,000,000","554,000,000","-463,000,000","-278,000,000","-473,131,000"
		CapitalExpenditureReported,,,,,,"-756,000,000","-718,000,000","-707,000,000","-523,000,000","-414,000,000","-553,000,000","-471,000,000","-376,000,000","-353,000,000","-241,000,000",,,,,
		NetPPEPurchaseAndSale,"-1,253,000,000","-1,059,000,000","-970,000,000","-705,000,000","-736,000,000","-756,000,000","-718,000,000","-695,000,000","0","10,000,000","0","0","2,000,000","0","3,000,000","-306,000,000","-411,000,000","-160,000,000","-102,000,000","-119,267,000"
			PurchaseOfPPE,"-1,253,000,000","-1,059,000,000","-970,000,000","-705,000,000","-736,000,000","-756,000,000","-718,000,000","-707,000,000",,,,,,"-353,000,000","-241,000,000","-306,000,000","-415,000,000","-160,000,000","-102,000,000","-119,267,000"
			SaleOfPPE,,,,,,"0","14,000,000","12,000,000","0","10,000,000","0","0","2,000,000","0","3,000,000","0","4,000,000","0","0",
		NetBusinessPurchaseAndSale,"-915,000,000","0","-1,948,000,000","-75,000,000","-77,000,000","-699,000,000","-196,000,000","-302,000,000","-9,082,000,000","-93,000,000","-149,000,000","0","-3,000,000","-268,000,000","-1,805,000,000",,,"-2,500,000","0","97,424,000"
			PurchaseOfBusiness,"-915,000,000","0","-1,948,000,000","-75,000,000","-77,000,000","-699,000,000","-196,000,000","-302,000,000","-9,082,000,000","-93,000,000","-149,000,000","0","-3,000,000","-268,000,000","-1,805,000,000",,,"-2,500,000",,"0"
			SaleOfBusiness,,,,,,,,,,,,,,,,,,"0","0","97,424,000"
		NetInvestmentPurchaseAndSale,"-1,432,000,000","-922,000,000","-1,498,000,000","519,000,000","2,168,000,000","842,000,000","-2,186,000,000","1,732,000,000","-1,311,000,000","-938,000,000","-239,000,000","-693,000,000","-2,037,000,000","-1,678,000,000","50,000,000","1,250,000,000","-59,000,000","-304,000,000","-176,000,000","-471,288,000"
			PurchaseOfInvestment,"-6,048,000,000","-4,484,000,000","-6,083,000,000","-5,182,000,000","-2,342,000,000","-3,154,000,000","-5,822,000,000","-3,284,000,000","-10,436,000,000","-2,875,000,000","-2,581,000,000","-3,167,000,000","-4,152,000,000","-1,923,000,000","-28,000,000","-55,000,000","-1,008,000,000","-304,000,000","-3,784,000,000","-1,896,715,000"
			SaleOfInvestment,"4,616,000,000","3,562,000,000","4,585,000,000","5,701,000,000","4,510,000,000","3,996,000,000","3,636,000,000","5,016,000,000","9,125,000,000","1,937,000,000","2,342,000,000","2,474,000,000","2,115,000,000","245,000,000","78,000,000","1,305,000,000","949,000,000","0","3,608,000,000","1,425,427,000"
		DividendsReceivedCFI,,,,,,,,,,,,,"0","0","89,000,000","886,000,000","22,000,000","1,000,000","0","20,000,000"
		NetOtherInvestingChanges,"-98,000,000","-25,000,000","128,000,000","109,000,000","72,000,000","22,000,000","16,000,000",,,,,,,,,,"1,002,000,000","-161,982,000","-87,265,000",
FinancingCashFlow,"-18,144,000,000","-17,772,000,000","-12,696,000,000","-14,410,000,000","-3,968,000,000","-12,061,000,000","-10,790,000,000","-5,924,000,000","7,477,000,000","-3,603,000,000","-6,478,000,000","-1,746,000,000","-2,655,000,000","-3,304,000,000","-1,542,000,000","-2,751,000,000","3,624,000,000","-37,000,000","-37,000,000","-45,966,000"
