name,ttm,09/30/2023,09/30/2022,09/30/2021,09/30/2020,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010,09/30/2009,09/30/2008,09/30/2007,09/30/2006,09/30/2005,09/30/2003
TotalRevenue,"34,918,000,000","32,653,000,000","29,310,000,000","24,105,000,000","21,846,000,000","22,977,000,000","20,609,000,000","18,358,000,000","15,082,000,000","13,880,000,000","12,702,000,000","11,778,000,000","10,421,000,000","9,188,000,000","8,065,000,000","6,911,000,000","6,263,000,000","3,589,796,000","2,948,126,000","2,664,605,000","1,980,000,000"
	OperatingRevenue,"45,520,000,000","42,471,000,000","37,614,000,000","30,797,000,000","27,078,000,000","27,837,000,000","25,156,000,000","22,082,000,000","17,668,000,000","15,918,000,000","14,524,000,000","13,383,000,000","11,872,000,000","10,413,000,000","8,912,000,000","6,911,000,000","6,263,000,000","3,814,780,000","3,255,565,000","2,945,865,000","1,980,000,000"
CostOfRevenue,"6,920,000,000","6,567,000,000","5,733,000,000","4,970,000,000","4,512,000,000","4,165,000,000","3,856,000,000","3,248,000,000","2,764,000,000","2,553,000,000","2,382,000,000","2,400,000,000","2,140,000,000","1,816,000,000","1,647,000,000","1,621,000,000","1,538,000,000","1,087,612,000","998,686,000","957,011,000",
GrossProfit,"27,998,000,000","26,086,000,000","23,577,000,000","19,135,000,000","17,334,000,000","18,812,000,000","16,753,000,000","15,110,000,000","12,318,000,000","11,327,000,000","10,320,000,000","9,378,000,000","8,281,000,000","7,372,000,000","6,418,000,000","5,290,000,000","4,725,000,000","2,502,184,000","1,949,440,000","1,707,594,000",
OperatingExpense,"4,621,000,000","4,159,000,000","3,896,000,000","3,328,000,000","3,242,000,000","3,411,000,000","3,192,000,000","2,947,000,000","2,556,000,000","2,249,000,000","2,170,000,000","2,136,000,000","2,042,000,000","1,909,000,000","1,874,000,000","1,750,000,000","2,023,000,000","1,298,849,000","1,196,892,000","1,122,338,000","3,398,000,000"
	SellingGeneralAndAdministration,"3,614,000,000","3,216,000,000","3,035,000,000","2,524,000,000","2,475,000,000","2,755,000,000","2,579,000,000","2,391,000,000","2,054,000,000","1,755,000,000","1,735,000,000","1,739,000,000","1,709,000,000","1,621,000,000","1,609,000,000","1,524,000,000","1,786,000,000","1,298,849,000","1,196,892,000","1,122,338,000",
		GeneralAndAdministrativeExpense,"2,202,000,000","1,875,000,000","1,699,000,000","1,388,000,000","1,504,000,000","1,650,000,000","1,591,000,000","1,469,000,000","1,185,000,000","883,000,000","835,000,000","863,000,000","836,000,000","751,000,000","645,000,000","606,000,000","770,000,000","717,966,000","722,947,000","665,416,000",
			SalariesAndWages,,,,,,,,,,,,,,,,,,"721,381,000","671,093,000",,
			OtherGandA,"2,202,000,000","1,875,000,000","1,699,000,000","1,388,000,000","1,504,000,000","1,650,000,000","1,591,000,000","1,469,000,000","1,185,000,000","883,000,000","835,000,000","863,000,000","836,000,000","751,000,000","645,000,000","606,000,000","770,000,000","717,966,000","722,947,000","665,416,000",
		SellingAndMarketingExpense,"1,412,000,000","1,341,000,000","1,336,000,000","1,136,000,000","971,000,000","1,105,000,000","988,000,000","922,000,000","869,000,000","872,000,000","900,000,000","876,000,000","873,000,000","870,000,000","964,000,000","918,000,000","1,016,000,000","580,883,000","473,945,000","456,922,000",
	DepreciationAmortizationDepletionIncomeStatement,"1,007,000,000","943,000,000","861,000,000","804,000,000","767,000,000","656,000,000","613,000,000","556,000,000","502,000,000","494,000,000","435,000,000","397,000,000","333,000,000","288,000,000","265,000,000","226,000,000","237,000,000",,,,
		DepreciationAndAmortizationInIncomeStatement,"1,007,000,000","943,000,000","861,000,000","804,000,000","767,000,000","656,000,000","613,000,000","556,000,000","502,000,000","494,000,000","435,000,000","397,000,000","333,000,000","288,000,000","265,000,000","226,000,000","237,000,000",,,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,"4,247,460,000","1,561,361,000",,
