name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
TotalAssets,"1,932,468,000,000","1,881,020,000,000","1,948,068,000,000","1,952,911,000,000","1,927,555,000,000","1,895,883,000,000","1,951,757,000,000","1,930,115,000,000","1,787,632,000,000","1,687,155,000,000","1,523,502,000,000","1,422,968,000,000","1,313,867,000,000","1,258,128,000,000","1,243,646,000,000","1,309,639,000,000","575,442,000,000","481,996,000,000","481,741,000,000","427,849,000,000","387,798,000,000","349,197,000,000","307,569,000,000","272,426,000,000","241,053,000,000","202,475,000,000","185,685,000,000","80,175,400,000","72,134,400,000","59,315,900,000","50,782,300,000","44,557,100,000","38,501,600,000","30,625,900,000","24,334,700,000"
	CashCashEquivalentsAndFederalFundsSold,"317,675,000,000","227,193,000,000","300,453,000,000","330,284,000,000","243,390,000,000","253,494,000,000","295,972,000,000","286,767,000,000","289,241,000,000","278,000,000,000","233,712,000,000","159,173,000,000","63,807,000,000","96,681,000,000","67,965,000,000","73,196,000,000","17,511,000,000","21,106,000,000","20,703,000,000","19,636,000,000","21,045,000,000","22,937,000,000","19,498,000,000","18,576,000,000","15,840,000,000","14,248,000,000","14,130,000,000","7,371,300,000","4,946,500,000","4,024,300,000","3,059,200,000","2,781,800,000","2,797,500,000","2,703,600,000","1,523,100,000"
		CashAndCashEquivalents,"237,219,000,000","159,157,000,000","234,230,000,000","264,612,000,000","141,250,000,000","173,287,000,000","215,947,000,000","20,729,000,000","19,111,000,000","19,571,000,000","19,919,000,000","21,860,000,000","19,440,000,000","16,044,000,000","27,080,000,000","23,763,000,000","14,757,000,000","15,028,000,000","15,397,000,000","12,903,000,000","16,535,000,000","18,172,000,000","16,968,000,000","16,978,000,000","14,118,000,000","12,731,000,000","13,081,000,000","7,371,300,000","4,946,500,000","4,024,300,000","3,059,200,000","2,781,800,000","2,797,500,000","2,703,600,000","1,523,100,000"
			CashFinancial,"33,026,000,000","34,596,000,000","24,616,000,000","28,236,000,000","21,757,000,000","23,551,000,000","23,367,000,000","20,729,000,000","19,111,000,000","19,571,000,000","19,919,000,000","21,860,000,000","19,440,000,000","16,044,000,000","27,080,000,000","23,763,000,000","14,757,000,000","15,028,000,000","15,397,000,000",,,,,,,,,,,,,,,,
			CashEquivalents,,,,,,,,,,,,,,,,,"14,757,000,000","15,028,000,000",,,"15,547,000,000","17,820,000,000",,,,,,,,,,,,,
			CashAndDueFromBanks,"204,193,000,000","124,561,000,000","209,614,000,000","236,376,000,000","119,493,000,000","149,736,000,000","192,580,000,000",,,,,,"19,440,000,000","16,044,000,000","27,080,000,000","23,763,000,000","14,757,000,000","413,000,000","15,397,000,000","12,903,000,000","988,000,000","352,000,000","16,968,000,000","16,978,000,000","14,118,000,000","12,731,000,000","13,081,000,000","7,371,300,000","4,946,500,000","4,024,300,000","3,059,200,000","2,781,800,000","2,797,500,000","2,703,600,000","1,523,100,000"
		MoneyMarketInvestments,"80,456,000,000","68,036,000,000","66,223,000,000","65,672,000,000","102,140,000,000","80,207,000,000","80,025,000,000","266,038,000,000","270,130,000,000","258,429,000,000","213,793,000,000","137,313,000,000","44,367,000,000","80,637,000,000","40,885,000,000","49,433,000,000","2,754,000,000","6,078,000,000","5,306,000,000","6,733,000,000","4,510,000,000","4,765,000,000","2,530,000,000","1,598,000,000","1,722,000,000","1,517,000,000","1,049,000,000",,,,,,,,
			FederalFundsSoldAndSecuritiesPurchaseUnderAgreementsToResell,"80,456,000,000","68,036,000,000","66,223,000,000","65,672,000,000","102,140,000,000","80,207,000,000","80,025,000,000","266,038,000,000","270,130,000,000","258,429,000,000","213,793,000,000","137,313,000,000","44,367,000,000","80,637,000,000","40,885,000,000","49,433,000,000","2,754,000,000","6,078,000,000","5,306,000,000","6,733,000,000","4,510,000,000","4,765,000,000","2,530,000,000","1,598,000,000","1,722,000,000","1,517,000,000","1,049,000,000",,,,,,,,
	CustomerAcceptances,,,"155,000,000","268,000,000","253,000,000","258,000,000","177,000,000","196,000,000","273,000,000","201,000,000","279,000,000","282,000,000","225,000,000","229,000,000","810,000,000","615,000,000","62,000,000","103,000,000","104,000,000",,"137,000,000","110,000,000",,,,,,,,,,,,,
	ForeclosedAssets,,"137,000,000","112,000,000","159,000,000","303,000,000","451,000,000","642,000,000","978,000,000","1,425,000,000","2,609,000,000","3,937,000,000","4,023,000,000","4,661,000,000","6,009,000,000","3,159,000,000","2,193,000,000","1,184,000,000","745,000,000","191,000,000",,,,,,,,,,,,,,,,
