Stock,P/E,EV/EBITDA,P/B,P/CF,P/S,ROE,ROA,ROD,ROI,Revenue,Profit,Equity,Assets,D/A,Ebitda Growth,CF Growth,,Stock,O-Score
ABBV,25.84408333,16.37641667,19.0518,41153.42317,4.496333333,0.9340953051,0.08318422977,0.1586399651,-10.34304727,0.7875281393,0.5601889574,0.6828689452,0.9486929381,0.5243585987,0.3499290138,0.6236574292,,ABBV,1.457989995
ABT,40.582,16.21853333,4.109466667,16.94783918,3.636333333,0.156094004,0.06987249664,0.2982782048,-2.834323222,0.3919351518,0.3672611321,0.4461670091,0.2277545962,0.2342527731,0.2334654182,0.1762353879,,ABT,0.8557155046
ACAD,2.824,-20.51926667,8.3992,-24.20205383,4570.9706,-0.4753209746,-0.3978842806,-90.95455161,31.43638263,3.55668235,3.117038381,0.4408649829,1.092242492,0.00437453952,-4.211859423,-1.869059388,,ACAD,-30.45100539
AMGN,20.05733333,10.89706667,9.218333333,14.42914265,5.100133333,0.3121192944,0.09620536283,0.222930787,-7.908974943,0.441884602,0.1497942741,-0.6638643375,0.6152007155,0.4315481237,0.8156262236,-0.2447568834,,AMGN,0.9711659338
AMN,21.7566,10.94826667,3.526533333,11.56096747,0.9312,0.2110841997,0.07934606061,0.2758746488,-3.191352225,0.5932096861,0.5944867372,0.741126168,1.302507096,0.2876163538,-0.2939521629,0.7571962066,,AMN,1.452593945
BAX,26.47806667,9.167,4.2112,15.11482915,2.630866667,0.210714224,0.07851961138,0.2603665962,-2.024165421,0.2519757346,0.05317491235,0.08948979063,0.3662895578,0.3015732914,1.067852078,-0.490082525,,BAX,0.8764980242
BMY,27.86486667,16.20933333,4.996866667,16.8669769,4.022133333,0.164016075,0.06290901697,0.2184911261,-4.283617974,0.7663523716,0.7899299528,0.4013218041,0.7378967503,0.2879248145,0.7818129473,0.932565565,,BMY,1.017471876
CI,14.207,17,2.296066667,11.3824859,0.6982,0.1508424207,0.03784647442,0.2058389469,-4.603896718,1.723238449,0.7899299528,1.148567869,0.7815801955,0.1838644969,0,0.9711672912,,CI,1.741317296
CNC,113.2792667,10.03693333,2.218066667,6.297391737,0.3333333333,0.09652548102,0.03222885836,0.1345284573,-1.837841308,1.845866712,1.568068626,2.183370362,2.481596141,0.2395690771,-0.3586686505,0.3319890619,,CNC,2.499535074
CPRX,25.0134,1.765733333,4.600533333,16.61150316,17.45057143,0.1474943982,0.125183587,0.001839789158,-1.932648449,5.680065437,5.760220358,4.339158634,4.492238244,68.04235498,8.525787208,9.566950156,,CPRX,3.612602697
CVS,18.80353333,10.1466,1.8658,11.81831739,0.4965333333,0.1053538226,0.04030696198,0.1698016754,-2.179336891,0.8799333968,0.5897263374,0.6167828008,1.020266739,0.2373767037,-0.1894821911,-0.1785282983,,CVS,1.666062023
DOC,60.6272,18.31333333,2.056133333,15.40614757,7.800333333,0.06281226272,0.02920431842,0.06811396619,-1.812211139,0.3992527542,0.1868197099,-0.1503141275,-0.02338217565,0.4287566861,-0.05456862031,0.04823550266,,DOC,0.5568469339
GILD,23.0834,11.29,5.710933333,10.36970413,4.8296,0.4051479466,0.1430208724,0.3781986074,-11.30329821,0.3486958361,0.268102697,0.5453680549,0.4842981161,0.378163403,1.10336581,-0.1579974491,,GILD,1.402812994
GMAB,60.9418,40.51676923,10.63592308,0.6049901437,24.11107692,0.1958954155,0.1694669137,1480636267,-9.971080131,3.274549245,2.614910112,3.182157511,3.039018937,0,-0.7238921017,3.234314406,,GMAB,499088021.8
GMED,34.79891667,18.89308333,3.733916667,88129.16899,5.896,0.1140782518,0.1011986468,106638533.3,-2.351743028,2.440686579,1.751017443,3.276879655,3.826629746,0,0.2939656047,0.8607363542,,GMED,35945368.98
