name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
TotalAssets,"134,711,000,000","138,805,000,000","146,529,000,000","150,565,000,000","89,115,000,000","59,352,000,000","70,786,000,000","66,099,000,000","53,050,000,000","27,513,000,000","29,198,000,000","27,008,000,000","19,521,000,000","21,134,705,000"
	CurrentAssets,"33,002,000,000","28,463,000,000","27,928,000,000","24,173,000,000","49,519,000,000","16,945,000,000","21,223,000,000","16,187,000,000","16,314,000,000","16,081,000,000","17,848,000,000","15,354,000,000","7,354,000,000","8,218,493,000"
		CashCashEquivalentsAndShortTermInvestments,"12,816,000,000","9,229,000,000","9,830,000,000","8,479,000,000","39,924,000,000","8,061,000,000","9,789,000,000","6,423,000,000","8,407,000,000","8,374,000,000","9,895,000,000","7,976,000,000","653,000,000","10,775,000"
			CashAndCashEquivalents,"12,814,000,000","9,201,000,000","9,746,000,000","8,449,000,000","39,924,000,000","7,289,000,000","9,303,000,000","5,100,000,000","8,399,000,000","8,348,000,000","9,595,000,000","5,901,000,000","27,000,000","9,644,000"
			OtherShortTermInvestments,"2,000,000","28,000,000","84,000,000","30,000,000","0","772,000,000","486,000,000","1,323,000,000","8,000,000","26,000,000","300,000,000","2,075,000,000","626,000,000","1,131,000"
		Receivables,"11,155,000,000","11,254,000,000","9,977,000,000","8,822,000,000","5,428,000,000","5,384,000,000","5,088,000,000","4,758,000,000","4,730,000,000","3,735,000,000","4,803,000,000","4,298,000,000","3,817,000,000","3,373,104,000"
			AccountsReceivable,"11,155,000,000","11,254,000,000","9,977,000,000","8,822,000,000","5,428,000,000","5,384,000,000","5,088,000,000","4,758,000,000","4,730,000,000","3,735,000,000","3,854,000,000","4,298,000,000","3,817,000,000","3,373,104,000"
				GrossAccountsReceivable,,,,,"5,474,000,000","5,435,000,000",,,,,,,"3,978,318,000","3,526,814,000"
				AllowanceForDoubtfulAccountsReceivable,,,,,"-46,000,000","-51,000,000",,,,,,,"-160,832,000","-153,710,000"
			TaxesReceivable,,,,,,,,,,"556,000,000","949,000,000","0",,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,"696,000,000","0",
		Inventory,"4,099,000,000","3,579,000,000","3,128,000,000","3,310,000,000","1,813,000,000","1,605,000,000","1,605,000,000","1,444,000,000","1,719,000,000","1,124,000,000","1,150,000,000","1,091,000,000","872,000,000","836,270,000"
			RawMaterials,"1,100,000,000","1,000,000,000","1,003,000,000","791,000,000","386,000,000","270,000,000","173,000,000","141,000,000","169,000,000","154,000,000","261,000,000","258,000,000","236,000,000","172,463,000"
			WorkInProcess,"1,643,000,000","1,417,000,000","1,193,000,000","1,201,000,000","942,000,000","862,000,000","822,000,000","1,080,000,000","1,081,000,000","629,000,000","404,000,000","286,000,000","207,000,000","223,930,000"
			FinishedGoods,"1,356,000,000","1,162,000,000","932,000,000","1,318,000,000","485,000,000","473,000,000","610,000,000","223,000,000","469,000,000","341,000,000","485,000,000","547,000,000","429,000,000","439,877,000"
		PrepaidAssets,,,"4,993,000,000","3,562,000,000","2,354,000,000","1,895,000,000","4,741,000,000","3,562,000,000","1,458,000,000","1,952,000,000","1,234,000,000","1,320,000,000","543,000,000","489,043,000"
		RestrictedCash,,,,,,,,,,,,,"0","1,872,490,000"
		CurrentDeferredAssets,,,,,,,,,,"896,000,000","766,000,000","669,000,000","1,469,000,000","1,636,811,000"
