name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
OperatingCashFlow,"18,638,000,000","22,839,000,000","24,943,000,000","22,777,000,000","17,588,000,000","13,324,000,000","13,427,000,000","9,960,000,000","7,041,000,000","7,535,000,000","3,549,000,000","6,267,000,000","6,345,000,000","6,247,000,000","4,976,000,000","5,367,336,000"
	CashFlowFromContinuingOperatingActivities,"18,638,000,000","22,839,000,000","24,943,000,000","22,777,000,000","17,588,000,000","13,324,000,000","13,427,000,000","9,960,000,000","7,041,000,000","7,535,000,000","3,549,000,000","6,267,000,000","6,345,000,000","6,247,000,000","4,976,000,000","5,367,336,000"
		NetIncomeFromContinuingOperations,"5,350,000,000","4,873,000,000","11,845,000,000","11,549,000,000","4,622,000,000","7,882,000,000","5,687,000,000","5,309,000,000","5,953,000,000","5,144,000,000","1,774,000,000","4,128,000,000","5,275,000,000","3,433,000,000","4,178,000,000","4,636,515,000"
		OperatingGainsLosses,,,"-172,000,000","-68,000,000",,"-330,000,000",,,"298,000,000",,,,,,,
			GainLossOnSaleOfBusiness,,"0","-172,000,000","-68,000,000","0","-330,000,000","0",,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"-330,000,000",,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,"0","0","298,000,000","0","0",,,,,
		DepreciationAmortizationDepletion,"8,516,000,000","8,698,000,000","8,467,000,000","8,521,000,000","6,471,000,000","2,017,000,000","1,765,000,000","1,501,000,000","1,189,000,000","836,000,000","786,000,000","897,000,000","1,150,000,000","1,272,000,000","1,184,000,000","697,492,000"
			DepreciationAndAmortization,"8,516,000,000","8,698,000,000","8,467,000,000","8,521,000,000","6,471,000,000","2,017,000,000","1,765,000,000","1,501,000,000","1,189,000,000","836,000,000","786,000,000","897,000,000","1,150,000,000","1,272,000,000","1,184,000,000","697,492,000"
				Depreciation,"750,000,000","752,000,000","778,000,000","803,000,000","666,000,000","464,000,000","471,000,000","425,000,000","425,000,000","417,000,000","383,000,000","388,000,000","525,000,000","508,000,000","476,000,000","325,281,000"
				AmortizationCashFlow,"7,766,000,000","7,946,000,000","7,689,000,000","7,718,000,000","5,805,000,000","1,553,000,000","1,294,000,000","1,076,000,000","764,000,000","419,000,000","403,000,000","509,000,000","625,000,000","764,000,000","708,000,000","372,211,000"
