name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"73,214,000,000","74,438,000,000","75,196,000,000","72,548,000,000","67,887,000,000","67,173,000,000","76,250,000,000","52,666,000,000","41,247,000,000","41,207,000,000","42,953,000,000","67,235,000,000","60,276,893,000","60,573,852,000","52,416,623,000","42,419,204,000","39,713,924,000","36,178,172,000","29,141,203,000","28,767,494,000","26,039,308,000","24,259,102,000","23,296,423,000","15,283,254,000","14,471,044,000","13,259,900,000","12,061,100,000","11,125,600,000","9,412,580,000","8,523,724,000","7,688,569,000","6,941,200,000","6,255,300,000","5,563,200,000","4,851,600,000","4,825,100,000","4,385,700,000","3,865,600,000","3,468,400,000"
	CurrentAssets,"22,670,000,000","25,224,000,000","24,239,000,000","20,441,000,000","15,667,000,000","14,632,000,000","20,147,000,000","26,776,000,000","14,155,000,000","13,556,000,000","19,247,000,000","31,323,000,000","23,768,774,000","22,317,529,000","23,313,891,000","17,042,559,000","14,042,733,000","11,281,883,000","11,386,028,000","10,734,485,000","9,614,381,000","9,121,772,000","8,419,189,000","7,376,241,000","6,419,754,000","5,589,800,000","5,038,200,000","4,480,900,000","4,226,711,000","3,876,328,000","3,585,535,000","3,231,700,000","2,891,100,000","2,461,200,000","2,102,800,000","2,353,000,000","2,155,500,000","1,888,900,000","1,680,400,000"
		CashCashEquivalentsAndShortTermInvestments,"7,279,000,000","10,170,000,000","10,249,000,000","7,148,000,000","4,140,000,000","4,086,000,000","9,610,000,000","18,775,000,000","6,125,000,000","4,460,000,000","8,098,000,000","15,174,000,000","8,097,359,000","5,451,450,000","9,932,048,000","5,079,625,000","2,820,827,000","1,373,435,000","2,956,093,000","2,058,962,000","1,286,421,000","966,127,000","713,540,000","1,156,718,000","723,296,000","411,000,000","230,000,000","110,200,000","315,697,000","315,328,000","378,825,000","116,600,000","60,400,000","34,000,000","13,600,000","582,600,000","519,900,000","481,600,000","437,500,000"
			CashAndCashEquivalents,"6,896,000,000","9,882,000,000","9,799,000,000","6,838,000,000","3,860,000,000","3,844,000,000","9,407,000,000","18,620,000,000","5,001,000,000","4,063,000,000","3,475,000,000","10,802,000,000","6,812,820,000","3,648,371,000","8,809,339,000","4,112,022,000","2,456,384,000","521,192,000","2,893,687,000","1,225,628,000","995,124,000","704,450,000","657,378,000","914,218,000","608,097,000","315,200,000","230,000,000","110,200,000","281,197,000","290,272,000","300,676,000","116,600,000","60,400,000","34,000,000","13,600,000","582,600,000","519,900,000","481,600,000","437,500,000"
			OtherShortTermInvestments,"383,000,000","288,000,000","450,000,000","310,000,000","280,000,000","242,000,000","203,000,000","155,000,000","1,124,000,000","397,000,000","4,623,000,000","4,372,000,000","1,284,539,000","1,803,079,000","1,122,709,000","967,603,000","364,443,000","852,243,000","62,406,000","833,334,000","291,297,000","261,677,000","56,162,000","242,500,000","115,199,000","95,800,000","28,986,000","12,875,000","34,500,000","25,056,000","78,149,000",,,,,,,,
		Receivables,"8,821,000,000","8,881,000,000","8,833,000,000","8,281,000,000","7,211,000,000","6,750,000,000","6,916,000,000","5,054,000,000","5,326,000,000","5,561,000,000","5,490,000,000","9,370,000,000","9,686,626,000","8,728,804,000","6,541,941,000","5,465,660,000","4,946,876,000","4,231,142,000","3,576,794,000","3,696,115,000","3,313,377,000","2,927,370,000","2,812,727,000","2,179,451,000","2,055,839,000","1,955,900,000","1,782,300,000","1,708,800,000","1,563,038,000","1,468,519,000","1,336,222,000","1,244,400,000","1,150,900,000","1,070,200,000","892,700,000","781,800,000","728,000,000","624,900,000","563,300,000"
			AccountsReceivable,"6,565,000,000","6,218,000,000","6,487,000,000","6,414,000,000","5,425,000,000","5,182,000,000","5,249,000,000","3,248,000,000","3,418,000,000","3,586,000,000","3,986,000,000","7,613,000,000","7,683,920,000","7,184,034,000","6,541,941,000",,"4,946,876,000","4,231,142,000","3,576,794,000","3,696,115,000","3,313,377,000","2,927,370,000","2,812,727,000","2,179,451,000","2,055,839,000","1,955,900,000","1,782,300,000","1,708,800,000","1,563,038,000","1,468,519,000","1,336,222,000","1,244,400,000",,,,,,,
				GrossAccountsReceivable,"7,009,000,000","6,718,000,000","7,006,000,000","6,874,000,000","5,809,000,000","5,496,000,000","5,543,000,000","3,498,000,000","3,755,000,000","3,896,000,000","4,298,000,000","8,019,000,000","8,104,499,000","7,572,598,000",,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-444,000,000","-500,000,000","-519,000,000","-460,000,000","-384,000,000","-314,000,000","-294,000,000","-250,000,000","-337,000,000","-310,000,000","-312,000,000","-406,000,000","-420,579,000","-388,564,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"2,256,000,000","2,663,000,000","2,346,000,000","1,867,000,000","1,786,000,000","1,568,000,000","1,667,000,000","1,806,000,000","1,908,000,000","1,975,000,000","1,504,000,000","1,757,000,000","2,002,706,000","1,544,770,000",,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"6,570,000,000","6,173,000,000","5,157,000,000","5,012,000,000","4,316,000,000","3,796,000,000","3,601,000,000","2,434,000,000","2,599,000,000","2,643,000,000","2,693,000,000","3,793,000,000","3,284,249,000","3,188,734,000","3,264,877,000","2,775,849,000","2,951,442,000","2,806,421,000","2,541,979,000","2,620,463,000","2,738,439,000","2,441,302,000","2,212,035,000","1,741,331,000","1,495,444,000","1,412,700,000","1,280,000,000","1,238,200,000","1,110,941,000","1,018,191,000","940,533,000","863,800,000","815,400,000","777,600,000","696,000,000","611,300,000","612,200,000","524,400,000","463,800,000"
			RawMaterials,"1,817,000,000","1,688,000,000","1,382,000,000","1,270,000,000","972,000,000","890,000,000","790,000,000","516,000,000","539,000,000","558,000,000","478,000,000","818,000,000","631,364,000","746,419,000","527,110,000","531,759,000","592,725,000","781,647,000","708,155,000","548,737,000","725,021,000","602,883,000","570,396,000","466,951,000","384,148,000","367,339,000","324,892,000","341,313,000","311,361,000","284,833,000","247,492,000",,,,,,,,
			WorkInProcess,"807,000,000","680,000,000","694,000,000","712,000,000","560,000,000","499,000,000","472,000,000","294,000,000","316,000,000","278,000,000","349,000,000","629,000,000","432,358,000","383,580,000","448,487,000","698,140,000","681,634,000","686,425,000","630,267,000","582,787,000","545,977,000","563,659,000","487,310,000","370,407,000","338,818,000","345,776,000","287,653,000","269,443,000","238,943,000","218,643,000","216,493,000",,,,,,,,
			FinishedGoods,"3,946,000,000","3,805,000,000","3,081,000,000","3,030,000,000","2,784,000,000","2,407,000,000","2,339,000,000","1,624,000,000","1,744,000,000","1,807,000,000","1,866,000,000","2,346,000,000","2,220,527,000","2,058,735,000","2,289,280,000","1,545,950,000","1,677,083,000","1,338,349,000","1,203,557,000","1,488,939,000","1,467,441,000","1,274,760,000","1,154,329,000","903,973,000","772,478,000","697,494,000","667,355,000","627,449,000","560,637,000","514,715,000","476,548,000",,,,,,,,
		PrepaidAssets,,,"2,346,000,000","1,867,000,000","1,786,000,000","1,568,000,000","1,667,000,000","1,806,000,000","1,908,000,000","1,975,000,000","1,504,000,000","1,757,000,000","2,002,706,000","1,544,770,000","1,210,883,000",,"1,213,716,000","1,153,969,000","932,691,000","1,080,143,000","1,110,885,000","1,764,112,000","1,568,640,000","2,298,741,000","2,145,175,000","1,809,152,000","1,716,972,000","1,410,806,000","1,237,035,000","525,199,000","471,929,000",,,,,,,,
		RestrictedCash,,,,,,,,,,,,"0","0","1,872,490,000",,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"1,705,000,000","2,528,000,000","2,986,000,000","2,700,540,000","3,076,051,000","2,364,142,000","2,462,871,000","2,109,872,000","1,716,916,000","1,248,569,000","1,031,746,000","1,165,259,000","1,022,861,000","1,112,247,000",,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"1,705,000,000","2,528,000,000","2,986,000,000","2,700,540,000","3,076,051,000","2,364,142,000","2,462,871,000","2,109,872,000","1,716,916,000","1,248,569,000","1,031,746,000","1,165,259,000","1,022,861,000","1,112,247,000",,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,"9,000,000","20,000,000","513,000,000","105,000,000","892,000,000","438,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
