name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"7,900,000,000","7,261,000,000","9,581,000,000","10,533,000,000","7,901,000,000","6,136,000,000","6,300,000,000","5,570,000,000","3,203,000,000","2,966,000,000","3,675,000,000","3,324,000,000","9,314,000,000","8,970,000,000","8,735,981,000","7,275,160,000","6,994,620,000","5,183,843,000","5,329,241,000","5,174,416,000","4,467,031,000","3,553,097,000","3,992,087,000","3,566,848,000","3,099,618,000","2,937,500,000","2,780,200,000","2,660,100,000","2,382,100,000","1,965,581,000","2,212,137,000","1,846,909,000","1,388,800,000","1,453,200,000","1,200,900,000","959,900,000"
	CashFlowFromContinuingOperatingActivities,"7,900,000,000","7,261,000,000","9,581,000,000","10,533,000,000","7,901,000,000","6,136,000,000","6,300,000,000","5,570,000,000","3,203,000,000","2,966,000,000","3,675,000,000","3,324,000,000","9,314,000,000","8,970,000,000","8,735,981,000","7,275,160,000","6,994,620,000","5,183,843,000","5,262,089,000","5,047,404,000","4,306,023,000","3,385,234,000","3,653,516,000","3,566,848,000","3,099,618,000","2,937,500,000","2,780,200,000","2,660,100,000","2,382,100,000","1,965,581,000","2,212,137,000","1,846,909,000","1,388,800,000","1,453,200,000","1,200,900,000","959,900,000"
		NetIncomeFromContinuingOperations,"5,557,000,000","5,723,000,000","6,933,000,000","7,071,000,000","4,495,000,000","3,687,000,000","2,368,000,000","477,000,000","1,400,000,000","4,423,000,000","2,284,000,000","2,576,000,000","5,963,000,000","4,728,000,000","4,626,172,000","5,745,838,000","4,734,216,000","3,606,314,000","1,716,755,000","3,372,065,000","3,175,836,000","2,504,725,000","2,547,005,000","1,550,390,000","2,785,977,000","2,445,800,000","2,334,400,000","2,079,100,000","1,882,000,000","1,688,700,000","1,516,683,000","1,399,126,000","1,239,100,000","1,088,700,000","965,800,000","859,800,000"
		OperatingGainsLosses,,"126,000,000","215,000,000","55,000,000","425,000,000","247,000,000","293,000,000","-1,161,000,000","1,488,000,000","-3,065,000,000","87,000,000","4,000,000","1,707,000,000","142,000,000","126,337,000","-585,163,000","114,246,000","356,331,000","2,204,688,000","142,459,000","326,406,000","176,995,000","201,223,000","1,490,336,000","-68,593,000","83,700,000","76,600,000","145,000,000","53,800,000","48,055,000","30,434,000","-34,243,000","4,500,000","43,200,000","-9,600,000","5,100,000"
			GainLossOnSaleOfBusiness,,,,,,"0","0","-1,208,000,000","-25,000,000","-3,047,000,000","0","0",,,,,"-94,248,000",,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,"0","0","480,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"126,000,000","215,000,000","55,000,000","425,000,000","184,000,000","126,000,000","47,000,000","86,000,000","-18,000,000","69,000,000","4,000,000","356,000,000","142,000,000","126,337,000",,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,"0","0","947,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"3,247,000,000","3,243,000,000","3,267,000,000","3,538,000,000","3,327,000,000","3,014,000,000","3,278,000,000","3,021,000,000","1,353,000,000","1,472,000,000","1,548,000,000","1,719,000,000","2,782,000,000","3,044,000,000","2,624,305,000","2,089,510,000","1,838,829,000","1,854,886,000","1,558,750,000","1,358,939,000","1,288,700,000","1,127,439,000","1,043,623,000","1,168,018,000","827,431,000","828,000,000","786,400,000","729,100,000","686,100,000","566,423,000","510,504,000","484,081,000","427,800,000","379,000,000","355,900,000","307,300,000"
			DepreciationAndAmortization,"3,247,000,000","3,243,000,000","3,267,000,000","3,538,000,000","3,327,000,000","3,014,000,000","3,278,000,000","3,021,000,000","1,353,000,000","1,472,000,000","1,548,000,000","1,719,000,000","2,782,000,000","3,044,000,000","2,624,305,000","2,089,510,000","1,838,829,000","1,854,886,000","1,558,750,000","1,358,939,000","1,288,700,000","1,127,439,000","1,043,623,000","1,168,018,000","827,431,000","828,000,000","786,400,000","729,100,000","686,100,000","566,423,000","510,504,000","484,081,000","427,800,000","379,000,000","355,900,000","307,300,000"
