name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"40,725,000,000","40,109,000,000","43,653,000,000","43,075,000,000","34,608,000,000","31,904,000,000","30,578,000,000","27,390,000,000","20,853,000,000","20,405,000,000","20,247,000,000","19,657,000,000","19,050,000,000","21,407,000,000","35,166,721,000","30,764,707,000","29,527,552,000","25,914,238,000","22,476,322,000","22,337,808,000","19,680,016,000","17,280,333,000","15,279,537,000","16,285,246,000","13,745,916,000","13,177,600,000","12,512,700,000","11,889,300,000","11,013,500,000","10,012,194,000","9,156,009,000","8,407,843,000","7,851,900,000","6,876,600,000","6,158,700,000","5,379,800,000","4,937,000,000","4,387,900,000","3,807,600,000","3,360,300,000"
	OperatingRevenue,"40,725,000,000","40,109,000,000","43,653,000,000","43,075,000,000","34,608,000,000","31,904,000,000","30,578,000,000","27,390,000,000","20,853,000,000","20,405,000,000","20,247,000,000","19,657,000,000","19,050,000,000","21,407,000,000","35,166,721,000","30,764,707,000","29,527,552,000","25,914,238,000","22,476,322,000","22,337,808,000","19,680,016,000","17,280,333,000","15,279,537,000","16,285,246,000","13,745,916,000","13,177,600,000","12,512,700,000","11,889,300,000","11,013,500,000","10,012,194,000","9,156,009,000","8,407,843,000","7,851,900,000","6,876,600,000","6,158,700,000","5,379,800,000","4,937,000,000","4,387,900,000","3,807,600,000","3,360,300,000"
CostOfRevenue,"18,227,000,000","17,975,000,000","19,142,000,000","18,537,000,000","15,003,000,000","13,231,000,000","12,706,000,000","12,409,000,000","9,094,000,000","8,747,000,000","9,218,000,000","9,193,000,000","8,899,000,000","10,017,000,000","14,665,192,000","13,209,329,000","12,612,022,000","11,422,046,000","9,815,147,000","10,641,111,000","8,884,157,000","7,774,239,000","6,820,501,000","7,748,382,000","6,238,646,000","5,149,200,000","4,620,300,000","4,323,200,000","4,045,900,000","4,325,805,000","3,993,831,000","3,684,727,000","3,077,500,000","2,761,000,000","2,554,200,000","2,249,300,000","2,082,300,000","1,858,200,000","1,668,900,000","1,539,200,000"
GrossProfit,"22,498,000,000","22,134,000,000","24,511,000,000","24,538,000,000","19,605,000,000","18,673,000,000","17,872,000,000","14,981,000,000","11,759,000,000","11,658,000,000","11,029,000,000","10,464,000,000","10,151,000,000","11,390,000,000","20,501,529,000","17,555,378,000","16,915,530,000","14,492,192,000","12,661,175,000","11,696,697,000","10,795,859,000","9,506,094,000","8,459,036,000","8,536,864,000","7,507,270,000","8,028,400,000","7,892,400,000","7,566,100,000","6,967,600,000","5,686,389,000","5,162,178,000","4,723,116,000","4,774,400,000","4,115,600,000","3,604,500,000","3,130,500,000","2,854,700,000","2,529,700,000","2,138,700,000","1,821,100,000"
OperatingExpense,"16,016,000,000","15,656,000,000","16,149,000,000","16,113,000,000","14,248,000,000","14,141,000,000","14,222,000,000","13,417,000,000","8,733,000,000","8,791,000,000","8,430,000,000","8,331,000,000","8,791,000,000","9,761,000,000","14,100,748,000","11,319,637,000","11,124,435,000","9,913,647,000","8,604,956,000","7,317,298,000","6,618,533,000","6,431,842,000","5,199,392,000","5,312,432,000","4,106,695,000","4,879,100,000","4,775,000,000","4,732,300,000","4,350,500,000","3,303,485,000","3,017,971,000","2,799,150,000","3,248,400,000","2,558,600,000","2,198,400,000","1,909,300,000","1,752,700,000","1,524,000,000","1,260,100,000","1,084,000,000"
	SellingGeneralAndAdministration,"11,342,000,000","10,949,000,000","11,248,000,000","11,324,000,000","9,696,000,000","9,765,000,000","9,744,000,000","9,182,000,000","6,736,000,000","6,785,000,000","6,530,000,000","6,372,000,000","6,735,000,000","7,365,000,000","10,376,324,000","8,405,904,000","8,435,624,000","7,407,998,000","6,349,685,000","5,496,123,000","4,921,780,000","4,808,090,000","3,724,855,000","3,734,880,000","2,894,178,000","2,857,100,000","2,759,800,000","2,695,800,000","2,459,600,000","2,230,740,000","2,054,455,000","1,988,176,000","2,820,600,000","2,179,600,000","1,842,500,000","1,602,000,000","1,481,800,000","1,280,300,000","1,060,600,000","928,200,000"
	ResearchAndDevelopment,"2,754,000,000","2,741,000,000","2,888,000,000","2,742,000,000","2,420,000,000","2,440,000,000","2,300,000,000","2,260,000,000","1,447,000,000","1,405,000,000","1,345,000,000","1,371,000,000","1,461,000,000","1,512,000,000","3,724,424,000","2,913,733,000","2,688,811,000","2,505,649,000","2,255,271,000","1,821,175,000","1,696,753,000","1,623,752,000","1,474,537,000","1,577,552,000","1,351,024,000","1,194,000,000","1,228,800,000","1,307,400,000","1,204,800,000","1,072,745,000","963,516,000","880,974,000",,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,920,000,000","1,966,000,000","2,013,000,000","2,047,000,000","2,132,000,000","1,936,000,000","2,178,000,000","1,975,000,000","550,000,000","601,000,000","555,000,000","588,000,000","595,000,000","884,000,000",,,,,,,,,,,,"828,000,000","786,400,000","729,100,000","686,100,000",,,,"427,800,000","379,000,000","355,900,000","307,300,000","270,900,000","243,700,000","199,500,000","155,800,000"
		DepreciationAndAmortizationInIncomeStatement,"1,920,000,000","1,966,000,000","2,013,000,000","2,047,000,000","2,132,000,000","1,936,000,000","2,178,000,000","1,975,000,000","550,000,000","601,000,000","555,000,000","588,000,000","595,000,000","884,000,000",,,,,,,,,,,,"828,000,000","786,400,000","729,100,000","686,100,000",,,,"427,800,000","379,000,000","355,900,000","307,300,000","270,900,000","243,700,000","199,500,000","155,800,000"
			Amortization,"1,920,000,000","1,966,000,000","2,013,000,000","2,047,000,000","2,132,000,000","1,936,000,000","2,178,000,000","1,975,000,000","550,000,000","601,000,000","555,000,000","588,000,000","595,000,000","884,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
