name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2000
OperatingCashFlow,"80,526,000","16,702,000","-114,035,000","-125,660,000","-136,166,000","-151,130,000","-167,470,000","-217,757,000","-208,408,000","-121,795,000","-66,434,000","-31,769,000","-21,633,000","-19,897,000","-10,703,000","-13,727,000","-64,869,000","-54,926,000","-41,418,000","-20,263,000","-20,693,000","-9,816,400","-9,243,200",
	CashFlowFromContinuingOperatingActivities,"80,526,000","16,702,000","-114,035,000","-125,660,000","-136,166,000","-151,130,000","-167,470,000","-217,757,000","-208,408,000","-121,795,000","-66,434,000","-31,769,000","-21,633,000","-19,897,000","-10,703,000","-13,727,000","-64,869,000","-54,926,000","-41,418,000","-20,263,000","-20,693,000","-9,816,400","-9,243,200",
		NetIncomeFromContinuingOperations,"30,565,000","-61,286,000","-215,975,000","-167,870,000","-281,584,000","-235,259,000","-245,192,000","-289,403,000","-271,393,000","-164,443,000","-92,475,000","-37,948,000","-20,849,000","-22,765,000","15,139,000","-45,145,000","-64,244,000","-56,390,000","-45,048,000","-34,135,000","-25,917,000","-14,092,600","-12,868,200",
		OperatingGainsLosses,,"-4,585,000","-3,542,000","-2,329,000","1,278,000","-994,000","1,928,000","4,000","5,000",,,"-10,000","-252,000",,"-94,000",,,"-155,000","-176,000","1,459,000","2,363,000","1,392,500","1,162,600",
			GainLossOnSaleOfPPE,,,,,,,,,,,,"-10,000","-252,000","0","-94,000",,,,,,,,,
			GainLossOnInvestmentSecurities,,"-4,585,000","-3,542,000","-2,329,000","997,000","-997,000","1,840,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"11,459,000","5,552,000","2,026,000","3,344,000","2,932,000","2,766,000","3,005,000","2,713,000","1,828,000","647,000","206,000","79,000","109,000","285,000","607,000","1,111,000","1,043,000","768,000","-146,000","1,026,000","1,306,000","1,343,600","1,402,800",
			DepreciationAndAmortization,"11,459,000","5,552,000","2,026,000","3,344,000","2,932,000","2,766,000","3,005,000","2,713,000","1,828,000","647,000","206,000","79,000","109,000","285,000","607,000","1,111,000","1,043,000","768,000","-146,000","1,026,000","1,306,000","1,343,600","1,402,800",
				Depreciation,"1,099,000","1,459,000","2,026,000","2,236,000","1,455,000","1,289,000","1,529,000","1,236,000","843,000","647,000","206,000","79,000","109,000","285,000","607,000",,,"1,065,000","852,000",,,,,
				AmortizationCashFlow,"10,360,000","4,093,000","0","1,108,000","1,477,000","1,477,000","1,476,000","1,477,000","985,000","0","0",,,,,,,"-297,000","-998,000",,,,,
					AmortizationOfIntangibles,"10,360,000","4,093,000","0","1,108,000","1,477,000","1,477,000","1,476,000","1,477,000","985,000","0","0",,,,,,,"-297,000","-998,000",,,,,
		AmortizationOfSecurities,"-7,515,000","-7,533,000","-2,736,000","2,404,000","1,470,000","-3,613,000","-578,000","-291,000","89,000","-2,060,000","484,000","1,528,000","-133,000","105,000","-117,000",,"911,000",,,,,,,
		StockBasedCompensation,"66,997,000","66,421,000","68,201,000","63,615,000","84,422,000","82,265,000","81,564,000","75,532,000","55,265,000","40,194,000","16,039,000","5,711,000","1,930,000","1,598,000","1,583,000","2,134,000","2,987,000",,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-596,000","-247,000","0",,,,,,,,,,,,,
		OtherNonCashItems,,,,,"44,280,000",,,,,,,,,"806,000","-211,000","583,000","916,000","4,295,000","3,378,000",,"-1,000",,,
		ChangeInWorkingCapital,"-19,491,000","18,133,000","37,991,000","-24,824,000","11,036,000","3,705,000","-8,197,000","-6,312,000","6,394,000","4,114,000","9,312,000","-1,129,000","-2,438,000","74,000","-27,821,000","27,590,000","-5,571,000","-3,444,000","574,000","11,387,000","1,556,000","1,540,100","1,059,600","25,330,000"
			ChangeInReceivables,"-26,237,000","-39,270,000","2,264,000","-15,062,000","-12,408,000","-10,085,000","-9,359,000","-11,290,000","-5,502,000","-674,000","-214,000","-505,000","279,000",,,,,,,,,,,
				ChangesInAccountReceivables,"-21,846,000","-36,072,000","2,171,000","-16,119,000","-12,466,000","-9,691,000","-8,747,000","-11,440,000","-5,903,000","0","0",,,,,,,,,,,,,
			ChangeInInventory,"-70,084,000","-28,808,000","2,415,000","-4,210,000","-3,320,000","-1,737,000","1,926,000","-1,012,000","-3,305,000","0","0",,,,,,,,,,,,,
			ChangeInPrepaidAssets,"-22,161,000","-17,693,000","2,494,000","1,802,000","-7,088,000","2,121,000","-12,270,000","-911,000","-4,731,000","-804,000","652,000","-1,484,000","41,000","-131,000","671,000","1,013,000","1,966,000","-1,788,000","2,075,000","-2,713,000","-601,000","-177,700","-191,200",
			ChangeInPayablesAndAccruedExpense,"94,409,000","97,967,000","30,176,000","-10,072,000","28,840,000","10,513,000","10,375,000","9,080,000","17,819,000","5,912,000","8,910,000","1,410,000","50,000","248,000","-3,125,000","-1,626,000","-7,351,000","-845,000","1,314,000","-80,000","578,000","319,800","538,300",
				ChangeInPayable,"1,071,000","4,797,000","5,870,000","-1,617,000","1,271,000","4,055,000","-5,619,000","4,874,000","2,240,000","-344,000","1,644,000","-1,003,000","-585,000","-29,000","-990,000","656,000","-276,000",,,,,,,
					ChangeInAccountPayable,"1,071,000","4,797,000","5,870,000","-1,617,000","1,271,000","4,055,000","-5,619,000","4,874,000","2,240,000","-344,000","1,644,000","-1,003,000","-585,000","-29,000","-990,000","656,000","-276,000",,,,,,,
				ChangeInAccruedExpense,"93,338,000","93,170,000","24,306,000","-8,455,000","27,569,000","6,458,000","15,994,000","4,206,000","15,579,000","6,256,000","7,266,000","2,413,000","635,000","277,000","-2,135,000","-2,282,000","-7,075,000",,,,,,,
			ChangeInOtherCurrentAssets,"6,095,000","5,736,000","6,518,000","6,297,000","4,462,000","3,914,000","-236,000","431,000","-456,000","-42,000","-108,000","-179,000","14,000","106,000","26,000",,,,,"-98,000","107,000","81,600","10,400",
			ChangeInOtherCurrentLiabilities,"-1,513,000","201,000","-5,876,000","-3,579,000","550,000","-1,021,000","1,367,000","34,000","-75,000","97,000","127,000","8,000","0","-92,000","-90,000",,,"-516,000","-2,588,000","14,278,000","1,472,000","1,316,400","702,100",
			ChangeInOtherWorkingCapital,,,,,"5,012,000","2,893,000","1,131,000","-2,644,000","2,644,000","-375,000","-55,000","-379,000","-2,822,000","-57,000","-25,303,000","28,203,000","-186,000","-295,000","-227,000",,,,,
InvestingCashFlow,"-36,468,000","31,998,000","73,241,000","-71,102,000","192,509,000","-165,836,000","-71,489,000","92,473,000","-261,924,000","147,570,000","-87,273,000","-126,104,000","-25,528,000","5,980,000","-1,060,000","9,444,000","69,714,000","-41,902,000","-22,936,000","-6,651,000","-7,379,000","-14,690,900","3,848,400",
	CashFlowFromContinuingInvestingActivities,"-36,468,000","31,998,000","73,241,000","-71,102,000","192,509,000","-165,836,000","-71,489,000","92,473,000","-261,924,000","147,570,000","-87,273,000","-126,104,000","-25,528,000","5,980,000","-1,060,000","9,444,000","69,714,000","-41,902,000","-22,936,000","-6,651,000","-7,379,000","-14,690,900","3,848,400",
		NetPPEPurchaseAndSale,,"-50,000","0","-1,122,000","-7,587,000","-1,129,000","-2,104,000","-812,000","-1,506,000","-2,141,000","-180,000","-606,000","252,000","-3,000","128,000","-41,000","-226,000","-416,000","-2,026,000","-1,022,000","-585,000","-1,777,300","-380,600",
			PurchaseOfPPE,,"-50,000","0","-1,122,000","-7,587,000","-1,129,000","-2,104,000","-812,000","-1,506,000","-2,141,000","-180,000","-618,000","0","-3,000","0","-41,000","-226,000","-416,000","-2,026,000","-1,022,000","-585,000","-1,777,300","-380,600",
			SaleOfPPE,"0",,,,,"0","44,000","0","0",,"0","12,000","252,000","0","128,000","0",,,,,,,,
		NetIntangiblesPurchaseAndSale,"0","-40,000,000","0","0",,,"0","0","-8,000,000","0","0",,,,,,,,,,,,,
			PurchaseOfIntangibles,,,,,,,,,"-8,000,000",,"0",,,,,,,,,,,,,
		NetInvestmentPurchaseAndSale,"-36,418,000","72,048,000","73,241,000","-69,980,000","200,096,000","-164,707,000","-69,385,000","93,285,000","-252,418,000","149,711,000","-87,093,000","-125,498,000","-25,780,000","5,983,000","-1,188,000","9,485,000","69,940,000","-41,486,000","-33,430,000","-5,630,000","-6,793,000","-12,913,600","4,229,000",
			PurchaseOfInvestment,"-359,156,000","-369,985,000","-363,174,000","-492,797,000","-339,908,000","-578,634,000","-331,063,000","-478,818,000","-683,355,000","-269,486,000","-335,361,000","-211,585,000","-56,728,000","-48,066,000","-54,674,000","-50,265,000","-79,972,000","-222,231,000","-116,596,000","-54,523,000","-36,646,000","-37,063,600","-11,992,000",
			SaleOfInvestment,"322,738,000","442,033,000","436,415,000","422,817,000","540,004,000","413,927,000","261,678,000","572,103,000","430,937,000","419,197,000","248,268,000","86,087,000","30,948,000","54,049,000","53,486,000","59,750,000","149,912,000","180,745,000","83,166,000","48,893,000","29,853,000","24,150,000","16,221,000",
		NetOtherInvestingChanges,,,,,,,,,,,,,,,,,,,"12,520,000","1,000","-1,000",,,
FinancingCashFlow,"22,793,000","25,129,000","8,199,000","18,162,000","80,996,000","371,847,000","306,647,000","31,188,000","533,812,000","14,502,000","203,851,000","111,682,000","98,172,000","13,944,000","470,000","1,161,000","-374,000","98,220,000","69,996,000","28,370,000","30,106,000","26,404,100","4,385,600",
	CashFlowFromContinuingFinancingActivities,"22,793,000","25,129,000","8,199,000","18,162,000","80,996,000","371,847,000","306,647,000","31,188,000","533,812,000","14,502,000","203,851,000","111,682,000","98,172,000","13,944,000","470,000","1,161,000","-374,000","98,220,000","69,996,000","28,370,000","30,106,000","26,404,100","4,385,600",
		NetIssuancePaymentsOfDebt,,,,,,,,,,,"0","0","-32,000","-78,000","-353,000","-762,000","-909,000","-379,000","593,000","-780,000","-1,395,000","-1,620,300","4,370,600",
			NetLongTermDebtIssuance,,,,,,,,,,,"0","0","-32,000","-78,000","-353,000","-762,000","-909,000",,,,,,,
				LongTermDebtIssuance,,,,,,,,,,,,,,,,"0","0",,,,,,,
				LongTermDebtPayments,,,,,,,,,,,"0","0","-32,000","-78,000","-353,000","-762,000","-909,000",,,,,,,
		NetCommonStockIssuance,"22,793,000","25,129,000","8,199,000","18,162,000","80,996,000","371,847,000","306,647,000","31,188,000","518,896,000","14,547,000","203,851,000","111,682,000","98,204,000","14,022,000","823,000","1,923,000","535,000","98,599,000","69,403,000","41,670,000","31,501,000","28,024,400","15,000",
			CommonStockIssuance,"22,793,000","25,129,000","8,199,000","18,162,000","80,996,000","371,847,000","306,647,000","31,188,000","518,896,000","14,547,000","203,851,000","111,682,000","98,204,000","14,022,000","823,000","1,923,000","535,000","98,599,000","69,403,000","41,670,000","31,501,000","28,024,400","15,000",
		NetOtherFinancingCharges,,,,,,,,,"14,916,000","-45,000",,,,,,,,,,"-12,520,000",,,,
EndCashPosition,"182,912,000","194,427,000","120,616,000","153,205,000","331,798,000","194,467,000","139,584,000","71,893,000","165,995,000","102,138,000","61,854,000","11,707,000","57,899,000","6,889,000","6,849,000","18,122,000","21,171,000","16,987,000","15,480,000","9,796,000","8,302,000","6,308,100","4,453,600",
	ChangesInCash,"66,851,000","73,829,000","-32,595,000","-178,600,000","137,339,000","54,881,000","67,688,000","-94,096,000","63,480,000","40,277,000","50,144,000","-46,191,000","51,011,000","27,000","-11,293,000","-3,122,000","4,471,000","1,392,000","5,642,000","1,456,000","2,034,000","1,896,800","-1,009,200",
	EffectOfExchangeRateChanges,"-8,000","-18,000","6,000","7,000","-8,000","2,000","3,000","-6,000","2,000","7,000","3,000","-1,000","-1,000","13,000","20,000","73,000","-287,000","115,000","42,000","38,000","-41,000","-42,300","-48,000",
	BeginningCashPosition,"116,061,000","120,616,000","153,205,000","331,798,000","194,467,000","139,584,000","71,893,000","165,995,000","102,513,000","61,854,000","11,707,000","57,899,000","6,889,000","6,849,000","18,122,000","21,171,000","16,987,000","15,480,000","9,796,000","8,302,000","6,308,000","4,453,600","5,510,800",
	OtherCashAdjustmentOutsideChangeinCash,,,,,,,,,,,,,,,,,,,,,"1,000",,,
IncomeTaxPaidSupplementalData,,"5,850,000","2,190,000","1,038,000","1,113,000","1,597,000","1,261,000","1,367,000","365,000","-415,000","0",,,,,,,,,,,,,
InterestPaidSupplementalData,,,,,,,,,,,,,,"8,000","37,000","96,000","171,000",,,,,,,
CapitalExpenditure,,"-40,050,000",,"-1,122,000","-7,587,000","-1,129,000","-2,104,000","-812,000","-9,506,000","-2,141,000","-180,000","-618,000",,"-3,000",,"-41,000","-226,000","-416,000","-2,026,000","-1,022,000","-585,000","-1,777,300","-380,600",
IssuanceOfCapitalStock,"22,793,000","25,129,000","8,199,000","18,162,000","80,996,000","371,847,000","306,647,000","31,188,000","518,896,000","14,547,000","203,851,000","111,682,000","98,204,000","14,022,000","823,000","1,923,000","535,000","98,599,000","69,403,000","41,670,000","31,501,000","28,024,400","15,000",
IssuanceOfDebt,,,,,,,,,,,,,,,,"0","0",,,,,,,
RepaymentOfDebt,,,,,,,,,,,"0","0","-32,000","-78,000","-353,000","-762,000","-909,000",,,,,,,
FreeCashFlow,"80,476,000","-23,348,000","-114,035,000","-126,782,000","-143,753,000","-152,259,000","-169,574,000","-218,569,000","-217,914,000","-123,936,000","-66,614,000","-32,387,000","-21,633,000","-19,900,000","-10,703,000","-13,768,000","-65,095,000","-55,342,000","-43,444,000","-21,285,000","-21,278,000","-11,593,700","-9,623,800",
