name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"890,534,000","726,437,000","517,235,000","484,145,000","441,755,000","339,076,000","223,807,000","124,901,000","17,331,000","61,000","120,000","1,145,000","4,907,000","2,067,000","42,135,000","6,399,000","1,590,000","7,555,000","8,133,000","10,956,000","4,604,000","7,378,400","6,275,600","3,714,000","4,312,000"
	OperatingRevenue,"890,534,000","726,437,000","517,235,000","484,145,000","441,755,000","339,076,000","223,807,000","124,901,000","17,331,000","61,000","120,000","1,145,000","4,907,000","2,067,000","42,135,000","6,399,000","1,590,000","7,555,000","8,133,000","10,956,000","4,604,000","7,378,400","6,275,600","3,714,000","4,312,000"
CostOfRevenue,"73,693,000","41,638,000","10,166,000","19,141,000","20,550,000","19,598,000","18,330,000","13,060,000","4,406,000","2,500,000","0",,,"0","0","0","0",,,,,,,,
GrossProfit,"816,841,000","684,799,000","507,069,000","465,004,000","421,205,000","319,478,000","205,477,000","111,841,000","12,925,000","-2,439,000","120,000",,,"2,067,000","42,135,000","6,399,000","1,590,000",,,,,,,,
OperatingExpense,"794,026,000","758,178,000","730,665,000","635,443,000","707,791,000","566,023,000","452,921,000","404,251,000","285,740,000","162,173,000","93,350,000","39,442,000","25,793,000","24,919,000","27,041,000","51,867,000","68,568,000","70,209,000","57,187,000","46,762,000","30,699,000","21,118,400","18,901,500","18,993,000","15,581,000"
	SellingGeneralAndAdministration,"434,410,000","406,559,000","369,090,000","396,028,000","388,661,000","325,638,000","265,758,000","255,062,000","186,456,000","88,304,000","32,748,000","12,720,000","6,999,000","7,610,000","6,462,000","10,282,000","11,818,000","12,267,000","11,349,000","15,915,000","7,246,000","4,183,400","3,980,800","3,756,000","2,999,000"
		GeneralAndAdministrativeExpense,,,,"396,028,000","388,661,000","325,638,000","265,758,000","255,062,000","186,456,000","88,304,000","32,748,000","12,720,000","6,999,000","7,610,000","6,462,000",,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,"3,503,000","1,250,000",,,,,,,,,,,,
			OtherGandA,,,,"396,028,000","388,661,000","325,638,000","265,758,000","255,062,000","186,456,000","88,304,000","32,748,000","12,720,000","6,999,000","7,610,000","6,462,000",,,,,,,,,,
	ResearchAndDevelopment,"359,616,000","351,619,000","361,575,000","239,415,000","319,130,000","240,385,000","187,163,000","149,189,000","99,284,000","73,869,000","60,602,000","26,722,000","18,794,000","17,309,000","20,579,000","41,585,000","56,750,000","57,942,000","49,398,000","30,848,000","23,454,000","16,935,000","14,920,700","13,090,000","9,728,000"
