name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"311,965,000","372,165,000","653,733,000","305,356,000","256,826,000","224,862,000","226,993,000","160,518,000","133,909,000","56,313,000","27,678,000","60,169,000","58,380,000","19,312,000","8,089,000","98,732,000","63,694,000","79,636,000","54,538,000","44,090,000","39,038,000","65,145,000","56,853,000","1,679,000","-1,586,000"
	CashFlowFromContinuingOperatingActivities,"311,965,000","372,165,000","653,733,000","305,356,000","256,826,000","224,862,000","226,993,000","160,518,000","133,909,000","56,313,000","27,678,000","60,169,000","58,380,000","19,312,000","8,089,000","98,732,000","63,694,000","79,636,000","54,538,000","44,090,000","39,038,000","65,145,000","56,853,000","1,679,000","-1,586,000"
		NetIncomeFromContinuingOperations,"99,228,000","210,679,000","444,050,000","327,388,000","70,665,000","113,988,000","141,741,000","132,558,000","105,838,000","81,891,000","33,217,000","32,933,000","15,949,000","-26,265,000","-51,991,000","-122,177,000","34,357,000","36,532,000","35,091,000","22,234,000","17,346,000","37,792,000","52,356,000","-4,386,000","-5,198,000"
		OperatingGainsLosses,"6,463,000","8,355,000","2,309,000","2,655,000","4,322,000","484,000","117,000","227,000","69,000","4,000","3,173,000","-2,598,000","9,847,000","108,000","123,000","979,000","227,000","107,000","163,000","-9,000","2,453,000","2,473,000","3,935,000","46,162,000","27,019,000"
			GainLossOnSaleOfPPE,"6,139,000","8,053,000","1,560,000","2,707,000","4,322,000","484,000","117,000","227,000","69,000","4,000","60,000","14,000","32,000","108,000","123,000","979,000","227,000",,,,,,,,
			GainLossOnInvestmentSecurities,"324,000","302,000","749,000","-52,000",,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,"0","0","-3,046,000","0","0",,,,,,,,,,,
		DepreciationAmortizationDepletion,"173,114,000","160,927,000","137,111,000","103,697,000","94,187,000","58,520,000","41,237,000","32,279,000","29,620,000","20,953,000","15,993,000","13,545,000","14,151,000","16,416,000","15,084,000","13,812,000","14,439,000","11,674,000","10,325,000","6,179,000","5,837,000","4,819,000","3,839,000","7,713,000","3,303,000"
			DepreciationAndAmortization,"173,114,000","160,927,000","137,111,000","103,697,000","94,187,000","58,520,000","41,237,000","32,279,000","29,620,000","20,953,000","15,993,000","13,545,000","14,151,000","16,416,000","15,084,000","13,812,000","14,439,000","11,674,000","10,325,000","6,179,000","5,837,000","4,819,000","3,839,000","7,713,000","3,303,000"
		DeferredTax,"246,000","-12,933,000","-24,615,000","-16,287,000","-21,628,000","913,000","-667,000","5,607,000","-9,424,000","12,677,000","11,779,000","3,031,000","6,951,000","-1,795,000","-10,711,000","-51,721,000","-3,370,000","1,140,000","9,323,000","19,017,000","4,086,000","6,040,000","7,295,000","-8,649,000","-9,727,000"
			DeferredIncomeTax,"246,000","-12,933,000","-24,615,000","-16,287,000","-21,628,000","913,000","-667,000","5,607,000","-9,424,000","12,677,000","11,779,000","3,031,000","6,951,000","-1,795,000","-10,711,000","-51,721,000","-3,370,000","1,140,000","9,323,000","19,017,000","4,086,000","6,040,000","7,295,000","-8,649,000","-9,727,000"
		AmortizationOfSecurities,,,,"-52,000","-109,000","-298,000","-202,000","-127,000","0",,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,"594,000","574,000","0","0",,,"0","0","39,469,000","50,832,000","175,707,000","0",,,,,,,,
		ProvisionandWriteOffofAssets,"2,408,000","23,913,000","57,999,000","6,263,000","6,535,000","6,275,000","9,006,000","10,339,000","12,008,000","6,684,000","4,393,000","4,628,000","6,786,000","4,411,000","3,911,000",,,,,,,,,,
		StockBasedCompensation,"16,980,000","18,020,000","30,066,000","25,217,000","20,465,000","16,241,000","10,815,000","10,237,000","11,399,000","10,284,000","7,157,000","6,125,000","6,224,000","7,132,000","8,284,000","8,709,000","9,322,000",,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,"0","0","-3,351,000","-7,449,000","-1,819,000","-1,521,000","-44,000","-109,000","-125,000","0","-79,000",,,,,,,,
		OtherNonCashItems,"9,746,000","13,335,000","7,371,000","-83,000","15,262,000","9,761,000","-6,667,000","2,415,000","2,392,000","1,604,000","1,392,000","1,336,000","2,921,000","3,787,000","3,240,000","8,917,000","8,018,000","10,416,000","3,896,000","4,627,000",,,"370,000",,
		ChangeInWorkingCapital,"3,780,000","-50,131,000","-558,000","-143,494,000","67,127,000","18,978,000","31,613,000","-33,017,000","-14,642,000","-70,335,000","-47,607,000","2,690,000","-4,405,000","-23,842,000","-10,558,000","64,506,000","780,000","19,767,000","-4,260,000","-7,958,000","9,316,000","14,021,000","-10,942,000","-39,161,000","-16,983,000"
			ChangeInReceivables,"185,057,000","224,849,000","20,039,000","-578,676,000","-9,021,000","1,243,000","4,515,000","-26,174,000","-50,689,000","-90,151,000","-51,362,000","-10,020,000","4,423,000","-28,628,000","-15,162,000","88,270,000","562,000","5,534,000","-40,599,000","-474,000","8,394,000","15,579,000","-29,479,000","-44,150,000","-21,651,000"
				ChangesInAccountReceivables,"193,798,000","221,056,000","28,914,000","-585,267,000","-8,609,000","5,707,000","-10,584,000","-10,637,000","-57,158,000","-98,018,000","-52,130,000","-8,448,000","1,388,000","-29,016,000","-15,302,000","88,730,000","4,002,000",,,,,,,,
			ChangeInPrepaidAssets,"-1,423,000","-1,542,000","53,806,000","-58,788,000","-1,342,000","774,000","4,465,000","-2,316,000","-455,000","-2,915,000","-1,933,000","-633,000","-8,684,000","-825,000","274,000","5,972,000","-2,579,000","570,000","2,002,000","1,829,000","2,792,000",,,,
			ChangeInPayablesAndAccruedExpense,"-83,463,000","-183,517,000","48,782,000","256,118,000","5,562,000","1,925,000","17,154,000","-7,862,000","17,705,000","29,611,000","6,125,000","6,244,000","-680,000","3,660,000","8,936,000","-27,180,000","1,046,000","1,722,000","1,181,000","-1,204,000","130,000","216,000","9,071,000","2,652,000","68,000"
				ChangeInPayable,,,,,,,,,,,,,,"3,660,000","8,936,000","-6,363,000","288,000",,,,,,,,
					ChangeInTaxPayable,,,,,,,,,,,,,,,"0","0","-1,653,000",,,,,,,,
						ChangeInIncomeTaxPayable,,,,,,,,,,,,,,,"0","0","-1,653,000",,,,,,,,
				ChangeInAccruedExpense,,,,,,,,,,,,,,"6,035,000","-166,000","-20,817,000","758,000",,,,,,,,
