name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
TotalRevenue,"3,233,295,000","3,789,254,000","5,243,242,000","3,984,235,000","2,393,714,000","2,222,107,000","2,136,074,000","1,988,454,000","1,902,225,000","1,463,065,000","1,036,027,000","1,011,816,000","953,951,000","887,466,000","669,912,000","759,790,000","1,217,200,000","1,164,022,000","1,081,703,000","705,843,000","629,016,000","714,209,000","775,683,000","517,794,000","230,766,000"
	OperatingRevenue,"3,233,295,000","3,789,254,000","5,243,242,000","3,984,235,000","2,393,714,000","2,222,107,000","2,136,074,000","1,988,454,000","1,902,225,000","1,463,065,000","1,036,027,000","1,011,816,000","953,951,000","887,466,000","669,912,000","759,790,000","1,217,200,000","1,164,022,000","1,081,703,000","705,843,000","629,016,000","714,209,000","775,683,000","517,794,000","230,766,000"
CostOfRevenue,"2,195,508,000","2,539,673,000","3,526,558,000","2,674,634,000","1,601,936,000","1,478,642,000","1,439,691,000","1,344,035,000","1,282,501,000","993,702,000","719,910,000","714,536,000","683,554,000","638,147,000","485,550,000","555,369,000","900,211,000","860,857,000","792,415,000","535,608,000","484,654,000","552,052,000","586,900,000","388,284,000","170,608,000"
GrossProfit,"1,037,787,000","1,249,581,000","1,716,684,000","1,309,601,000","791,778,000","743,465,000","696,383,000","644,419,000","619,724,000","469,363,000","316,117,000","297,280,000","270,397,000","249,319,000","184,362,000","204,421,000","316,989,000","303,165,000","289,288,000","170,235,000","144,362,000","162,157,000","188,783,000","129,510,000","60,158,000"
OperatingExpense,"839,064,000","911,152,000","1,069,583,000","831,603,000","642,513,000","566,550,000","493,555,000","431,979,000","428,092,000","340,484,000","248,214,000","231,778,000","217,055,000","211,672,000","177,307,000","171,053,000","245,095,000","230,824,000","215,824,000","123,505,000","108,023,000","98,193,000","102,518,000","113,032,000","57,910,000"
	SellingGeneralAndAdministration,"672,754,000","756,238,000","936,576,000","730,451,000","549,747,000","508,030,000","452,318,000","399,700,000","398,472,000","319,531,000","232,221,000","218,233,000","202,904,000","195,348,000","162,543,000","157,241,000","230,656,000","218,250,000","205,499,000","117,326,000","102,186,000","93,374,000","98,679,000","103,364,000","54,607,000"
		GeneralAndAdministrativeExpense,"672,754,000","756,238,000","936,576,000","730,451,000","549,747,000","508,030,000","452,318,000","399,700,000","398,472,000","319,531,000","232,221,000","218,233,000","202,904,000","195,348,000","162,543,000",,,,,,,,,,
			SalariesAndWages,"16,980,000","18,020,000","30,066,000","25,217,000","20,465,000","16,241,000","10,815,000","10,237,000","11,399,000","10,284,000","7,157,000","6,125,000","6,221,000","7,098,000","8,272,000",,,,,,,,,,
			OtherGandA,"655,774,000","738,218,000","906,510,000","705,234,000","529,282,000","491,789,000","441,503,000","389,463,000","387,073,000","309,247,000","225,064,000","212,108,000","196,683,000","188,250,000","154,271,000",,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"166,310,000","154,914,000","133,007,000","101,152,000","92,766,000","58,520,000","41,237,000","32,279,000","29,620,000","20,953,000","15,993,000","13,545,000","14,151,000","16,324,000","14,764,000","13,812,000","14,439,000","11,674,000","10,325,000","6,179,000","5,837,000","4,819,000","3,839,000","7,713,000","3,303,000"
