name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalAssets,"95,159,000,000","96,820,000,000","109,314,000,000","118,481,000,000","129,944,000,000","34,986,000,000","33,551,000,000","33,707,000,000","31,748,000,000","33,749,000,000","38,592,000,000","35,897,000,000","32,970,000,000","31,076,000,000","31,008,000,000","29,486,000,000","26,172,000,000","25,575,000,000","28,138,000,000","30,435,000,000","27,448,000,000","25,022,000,000","27,812,000,000","17,578,000,000","17,114,000,000","16,272,000,000","14,977,000,000","14,685,000,000","13,929,000,000","12,910,000,000","12,101,000,000","10,804,000,000","9,416,000,000","9,215,000,000","8,497,000,000","8,273,000,000","7,514,000,000"
	CurrentAssets,"31,770,000,000","27,273,000,000","33,262,000,000","30,192,000,000","29,354,000,000","17,716,000,000","14,854,000,000","13,704,000,000","10,415,000,000","14,608,000,000","18,916,000,000","9,521,000,000","15,318,000,000","13,273,000,000","13,958,000,000","14,697,000,000","10,348,000,000","10,302,000,000","12,283,000,000","14,801,000,000","11,997,000,000","10,060,000,000","13,249,000,000","9,824,000,000","9,267,000,000","8,782,000,000","7,736,000,000","7,528,000,000","7,018,000,000","6,710,000,000","6,570,000,000","6,621,000,000","5,567,000,000","5,670,000,000","5,552,000,000","5,422,000,000","5,006,000,000"
		CashCashEquivalentsAndShortTermInvestments,"12,280,000,000","9,253,000,000","17,221,000,000","16,450,000,000","15,393,000,000","8,759,000,000","6,812,000,000","6,350,000,000","4,270,000,000","7,435,000,000","4,525,000,000","2,829,000,000","8,733,000,000","7,301,000,000","8,514,000,000","8,265,000,000","2,225,000,000","4,013,000,000","5,799,000,000","7,474,000,000","5,562,000,000","3,989,000,000","5,654,000,000","3,385,000,000","2,957,000,000","2,244,000,000","1,456,000,000","1,681,000,000","1,645,000,000","1,642,000,000","2,421,000,000","2,137,000,000","1,435,000,000","596,000,000","510,000,000","2,512,000,000","2,347,000,000"
			CashAndCashEquivalents,"11,464,000,000","9,123,000,000","13,979,000,000","14,546,000,000","12,346,000,000","6,911,000,000","5,421,000,000","4,237,000,000","2,385,000,000","5,571,000,000","3,586,000,000","1,656,000,000","5,776,000,000","5,033,000,000","7,683,000,000","7,976,000,000","1,801,000,000","2,018,000,000","3,050,000,000","3,680,000,000","2,549,000,000","2,367,000,000","5,500,000,000","3,182,000,000","2,720,000,000","2,244,000,000","1,456,000,000","1,681,000,000","1,645,000,000","1,642,000,000","2,421,000,000","2,137,000,000","1,435,000,000","596,000,000","510,000,000","2,512,000,000","2,347,000,000"
			OtherShortTermInvestments,"816,000,000","130,000,000","3,242,000,000","1,904,000,000","3,047,000,000","1,848,000,000","1,391,000,000","2,113,000,000","1,885,000,000","1,864,000,000","939,000,000","1,173,000,000","2,957,000,000","2,268,000,000","831,000,000","289,000,000","424,000,000","1,995,000,000","2,749,000,000","3,794,000,000","3,013,000,000","1,622,000,000","154,000,000","203,000,000","237,000,000",,,,,,,,,,,,
		Receivables,"15,264,000,000","13,937,000,000","12,516,000,000","10,554,000,000","7,685,000,000","5,747,000,000","6,300,000,000","5,543,000,000","4,299,000,000","3,390,000,000","3,360,000,000","3,083,000,000","3,743,000,000","3,480,000,000","3,164,000,000","3,644,000,000","4,240,000,000","3,247,000,000","3,378,000,000","4,373,000,000","3,660,000,000","2,968,000,000","3,992,000,000","3,662,000,000","3,272,000,000","3,190,000,000","2,973,000,000","2,651,000,000","2,356,000,000","2,043,000,000","1,859,000,000","1,984,000,000","1,971,000,000","1,776,000,000","1,578,000,000","1,467,000,000","1,349,000,000"
			AccountsReceivable,"8,882,000,000","8,151,000,000","7,979,000,000","7,219,000,000","6,476,000,000","4,636,000,000","4,347,000,000","3,774,000,000","2,948,000,000","2,100,000,000","1,690,000,000","1,708,000,000","2,250,000,000",,,,"4,240,000,000","3,247,000,000","3,378,000,000","4,373,000,000","3,660,000,000","2,968,000,000","3,992,000,000","3,662,000,000","3,272,000,000","3,190,000,000","2,973,000,000",,,,,,,,,,
				GrossAccountsReceivable,"9,551,000,000","8,848,000,000","8,723,000,000","7,882,000,000","6,888,000,000","4,914,000,000","4,599,000,000","3,948,000,000","3,070,000,000","2,193,000,000","1,779,000,000","1,812,000,000","2,397,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-669,000,000","-697,000,000","-744,000,000","-663,000,000","-412,000,000","-278,000,000","-252,000,000","-174,000,000","-122,000,000","-93,000,000","-89,000,000","-104,000,000","-147,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,927,000,000","3,547,000,000","2,786,000,000","1,799,000,000",,"218,000,000","691,000,000","627,000,000","182,000,000","178,000,000","262,000,000","319,000,000","256,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"2,455,000,000","2,239,000,000","1,751,000,000","1,536,000,000","1,209,000,000","1,111,000,000","1,262,000,000","1,142,000,000","1,169,000,000","1,112,000,000","1,408,000,000","1,056,000,000","1,237,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"2,662,000,000","2,339,000,000","2,095,000,000","2,074,000,000","4,293,000,000","1,195,000,000","1,166,000,000","1,241,000,000","1,221,000,000","1,560,000,000","1,498,000,000","1,657,000,000","1,384,000,000","1,204,000,000","1,413,000,000","1,765,000,000","2,162,000,000","2,079,000,000","2,060,000,000","1,830,000,000","1,601,000,000","1,608,000,000","1,699,000,000","1,831,000,000","2,126,000,000","1,873,000,000","1,799,000,000","1,669,000,000","1,451,000,000","1,397,000,000","1,322,000,000","1,490,000,000","1,451,000,000","1,366,000,000","1,139,000,000","1,044,000,000","933,000,000"
			RawMaterials,,"464,000,000","350,000,000","207,000,000","172,000,000","116,000,000","273,000,000","264,000,000","199,000,000","204,000,000","250,000,000","271,000,000","260,000,000","199,000,000","203,000,000","320,000,000","424,000,000","394,000,000","514,000,000","275,000,000","180,000,000","216,000,000","247,000,000","468,000,000",,,,,,,,,,,,,
			WorkInProcess,,"1,850,000,000","2,111,000,000","2,015,000,000","3,267,000,000","1,152,000,000","931,000,000","988,000,000","868,000,000","856,000,000","757,000,000","814,000,000","646,000,000","608,000,000","630,000,000","738,000,000","834,000,000","682,000,000","679,000,000","458,000,000","416,000,000","415,000,000","411,000,000","473,000,000",,,,,,,,,,,,,
			FinishedGoods,,"509,000,000","543,000,000","932,000,000","2,227,000,000","356,000,000","384,000,000","310,000,000","381,000,000","500,000,000","491,000,000","572,000,000","478,000,000","397,000,000","580,000,000","707,000,000","904,000,000","1,003,000,000","867,000,000","1,097,000,000","1,005,000,000","918,000,000","833,000,000","890,000,000",,,,,,,,,,,,,
			OtherInventories,,"-484,000,000","-909,000,000","-1,080,000,000","-1,373,000,000","-429,000,000","-422,000,000","-321,000,000","-227,000,000",,,,,,,,,,,,"4,000,000","59,000,000","208,000,000",,,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,"-1,373,000,000","-429,000,000","-422,000,000","-321,000,000","-227,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,,"1,799,000,000","754,000,000","1,116,000,000","576,000,000","570,000,000","625,000,000","470,000,000","412,000,000","355,000,000","258,000,000","252,000,000","256,000,000","320,000,000","310,000,000","314,000,000","270,000,000","319,000,000","310,000,000","482,000,000","1,904,000,000","946,000,000",,,,,,,,,,,,,
		RestrictedCash,"55,000,000","148,000,000","140,000,000","89,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"0","1,644,000,000","1,701,000,000","1,597,000,000","1,200,000,000","1,036,000,000","611,000,000","703,000,000","851,000,000","649,000,000","776,000,000","805,000,000","864,000,000","1,013,000,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"0","1,644,000,000","1,701,000,000","1,597,000,000","1,200,000,000","1,036,000,000","611,000,000","703,000,000","851,000,000","649,000,000","776,000,000","805,000,000","864,000,000","1,013,000,000",,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,"134,000,000","109,000,000","7,420,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"1,509,000,000","1,596,000,000","1,290,000,000","1,025,000,000","1,229,000,000","2,015,000,000",,,,,,,,,"611,000,000","703,000,000","560,000,000",,,,,,,"946,000,000","912,000,000","1,475,000,000","1,508,000,000","1,527,000,000","1,566,000,000","1,628,000,000","968,000,000","1,010,000,000","710,000,000","1,932,000,000","2,325,000,000","399,000,000","377,000,000"
