name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"84,641,000,000","76,870,000,000","78,375,000,000","68,719,000,000","40,994,000,000","30,901,000,000","21,855,000,000","20,197,000,000","7,339,000,000","5,824,000,000","3,529,000,000","2,773,905,000","2,190,336,000","1,943,882,000","1,702,364,000","1,451,152,000","1,121,824,000","894,980,000","668,030,000","527,934,000","362,692,000","210,327,000","131,366,000","66,017,000","52,207,000","45,727,000"
	CurrentAssets,"40,756,000,000","30,128,000,000","28,497,000,000","23,393,000,000","20,323,000,000","11,998,000,000","8,703,000,000","8,365,000,000","3,605,000,000","2,951,000,000","1,800,000,000","1,405,825,000","940,010,000","656,821,000","616,134,000","666,343,000","446,339,000","451,821,000","272,605,000","224,292,000","110,301,000","93,089,000","102,047,000","46,716,000",,
		CashCashEquivalentsAndShortTermInvestments,"19,652,000,000","14,395,000,000","14,657,000,000","12,380,000,000","12,986,000,000","6,064,000,000","4,603,000,000","4,435,000,000","1,936,000,000","1,787,000,000","1,140,000,000","982,053,000","704,197,000","455,512,000","443,306,000","488,492,000","314,658,000","337,968,000","204,058,000","178,388,000","79,506,000","59,656,000","90,036,000","26,423,000",,
			CashAndCashEquivalents,"17,193,000,000","12,074,000,000","13,118,000,000","10,800,000,000","12,123,000,000","5,342,000,000","4,072,000,000","3,930,000,000","1,760,000,000","1,610,000,000","1,038,000,000","843,952,000","573,698,000","434,166,000","403,752,000","379,099,000","268,584,000","271,047,000","147,358,000","84,105,000","64,346,000","59,656,000","88,867,000","19,023,000",,
			OtherShortTermInvestments,"2,459,000,000","2,321,000,000","1,539,000,000","1,580,000,000","863,000,000","722,000,000","531,000,000","505,000,000","176,000,000","177,000,000","102,000,000","138,101,000","130,499,000","21,346,000","39,554,000","109,393,000","46,074,000","66,921,000","56,700,000","94,283,000","15,160,000","9,571,000","1,169,000","7,400,000",,
		Receivables,"15,532,000,000","13,272,000,000","12,238,000,000","9,696,000,000","6,247,000,000","5,150,000,000","3,413,000,000","3,215,000,000","1,279,000,000","912,000,000","429,000,000","251,473,000","157,450,000","136,243,000","103,456,000","92,531,000","79,492,000","91,664,000","44,108,000","31,475,000","20,308,000","16,773,000","7,032,000","15,538,000",,
			AccountsReceivable,"15,532,000,000","13,272,000,000","12,238,000,000","9,696,000,000","6,247,000,000","5,150,000,000","3,413,000,000","3,215,000,000","1,279,000,000","912,000,000","429,000,000","251,473,000","157,450,000","136,243,000","103,456,000",,,,,,"20,308,000","16,773,000",,,,
				GrossAccountsReceivable,"15,652,000,000","13,402,000,000","12,377,000,000","9,939,000,000","6,404,000,000",,,,,,,,"158,089,000","136,260,000","104,794,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-120,000,000","-130,000,000","-139,000,000","-243,000,000","-157,000,000",,,,,,,,"-639,000","-17,000","-1,338,000",,,,,,,,,,,
		RestrictedCash,,,,,,,,,,,,,,,,,,,,,"20,364,000",,,,,
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,"2,732,000","2,846,000","2,515,000","2,585,000",,
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,"2,732,000","2,846,000","2,515,000","2,585,000",,
		AssetsHeldForSaleCurrent,,,,,,,,,,"11,000,000","14,000,000","78,977,000",,"912,000","4,506,000",,,,,,,,,,,
		OtherCurrentAssets,"5,572,000,000","2,461,000,000","1,602,000,000","1,317,000,000","1,090,000,000","784,000,000","687,000,000","715,000,000","390,000,000","252,000,000","217,000,000","93,322,000","78,363,000","65,066,000","64,866,000","85,320,000","52,189,000","22,189,000","24,439,000","14,429,000","10,487,000","4,243,000","2,464,000","2,170,000",,
	TotalNonCurrentAssets,"43,885,000,000","46,742,000,000","49,878,000,000","45,326,000,000","20,671,000,000","18,903,000,000","13,152,000,000","11,832,000,000","3,734,000,000","2,873,000,000","1,729,000,000","1,368,080,000","1,250,326,000","1,287,061,000","1,086,230,000","784,809,000","675,485,000","443,159,000","395,425,000","303,642,000","252,391,000","117,238,000","29,319,000","19,301,000",,
		NetPPE,"2,415,000,000","4,986,000,000","6,957,000,000","2,774,000,000","2,782,000,000","1,706,000,000","1,104,000,000","797,000,000","518,000,000","445,000,000","395,000,000","375,893,000","349,622,000","326,341,000","230,421,000","175,858,000","135,883,000","110,688,000","67,199,000",,"23,106,000","6,295,000","3,796,000","1,360,000",,
			GrossPPE,"4,815,000,000","7,052,000,000","8,857,000,000","4,251,000,000","3,884,000,000","2,506,000,000","1,694,000,000","1,239,000,000","869,000,000","733,000,000","639,000,000","578,550,000","526,916,000","464,970,000","334,304,000","250,052,000","189,308,000","110,688,000","67,199,000",,"23,106,000","6,295,000","3,796,000","1,360,000",,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,"0",,,
				LandAndImprovements,"156,000,000","178,000,000","248,000,000","238,000,000","202,000,000","201,000,000","130,000,000","113,000,000","104,000,000","87,000,000","69,000,000","70,276,000","47,614,000","44,282,000","40,639,000","40,525,000","19,509,000",,,,,,"10,000",,,
				BuildingsAndImprovements,"534,000,000","659,000,000","1,116,000,000","891,000,000","778,000,000","614,000,000","367,000,000","271,000,000","223,000,000","208,000,000","206,000,000","193,186,000","186,194,000","171,072,000","104,786,000","38,503,000","36,781,000",,,,,,"878,000",,,
				MachineryFurnitureEquipment,"3,477,000,000","3,194,000,000","3,195,000,000","2,590,000,000","1,853,000,000","1,400,000,000","976,000,000","682,000,000","434,000,000","356,000,000","307,000,000","265,280,000","248,342,000","211,369,000","169,079,000","152,482,000","118,390,000",,,,,,"4,349,000",,,
				OtherProperties,"396,000,000","2,554,000,000","3,566,000,000","1,311,000,000","661,000,000",,,,,,,,,,,,,,,,,,"2,423,000",,,
				Leases,"252,000,000","467,000,000","732,000,000","532,000,000","390,000,000","291,000,000","221,000,000","173,000,000","108,000,000","82,000,000","57,000,000","49,808,000","44,766,000","38,247,000","19,800,000","18,542,000","14,628,000",,,,,,,,,
			AccumulatedDepreciation,"-2,400,000,000","-2,066,000,000","-1,900,000,000","-1,477,000,000","-1,102,000,000","-800,000,000","-590,000,000","-442,000,000","-351,000,000","-288,000,000","-244,000,000","-202,657,000","-177,294,000","-138,629,000","-103,883,000","-74,194,000","-53,425,000",,,,,,"-3,864,000",,,
