name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000
OperatingCashFlow,"2,957,000,000","8,053,000,000","6,261,000,000","4,205,000,000","5,503,000,000","1,483,000,000","1,234,000,000","1,489,000,000","1,851,000,000","658,000,000","1,223,000,000","382,000,000","279,000,000","261,696,000","168,932,000","248,195,000","221,978,000","202,240,000","195,032,000","74,048,000","99,405,000","55,999,000","39,659,000","30,188,000","13,458,000"
	CashFlowFromContinuingOperatingActivities,"2,957,000,000","8,053,000,000","6,261,000,000","4,205,000,000","5,503,000,000","1,483,000,000","1,234,000,000","1,489,000,000","1,851,000,000","658,000,000","1,223,000,000","382,000,000","279,000,000","261,696,000","168,932,000","248,195,000","221,978,000","202,240,000","195,032,000","74,048,000","99,405,000","55,999,000","39,659,000","30,188,000","13,458,000"
		NetIncomeFromContinuingOperations,"2,818,000,000","2,699,000,000","1,202,000,000","1,336,000,000","1,794,000,000","1,309,000,000","894,000,000","808,000,000","561,000,000","357,000,000","264,000,000","166,000,000","-11,000,000","108,363,000","98,271,000","86,245,000","83,497,000","73,402,000","-43,629,000","55,632,000","44,312,000","33,270,000","25,621,000","12,895,000","7,728,000"
		OperatingGainsLosses,"-83,000,000","-152,000,000","-576,000,000","49,000,000","-47,000,000","30,000,000",,,"-7,000,000",,,,"-18,000,000","8,488,000","-14,538,000","-141,000","4,988,000","-7,366,000",,"454,000",,"-1,646,000",,"-390,000",
			GainLossOnSaleOfBusiness,"-83,000,000","-152,000,000","-772,000,000","-88,000,000","-104,000,000","0","0",,,,,,"0","0","-8,201,000","0","0","-7,472,000",,,,,,,
			GainLossOnSaleOfPPE,,"0","221,000,000","12,000,000",,,,,,,,,,,,,,,,"454,000",,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,"-18,000,000","-287,000","-6,337,000","-141,000","4,988,000","106,000",,,,"-1,646,000",,,
		DepreciationAmortizationDepletion,"1,257,000,000","1,293,000,000","1,430,000,000","1,335,000,000","1,259,000,000","643,000,000","495,000,000","361,000,000","278,000,000","111,000,000","89,000,000","67,000,000","66,000,000","58,327,000","52,000,000","44,004,000","35,414,000","27,807,000","20,600,000","13,069,000","10,014,000","6,448,000","2,565,000","1,847,000","1,034,000"
			DepreciationAndAmortization,"1,257,000,000","1,293,000,000","1,430,000,000","1,335,000,000","1,259,000,000","643,000,000","495,000,000","361,000,000","278,000,000","111,000,000","89,000,000","67,000,000","66,000,000","58,327,000","52,000,000","44,004,000","35,414,000","27,807,000","20,600,000","13,069,000","10,014,000","6,448,000","2,565,000","1,847,000","1,034,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,"1,847,000",
