name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"157,745,000,000","153,999,000,000","144,547,000,000","125,982,000,000","111,115,000,000","74,639,000,000","60,116,000,000","48,382,000,000","40,607,000,000","22,760,000,000","16,560,000,000","10,863,000,000","8,110,000,000","5,211,477,000","4,448,323,000","4,102,864,000","3,364,515,000","2,769,028,000","2,279,020,000","1,505,864,000","1,000,940,000","769,730,000","461,487,000","326,569,000","221,350,000","201,429,000"
	OperatingRevenue,"142,615,000,000","140,095,000,000","135,479,000,000","117,983,000,000","103,800,000,000","70,364,000,000","56,435,000,000","45,620,000,000","37,579,000,000","21,265,000,000","15,667,000,000","10,526,000,000","7,682,000,000","5,051,902,000","4,283,833,000","3,878,283,000","3,364,515,000","2,769,028,000","2,279,020,000","1,505,864,000","1,000,940,000","769,730,000","461,487,000","385,000","4,936,000","201,429,000"
	ExciseTaxes,"-15,130,000,000","-13,904,000,000","-9,068,000,000","-7,999,000,000","-7,315,000,000","-4,275,000,000","-3,681,000,000","-2,762,000,000","-3,028,000,000","-1,495,000,000","-893,000,000","-337,000,000","-428,000,000","-159,575,000","-164,490,000",,,,,,,,,,,
CostOfRevenue,"140,460,000,000","136,684,000,000","127,891,000,000","111,783,000,000","95,899,000,000","65,796,000,000","51,695,000,000","42,581,000,000","35,063,000,000","20,014,000,000","14,656,000,000","9,655,000,000","7,297,000,000","4,429,776,000","3,813,489,000","3,224,312,000","2,697,255,000","2,252,246,000","1,880,546,000","1,232,760,000","808,541,000","634,515,000","379,809,000","270,151,000",,"0"
GrossProfit,"17,285,000,000","17,315,000,000","16,656,000,000","14,199,000,000","15,216,000,000","8,843,000,000","8,421,000,000","5,801,000,000","5,544,000,000","2,746,000,000","1,904,000,000","1,208,000,000","813,000,000","781,701,000","634,834,000","878,552,000","667,260,000","516,782,000","398,474,000","273,104,000","192,399,000","135,215,000","81,678,000","56,418,000",,"201,429,000"
OperatingExpense,"13,905,000,000","13,856,000,000","13,020,000,000","10,936,000,000","12,062,000,000","6,791,000,000","6,963,000,000","4,602,000,000","4,281,000,000","2,041,000,000","1,440,000,000","931,000,000","677,000,000","577,898,000","477,765,000","740,417,000","535,699,000","461,537,000","427,382,000","193,913,000","127,863,000","88,288,000","50,072,000","308,097,000","214,830,000","208,041,000"
	SellingGeneralAndAdministration,"12,648,000,000","12,563,000,000","11,589,000,000","9,601,000,000","11,343,000,000","6,533,000,000","6,752,000,000","4,446,000,000","4,134,000,000","2,017,000,000","1,424,000,000","931,000,000","677,000,000","577,898,000","477,765,000","514,529,000","444,733,000","384,970,000","346,284,000","193,913,000","127,863,000","88,288,000","50,072,000","37,946,000","32,335,000","29,756,000"
		GeneralAndAdministrativeExpense,,,,"10,166,000,000","11,343,000,000","6,533,000,000","6,752,000,000","4,446,000,000","4,134,000,000","2,017,000,000","1,424,000,000","931,000,000","677,000,000","577,898,000","477,765,000",,,,,,,"88,288,000",,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,"88,288,000",,,,
			InsuranceAndClaims,,,,"0","1,476,000,000","0","709,000,000","0","461,000,000","215,000,000","126,000,000","0","0",,,,,,,,,,,,,
			OtherGandA,,,,"10,166,000,000","9,867,000,000","6,533,000,000","6,043,000,000","4,446,000,000","3,673,000,000","1,802,000,000","1,298,000,000","931,000,000","677,000,000","577,898,000","477,765,000",,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"1,257,000,000","1,293,000,000","1,431,000,000","1,335,000,000","719,000,000","258,000,000","211,000,000","156,000,000","147,000,000","24,000,000","16,000,000",,,,,,,,,,,"6,448,000","2,565,000","1,847,000",,
		DepreciationAndAmortizationInIncomeStatement,"1,257,000,000","1,293,000,000","1,431,000,000","1,335,000,000","719,000,000","258,000,000","211,000,000","156,000,000","147,000,000","24,000,000","16,000,000",,,,,,,,,,,,,,,
			DepreciationIncomeStatement,"555,000,000","575,000,000","614,000,000","565,000,000",,,,,,,,,,,,,,,,,,,,,,
			Amortization,"702,000,000","718,000,000","817,000,000","770,000,000","719,000,000","258,000,000","211,000,000","156,000,000","147,000,000","24,000,000","16,000,000",,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"702,000,000","718,000,000","817,000,000","770,000,000","719,000,000","258,000,000","211,000,000","156,000,000","147,000,000","24,000,000","16,000,000",,,,,,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,"160,394,000","165,118,000","225,888,000","90,966,000","76,567,000",,,,"-722,803,000","-429,881,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,"225,888,000","90,966,000","79,572,000","81,098,000",,,"1,342,547,000","806,784,000","270,151,000","182,495,000","178,285,000"
OperatingIncome,"3,380,000,000","3,459,000,000","3,636,000,000","3,263,000,000","3,154,000,000","2,052,000,000","1,458,000,000","1,199,000,000","1,263,000,000","705,000,000","464,000,000","277,000,000","136,000,000","203,803,000","157,069,000","138,135,000","131,561,000","55,245,000","-28,908,000","79,191,000","64,536,000","46,927,000","31,606,000","18,472,000","6,520,000","-6,612,000"
NetNonOperatingInterestIncomeExpense,"-718,000,000","-725,000,000","-665,000,000","-665,000,000","-728,000,000","-412,000,000","-343,000,000","-255,000,000","-217,000,000","-43,000,000","-35,000,000","-27,000,000","-20,000,000","-20,320,000","-17,992,000","-16,318,000","-16,673,000","-15,626,000","-10,636,000","-3,990,000","-680,000","-194,000","-45,000",,,
	InterestExpenseNonOperating,"718,000,000","725,000,000","665,000,000","665,000,000","728,000,000","412,000,000","343,000,000","255,000,000","217,000,000","43,000,000","35,000,000","27,000,000","20,000,000","20,320,000","17,992,000","16,318,000","16,673,000","15,626,000","10,636,000","3,990,000","680,000","194,000","45,000",,,
OtherIncomeExpense,"1,119,000,000","864,000,000","-1,009,000,000","-785,000,000","347,000,000","142,000,000","253,000,000","190,000,000","114,000,000","35,000,000","28,000,000","19,000,000","7,000,000","4,867,000","15,205,000","15,691,000","21,728,000","24,452,000","17,892,000","10,655,000","6,431,000","5,160,000","9,575,000","3,916,000","1,276,000",
