name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"434,475,000","398,204,000","214,203,000","140,833,000","119,073,000","102,306,000","500,000","0","0","0","0","0","0","0","488,958","0","0",,,,,,"0"
	OperatingRevenue,"434,475,000","398,204,000","214,203,000","140,833,000","119,073,000","102,306,000","500,000","0","0","0","0","0","0","0","488,958","0","0",,,,,,"0"
CostOfRevenue,"57,901,000","51,967,000","34,393,000","21,884,000","17,039,000","14,759,000","0",,,"0","0","0","0","0","0","0","0",,,,,,"0"
GrossProfit,"376,574,000","346,237,000","179,810,000","118,949,000","102,034,000","87,547,000","500,000",,,"0","0","0","0","0","488,958","0","0",,,,,,"0"
OperatingExpense,"290,698,000","259,425,000","77,972,000","66,564,000","60,731,000","55,724,000","35,795,165","18,679,636","19,280,201","20,398,352","14,591,428","10,311,658","5,221,140","6,082,139","4,513,139","7,275,394","10,893,945","5,027,129","2,902,327","1,822,168","542,958",,"255,945"
	SellingGeneralAndAdministration,"163,264,000","133,710,000","57,085,000","49,628,000","44,234,000","36,881,000","15,875,961","7,304,399","7,910,260","8,597,010","4,473,654","2,214,884","2,561,543","2,698,174","2,206,358","2,177,954","2,183,504","2,036,470","1,913,183","491,653","164,704",,
		GeneralAndAdministrativeExpense,"61,083,000","47,021,000","27,616,000","23,477,000","20,666,533","16,933,271","15,875,961","7,304,399","7,910,260","8,597,010","4,473,654","2,214,884","2,561,543","2,698,174","2,206,358","2,177,954","2,183,504",,,,,,
			SalariesAndWages,"19,013,000","12,769,000","6,178,000","4,462,000","4,675,721","2,687,219","2,471,414",,,,,,,,,,,,,,,,
			OtherGandA,"42,070,000","34,252,000","21,438,000","19,015,000","15,990,812","14,246,052","13,404,547","7,304,399","7,910,260","8,597,010","4,473,654","2,214,884","2,561,543","2,698,174","2,206,358",,,,,,,,
		SellingAndMarketingExpense,"102,181,000","86,689,000","29,469,000","26,151,000","23,567,221","19,947,916",,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"91,200,000","93,150,000","19,789,000","16,936,000","16,497,000","18,843,000","19,919,204","11,375,237","11,369,941","11,801,342","10,117,774","8,096,774","2,659,597","3,383,965","2,306,781","5,097,440","8,710,441","2,990,659","989,144","1,330,515","378,254",,"137,680"
	DepreciationAmortizationDepletionIncomeStatement,"36,234,000","32,565,000","1,098,000","0",,,,,,,,,,,,,,,,,,,
