name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"8,072,000,000","13,426,000,000","16,177,000,000","18,265,000,000","15,865,000,000","12,848,000,000","8,865,000,000","8,007,000,000","10,141,000,000","8,539,000,000","8,137,000,000","5,783,000,000","6,671,000,000","5,856,000,000","4,779,000,000","4,035,000,000","3,947,000,000","3,229,700,000","1,742,400,000","1,612,100,000","914,200,000","968,900,000","1,204,800,000","680,600,000","780,200,000","726,300,000","292,400,000","-105,800,000","327,200,000","460,000,000","498,400,000","419,700,000","619,300,000","397,000,000","565,300,000","491,200,000"
	CashFlowFromContinuingOperatingActivities,"8,072,000,000","13,426,000,000","16,177,000,000","18,265,000,000","15,865,000,000","12,848,000,000","8,865,000,000","8,007,000,000","10,141,000,000","8,539,000,000","8,137,000,000","5,783,000,000","6,671,000,000","5,856,000,000","4,779,000,000","4,035,000,000","3,947,000,000","3,229,700,000","1,742,400,000","1,612,100,000","914,200,000","968,900,000","1,204,800,000","680,600,000","780,200,000","726,300,000","292,400,000","-105,800,000","327,200,000","460,000,000","498,400,000","419,700,000","619,300,000","397,000,000","565,300,000","491,200,000"
		NetIncomeFromContinuingOperations,"7,204,000,000","8,368,000,000","4,327,000,000","7,989,000,000","7,192,000,000","6,631,000,000","-596,000,000","6,623,000,000","5,319,000,000","5,239,000,000","4,644,000,000","4,592,000,000","3,862,000,000","3,458,000,000","3,424,000,000","3,696,000,000","3,212,000,000","2,637,000,000","1,368,900,000","1,224,700,000","959,300,000","847,300,000","716,600,000","413,200,000","746,000,000","635,100,000","384,500,000","105,900,000","208,200,000","-572,800,000","307,500,000","331,800,000","156,000,000","346,700,000","385,300,000","398,100,000"
		OperatingGainsLosses,,"349,000,000","2,058,000,000","452,000,000","1,171,000,000","284,000,000","86,000,000","187,000,000","643,000,000",,"521,000,000",,"348,000,000","-53,000,000",,,,,,,,,,"352,500,000",,,"188,600,000","466,400,000","146,600,000","1,039,600,000","51,900,000","47,300,000","400,800,000","50,500,000","46,000,000","42,600,000"
			GainLossOnSaleOfBusiness,,"0","-475,000,000","0","-269,000,000","205,000,000","86,000,000",,,,,"0","0","-53,000,000","0","0",,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,"0","187,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"4,550,000,000","4,366,000,000","4,224,000,000","4,486,000,000","4,441,000,000","4,371,000,000","2,718,000,000","2,479,000,000","2,475,000,000","2,092,000,000","1,931,000,000","1,870,000,000","1,753,000,000","1,568,000,000","1,469,000,000","1,389,000,000","1,274,000,000","1,094,600,000","733,300,000","589,100,000","439,900,000","341,700,000","310,300,000","320,800,000","296,600,000","277,900,000","249,700,000","242,600,000","262,800,000","327,700,000","206,300,000","191,600,000","201,000,000","138,500,000","114,400,000","97,800,000"
			DepreciationAndAmortization,"4,550,000,000","4,366,000,000","4,224,000,000","4,486,000,000","4,441,000,000","4,371,000,000","2,718,000,000","2,479,000,000","2,475,000,000","2,092,000,000","1,931,000,000","1,870,000,000","1,753,000,000","1,568,000,000","1,469,000,000","1,389,000,000","1,274,000,000","1,094,600,000","733,300,000","589,100,000","439,900,000","341,700,000","310,300,000","320,800,000","296,600,000","277,900,000","249,700,000","242,600,000","262,800,000","327,700,000","206,300,000","191,600,000","201,000,000","138,500,000","114,400,000","97,800,000"
		DeferredTax,"-1,104,000,000","-676,000,000","-2,029,000,000","-402,000,000","-570,000,000","-654,000,000","87,000,000","-1,334,000,000","18,000,000","-252,000,000","-58,000,000","-86,000,000","-111,000,000","144,000,000","30,000,000","48,000,000","-3,000,000","40,100,000","98,200,000","13,500,000","-7,200,000","41,100,000","71,800,000","-83,500,000","43,800,000","124,800,000","80,600,000","-140,400,000","116,400,000","-89,700,000","2,000,000","15,600,000","-93,400,000","18,100,000","10,100,000","5,900,000"
			DeferredIncomeTax,"-1,104,000,000","-676,000,000","-2,029,000,000","-402,000,000","-570,000,000","-654,000,000","87,000,000","-1,334,000,000","18,000,000","-252,000,000","-58,000,000","-86,000,000","-111,000,000","144,000,000","30,000,000","48,000,000","-3,000,000","40,100,000","98,200,000","13,500,000","-7,200,000","41,100,000","71,800,000","-83,500,000","43,800,000","124,800,000","80,600,000","-140,400,000","116,400,000","-89,700,000","2,000,000","15,600,000","-93,400,000","18,100,000","10,100,000","5,900,000"
