name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"15,698,850,000","15,771,229,000","15,257,519,000","15,920,089,000","14,032,891,000","12,718,553,000","14,088,461,000","15,759,265,000","21,449,849,000","21,331,436,000","20,075,870,000","19,915,555,000","17,408,475,000","13,331,923,000","12,209,735,000","11,849,826,000","12,521,772,000","10,012,749,000","3,597,265,000","3,104,526,000","3,035,957,000","2,748,417,000","2,431,153,000","2,394,852,000","2,469,390,000","1,356,612,000","940,964,000","753,653,000","667,831,000","573,826,000","549,600,000","509,200,000","458,600,000","476,500,000","431,400,000","400,300,000","324,300,000","306,500,000","163,600,000"
	CurrentAssets,"561,279,000","604,968,000","713,433,000","2,975,382,000","3,977,469,000","359,101,000","853,276,000","1,917,926,000","7,225,481,000","1,531,950,000","1,110,018,000","958,654,000","584,908,000","1,107,524,000","188,985,000","126,474,000","177,588,000",,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"117,635,000","72,032,000","158,287,000","44,226,000","80,398,000","110,790,000","55,306,000","94,730,000","340,442,000","183,810,000","300,556,000","247,673,000","33,506,000","1,036,701,000","112,259,000","57,562,000","96,269,000","58,405,000","48,598,000","20,555,000","17,768,000","8,495,000","8,408,000","58,623,000","7,696,000","4,504,000","4,084,000","2,811,000","2,000,000",,,,,,,,,,
			CashAndCashEquivalents,"117,635,000","72,032,000","158,287,000","44,226,000","80,398,000","110,790,000","55,306,000","94,730,000","340,442,000","183,810,000","300,556,000","247,673,000","33,506,000","1,036,701,000","112,259,000","57,562,000","96,269,000","58,405,000","0","20,555,000","17,768,000","8,495,000","8,408,000","58,623,000","7,696,000","4,504,000","4,084,000","2,811,000","2,000,000",,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,"888,946,000","703,402,000","48,598,000",,,,,,,,,,,,,,,,,,,,
		Receivables,"274,270,000","428,268,000","464,502,000","237,644,000","235,421,000","111,169,000","354,059,000","853,070,000","1,184,623,000","1,299,164,000","762,414,000","616,474,000","403,554,000","34,504,000","43,726,000","33,834,000","44,892,000","31,026,000","13,313,000","14,834,000","16,471,000","22,382,000","20,940,000","14,920,000","13,565,000",,,,,,,,,,,,,,
			AccountsReceivable,"55,820,000","53,436,000","48,691,000","42,269,000","44,842,000","48,171,000","40,733,000","45,116,000","415,880,000","392,203,000","396,413,000","340,444,000","293,301,000","34,504,000","43,726,000","33,834,000","44,892,000","31,026,000","13,313,000","14,834,000","16,471,000","22,382,000","20,940,000","14,920,000","13,565,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,"58,102,000","55,835,000","50,561,000","46,263,000","45,229,000","53,298,000","45,158,000","49,575,000","452,059,000","430,170,000","432,172,000","375,633,000","329,099,000","39,654,000","54,498,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-2,282,000","-2,399,000","-1,870,000","-3,994,000","-387,000","-5,127,000","-4,425,000","-4,459,000","-36,179,000","-37,967,000","-35,759,000","-35,189,000","-35,798,000","-5,150,000","-10,772,000",,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,"218,450,000","374,832,000","415,811,000","195,375,000","190,579,000","62,998,000","313,326,000","807,954,000","768,743,000","906,961,000","366,001,000","276,030,000","110,253,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,"171,000","512,187,000",,,,,,,,,,,,,,,,,,,,,
		RestrictedCash,"51,388,000","54,802,000","53,454,000","67,206,000","13,385,000","29,056,000","26,897,000","42,260,000","46,090,000","48,976,000","37,229,000","37,848,000","41,553,000","36,319,000","33,000,000","35,078,000","36,427,000",,"2,270,000","4,678,000",,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"117,986,000","49,866,000","37,190,000","2,626,306,000","3,648,265,000","108,086,000","417,014,000","927,866,000","5,654,326,000",,"9,819,000","56,659,000","106,295,000",,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"15,137,571,000","15,166,261,000","14,544,086,000","12,944,707,000","10,055,422,000","12,359,452,000","13,235,185,000","13,841,339,000","14,224,368,000","19,799,486,000","18,965,852,000","18,956,901,000","16,823,567,000","12,224,399,000","12,020,750,000","11,723,352,000","12,344,184,000",,,,,,,,,,,,,,,,,,,,,,
		NetPPE,"240,155,000","237,318,000","233,942,000","192,349,000","167,316,000","0",,,,,,,"9,385,432,000","8,676,764,000","8,550,686,000","8,691,370,000","8,825,410,000","5,929,219,000","3,241,852,000","2,817,181,000","2,543,440,000","2,371,411,000","2,194,556,000","2,100,509,000","2,192,988,000","1,131,119,000","786,502,000","623,734,000","527,994,000","475,795,000","434,800,000","415,100,000","400,700,000","398,300,000","386,400,000",,,,
			GrossPPE,"240,155,000","237,318,000","233,942,000","192,349,000","167,316,000","0",,,,,,,"10,859,409,000","9,927,906,000","9,586,160,000","9,510,042,000","9,431,291,000","6,449,184,000","3,855,941,000","3,350,945,000","2,992,266,000","2,796,199,000","2,534,527,000","2,388,228,000","2,423,497,000","1,322,060,000","957,004,000","771,594,000","649,977,000","587,335,000",,,,,,,,,
				Properties,,,,,,,,,,,,,"0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,
				LandAndImprovements,,,,,,,,,,,,,"1,731,327,000","1,573,984,000","1,542,393,000","1,546,889,000","1,564,820,000",,,,,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,"8,937,492,000","8,209,806,000","7,771,225,000","7,738,817,000","7,493,944,000",,,,,,,,,,,,,,,,,,,,,,
				OtherProperties,"240,155,000","237,318,000","233,942,000","192,349,000","167,316,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,"190,590,000","144,116,000","272,542,000","224,336,000","372,527,000",,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,,,,,,,,,,,,,"-1,473,977,000","-1,251,142,000","-1,035,474,000","-818,672,000","-605,881,000","-519,965,000","-614,089,000","-534,573,000","-486,421,000","-424,788,000","-339,971,000","-287,719,000","-230,509,000","-190,941,000","-170,502,000","-147,860,000","-121,983,000","-111,540,000",,,,,,,,,
		GoodwillAndOtherIntangibleAssets,"314,156,000","418,061,000","519,760,000","519,917,000","260,204,000","305,079,000","410,082,000","479,805,000","633,676,000","531,359,000","540,188,000","602,083,000","422,736,000","366,721,000","440,044,000","505,507,000","623,073,000","380,568,000","38,804,000","18,872,000",,,,,,,,,,,,,,,,,,,
			Goodwill,,,,,,,,"42,386,000","47,019,000","50,346,000","50,346,000","50,346,000","50,346,000","50,346,000","50,346,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"314,156,000","418,061,000","519,760,000","519,917,000","260,204,000","305,079,000","410,082,000","479,805,000","586,657,000","481,013,000","489,842,000","551,737,000","372,390,000","316,375,000","389,698,000","505,507,000","623,073,000","479,612,000","38,804,000","18,872,000",,,,,,,,,,,,,,,,,,,
		InvestmentProperties,"13,028,363,000","13,023,483,000","12,667,429,000","11,119,758,000","8,230,624,000","10,209,450,000","10,731,878,000","11,325,830,000","11,854,242,000","10,886,887,000","10,627,249,000","10,829,332,000","9,280,510,000",,,,,,,,,,,,,,,,,,,,,,,,,,
