name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"953,269,000","956,242,000","900,261,000","795,248,000","758,431,000","846,073,000","848,709,000","847,041,000","1,214,131,000","1,222,145,000","1,248,621,000","1,148,987,000","1,034,870,000","724,161,000","580,498,000","515,634,000","568,697,000","453,051,000","341,196,000","282,229,000","272,542,000","263,575,000","232,763,000","200,848,000","205,511,000","124,117,000","112,311,000","87,544,000","90,585,000","71,164,000","65,519,000","62,700,000","53,000,000","44,900,000","39,100,000","28,400,000"
	CashFlowFromContinuingOperatingActivities,"953,269,000","956,242,000","900,261,000","795,248,000","758,431,000","846,073,000","848,709,000","847,041,000","1,214,131,000","1,222,145,000","1,248,621,000","1,148,987,000","1,034,870,000","724,161,000","580,498,000","515,634,000","568,697,000","453,051,000","341,196,000","282,229,000","272,542,000","263,575,000","232,763,000","200,848,000","205,511,000","124,117,000","112,311,000","87,544,000","90,585,000","71,164,000","65,519,000","62,700,000","53,000,000","44,900,000","39,100,000","28,400,000"
		NetIncomeFromContinuingOperations,"307,944,000","334,757,000","516,424,000","525,930,000","428,253,000","60,061,000","1,073,474,000","422,634,000","644,816,000","-630,603,000","862,221,000","990,868,000","859,650,000","565,834,000","350,908,000","146,151,000","470,983,000","589,015,000","438,700,000","195,242,000","169,040,000","158,585,000","137,380,000","121,166,000","133,493,000","96,225,000","87,167,000","64,789,000","60,600,000","56,700,000","50,000,000","44,100,000","35,700,000","26,500,000","23,200,000","13,800,000"
		OperatingGainsLosses,"-211,363,000","-96,901,000","-346,602,000","-391,764,000","-641,438,000","-123,934,000","-888,383,000","-364,210,000","-130,038,000","-63,690,000","-83,138,000","-145,116,000","-85,866,000","-76,268,000","-37,990,000","-42,366,000","-255,822,000","-442,094,000","-1,861,000","-4,517,000",,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,"-77,978,000","-234,000","-311,438,000","-1,042,000","-159,973,000","-168,023,000","-9,154,000",,,,,,,"-7,769,000",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,"-3,107,000","-19,925,000","-37,321,000","-229,189,000","-413,725,000",,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,"188,000","-7,178,000","-2,270,000","-10,817,000",,"-1,226,000",,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,"-125,299,000","-86,463,000","-33,115,000","-605,311,000","-592,164,000","-22,900,000","-925,985,000","-407,536,000","-164,698,000","-6,377,000","-31,298,000","-69,866,000","-31,411,000","2,289,000","-33,220,000","-8,807,000","7,230,000","-2,233,000","-1,861,000","-4,517,000",,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"-8,086,000","-10,204,000","-2,049,000","-11,235,000","67,787,000","8,625,000","2,594,000","-10,901,000","-11,360,000","-57,313,000","-49,570,000","-64,433,000","-54,455,000","-54,519,000","-4,770,000","3,762,000","3,419,000","-381,000",,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"875,820,000","749,901,000","710,569,000","684,286,000","697,143,000","659,989,000","549,499,000","534,726,000","568,108,000","504,905,000","454,067,000","416,666,000","351,472,000","341,545,000","300,556,000","305,345,000","312,796,000","275,123,000","168,602,000","111,147,000","99,342,000","87,551,000","82,261,000","84,098,000","72,590,000","44,789,000","29,577,000","22,667,000","20,700,000","16,691,000","17,521,000","17,900,000","18,100,000","18,500,000","15,500,000","14,800,000"
