name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991
TotalAssets,"62,125,000,000","63,171,000,000","67,952,000,000","68,407,000,000","61,627,000,000","63,675,000,000","70,283,000,000","56,977,000,000","51,716,000,000","34,664,000,000","22,579,000,000","21,239,838,000","17,303,134,000","11,592,630,000","9,698,559,000","6,936,831,000","5,834,716,000","4,085,981,000","3,766,316,000","2,155,963,000","1,554,722,000","1,288,183,000","794,786,000","678,099,000","436,808,000","487,800,000","352,100,000","310,700,000","166,700,000","102,400,000","126,600,000","146,800,000","108,700,000","12,500,000"
	CurrentAssets,"16,085,000,000","14,443,000,000","14,772,000,000","15,996,000,000","30,296,000,000","35,836,000,000","31,823,000,000","19,588,000,000","24,762,000,000","17,714,000,000","6,997,000,000","6,156,347,000","13,918,785,000","5,708,082,000","4,812,558,000","4,278,408,000","3,028,292,000","2,429,206,000","3,092,208,000","1,849,694,000","1,265,898,000","1,183,760,000","707,759,000","593,798,000","371,981,000","416,900,000","340,300,000","300,300,000","157,200,000","91,100,000","116,900,000","140,200,000","106,200,000","10,400,000"
		CashCashEquivalentsAndShortTermInvestments,"7,264,000,000","6,385,000,000","6,520,000,000","7,408,000,000","24,352,000,000","30,089,000,000","25,510,000,000","11,895,000,000","14,607,000,000","10,128,000,000","2,132,000,000","1,862,250,000","9,900,268,000","2,098,668,000","1,656,975,000","1,790,062,000","1,171,978,000","936,851,000","2,311,033,000","1,254,038,000","707,000,000","942,374,000","582,851,000","512,878,000","294,394,000","101,100,000","32,000,000","132,000,000","27,400,000","30,400,000","13,000,000","2,100,000","87,900,000","10,300,000"
			CashAndCashEquivalents,"6,085,000,000","5,412,000,000","5,338,000,000","5,997,000,000","11,631,000,000","17,940,000,000","7,588,000,000","8,229,000,000","12,851,000,000","10,027,000,000","2,113,000,000","1,803,694,000","9,883,777,000","907,879,000","1,272,958,000","1,459,302,000","968,086,000","816,007,000","707,913,000","280,909,000","194,719,000","616,931,000","123,490,000","197,292,000","47,011,000","101,100,000","32,000,000","132,000,000","27,400,000","30,400,000","13,000,000","2,100,000","87,900,000","10,300,000"
			OtherShortTermInvestments,"1,179,000,000","973,000,000","1,182,000,000","1,411,000,000","12,721,000,000","12,149,000,000","17,922,000,000","3,666,000,000","1,756,000,000","101,000,000","19,000,000","58,556,000","16,491,000","1,190,789,000","384,017,000","330,760,000","203,892,000","120,844,000","1,603,120,000","973,129,000","512,281,000","325,443,000","459,361,000","315,586,000","247,383,000",,,,,,,,,
		Receivables,"4,660,000,000","4,777,000,000","4,493,000,000","4,892,000,000","3,582,000,000","3,327,000,000","3,851,000,000","4,514,000,000","5,854,000,000","4,635,000,000","2,182,000,000","1,751,388,000","1,951,167,000","1,621,966,000","1,389,534,000","1,023,397,000","795,127,000","609,320,000","396,125,000","371,245,000","235,217,000","175,036,000","74,228,000","48,814,000","45,599,000","43,100,000",,,,,,"137,200,000",,
			AccountsReceivable,"4,660,000,000","4,777,000,000","4,493,000,000","4,892,000,000","3,582,000,000","3,327,000,000","3,851,000,000","4,514,000,000","5,854,000,000","4,635,000,000","2,182,000,000","1,751,388,000","1,951,167,000","1,621,966,000","1,389,534,000","1,023,397,000","795,127,000","609,320,000","396,125,000","371,245,000","235,217,000","125,036,000","74,228,000","48,814,000",,,,,,,,,,
				GrossAccountsReceivable,"5,495,000,000","5,464,000,000","5,278,000,000","5,560,000,000","4,340,000,000","3,910,000,000","4,306,000,000","5,277,000,000","6,886,000,000","4,991,000,000","2,434,000,000","2,012,401,000","2,157,157,000","1,772,908,000",,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-836,000,000","-687,000,000","-785,000,000","-668,000,000","-758,000,000","-583,000,000","-455,000,000","-763,000,000","-1,032,000,000","-356,000,000","-252,000,000","-261,013,000","-205,990,000","-150,942,000",,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,"50,000,000",,,,,,,,,,,,
		Inventory,"1,787,000,000","1,507,000,000","1,618,000,000","1,683,000,000","922,000,000","814,000,000","801,000,000","1,587,000,000","1,955,000,000","1,386,000,000","1,697,000,000","1,744,982,000","1,389,983,000","1,203,809,000","1,051,771,000","927,868,000","599,966,000","564,145,000","216,903,000","135,991,000","98,102,000","51,628,000","39,280,000","20,562,000","20,959,000","16,600,000",,,,,,,,
			RawMaterials,,,,,,,,,,,"1,049,403,000","826,545,000","697,621,000","408,015,000","333,582,000","505,106,000","244,725,000","361,584,000","147,950,000","93,942,000","54,178,000","24,840,000","18,086,000",,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,"412,945,000","358,525,000","466,499,000","454,652,000","392,042,000","140,333,000","136,651,000","46,163,000","25,061,000","11,103,000","11,775,000","16,548,000","10,004,000",,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,"593,440,000","559,912,000","225,863,000","341,142,000","326,147,000","282,429,000","218,590,000","156,398,000","43,892,000","30,946,000","32,149,000","10,240,000","11,190,000",,,,,,,,,,,
		PrepaidAssets,,"1,774,000,000","2,141,000,000","2,013,000,000","1,440,000,000","1,606,000,000","1,661,000,000","1,592,000,000","1,013,000,000","585,000,000","398,000,000","348,420,000","246,444,000","388,056,000","352,307,000","270,133,000","273,446,000","50,111,000","48,383,000","35,373,000","28,012,000","14,722,000","11,400,000",,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,"857,000,000","828,000,000","508,000,000","331,000,000","262,641,000","208,155,000","279,339,000","295,080,000","140,882,000","152,533,000","245,916,000","84,839,000","53,047,000","197,567,000",,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"857,000,000","828,000,000","508,000,000","331,000,000","262,641,000","208,155,000","279,339,000","295,080,000","140,882,000","152,533,000","245,916,000","84,839,000","53,047,000","197,567,000",,,,,,,,,,,,,
		OtherCurrentAssets,"2,374,000,000","1,774,000,000","2,141,000,000","2,013,000,000","1,440,000,000","1,606,000,000","1,661,000,000","1,592,000,000","505,000,000","472,000,000","257,000,000","186,666,000","222,768,000","116,244,000","66,891,000","126,066,000","35,242,000","22,863,000","34,925,000",,,,,"11,544,000","11,029,000","256,100,000","308,300,000","168,300,000","129,800,000","60,700,000","103,900,000","900,000","18,300,000","100,000"
	TotalNonCurrentAssets,"46,040,000,000","48,727,000,000","53,180,000,000","52,411,000,000","31,331,000,000","27,839,000,000","38,460,000,000","37,389,000,000","26,954,000,000","16,950,000,000","15,582,000,000","15,083,491,000","3,384,349,000","5,884,548,000","4,886,001,000","2,658,423,000","2,806,424,000","1,656,775,000","674,108,000","306,269,000","288,824,000","104,423,000","87,027,000","84,301,000","64,827,000","70,900,000","11,800,000","10,400,000","9,500,000","11,300,000","9,700,000","6,600,000","2,500,000","2,100,000"
		NetPPE,"5,317,000,000","5,475,000,000","5,121,000,000","4,967,000,000","4,502,000,000","4,006,000,000","3,295,000,000","2,865,000,000","2,276,000,000","1,674,000,000","1,166,000,000","1,100,259,000","774,406,000","701,235,000","699,970,000","528,799,000","447,696,000","361,299,000","242,568,000","223,106,000","198,200,000","67,727,000","62,828,000","55,174,000","51,398,000","51,000,000","10,300,000","9,200,000","8,400,000","10,400,000","8,900,000","6,300,000","2,200,000","1,900,000"
			GrossPPE,"7,766,000,000","7,661,000,000","7,014,000,000","6,635,000,000","5,924,000,000","5,197,000,000","4,289,000,000","3,683,000,000","3,039,000,000","2,294,000,000","1,668,000,000","1,523,559,000","1,132,669,000","1,017,602,000","1,004,858,000","775,990,000","649,036,000","521,955,000","373,233,000","329,915,000","288,138,000","148,505,000","131,128,000","128,046,000","115,498,000","68,700,000","25,900,000","22,200,000","18,700,000","18,700,000","12,200,000","9,600,000","4,500,000","3,400,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,
				LandAndImprovements,"561,000,000","562,000,000","404,000,000","404,000,000","404,000,000","404,000,000","396,000,000","394,000,000","393,000,000","254,000,000","196,000,000","195,813,000","149,376,000","137,812,000","137,809,000","66,320,000","65,983,000","54,602,000","45,056,000","45,056,000","45,056,000",,"55,658,000",,,,,,,,,,,
				BuildingsAndImprovements,"4,328,000,000","4,390,000,000","3,794,000,000","3,678,000,000","3,358,000,000","2,344,000,000","2,176,000,000","1,713,000,000","1,320,000,000","997,000,000","835,000,000","670,470,000","500,040,000","501,401,000","490,632,000","348,033,000","333,818,000","256,449,000","201,082,000","177,704,000","146,445,000","61,010,000","55,658,000",,,,,,,,,,,
				MachineryFurnitureEquipment,"1,069,000,000","880,000,000","807,000,000","793,000,000","634,000,000","558,000,000","494,000,000","466,000,000","395,000,000","305,000,000","258,000,000","233,987,000","211,936,000","296,055,000","317,969,000","280,445,000","236,721,000","171,511,000","113,276,000","95,187,000","86,345,000","79,028,000","69,232,000",,,,,,,,,,,
				OtherProperties,"1,147,000,000","1,110,000,000","952,000,000","904,000,000","805,000,000","697,000,000","533,000,000","469,000,000","377,000,000","327,000,000","250,000,000","206,855,000","210,571,000",,,,,,,,,,"13,791,000",,,,,,,,,,,
				ConstructionInProgress,"661,000,000","719,000,000","1,057,000,000","856,000,000","723,000,000","1,194,000,000","690,000,000","641,000,000","554,000,000","411,000,000","129,000,000","216,434,000","60,746,000","82,334,000","58,448,000","81,192,000","12,514,000","39,393,000","13,819,000","11,968,000","10,292,000","8,467,000","6,238,000",,,,,,,,,,,
			AccumulatedDepreciation,"-2,449,000,000","-2,186,000,000","-1,893,000,000","-1,668,000,000","-1,422,000,000","-1,191,000,000","-994,000,000","-818,000,000","-763,000,000","-620,000,000","-502,000,000","-423,300,000","-358,263,000","-316,367,000","-304,888,000","-247,191,000","-201,340,000","-160,656,000","-130,665,000","-106,809,000","-89,938,000","-80,778,000","-68,300,000","-72,872,000","-64,100,000","-17,700,000","-15,600,000","-13,000,000","-10,300,000","-8,300,000","-3,300,000","-3,300,000","-2,300,000","-1,500,000"
		GoodwillAndOtherIntangibleAssets,"34,768,000,000","37,207,000,000","41,787,000,000","41,234,000,000","17,903,000,000","19,855,000,000","21,259,000,000","10,143,000,000","11,419,000,000","12,245,000,000","13,069,000,000","12,797,312,000","2,066,966,000","1,425,592,000","1,524,777,000","123,008,000",,,,,,,,,,,,,,,,,,
			Goodwill,"8,314,000,000","8,314,000,000","8,332,000,000","8,108,000,000","4,117,000,000","4,117,000,000","4,159,000,000","1,172,000,000","1,172,000,000","1,172,000,000","1,169,000,000","1,060,919,000","1,004,102,000","532,669,000","1,524,777,000","123,008,000",,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"26,454,000,000","28,893,000,000","33,455,000,000","33,126,000,000","13,786,000,000","15,738,000,000","17,100,000,000","8,971,000,000","10,247,000,000","11,073,000,000","11,900,000,000","11,736,393,000","1,062,864,000","892,923,000",,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"1,163,000,000","1,245,000,000","1,309,000,000","502,000,000","1,488,000,000","1,423,000,000","11,184,000,000","20,485,000,000","11,601,000,000","1,598,000,000","439,000,000","719,836,000","63,704,000","3,219,403,000","2,247,871,000","1,449,577,000",,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"1,163,000,000","1,245,000,000","1,309,000,000","502,000,000","1,488,000,000","1,423,000,000","11,184,000,000","20,485,000,000","11,601,000,000","1,598,000,000","439,000,000","719,836,000","63,704,000","3,219,403,000",,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"1,163,000,000","1,245,000,000","1,309,000,000","502,000,000","1,488,000,000","1,423,000,000","11,184,000,000","20,485,000,000","11,601,000,000","1,598,000,000","439,000,000","719,836,000","63,704,000",,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,"402,000,000","324,000,000","236,000,000","190,000,000","131,107,000","144,015,000","153,379,000","101,498,000","226,728,000","297,359,000","302,539,000","66,893,000","45,446,000","52,494,000",,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,,,,,,,,"402,000,000","324,000,000","236,000,000","190,000,000","131,107,000","144,015,000","153,379,000","101,498,000","226,728,000","297,359,000","302,539,000","66,893,000","45,446,000","52,494,000",,,,,,,,,,,,,
		NonCurrentPrepaidAssets,,,,,,,,"423,000,000","400,000,000","466,000,000","199,000,000","175,790,000","174,584,000","203,790,000","226,250,000","257,208,000",,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"4,792,000,000","4,800,000,000","4,963,000,000","5,708,000,000","7,438,000,000","2,555,000,000","2,722,000,000","3,896,000,000","934,000,000","731,000,000","519,000,000","159,187,000","160,674,000","181,149,000","85,635,000","73,103,000","2,061,369,000","992,937,000","364,647,000","37,717,000","38,130,000","36,696,000","24,199,000","29,127,000","13,429,000","19,900,000","1,500,000","1,200,000","1,100,000","900,000","800,000","300,000","300,000","200,000"
TotalLiabilitiesNetMinorityInterest,"39,376,000,000","41,962,000,000","46,888,000,000","50,186,000,000","38,977,000,000","42,141,000,000","49,782,000,000","37,614,000,000","32,603,000,000","18,845,000,000","10,834,000,000","11,696,116,000","10,435,785,000","5,470,793,000","3,193,401,000","2,471,248,000","2,234,427,000","2,217,172,000","738,538,000","285,091,000","551,748,000","716,842,000","342,349,000","326,975,000","139,516,000","154,100,000","34,800,000","19,000,000","15,200,000","16,300,000","11,300,000","7,400,000","3,100,000","2,300,000"
	CurrentLiabilities,"11,280,000,000","11,238,000,000","11,610,000,000","11,397,000,000","9,759,000,000","10,605,000,000","11,635,000,000","9,218,000,000","9,890,000,000","5,761,000,000","6,407,000,000","4,237,897,000","2,514,790,000","2,464,950,000","1,871,631,000","1,220,992,000","736,275,000","764,276,000","465,163,000","253,454,000","185,895,000","104,892,000","80,117,000","58,238,000","47,877,000","57,300,000","33,400,000","16,100,000","11,700,000","10,900,000","8,800,000","6,300,000","2,400,000","1,800,000"
		PayablesAndAccruedExpenses,"5,560,000,000","5,343,000,000","8,668,000,000","7,189,000,000","6,524,000,000","7,302,000,000","8,433,000,000","8,820,000,000","8,088,000,000","4,828,000,000","3,356,000,000","2,760,652,000","2,265,237,000","1,567,798,000","1,743,323,000","1,172,398,000","705,242,000","701,098,000","290,865,000","233,392,000","180,282,000","97,006,000","74,629,000","11,605,000","9,481,000","7,700,000","3,300,000","2,500,000","2,400,000","1,000,000","1,100,000","1,100,000","400,000","300,000"
