name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,03/31/1995,03/31/1994,03/31/1993,03/31/1992,03/31/1991
OperatingCashFlow,"7,468,000,000","8,006,000,000","9,072,000,000","11,384,000,000","8,168,000,000","9,144,000,000","8,400,000,000","11,898,000,000","17,047,000,000","21,250,000,000","12,818,000,000","3,105,000,000","3,195,000,000","3,639,010,000","2,833,913,000","3,080,054,000","2,143,384,000","1,765,398,000","1,218,059,000","705,642,000","507,964,000","234,607,000","74,409,000","-126,979,000","-38,202,000","-62,600,000","-51,300,000","-54,500,000","-16,500,000","-23,000,000","-27,400,000","-22,400,000","-8,900,000","-3,700,000","-2,400,000"
	CashFlowFromContinuingOperatingActivities,"7,466,000,000","8,005,000,000","9,072,000,000","11,384,000,000","8,168,000,000","9,144,000,000","8,400,000,000","11,898,000,000","17,047,000,000","21,250,000,000","12,818,000,000","3,105,000,000","3,195,000,000","3,639,010,000","2,833,913,000","3,080,054,000","2,143,384,000","1,765,398,000","1,218,059,000","705,642,000","507,964,000","234,607,000","74,409,000","-126,979,000","-38,202,000","-62,600,000","-51,300,000","-54,500,000","-16,500,000","-23,000,000","-27,400,000","-22,400,000","-8,900,000","-3,700,000","-2,400,000"
		NetIncomeFromContinuingOperations,"1,033,000,000","5,613,000,000","4,566,000,000","6,201,000,000","89,000,000","5,364,000,000","5,460,000,000","4,644,000,000","13,488,000,000","18,106,000,000","12,059,000,000","3,057,000,000","2,574,000,000","2,789,059,000","2,889,749,000","2,625,592,000","1,970,335,000","1,615,298,000","-1,189,957,000","813,914,000","449,371,000","-72,003,000","72,097,000","52,271,000","-56,776,000","-66,500,000","-44,800,000","-72,900,000","-21,700,000","-27,400,000","-31,300,000","-25,700,000","-14,100,000","-4,500,000","-4,000,000"
		OperatingGainsLosses,"385,000,000","167,000,000","657,000,000","610,000,000","1,662,000,000","-1,241,000,000","-115,000,000",,,,,,,,,,"10,851,000",,"2,394,402,000","170,011,000","5,507,000","387,843,000","22,529,000","-163,856,000","12,003,000","11,400,000","-22,600,000","10,000,000",,,,"-400,000",,"-100,000",
			GainLossOnInvestmentSecurities,"385,000,000","167,000,000","657,000,000","610,000,000","1,662,000,000","-1,241,000,000","-115,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,"-1,241,000,000","-115,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"2,756,000,000","2,693,000,000","2,103,000,000","2,050,000,000","1,480,000,000","1,404,000,000","1,429,000,000","1,286,000,000","1,158,000,000","1,098,000,000","1,050,000,000","345,000,000","278,000,000","302,232,000","265,477,000","212,944,000","155,610,000","51,279,000","47,284,000","35,777,000","24,408,000","20,859,000","14,428,000","14,691,000","12,008,000","12,600,000","13,200,000","15,200,000","4,500,000","3,200,000","3,900,000","2,800,000","1,700,000","1,000,000","800,000"
			DepreciationAndAmortization,"2,756,000,000","2,693,000,000","2,103,000,000","2,050,000,000","1,480,000,000","1,404,000,000","1,429,000,000","1,286,000,000","1,158,000,000","1,098,000,000","1,050,000,000","345,000,000","278,000,000","302,232,000","265,477,000","212,944,000","155,610,000","51,279,000","47,284,000","35,777,000","24,408,000","20,859,000","14,428,000","14,691,000","12,008,000","12,600,000","13,200,000","15,200,000","4,500,000","3,200,000","3,900,000","2,800,000","1,700,000","1,000,000","800,000"
				Depreciation,"369,000,000","354,000,000","323,000,000","329,000,000","288,000,000","255,000,000","226,000,000","233,000,000","177,000,000","161,000,000","125,000,000","103,000,000","83,000,000","72,187,000","67,240,000","64,560,000","51,722,000","36,888,000","27,620,000","25,285,000","20,265,000","16,533,000","13,189,000","13,509,000","11,759,000",,,,,,,,,,
				AmortizationCashFlow,"2,387,000,000","2,339,000,000","1,780,000,000","1,721,000,000","1,192,000,000","1,149,000,000","1,203,000,000","1,053,000,000","981,000,000","937,000,000","925,000,000","242,000,000","195,000,000","230,045,000","198,237,000","148,384,000","103,888,000","14,391,000","19,664,000","10,492,000","4,143,000","4,326,000","1,239,000","1,182,000","249,000",,,,,,,,,,
