name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
OperatingCashFlow,"6,735,000,000","7,380,000,000","3,912,000,000","2,228,000,000","6,433,000,000","1,326,000,000","1,015,000,000","1,589,000,000","327,719,000","311,449,000","132,671,000","-127,999,000","70,919,000","-437,225,000","268,171,000","-570,061,000","-513,333,000","505,898,000","-379,623,000","-208,644,000","-367,698,000","-302,364,000","-308,316,000"
	CashFlowFromContinuingOperatingActivities,"6,735,000,000","7,380,000,000","3,912,000,000","2,228,000,000","6,433,000,000","1,326,000,000","1,015,000,000","1,589,000,000","327,719,000","311,449,000","132,671,000","-127,999,000","70,919,000","-437,225,000",,,,,,,,,
		NetIncomeFromContinuingOperations,"7,520,000,000","5,637,000,000","6,945,000,000","3,918,000,000","5,904,000,000","2,859,000,000","1,612,000,000","1,064,000,000","1,130,217,000","757,527,000","297,346,000","107,638,000","-489,723,000","-590,420,000","-300,554,000","-1,004,823,000","-964,506,000","-383,369,000","-438,236,000","-393,590,000",,,
		OperatingGainsLosses,"-558,000,000","596,000,000","-375,000,000","-781,000,000","583,000,000","-108,000,000","12,000","159,000","45,000","-27,148,000","-11,000","-52,367,000","-229,000","-80,000",,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,,"12,000","159,000","45,000","0","-11,000","-52,367,000","-229,000","-80,000","-159,000","472,000","169,000","138,000",,,"-1,243,000","-402,000","-352,000"
			NetForeignCurrencyExchangeGainLoss,"-279,000,000","889,000,000","-1,034,000,000","-1,470,000,000","1,456,000,000","-99,000,000","-232,000,000","280,000,000","-77,384,000","-27,148,000","-32,169,000","3,844,000","-2,609,000","-39,603,000",,,,,,,,,
			GainLossOnInvestmentSecurities,"-279,000,000","-293,000,000","659,000,000","689,000,000","-873,000,000","-9,000,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"329,000,000","295,000,000","362,000,000","248,000,000","259,000,000","139,000,000","88,000,000","70,000,000","40,956,000","31,822,000","12,331,000","11,664,000","15,111,000","15,047,000",,,,,,,,,
			DepreciationAndAmortization,"329,000,000","295,000,000","362,000,000","248,000,000","259,000,000","139,000,000","88,000,000","70,000,000","40,956,000","31,822,000","12,331,000","11,664,000","15,111,000","15,047,000","21,033,000","83,783,000","79,578,000","14,253,000","17,500,000","31,775,000","53,663,000","63,670,000","47,468,000"
				Depreciation,"330,000,000","295,000,000","362,000,000","248,000,000","259,000,000","139,000,000",,,,,,,,"15,047,000","21,033,000","83,783,000","79,578,000","14,253,000","17,500,000","31,775,000","53,663,000","63,670,000","47,468,000"
		AssetImpairmentCharge,,,,,,,,,,,,"0","330,913,000","342,288,000",,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,"230,000","0",,,"0","-350,000","5,159,000","305,000","15,602,000","12,989,000","4,667,000",,,,,,
		StockBasedCompensation,"664,000,000","586,000,000","439,000,000","310,000,000","200,000,000","147,000,000","91,000,000","76,000,000","53,188,000","36,564,000","27,719,000","11,566,000","11,999,000","20,043,000",,,,,,,,,
		OtherNonCashItems,"-1,085,000,000","-912,000,000","-303,000,000","-216,000,000","-174,000,000","-108,000,000","-232,000,000","280,000,000","-77,384,000","-27,148,000","-32,169,000","3,844,000","-2,609,000","-39,603,000","28,215,000","151,511,000","155,296,000","90,933,000","39,200,000","23,839,000",,,
		ChangeInWorkingCapital,"-298,000,000","1,362,000,000","-1,840,000,000","-705,000,000","987,000,000","-1,218,000,000","-634,000,000","240,000,000","-858,871,000","-538,442,000","-221,757,000","-240,157,000","175,452,000","-203,027,000","378,406,000","-81,286,000","111,441,000","-172,604,000","-18,821,000","127,489,000","0","34,607,000","-34,607,000"
