name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
TotalRevenue,"19,016,000,000","16,474,000,000","14,505,000,000","8,417,000,000","10,111,000,000","5,366,000,000","3,025,000,000","2,365,000,000","1,816,122,000","1,133,041,000","850,385,000","663,570,000","484,636,000","350,936,000","582,077,000","586,076,000","692,298,000","529,537,000","135,547,000","98,505,000","4,101,000","68,326,000","0"
	OperatingRevenue,"18,152,000,000","15,610,000,000","13,687,000,000","7,886,000,000","9,680,000,000","5,024,000,000","2,776,000,000","2,284,000,000","1,800,891,000","1,090,495,000","771,160,000","538,341,000","408,716,000","308,617,000","582,077,000","586,076,000","692,298,000","529,537,000","135,547,000","98,505,000","4,101,000","68,326,000","0"
CostOfRevenue,"580,000,000","226,000,000","0","0",,,,,,,,,,"532,507,000","582,512,000","0","48,812,000","0",,,,,
GrossProfit,"18,436,000,000","16,248,000,000","14,505,000,000","8,417,000,000",,,,,,,,,,"-181,571,000","-435,000","586,076,000","696,301,000","529,537,000",,,,,
OperatingExpense,"12,307,000,000","10,927,000,000","8,238,000,000","5,464,000,000","3,798,000,000","2,728,000,000","1,645,000,000","1,021,000,000","763,289,000","402,662,000","585,208,000","594,317,000","601,315,000","600,358,000","160,254,000","1,084,110,000","1,414,328,000","861,513,000","607,761,000","526,429,000","-437,172,000","-273,883,000","440,174,000"
	SellingGeneralAndAdministration,"3,470,000,000","3,297,000,000","2,676,000,000","1,283,000,000","661,000,000","342,000,000","214,000,000","147,000,000","102,413,000","91,224,000","79,529,000","66,741,000","64,613,000","67,851,000","160,254,000","148,749,000","143,529,000","117,468,000","37,113,000","38,040,000","72,044,000","64,552,000","86,847,000"
		GeneralAndAdministrativeExpense,,,,,"661,000,000","342,000,000","214,000,000","147,000,000","102,413,000","91,224,000","79,529,000","66,741,000","64,613,000","67,851,000","160,254,000","148,749,000","143,529,000","117,468,000","37,113,000","38,040,000","72,044,000","64,552,000","86,847,000"
			OtherGandA,,,,,"661,000,000","342,000,000","214,000,000","147,000,000","102,413,000","91,224,000","79,529,000","66,741,000","64,613,000","67,851,000",,,,,,,,,
	ResearchAndDevelopment,"8,837,000,000","7,630,000,000","5,562,000,000","4,181,000,000","3,137,000,000","2,386,000,000","1,431,000,000","874,000,000","660,876,000","487,656,000","505,679,000","527,576,000","536,702,000","532,507,000",,"935,361,000","1,270,799,000","849,202,000","359,953,000","304,103,000","373,330,000","345,983,000","396,234,000"
	OtherOperatingExpenses,,,,,,,,,,"-176,218,000",,,,,,,"-221,182,000","-105,157,000","11,036,000","10,622,000","-882,546,000","-684,418,000","-42,907,000"
OperatingIncome,"6,129,000,000","5,321,000,000","6,267,000,000","2,953,000,000","6,313,000,000","2,638,000,000","1,380,000,000","1,344,000,000","1,052,833,000","730,379,000","265,177,000","69,253,000","-116,679,000","-249,422,000","-160,689,000","-498,034,000","-722,030,000","-331,976,000","-472,214,000","-427,924,000","441,273,000","342,209,000","-440,174,000"
NetNonOperatingInterestIncomeExpense,"1,085,000,000","912,000,000","303,000,000","184,000,000","174,000,000","113,000,000","63,000,000","-241,000,000","32,370,000","37,145,000","34,277,000","25,287,000","15,105,000","20,166,000","-38,246,000","-156,045,000","-94,835,000","53,764,000","48,808,000","33,422,000","-26,061,000","-15,029,000","-46,985,000"
	InterestIncomeNonOperating,"1,120,000,000","939,000,000","324,000,000","197,000,000","184,000,000","120,000,000","63,000,000","113,000,000","32,583,000","37,263,000","38,331,000","28,613,000","17,827,000","22,200,000","1,402,000","25,054,000","125,994,000","158,921,000","46,249,000","34,775,000","42,520,000","68,678,000","53,389,000"
	InterestExpenseNonOperating,"35,000,000","27,000,000","21,000,000","13,000,000","10,000,000","7,000,000","0","354,000,000","213,000","118,000","4,054,000","3,326,000","2,722,000","2,034,000","39,648,000","181,099,000","220,829,000","1,149,000","1,033,000","1,353,000","68,581,000","83,707,000","100,374,000"
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,"221,182,000","105,157,000","-3,592,000",,,,
OtherIncomeExpense,"306,000,000","-596,000,000","375,000,000","781,000,000","-583,000,000","108,000,000","169,000,000","-320,000,000","45,014,000","-9,997,000","-2,108,000","-29,138,000","-12,507,000","19,428,000",,,,,,,,,
	GainOnSaleOfSecurity,"558,000,000","-596,000,000","375,000,000","781,000,000","-583,000,000","108,000,000","169,000,000","-320,000,000","45,014,000","-9,997,000","-2,108,000","-29,138,000","-12,507,000","19,428,000",,,,,,,,,
	EarningsFromEquityInterest,,,,,"793,000,000","-155,000,000","-119,000,000",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,"0","0","-2,660,000",,"0","-42,907,000"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,"2,660,000",,"0","42,907,000"
PretaxIncome,"7,520,000,000","5,637,000,000","6,945,000,000","3,918,000,000","5,904,000,000","2,859,000,000","1,612,000,000","1,064,000,000","1,130,217,000","757,527,000","297,346,000","65,402,000","-114,081,000","-209,828,000","-122,443,000","-341,989,000","-816,865,000","-383,369,000","-438,236,000","-393,590,000","415,212,000","327,180,000","479,003,000"
TaxProvision,"1,980,000,000","1,285,000,000","1,493,000,000","961,000,000","1,146,000,000","693,000,000","140,000,000","-40,000,000","-56,858,000","-5,986,000","-3,950,000","-4,753,000","-2,633,000","5,920,000","20,874,000","5,909,000","583,000","0","0","0","0","-66,000","326,000"
NetIncomeCommonStockholders,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","112,362,000","-487,118,000","-596,368,000","-321,456,000","-1,010,760,000","-965,089,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
	NetIncome,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","112,362,000","-487,118,000","-596,368,000","-321,456,000","-1,010,760,000","-965,089,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
		NetIncomeIncludingNoncontrollingInterests,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","112,362,000","-487,118,000","-596,368,000","-321,456,000","-1,010,760,000","-965,089,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
			NetIncomeContinuousOperations,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","70,155,000","-111,448,000","-215,748,000","-143,317,000","-347,898,000","-817,448,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,"0","42,207,000","-375,670,000","-380,620,000","-178,139,000","-662,862,000","-147,641,000",,,,,,
DilutedNIAvailtoComStockholders,"5,540,000,000","4,352,000,000","5,452,000,000","2,957,000,000","4,758,000,000","2,166,000,000","1,472,000,000","1,104,000,000","1,187,075,000","763,513,000","301,296,000","112,362,000","-487,118,000","-596,368,000","-321,456,000","-1,010,760,000","-965,089,000","-383,369,000","-438,236,000","-393,590,000","-415,212,000","-327,114,000","-479,329,000"
BasicEPS,"8.511","6.664","8.338","4.522","7.3","3.44","2.403","1.814","1.983","1.305","0.535","0.22","-1.058","-1.328","-0.716","-2.251","-2.162","-0.872","-1.126","-1.259","-1.569","-1.433","-2.15"
DilutedEPS,"8.442","6.602","8.259","4.477","7.221","3.403","2.373","1.777","1.922","1.256","0.526","0.216","-1.058","-1.328","-0.716","-2.251","-2.162","-0.872","-1.126","-1.259","-1.569","-1.433","-2.15"
BasicAverageShares,"650,950,210","653,097,440","653,873,010","653,956,370","651,790,060","629,628,130","612,675,060","608,343,080","598,760,000","585,210,000","563,150,000","509,770,000","460,430,000","449,071,420","449,071,420","449,037,360","446,418,560","439,445,600","389,267,580","312,549,730","264,700,140","228,308,180","223,361,500"
