name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009
OperatingCashFlow,"261,803,000","243,499,000","178,468,000","276,274,000","198,793,000","171,975,000","181,643,000","159,058,000","147,823,000","124,007,000","79,172,000","93,471,000","76,519,000","76,410,000","71,288,000","32,079,000"
	CashFlowFromContinuingOperatingActivities,"261,803,000","243,499,000","178,468,000","276,274,000","198,793,000","171,975,000","181,643,000","159,058,000","147,823,000","124,007,000","79,172,000","93,471,000","76,519,000","76,410,000","71,288,000","32,079,000"
		NetIncomeFromContinuingOperations,"40,675,000","122,873,000","190,169,000","149,191,000","102,285,000","155,210,000","156,474,000","107,348,000","104,341,000","112,784,000","92,485,000","68,612,000","73,831,000","60,784,000","54,458,000","52,033,000"
		OperatingGainsLosses,"-5,240,000","-12,133,000","299,000","464,000","809,000","866,000","-3,557,000",,,,,,,"113,000","-238,000","-200,000"
			NetForeignCurrencyExchangeGainLoss,"-7,116,000","-13,674,000","0","0",,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,"113,000","-238,000","-200,000"
		DepreciationAmortizationDepletion,"227,399,000","144,733,000","68,252,000","69,867,000","62,874,000","52,734,000","41,630,000","42,067,000","38,771,000","24,084,000","21,754,000","19,397,000","18,108,000","16,949,000","15,196,000","13,502,000"
			DepreciationAndAmortization,"227,399,000","144,733,000","68,252,000","69,867,000","62,874,000","52,734,000","41,630,000","42,067,000","38,771,000","24,084,000","21,754,000","19,397,000","18,108,000","16,949,000","15,196,000","13,502,000"
		DeferredTax,"-111,904,000","-57,789,000","-22,223,000","-17,615,000","-4,338,000","4,302,000","971,000","8,292,000","-3,810,000","6,235,000","-4,379,000","-14,858,000","-6,079,000","2,057,000","1,999,000","-2,654,000"
			DeferredIncomeTax,"-111,904,000","-57,789,000","-22,223,000","-17,615,000","-4,338,000","4,302,000","971,000","8,292,000","-3,810,000","6,235,000","-4,379,000","-14,858,000","-6,079,000","2,057,000","1,999,000","-2,654,000"
		AmortizationOfSecurities,"-7,000","793,000","5,389,000","2,781,000","587,000","-1,089,000","1,677,000","2,671,000","4,068,000","3,354,000","2,680,000","2,358,000","0","0",,"12,000"
		AssetImpairmentCharge,,,"6,400,000","6,143,000","17,741,000","2,498,000","0","516,000","3,472,000",,"0",,,,,
		ProvisionandWriteOffofAssets,"30,761,000","14,617,000","6,399,000","7,343,000","2,960,000","3,026,000","11,432,000","13,237,000","13,521,000","11,389,000","7,280,000","8,905,000","6,482,000","10,592,000","6,509,000","5,622,000"
		StockBasedCompensation,"65,273,000","52,742,000","32,810,000","30,586,000","27,073,000","26,085,000","21,899,000","14,686,000","11,382,000","9,639,000","7,111,000","5,177,000","4,635,000","3,286,000","4,025,000","3,511,000"
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,"-1,571,000","-2,050,000","-4,408,000","-4,756,000",,,,
		OtherNonCashItems,"221,514,000","94,261,000","2,635,000","50,909,000","26,392,000","1,787,000","985,000","1,240,000","-1,766,000","-5,287,000","-1,131,000",,"119,000","-79,000",,
		ChangeInWorkingCapital,"-206,668,000","-116,598,000","-105,262,000","-17,252,000","-37,590,000","-73,444,000","-49,868,000","-30,999,000","-22,156,000","-38,191,000","-42,220,000","8,636,000","-20,458,000","-17,258,000","-10,661,000","-39,747,000"
			ChangeInReceivables,"-145,883,000","-49,914,000","-50,843,000","-25,895,000","10,696,000","-18,306,000","-21,789,000","-24,955,000","-4,668,000","-4,193,000","-12,667,000","-9,612,000","-6,886,000","-4,672,000","-6,560,000","-11,963,000"
				ChangesInAccountReceivables,"-145,883,000","-49,914,000","-50,843,000","-25,895,000","10,696,000","-18,306,000","-21,789,000","-24,955,000","-4,668,000","-4,193,000","-12,667,000","-9,612,000","-6,886,000","-4,672,000","-6,560,000","-11,963,000"
			ChangeInInventory,"-54,525,000","-70,328,000","-61,745,000","-11,971,000","-50,111,000","-50,018,000","-31,382,000","-5,277,000","-10,503,000","-19,327,000","-18,001,000","-16,678,000","-20,541,000","-15,280,000","-10,188,000","-18,478,000"
			ChangeInPrepaidAssets,"1,247,000","1,148,000","-10,292,000","-6,178,000","-11,088,000","-12,263,000","-7,496,000","-4,774,000","4,568,000","-1,203,000","-249,000","-2,955,000","-117,000","460,000","1,042,000","-1,911,000"
			ChangeInPayablesAndAccruedExpense,"-10,829,000","2,904,000","20,505,000","21,580,000","11,256,000","7,816,000","11,720,000","7,779,000","-18,187,000","-10,062,000","12,480,000","28,903,000","8,634,000","-476,000","5,837,000","428,000"
				ChangeInPayable,"107,000","-14,223,000","14,418,000","3,684,000","-6,352,000","773,000","-3,008,000","9,843,000","-23,000","-9,184,000","7,331,000","1,940,000","4,426,000","-2,051,000","2,720,000","-2,186,000"
					ChangeInAccountPayable,"107,000","-14,223,000","14,418,000","3,684,000","-6,352,000","773,000","-3,008,000","9,843,000","-23,000","-9,184,000","7,331,000","1,940,000","4,426,000","-2,051,000","2,720,000","-2,186,000"
				ChangeInAccruedExpense,"-10,936,000","17,127,000","6,087,000","17,896,000","17,608,000","7,043,000","14,728,000","-2,064,000","-18,164,000","-878,000","5,149,000","26,963,000","4,208,000","1,575,000","3,117,000","2,614,000"
			ChangeInOtherWorkingCapital,"3,322,000","-408,000","-2,887,000","5,212,000","1,657,000","-673,000","-921,000","-3,772,000","6,634,000","-3,406,000","-23,783,000","8,978,000","-1,548,000","2,710,000","-792,000","-7,823,000"
InvestingCashFlow,"182,792,000","302,968,000","-110,362,000","-375,939,000","-117,322,000","-140,281,000","-193,027,000","-111,277,000","-162,738,000","-153,050,000","-100,000,000","-227,150,000","-30,715,000","-29,987,000","-12,003,000","-27,695,000"
	CashFlowFromContinuingInvestingActivities,"182,792,000","302,968,000","-110,362,000","-375,939,000","-117,322,000","-140,281,000","-193,027,000","-111,277,000","-162,738,000","-153,050,000","-100,000,000","-227,150,000","-30,715,000","-29,987,000","-12,003,000","-27,695,000"
		NetPPEPurchaseAndSale,"-100,781,000","-78,274,000","-74,047,000","-56,898,000","-63,658,000","-70,750,000","-59,697,000","-51,303,000","-40,909,000","-50,760,000","-24,754,000","-23,680,000","-24,684,000","-22,487,000","-12,303,000","-25,963,000"
			PurchaseOfPPE,"-100,781,000","-78,274,000","-74,047,000","-56,898,000","-63,658,000","-70,750,000","-59,697,000","-51,303,000","-40,909,000","-50,760,000","-24,754,000","-23,680,000","-24,684,000","-22,487,000","-12,303,000","-25,963,000"
		NetBusinessPurchaseAndSale,"-310,901,000","-296,028,000","-31,435,000","-34,488,000","-33,483,000","-23,799,000","-14,825,000","-29,944,000","-76,068,000","-48,513,000","-36,128,000","-16,775,000","-6,031,000","-7,500,000","0","-3,371,000"
			PurchaseOfBusiness,"-310,901,000","-296,028,000","-31,435,000","-34,488,000","-33,483,000","-23,799,000","-14,825,000","-29,944,000","-76,068,000","-48,513,000","-36,128,000","-16,775,000","-6,031,000","-7,500,000","0","-3,371,000"
		NetInvestmentPurchaseAndSale,"594,474,000","677,270,000","-4,880,000","-284,553,000","-20,181,000","-45,732,000","-153,505,000","-30,030,000","-15,761,000","-53,777,000","-39,118,000","-186,695,000","0","0","300,000","1,639,000"
			PurchaseOfInvestment,"-31,436,000","-100,643,000","-419,534,000","-622,359,000","-223,540,000","-346,526,000","-537,942,000","-392,895,000","-350,448,000","-300,207,000","-251,422,000","-240,892,000","0","0",,
			SaleOfInvestment,"625,910,000","777,913,000","414,654,000","337,806,000","203,359,000","300,794,000","384,437,000","362,865,000","334,687,000","246,430,000","212,304,000","54,197,000","0","0","300,000","1,639,000"
		NetOtherInvestingChanges,,,,,,,"35,000,000",,"-30,000,000",,,,,,,
FinancingCashFlow,"-342,857,000","-231,821,000","-109,962,000","54,147,000","-38,663,000","24,439,000","32,570,000","1,626,000","470,000","4,277,000","12,946,000","11,011,000","24,025,000","-14,734,000","1,768,000","1,494,000"
