name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,06/30/1995,06/30/1994,06/30/1993,06/30/1992,06/30/1991,06/30/1990,06/30/1989,06/30/1988,06/30/1987,06/30/1986
TotalAssets,"59,005,000,000","60,146,000,000","79,103,000,000","80,431,000,000","79,692,000,000","58,066,000,000","56,381,000,000","59,081,000,000","53,446,000,000","40,651,000,000","42,086,000,000","41,481,000,000","41,080,000,000","42,230,000,000","42,862,000,000","39,393,000,000","31,034,066,250","25,544,999,680","27,191,895,240","22,639,536,640","23,943,920,000","22,327,000,000","21,965,548,680","21,590,000,000","10,427,000,000","9,346,000,000","8,437,000,000","8,314,000,000","8,541,000,000","8,102,121,438","7,887,000,000","7,458,000,000","5,682,000,000","5,744,000,000","4,492,000,000","3,469,000,000","2,867,000,000","2,358,000,000","1,803,000,000"
	CurrentAssets,"18,644,000,000","20,769,000,000","18,674,000,000","20,247,000,000","19,491,000,000","16,927,000,000","15,907,000,000","16,711,000,000","16,587,000,000","14,678,000,000","15,227,000,000","13,692,000,000","16,167,000,000","16,036,000,000","17,570,000,000","17,269,000,000","13,639,962,500","10,988,616,890","13,173,734,880","10,620,103,200","12,608,400,000","10,749,000,000","10,019,252,340","11,268,000,000","6,080,000,000","5,509,000,000","4,802,000,000","4,368,000,000","4,280,000,000","3,735,677,854","4,648,000,000","4,438,000,000","3,309,000,000","3,635,000,000","2,864,000,000","2,282,000,000","1,985,000,000","1,657,000,000","1,221,000,000"
		CashCashEquivalentsAndShortTermInvestments,"4,992,000,000","7,677,000,000","4,135,000,000","6,170,000,000","4,586,000,000","3,958,000,000","3,911,000,000","4,986,000,000","5,905,000,000","4,407,000,000","5,600,000,000","4,265,000,000","5,898,000,000","6,241,000,000","6,942,000,000","6,870,000,000","4,536,737,250","3,038,981,140","5,232,764,640","3,977,455,440","3,450,720,000","2,469,000,000","2,321,399,790","3,592,000,000","1,966,000,000","1,885,000,000","1,662,000,000","1,262,000,000","1,274,000,000","75,101,624","2,763,000,000","2,497,000,000","1,749,000,000","2,129,000,000","1,592,000,000","1,294,000,000","1,172,000,000","935,000,000","592,000,000"
			CashAndCashEquivalents,"2,746,000,000","3,523,000,000","4,074,000,000","6,092,000,000","4,507,000,000","3,874,000,000","3,833,000,000","4,897,000,000","5,830,000,000","4,338,000,000","5,534,000,000","4,184,000,000","5,714,000,000","6,057,000,000","6,545,000,000","5,623,000,000","3,382,509,000","2,004,380,070","4,208,179,560","2,466,032,800","960,960,000","1,052,000,000","717,823,890","1,283,000,000","217,000,000","240,000,000","215,000,000","261,000,000","233,000,000","75,101,624","55,000,000","63,000,000","24,000,000","34,000,000","266,000,000","575,000,000","40,000,000","23,000,000","35,000,000"
				CashFinancial,,,,,"795,000,000","569,000,000","826,000,000","1,462,000,000","1,114,000,000","1,313,000,000","2,549,000,000","1,465,000,000","841,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,"3,912,000,000","3,305,000,000","3,007,000,000","3,435,000,000","4,716,000,000","3,025,000,000","2,985,000,000","2,719,000,000","4,873,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"2,246,000,000","4,154,000,000","61,000,000","78,000,000","79,000,000","84,000,000","78,000,000","89,000,000","75,000,000","69,000,000","66,000,000","81,000,000","184,000,000","184,000,000","397,000,000","1,247,000,000","1,154,228,250","1,034,601,070","1,024,585,080","1,511,422,640","2,489,760,000","1,417,000,000","1,603,575,900","2,309,000,000","1,749,000,000","1,645,000,000","1,447,000,000","1,001,000,000","1,041,000,000",,"2,708,000,000","2,434,000,000","1,725,000,000","2,095,000,000","1,326,000,000","719,000,000","1,132,000,000","912,000,000","557,000,000"
		Inventory,"5,498,000,000","5,146,000,000","5,783,000,000","5,996,000,000","5,947,000,000","5,476,000,000","5,557,000,000","5,102,000,000","4,716,000,000","4,231,000,000","3,900,000,000","3,969,000,000","3,873,000,000","3,837,000,000","4,064,000,000","4,056,000,000","3,065,335,750","2,436,186,930","2,176,444,200","2,191,797,440","2,106,160,000","2,080,000,000","2,094,283,890","2,277,000,000","1,537,000,000","1,154,000,000","855,000,000","804,000,000","811,000,000","757,923,580","575,000,000","595,000,000","475,000,000","494,000,000","417,000,000","351,000,000","310,000,000","288,000,000","276,000,000"
			RawMaterials,"1,594,000,000","1,576,000,000","1,772,000,000","1,170,000,000","1,195,000,000","1,122,000,000","1,193,000,000","1,068,000,000","1,563,000,000","1,156,000,000","937,000,000","965,000,000","1,114,000,000","1,466,000,000","1,153,000,000","1,127,000,000","1,106,324,500","763,573,360","720,638,400","628,760,160","635,040,000","508,000,000","566,413,290","405,000,000","255,000,000","244,000,000","165,000,000","179,000,000","169,000,000",,"107,000,000","100,000,000","89,000,000","88,000,000",,,,,
			WorkInProcess,"2,449,000,000","2,286,000,000","1,889,000,000","2,395,000,000","2,505,000,000","2,286,000,000","2,381,000,000","2,299,000,000","1,453,000,000","1,604,000,000","1,450,000,000","1,337,000,000","1,168,000,000","751,000,000","1,437,000,000","1,295,000,000","772,006,750","625,762,660","552,102,000","643,879,600","473,200,000","673,000,000","810,046,710","1,262,000,000","864,000,000","582,000,000","357,000,000","355,000,000","358,000,000",,"274,000,000","307,000,000","270,000,000","251,000,000",,,,,
