name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalRevenue,"4,429,000,000","4,504,000,000","4,584,000,000","4,526,000,000","3,239,000,000","3,543,000,000","3,333,000,000","2,752,000,000","2,398,000,000","2,220,000,000","1,861,358,000","1,421,178,000","1,148,516,000","1,055,535,000","902,741,000","666,324,000","573,225,000","366,799,000","184,586,000","73,501,000","50,583,000","28,035,000","10,040,000","2,486,000","1,309,000","474,026"
	OperatingRevenue,"4,429,000,000","4,504,000,000","4,584,000,000","4,526,000,000","3,239,000,000","3,543,000,000","3,333,000,000","2,752,000,000","2,398,000,000","2,220,000,000","1,861,358,000","1,421,178,000","1,148,516,000","1,055,535,000","902,741,000","666,324,000","573,225,000","366,799,000","184,586,000","73,501,000","50,583,000","28,035,000","10,040,000","2,486,000","1,309,000","474,026"
CostOfRevenue,"1,683,000,000","1,760,000,000","1,612,000,000","1,372,000,000","1,036,000,000","1,076,000,000","1,033,000,000","926,000,000","732,000,000","671,000,000","563,648,000","509,291,000","374,988,000","346,437,000","301,201,000","205,769,000","205,624,000","132,436,000","59,344,000","23,181,000","13,259,000","10,037,000","3,536,000","557,000","-398,000","-96,367"
GrossProfit,"2,746,000,000","2,744,000,000","2,972,000,000","3,154,000,000","2,203,000,000","2,467,000,000","2,300,000,000","1,826,000,000","1,666,000,000","1,549,000,000","1,297,710,000","911,887,000","773,528,000","709,098,000","601,540,000","460,555,000","367,601,000","234,363,000","125,242,000","50,320,000","37,324,000","17,998,000","6,504,000","1,929,000","1,707,000","570,393"
OperatingExpense,"2,676,000,000","2,966,000,000","2,618,000,000","3,277,000,000","1,623,000,000","1,482,000,000","1,417,000,000","1,220,000,000","1,088,000,000","917,000,000","854,338,000","657,783,000","517,016,000","458,756,000","398,401,000","334,958,000","258,415,000","232,173,000","87,430,000","55,967,000","42,837,000","44,620,000","48,359,000","32,248,000","24,942,000","6,488,802"
	SellingGeneralAndAdministration,"1,361,000,000","1,612,000,000","1,297,000,000","2,092,000,000","941,000,000","835,000,000","794,000,000","674,000,000","584,000,000","516,000,000","466,283,000","381,040,000","285,991,000","261,843,000","220,454,000","176,337,000","148,014,000","101,256,000","54,057,000","27,972,000","25,080,000","18,899,000","9,099,000","5,663,000","4,193,000","1,348,870"
	ResearchAndDevelopment,"1,315,000,000","1,354,000,000","1,321,000,000","1,185,000,000","682,000,000","647,000,000","623,000,000","546,000,000","504,000,000","401,000,000","388,055,000","276,743,000","231,025,000","196,913,000","177,947,000","140,616,000","99,963,000","73,943,000","33,373,000","27,725,000","21,114,000","22,511,000","26,848,000","20,735,000","13,554,000","4,085,743"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,"7,805,000","6,680,000","10,438,000","2,429,000",,"270,000","844,000","2,454,000","4,360,000","5,850,000","7,195,000","1,054,189"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,"7,805,000","6,680,000","10,438,000","2,429,000",,"270,000","844,000","2,454,000","4,360,000","5,850,000","7,195,000","1,054,189"
			Amortization,,,,,,,,,,,,,,,"7,805,000","6,680,000","10,438,000","2,429,000",,"270,000","844,000","2,454,000","4,360,000","5,850,000",,
