name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011
TotalAssets,"26,681,000,000","25,337,000,000","24,689,000,000","24,564,000,000","23,251,000,000","22,549,000,000","22,857,000,000","21,208,000,000","3,926,000,000","3,295,953,000","3,066,797,000","2,499,153,000","2,322,917,000"
	CurrentAssets,"5,596,000,000","4,981,000,000","4,763,000,000","5,090,000,000","4,126,000,000","3,874,000,000","3,554,000,000","3,337,000,000","2,412,000,000","2,146,083,000","1,945,688,000","1,509,994,000","1,365,478,000"
		CashCashEquivalentsAndShortTermInvestments,"1,496,000,000","1,309,000,000","1,477,000,000","1,902,000,000","899,000,000","938,000,000","1,005,000,000","1,238,000,000","977,000,000","867,358,000","778,143,000","567,728,000","516,299,000"
			CashAndCashEquivalents,"1,376,000,000","1,216,000,000","1,366,000,000","1,814,000,000","837,000,000","891,000,000","959,000,000","1,198,000,000","977,000,000","867,358,000","778,143,000","567,728,000","516,299,000"
				CashFinancial,"1,376,000,000","1,216,000,000","1,366,000,000","1,814,000,000","837,000,000",,,,,,,,
			OtherShortTermInvestments,"120,000,000","93,000,000","111,000,000","88,000,000","62,000,000","47,000,000","46,000,000","40,000,000","0",,,,
		Receivables,"3,413,000,000","2,960,000,000","2,609,000,000","2,466,000,000","2,638,000,000","2,463,000,000","2,144,000,000","1,741,000,000","1,200,000,000","1,020,612,000","940,376,000","762,970,000","716,490,000"
			AccountsReceivable,"1,473,000,000","1,329,000,000","1,275,000,000","1,181,000,000","1,312,000,000","1,279,000,000","1,229,000,000","998,000,000","554,000,000","444,941,000","408,959,000","346,732,000","297,920,000"
			TaxesReceivable,"32,000,000","43,000,000","58,000,000","56,000,000","56,000,000","69,000,000","47,000,000","34,000,000","34,000,000","45,357,000","16,171,000","17,597,000","25,452,000"
			OtherReceivables,"1,942,000,000","1,624,000,000","1,309,000,000","1,263,000,000","1,286,000,000","1,130,000,000","883,000,000","723,000,000","614,000,000","532,312,000","516,942,000","400,610,000","394,666,000"
			ReceivablesAdjustmentsAllowances,"-34,000,000","-36,000,000","-33,000,000","-34,000,000","-16,000,000","-15,000,000","-15,000,000","-14,000,000","-2,000,000","-1,998,000","-1,696,000","-1,969,000","-1,548,000"
		PrepaidAssets,"141,000,000","151,000,000","156,000,000","159,000,000","138,000,000","151,000,000","146,000,000","123,000,000","51,000,000","44,628,000","42,801,000","33,354,000","31,328,000"
		RestrictedCash,,,,,,,,,"2,478,000","2,882,000","2,712,000","2,822,000","2,998,000"
		CurrentDeferredAssets,,,,,,,,"0","101,000,000","118,515,000","92,115,000","69,038,000","46,708,000"
			CurrentDeferredTaxesAssets,,,,,,,,"0","101,000,000","118,515,000","92,115,000","69,038,000","46,708,000"
		OtherCurrentAssets,"546,000,000","561,000,000","521,000,000","563,000,000","451,000,000","322,000,000","259,000,000","235,000,000","83,000,000","92,088,000","89,541,000","74,082,000","51,655,000"
	TotalNonCurrentAssets,"21,085,000,000","20,356,000,000","19,926,000,000","19,474,000,000","19,125,000,000","18,675,000,000","19,303,000,000","17,871,000,000","1,514,000,000","1,149,870,000","1,121,109,000","989,159,000","957,439,000"
		NetPPE,"819,000,000","863,000,000","903,000,000","953,000,000","954,000,000","434,000,000","440,000,000","406,000,000","188,000,000","190,297,000","199,578,000","193,999,000","185,772,000"
			GrossPPE,"1,622,000,000","1,703,000,000","1,668,000,000","1,626,000,000","1,551,000,000","1,001,000,000","923,000,000","769,000,000","510,000,000","496,225,000","481,126,000","451,465,000","408,376,000"
				Properties,"376,000,000","363,000,000","376,000,000","351,000,000","331,000,000","326,000,000","324,000,000","333,000,000","187,000,000","185,940,000","184,726,000","182,548,000","166,020,000"
				MachineryFurnitureEquipment,"147,000,000","157,000,000","141,000,000","147,000,000","154,000,000","154,000,000","153,000,000","98,000,000","66,000,000","70,058,000","73,542,000","71,533,000","71,211,000"
				OtherProperties,"1,099,000,000","1,183,000,000","1,151,000,000","1,128,000,000","1,066,000,000","521,000,000","446,000,000","338,000,000","257,000,000","240,227,000","222,858,000","197,384,000","171,145,000"
			AccumulatedDepreciation,"-803,000,000","-840,000,000","-765,000,000","-673,000,000","-597,000,000","-567,000,000","-483,000,000","-363,000,000","-322,000,000","-305,928,000","-281,548,000","-257,466,000","-222,604,000"
		GoodwillAndOtherIntangibleAssets,"19,406,000,000","18,741,000,000","18,244,000,000","17,859,000,000","17,673,000,000","17,751,000,000","18,441,000,000","17,117,000,000","1,088,000,000","744,677,000","707,680,000","575,242,000","547,454,000"
			Goodwill,"14,567,000,000","13,921,000,000","13,301,000,000","12,654,000,000","12,159,000,000","11,800,000,000","11,850,000,000","10,727,000,000","720,000,000","464,434,000","409,626,000","302,429,000","278,041,000"
			OtherIntangibleAssets,"4,839,000,000","4,820,000,000","4,943,000,000","5,205,000,000","5,514,000,000","5,951,000,000","6,591,000,000","6,390,000,000","368,000,000","280,243,000","298,054,000","272,813,000","269,413,000"
		InvestmentsAndAdvances,"239,000,000","162,000,000","164,000,000","162,000,000","152,000,000","142,000,000","78,000,000","82,000,000","85,000,000","66,011,000","63,276,000","55,099,000","33,888,000"
			LongTermEquityInvestment,"134,000,000","94,000,000","88,000,000","84,000,000","87,000,000","101,000,000","70,000,000","69,000,000","52,000,000","31,508,000","22,927,000","19,148,000","11,782,000"
				InvestmentsinAssociatesatCost,"134,000,000","94,000,000","88,000,000","84,000,000","87,000,000","101,000,000","70,000,000","69,000,000","52,000,000","31,508,000","22,927,000","19,148,000","11,782,000"
			InvestmentinFinancialAssets,"105,000,000","68,000,000","76,000,000","78,000,000","65,000,000","41,000,000","8,000,000","13,000,000","33,000,000","34,503,000","40,349,000","35,951,000","22,106,000"
		NonCurrentDeferredAssets,"166,000,000","118,000,000","124,000,000","114,000,000","119,000,000","109,000,000","109,000,000","89,000,000","43,000,000","35,972,000","32,864,000","37,313,000","78,177,000"
			NonCurrentDeferredTaxesAssets,"166,000,000","118,000,000","124,000,000","114,000,000","119,000,000","109,000,000","109,000,000","89,000,000","43,000,000","35,972,000","32,864,000","37,313,000","78,177,000"
		NonCurrentPrepaidAssets,,"472,000,000","491,000,000","386,000,000","227,000,000","239,000,000","235,000,000","177,000,000","110,000,000","112,913,000","117,711,000","127,506,000","112,148,000"
		OtherNonCurrentAssets,"455,000,000","472,000,000","491,000,000","386,000,000","227,000,000","239,000,000","235,000,000","177,000,000","110,000,000","112,913,000","117,711,000","127,506,000","112,148,000"
TotalLiabilitiesNetMinorityInterest,"20,569,000,000","19,572,000,000","18,647,000,000","18,284,000,000","16,988,000,000","15,595,000,000","14,613,000,000","12,348,000,000","4,262,000,000","3,999,965,000","3,734,282,000","3,858,197,000","3,292,513,000"
	CurrentLiabilities,"6,491,000,000","5,578,000,000","5,241,000,000","4,558,000,000","3,945,000,000","3,534,000,000","3,156,000,000","2,705,000,000","1,594,000,000","1,471,900,000","1,482,247,000","1,308,997,000","1,192,133,000"
		PayablesAndAccruedExpenses,"2,712,000,000","2,497,000,000","2,172,000,000","2,063,000,000","2,620,000,000","2,395,000,000","1,402,000,000","1,209,000,000","540,000,000","494,831,000","460,445,000","391,821,000","410,809,000"
			Payables,"825,000,000","806,000,000","758,000,000","683,000,000","2,620,000,000","2,395,000,000","394,000,000","326,000,000","180,000,000","164,437,000","136,394,000","94,351,000","117,067,000"
				AccountsPayable,"709,000,000","645,000,000","621,000,000","581,000,000","2,512,000,000","2,295,000,000","322,000,000","250,000,000","145,000,000","108,743,000","100,616,000","84,712,000","70,028,000"
				TotalTaxPayable,"116,000,000","161,000,000","137,000,000","102,000,000","108,000,000","100,000,000","72,000,000","76,000,000","35,000,000","55,694,000","35,778,000","9,639,000","47,039,000"
					IncomeTaxPayable,"116,000,000","161,000,000","137,000,000","102,000,000","108,000,000","100,000,000","72,000,000","76,000,000","35,000,000","55,694,000","35,778,000","9,639,000","47,039,000"
			CurrentAccruedExpenses,"1,887,000,000","1,691,000,000","1,414,000,000","1,380,000,000",,"1,198,000,000","1,008,000,000","883,000,000","360,000,000","330,394,000","324,051,000","297,470,000","293,742,000"
				InterestPayable,"66,000,000","43,000,000","56,000,000","55,000,000",,"45,000,000","45,000,000","42,000,000","5,000,000","274,000","278,000","368,000","557,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"968,000,000","980,000,000","946,000,000","852,000,000",,"660,000,000","656,000,000","610,000,000","401,000,000","403,250,000","437,138,000","360,649,000","323,148,000"
		CurrentDebtAndCapitalLeaseObligation,"718,000,000","152,000,000","91,000,000","149,000,000","100,000,000","100,000,000","103,000,000","92,000,000","49,000,000","826,000","10,433,000","55,710,000","20,147,000"
			CurrentDebt,"718,000,000","152,000,000","91,000,000","149,000,000","100,000,000","100,000,000","103,000,000","92,000,000","49,000,000","826,000","10,433,000","55,710,000","20,147,000"
		CurrentDeferredLiabilities,"1,799,000,000","1,797,000,000","1,825,000,000","1,252,000,000","1,014,000,000","1,007,000,000","985,000,000","774,000,000","585,000,000","543,305,000","538,585,000","456,587,000","398,471,000"
			CurrentDeferredRevenue,"1,799,000,000","1,797,000,000","1,825,000,000","1,252,000,000","1,014,000,000","1,007,000,000","985,000,000","774,000,000","585,000,000","543,305,000","538,585,000","456,587,000","398,471,000"
		OtherCurrentLiabilities,"294,000,000","152,000,000","207,000,000","242,000,000","211,000,000","32,000,000","10,000,000","20,000,000","19,000,000","29,688,000","35,646,000","44,230,000","39,558,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"14,078,000,000","13,994,000,000","13,406,000,000","13,726,000,000","13,043,000,000","12,061,000,000","11,457,000,000","9,643,000,000","2,668,000,000","2,528,065,000","2,252,035,000","2,549,200,000","2,100,380,000"
		LongTermDebtAndCapitalLeaseObligation,"13,178,000,000","12,859,000,000","12,347,000,000","12,755,000,000","11,941,000,000","10,907,000,000","10,122,000,000","7,108,000,000","2,419,000,000","2,282,612,000","2,035,586,000","2,366,268,000","1,951,708,000"
			LongTermDebt,"12,955,000,000","12,595,000,000","12,034,000,000","12,384,000,000","11,545,000,000","10,907,000,000","10,122,000,000","7,108,000,000","2,419,000,000","2,282,612,000","2,035,586,000","2,366,268,000","1,951,708,000"
			LongTermCapitalLeaseObligation,"223,000,000","264,000,000","313,000,000","371,000,000","396,000,000","0",,,,,,,
		NonCurrentDeferredLiabilities,"202,000,000","464,000,000","410,000,000","338,000,000","646,000,000","736,000,000","895,000,000","2,133,000,000","66,000,000","61,797,000","37,541,000","11,616,000","9,866,000"
			NonCurrentDeferredTaxesLiabilities,"202,000,000","464,000,000","410,000,000","338,000,000","646,000,000","736,000,000","895,000,000","2,133,000,000","66,000,000","61,797,000","37,541,000","11,616,000","9,866,000"
		OtherNonCurrentLiabilities,"698,000,000","671,000,000","649,000,000","633,000,000","456,000,000","418,000,000","440,000,000","402,000,000","183,000,000","183,656,000","178,908,000","171,316,000","138,806,000"
