name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
OperatingCashFlow,"2,440,000,000","2,149,000,000","2,260,000,000","2,942,000,000","1,959,000,000","1,417,000,000","1,254,000,000","970,000,000","860,000,000","476,000,000","433,000,000","393,371,000","335,701,000","160,953,000","378,160,000"
	CashFlowFromContinuingOperatingActivities,"2,440,000,000","2,149,000,000","2,260,000,000","2,942,000,000","1,959,000,000","1,417,000,000","1,254,000,000","970,000,000","860,000,000","476,000,000","433,000,000","393,371,000","335,701,000","160,953,000","378,160,000"
		NetIncomeFromContinuingOperations,"1,423,000,000","1,358,000,000","1,091,000,000","971,000,000","308,000,000","227,000,000","284,000,000","1,296,000,000","87,000,000","388,000,000","357,000,000","226,027,000","176,631,000","240,327,000","165,255,000"
		OperatingGainsLosses,"-20,000,000","-20,000,000","29,000,000","-22,000,000","-32,000,000","-33,000,000","-12,000,000","-19,000,000","-6,000,000","-8,000,000","-10,000,000","-332,000","-2,970,000","-71,870,000","-1,219,000"
			GainLossOnSaleOfPPE,,"0","-10,000,000","0","0","1,000,000","0","-1,000,000","-1,000,000","-1,000,000","-1,000,000","-1,153,000","-541,000","-1,113,000","-725,000"
			GainLossOnInvestmentSecurities,"-22,000,000","-20,000,000","27,000,000","-16,000,000","-25,000,000","-43,000,000","3,000,000","-8,000,000","-13,000,000","1,000,000","-5,000,000","-183,000","70,000",,"589,000"
			EarningsLossesFromEquityInvestments,"2,000,000","0","12,000,000","-6,000,000","-7,000,000","9,000,000","-15,000,000","-10,000,000","8,000,000","-8,000,000","-4,000,000","1,004,000","-2,499,000","-70,757,000","-1,083,000"
		DepreciationAmortizationDepletion,"1,146,000,000","1,125,000,000","1,130,000,000","1,264,000,000","1,287,000,000","1,202,000,000","1,141,000,000","1,011,000,000","289,000,000","128,000,000","121,000,000","107,504,000","98,288,000","92,004,000","84,217,000"
			DepreciationAndAmortization,"1,146,000,000","1,125,000,000","1,130,000,000","1,264,000,000","1,287,000,000","1,202,000,000","1,141,000,000","1,011,000,000","289,000,000","128,000,000","121,000,000","107,504,000","98,288,000","92,004,000","84,217,000"
				Depreciation,,"151,000,000","160,000,000","147,000,000",,,,,,,,,,,
				AmortizationCashFlow,,"974,000,000","970,000,000","1,117,000,000",,,,,,,,,,,
					AmortizationOfIntangibles,,"974,000,000","970,000,000","1,117,000,000",,,,,,,,,,,
		DeferredTax,"-279,000,000","-269,000,000","-115,000,000","-138,000,000","-176,000,000","-157,000,000","-177,000,000","-1,221,000,000","115,000,000","18,000,000","-6,000,000","-24,236,000","16,595,000","-73,216,000","-9,005,000"
			DeferredIncomeTax,"-279,000,000","-269,000,000","-115,000,000","-138,000,000","-176,000,000","-157,000,000","-177,000,000","-1,221,000,000","115,000,000","18,000,000","-6,000,000","-24,236,000","16,595,000","-73,216,000","-9,005,000"
		AmortizationOfSecurities,,,,,,,"0","3,000,000","3,000,000","8,000,000","0","0","0",,"8,977,000"
