name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"167,558,000,000","187,378,000,000","182,018,000,000","174,894,000,000","157,728,000,000","152,954,000,000","157,303,000,000","141,208,000,000","133,411,000,000","130,358,000,000","132,683,000,000","121,347,000,000","113,644,000,000","102,908,000,000","94,682,000,000","84,912,000,000","80,954,000,000","70,556,000,000","58,864,000,000","53,317,000,000","48,263,000,000","40,556,000,000","38,488,000,000","34,245,000,000","29,163,000,000","27,292,000,000","21,453,000,000","20,010,000,000","17,873,000,000","15,668,000,000","12,242,000,000","11,884,000,000","10,513,000,000","9,506,000,000","7,919,000,000","7,119,000,000","6,546,000,000","5,876,700,000","5,095,100,000"
	CurrentAssets,"53,495,000,000","55,294,000,000","60,979,000,000","51,237,000,000","45,274,000,000","46,033,000,000","43,088,000,000","65,032,000,000","60,210,000,000","55,744,000,000","56,407,000,000","46,116,000,000","54,316,000,000","47,307,000,000","39,541,000,000","34,377,000,000","29,945,000,000","22,975,000,000","31,480,000,000","27,320,000,000","22,995,000,000","19,266,000,000","18,473,000,000","16,691,000,000","13,200,000,000","11,486,000,000","10,563,000,000","9,370,000,000","7,938,000,000","6,680,000,000","5,217,000,000","5,423,000,000","4,933,000,000","4,664,000,000","3,776,000,000","3,503,000,000","3,272,000,000","3,201,600,000","2,896,500,000"
		CashCashEquivalentsAndShortTermInvestments,"22,927,000,000","22,281,000,000","31,608,000,000","25,185,000,000","19,287,000,000","19,687,000,000","18,296,000,000","41,907,000,000","38,376,000,000","33,089,000,000","29,206,000,000","21,089,000,000","32,261,000,000","27,658,000,000","19,425,000,000","12,809,000,000","9,315,000,000","4,084,000,000","16,138,000,000","12,884,000,000","9,523,000,000","7,475,000,000","7,972,000,000","6,757,000,000","3,879,000,000","2,783,000,000","2,753,000,000","2,011,000,000","1,201,000,000","636,000,000","372,000,000","745,000,000","589,000,000","826,000,000","452,000,000","660,000,000","741,000,000","952,500,000","735,600,000"
			CashAndCashEquivalents,"21,859,000,000","12,889,000,000","14,487,000,000","13,985,000,000","17,305,000,000","18,107,000,000","17,824,000,000","18,972,000,000","13,732,000,000","14,523,000,000","20,927,000,000","14,911,000,000","24,542,000,000","19,355,000,000","15,810,000,000","10,768,000,000","7,770,000,000","4,083,000,000","16,055,000,000","9,203,000,000","5,377,000,000","2,894,000,000","3,758,000,000","4,278,000,000","2,363,000,000","1,994,000,000","2,753,000,000","2,011,000,000","1,201,000,000","636,000,000","372,000,000","745,000,000","589,000,000","826,000,000","452,000,000","660,000,000","741,000,000","952,500,000","735,600,000"
				CashFinancial,"3,340,000,000","3,691,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"18,519,000,000","9,198,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"1,068,000,000","9,392,000,000","17,121,000,000","11,200,000,000","1,982,000,000","1,580,000,000","472,000,000","22,935,000,000","24,644,000,000","18,566,000,000","8,279,000,000","6,178,000,000","7,719,000,000","8,303,000,000","3,615,000,000","2,041,000,000","1,545,000,000","1,000,000","83,000,000","3,681,000,000","4,146,000,000","4,581,000,000","4,214,000,000","2,479,000,000","1,516,000,000","789,000,000",,,,,,,,,,,,,
		Receivables,"19,387,000,000","16,915,000,000","18,984,000,000","13,576,000,000","14,481,000,000","14,098,000,000","13,490,000,000","11,699,000,000","10,734,000,000","10,985,000,000","11,713,000,000","11,309,000,000","10,581,000,000","9,774,000,000","9,646,000,000","9,719,000,000","9,444,000,000","8,712,000,000","7,010,000,000","6,831,000,000","6,574,000,000","5,399,000,000","4,630,000,000","4,601,000,000","4,233,000,000","3,752,000,000","3,329,000,000","3,251,000,000","2,903,000,000","3,233,000,000","2,107,000,000","1,855,000,000","1,763,000,000","1,519,000,000","1,320,000,000","1,135,000,000","953,000,000","856,600,000","959,400,000"
			AccountsReceivable,"14,873,000,000","14,039,000,000","15,283,000,000","13,576,000,000","14,481,000,000","14,098,000,000","13,490,000,000","11,699,000,000","10,734,000,000","10,985,000,000","11,713,000,000","11,309,000,000","10,581,000,000","9,774,000,000","9,646,000,000","9,719,000,000","9,444,000,000","8,712,000,000","7,010,000,000","6,831,000,000","6,574,000,000","5,399,000,000","4,630,000,000","4,601,000,000","4,233,000,000","3,752,000,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"15,039,000,000","14,208,000,000","15,513,000,000","13,869,000,000","14,707,000,000","14,346,000,000","13,781,000,000","11,951,000,000","11,002,000,000","11,260,000,000","12,046,000,000","11,775,000,000","10,942,000,000","10,114,000,000","9,986,000,000",,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-166,000,000","-169,000,000","-230,000,000","-293,000,000","-226,000,000","-248,000,000","-291,000,000","-252,000,000","-268,000,000","-275,000,000","-333,000,000","-466,000,000","-361,000,000","-340,000,000","-340,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"4,514,000,000","2,876,000,000","3,701,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,"11,181,000,000","10,268,000,000","10,387,000,000","9,344,000,000","9,020,000,000","8,599,000,000","8,765,000,000","8,144,000,000","8,053,000,000","8,184,000,000","7,878,000,000","7,495,000,000","6,285,000,000","5,378,000,000","5,180,000,000","5,052,000,000","5,110,000,000","4,889,000,000","3,959,000,000","3,744,000,000","3,588,000,000","3,303,000,000","2,992,000,000","2,905,000,000","3,095,000,000","2,898,000,000","2,516,000,000","2,498,000,000","2,276,000,000","2,161,000,000","1,717,000,000","1,742,000,000","1,702,000,000","1,543,000,000","1,353,000,000","1,273,000,000","1,165,000,000","1,010,500,000","955,100,000"
			RawMaterials,"2,355,000,000","1,719,000,000","1,592,000,000","1,410,000,000","1,117,000,000","1,114,000,000","1,140,000,000","952,000,000","936,000,000","1,214,000,000","1,224,000,000","1,416,000,000","1,206,000,000","1,073,000,000","1,144,000,000","839,000,000","905,000,000","980,000,000","931,000,000","964,000,000","966,000,000","835,000,000","842,000,000","718,000,000","663,000,000","776,000,000",,,,,,,,,,,,,
			WorkInProcess,"1,952,000,000","1,577,000,000","2,287,000,000","2,040,000,000","1,832,000,000","2,109,000,000","2,317,000,000","2,185,000,000","2,241,000,000","2,461,000,000","2,612,000,000","2,262,000,000","1,637,000,000","1,460,000,000","1,395,000,000","1,372,000,000","1,384,000,000","1,253,000,000","1,073,000,000","1,113,000,000","981,000,000","803,000,000","605,000,000","480,000,000","416,000,000","510,000,000",,,,,,,,,,,,,
			FinishedGoods,"6,874,000,000","6,972,000,000","6,508,000,000","5,894,000,000","6,071,000,000","5,376,000,000","5,308,000,000","5,007,000,000","4,876,000,000","4,509,000,000","4,042,000,000","3,817,000,000","3,442,000,000","2,845,000,000","2,641,000,000","2,841,000,000","2,821,000,000","2,656,000,000","1,955,000,000","1,667,000,000","1,641,000,000","1,665,000,000","1,545,000,000","1,707,000,000","2,016,000,000","1,612,000,000",,,,,,,,,,,,,
		PrepaidAssets,,,"3,701,000,000","3,132,000,000","2,392,000,000","2,699,000,000","2,537,000,000","3,282,000,000","3,047,000,000","3,486,000,000","4,003,000,000","3,084,000,000","2,633,000,000","2,273,000,000","2,497,000,000","3,367,000,000","3,467,000,000","3,196,000,000","2,442,000,000","2,124,000,000","1,784,000,000","1,670,000,000","1,687,000,000","1,254,000,000",,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"3,567,000,000","3,607,000,000","3,139,000,000","2,556,000,000","2,224,000,000","2,793,000,000","3,430,000,000","2,609,000,000","2,094,000,000","1,931,000,000","1,737,000,000","1,526,000,000","1,419,000,000","1,192,000,000","1,174,000,000",,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"3,567,000,000","3,607,000,000","3,139,000,000","2,556,000,000","2,224,000,000","2,793,000,000","3,430,000,000","2,609,000,000","2,094,000,000","1,931,000,000","1,737,000,000","1,526,000,000","1,419,000,000","1,192,000,000","1,174,000,000",,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"0","5,830,000,000",,"0","94,000,000","950,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
