name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
OperatingCashFlow,"24,642,000,000","22,791,000,000","21,194,000,000","23,410,000,000","23,536,000,000","23,416,000,000","22,201,000,000","21,056,000,000","18,767,000,000","19,569,000,000","18,710,000,000","17,414,000,000","15,396,000,000","14,298,000,000","16,385,000,000","16,571,000,000","14,972,000,000","15,022,000,000","14,248,000,000","11,799,000,000","11,089,000,000","10,595,000,000","8,176,000,000","8,864,000,000","6,903,000,000","5,920,000,000","4,991,000,000","4,343,000,000","3,891,000,000","3,382,000,000","2,975,000,000","2,168,000,000","2,141,000,000","1,675,000,000","1,657,000,000","1,250,000,000"
	CashFlowFromContinuingOperatingActivities,"24,642,000,000","22,791,000,000","21,194,000,000","23,410,000,000","23,536,000,000","23,416,000,000","22,201,000,000","21,056,000,000","18,767,000,000","19,569,000,000","18,710,000,000","17,414,000,000","15,396,000,000","14,298,000,000","16,385,000,000","16,571,000,000","14,972,000,000","15,022,000,000","14,248,000,000","11,799,000,000","11,089,000,000","10,595,000,000","8,176,000,000","8,864,000,000","6,903,000,000","5,920,000,000","4,991,000,000","4,343,000,000","3,891,000,000","3,382,000,000","2,975,000,000","2,168,000,000","2,141,000,000","1,675,000,000","1,657,000,000","1,250,000,000"
		NetIncomeFromContinuingOperations,"38,018,000,000","35,153,000,000","17,941,000,000","20,878,000,000","14,714,000,000","15,119,000,000","15,297,000,000","1,300,000,000","16,540,000,000","15,409,000,000","16,323,000,000","13,831,000,000","10,514,000,000","9,672,000,000","13,334,000,000","12,266,000,000","12,949,000,000","10,576,000,000","11,053,000,000","10,060,000,000","8,180,000,000","7,197,000,000","6,597,000,000","5,668,000,000","4,953,000,000","4,273,000,000","3,003,000,000","3,303,000,000","2,887,000,000","2,403,000,000","2,006,000,000","1,787,000,000","1,625,000,000","1,461,000,000","1,143,000,000","1,082,000,000"
		OperatingGainsLosses,"-21,277,000,000","-21,101,000,000","-380,000,000","-617,000,000","-111,000,000","-2,154,000,000","-1,217,000,000","-1,307,000,000","-563,000,000","-2,461,000,000","-2,296,000,000","-422,000,000","-908,000,000",,,,"181,000,000","807,000,000","559,000,000","362,000,000","18,000,000","924,000,000","183,000,000","204,000,000","107,000,000","23,000,000","322,000,000",,,,,,,,,
			GainLossOnSaleOfBusiness,,"-20,984,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,"0","122,000,000","87,000,000","108,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,,,,,,,,"0","-417,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"7,269,000,000","7,486,000,000","6,970,000,000","7,390,000,000","7,231,000,000","7,009,000,000","6,929,000,000","5,642,000,000","3,754,000,000","3,746,000,000","3,895,000,000","4,104,000,000","3,666,000,000","3,158,000,000","2,939,000,000","2,774,000,000","2,832,000,000","2,777,000,000","2,177,000,000","2,093,000,000","2,124,000,000","1,869,000,000","1,662,000,000","1,605,000,000","1,592,000,000","1,510,000,000","1,285,000,000","1,067,000,000","1,009,000,000","857,000,000","724,000,000","617,000,000","560,000,000","493,000,000","474,000,000","414,000,000"
			DepreciationAndAmortization,"7,269,000,000","7,486,000,000","6,970,000,000","7,390,000,000","7,231,000,000","7,009,000,000","6,929,000,000","5,642,000,000","3,754,000,000","3,746,000,000","3,895,000,000","4,104,000,000","3,666,000,000","3,158,000,000","2,939,000,000","2,774,000,000","2,832,000,000","2,777,000,000","2,177,000,000","2,093,000,000","2,124,000,000","1,869,000,000","1,662,000,000","1,605,000,000","1,592,000,000","1,510,000,000","1,285,000,000","1,067,000,000","1,009,000,000","857,000,000","724,000,000","617,000,000","560,000,000","493,000,000","474,000,000","414,000,000"
		DeferredTax,"-4,109,000,000","-4,194,000,000","-1,663,000,000","-2,079,000,000","-1,141,000,000","-2,476,000,000","-1,016,000,000","2,406,000,000","-341,000,000","-270,000,000","441,000,000","-607,000,000","-39,000,000","-836,000,000","356,000,000","-436,000,000","22,000,000","-1,762,000,000","-1,168,000,000","-235,000,000","-676,000,000","-720,000,000","-74,000,000","-106,000,000","-128,000,000","-26,000,000","-297,000,000","-121,000,000","-3,000,000","-63,000,000","-66,000,000",,"-8,000,000","-22,000,000","-46,000,000","-8,000,000"
