name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"86,576,000,000","85,159,000,000","79,990,000,000","78,740,000,000","82,584,000,000","82,059,000,000","81,581,000,000","76,450,000,000","71,890,000,000","70,074,000,000","74,331,000,000","71,312,000,000","67,224,000,000","65,030,000,000","61,587,000,000","61,897,000,000","63,747,000,000","61,095,000,000","53,324,000,000","50,514,000,000","47,348,000,000","41,862,000,000","36,298,000,000","32,317,000,000","29,172,000,000","28,007,000,000","23,995,000,000","22,629,000,000","21,620,000,000","18,842,000,000","15,734,000,000","14,138,000,000","13,753,000,000","12,447,000,000","11,232,000,000","9,757,000,000","9,000,000,000","8,012,000,000","7,002,900,000","6,421,300,000"
	OperatingRevenue,"86,576,000,000","85,159,000,000","79,990,000,000","78,740,000,000","82,584,000,000","82,059,000,000","81,581,000,000","76,450,000,000","71,890,000,000","70,074,000,000","74,331,000,000","71,312,000,000","67,224,000,000","65,030,000,000","61,587,000,000","61,897,000,000","63,747,000,000","61,095,000,000","53,324,000,000","50,514,000,000","47,348,000,000","41,862,000,000","36,298,000,000","32,317,000,000","29,172,000,000","28,007,000,000","23,995,000,000","22,629,000,000","21,620,000,000","18,842,000,000","15,734,000,000","14,138,000,000","13,753,000,000","12,447,000,000","11,232,000,000","9,757,000,000","9,000,000,000","8,012,000,000","7,002,900,000","6,421,300,000"
CostOfRevenue,"26,784,000,000","26,553,000,000","24,596,000,000","23,402,000,000","28,427,000,000","27,556,000,000","27,091,000,000","25,439,000,000","21,789,000,000","21,536,000,000","22,746,000,000","22,342,000,000","21,658,000,000","20,360,000,000","18,792,000,000","18,447,000,000","18,511,000,000","17,751,000,000","15,057,000,000","14,010,000,000","13,474,000,000","12,176,000,000","10,447,000,000","9,581,000,000","8,957,000,000","8,498,000,000","6,319,000,000","6,085,000,000","6,009,000,000","5,378,000,000","4,575,000,000","4,174,000,000","4,118,000,000","3,711,000,000","3,463,000,000","3,066,000,000","2,901,000,000","2,602,000,000","2,354,900,000","2,343,700,000"
GrossProfit,"59,792,000,000","58,606,000,000","55,394,000,000","55,338,000,000","54,157,000,000","54,503,000,000","54,490,000,000","51,011,000,000","50,101,000,000","48,538,000,000","51,585,000,000","48,970,000,000","45,566,000,000","44,670,000,000","42,795,000,000","43,450,000,000","45,236,000,000","43,344,000,000","38,267,000,000","36,504,000,000","33,874,000,000","29,686,000,000","25,851,000,000","22,736,000,000","20,215,000,000","19,509,000,000","17,676,000,000","16,544,000,000","15,611,000,000","13,464,000,000","11,159,000,000","9,964,000,000","9,635,000,000","8,736,000,000","7,769,000,000","6,691,000,000","6,099,000,000","5,410,000,000","4,648,000,000","4,077,600,000"
OperatingExpense,"35,857,000,000","35,197,000,000","33,181,000,000","34,395,000,000","34,424,000,000","33,533,000,000","33,315,000,000","32,114,000,000","29,210,000,000","30,249,000,000","30,448,000,000","30,013,000,000","28,534,000,000","28,517,000,000","26,268,000,000","26,787,000,000","29,067,000,000","28,131,000,000","24,558,000,000","23,673,000,000","21,518,000,000","18,815,000,000","16,173,000,000","14,851,000,000","13,600,000,000","13,524,000,000","12,648,000,000","11,922,000,000","11,308,000,000","9,953,000,000","8,352,000,000","7,570,000,000","7,358,000,000","6,572,000,000","5,777,000,000","5,030,000,000","4,695,000,000","4,201,000,000","3,664,400,000","3,237,600,000"
	SellingGeneralAndAdministration,"20,948,000,000","20,112,000,000","19,046,000,000","20,118,000,000","22,084,000,000","22,178,000,000","22,540,000,000","21,520,000,000","20,067,000,000","21,203,000,000","21,954,000,000","21,830,000,000","20,869,000,000","20,969,000,000","19,424,000,000","19,801,000,000","21,490,000,000","20,451,000,000","17,433,000,000","17,211,000,000","16,174,000,000","14,131,000,000","12,216,000,000","11,260,000,000","10,495,000,000","10,756,000,000","9,027,000,000","8,715,000,000","10,299,000,000","9,096,000,000","6,350,000,000","6,953,000,000","6,798,000,000","6,079,000,000","5,303,000,000","4,616,000,000","4,304,000,000","3,845,000,000","3,389,200,000","2,987,100,000"
		GeneralAndAdministrativeExpense,"20,948,000,000","20,112,000,000","19,046,000,000","20,118,000,000","22,084,000,000","22,178,000,000","22,540,000,000","21,520,000,000","20,067,000,000","21,203,000,000","21,954,000,000","21,830,000,000","20,869,000,000","20,969,000,000","19,424,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			SalariesAndWages,"-1,200,000,000","-1,400,000,000","-1,200,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"22,148,000,000","21,512,000,000","20,246,000,000","20,118,000,000","22,084,000,000","22,178,000,000","22,540,000,000","21,520,000,000","20,067,000,000","21,203,000,000","21,954,000,000","21,830,000,000","20,869,000,000","20,969,000,000","19,424,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"14,909,000,000","15,085,000,000","14,135,000,000","14,277,000,000","12,340,000,000","11,355,000,000","10,775,000,000","10,594,000,000","9,143,000,000","9,046,000,000","8,494,000,000","8,183,000,000","7,665,000,000","7,548,000,000","6,844,000,000","6,986,000,000","7,577,000,000","7,680,000,000","7,125,000,000","6,462,000,000","5,344,000,000","4,684,000,000","3,957,000,000","3,591,000,000","3,105,000,000","2,768,000,000","2,336,000,000","2,140,000,000",,,"1,278,000,000",,,,,,,,,
