name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001,03/31/2000,03/31/1999,03/31/1998,03/31/1997,03/31/1996,03/31/1995
OperatingCashFlow,"3,986,000,000","4,314,000,000","5,159,000,000","4,434,000,000","4,542,000,000","4,374,000,000","4,036,000,000","4,345,000,000","4,744,000,000","3,672,000,000","3,112,000,000","3,136,000,000","2,483,000,000","2,950,000,000","2,338,000,000","2,316,000,000","1,351,000,000","869,000,000","1,539,000,000","2,738,000,000","1,543,000,000","595,000,000","695,500,000","326,200,000","325,200,000","-314,800,000","234,100,000","223,300,000","430,100,000","3,800,000","199,100,000"
	CashFlowFromContinuingOperatingActivities,"3,986,000,000","4,314,000,000","5,159,000,000","4,434,000,000","4,542,000,000","4,374,000,000","4,036,000,000","4,345,000,000","4,744,000,000","3,672,000,000","3,112,000,000","3,136,000,000","2,483,000,000","2,950,000,000","2,338,000,000","2,316,000,000","1,351,000,000","869,000,000","1,484,000,000","2,744,000,000","1,559,000,000","595,000,000","696,000,000","328,600,000","331,000,000","-301,700,000","257,700,000","222,800,000","418,600,000","11,200,000","155,700,000"
		NetIncomeFromContinuingOperations,"3,123,000,000","3,160,000,000","3,722,000,000","1,287,000,000","-4,340,000,000","1,120,000,000","255,000,000","297,000,000","5,153,000,000","2,310,000,000","1,543,000,000","1,258,000,000","1,338,000,000","1,403,000,000","1,130,000,000","1,263,000,000","823,000,000","990,000,000","913,000,000","751,000,000","-157,000,000","647,000,000","562,100,000","421,800,000","-43,300,000","184,600,000","60,600,000","304,600,000","212,100,000","135,400,000","404,500,000"
		OperatingGainsLosses,"-84,000,000","-17,000,000","-211,000,000","1,377,000,000","-9,000,000","1,117,000,000","108,000,000","79,000,000","94,000,000","-103,000,000",,,,,,,,"21,000,000","132,000,000","51,000,000","115,000,000","54,000,000","77,600,000","129,100,000","520,600,000","221,800,000","87,200,000","-18,300,000","-100,300,000","-4,900,000","269,900,000"
			GainLossOnSaleOfBusiness,"-84,000,000","-17,000,000","-211,000,000","1,377,000,000","-9,000,000","33,000,000","-86,000,000","-169,000,000","94,000,000","-103,000,000","0","0",,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,,"0","0","1,084,000,000","194,000,000","248,000,000","0","0","0",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"645,000,000","635,000,000","608,000,000","760,000,000","887,000,000","922,000,000","949,000,000","951,000,000","910,000,000","885,000,000","1,017,000,000","735,000,000","581,000,000","493,000,000","496,000,000","148,000,000","441,000,000","371,000,000","295,000,000","262,000,000","245,000,000","230,000,000","203,700,000","206,500,000","245,400,000","222,600,000","180,600,000","145,900,000","141,300,000","64,200,000","59,100,000"
			DepreciationAndAmortization,"645,000,000","635,000,000","608,000,000","760,000,000","887,000,000","922,000,000","949,000,000","951,000,000","910,000,000","885,000,000","1,017,000,000","735,000,000","581,000,000","493,000,000","496,000,000","148,000,000","441,000,000","371,000,000","295,000,000","262,000,000","245,000,000","230,000,000","203,700,000","206,500,000","245,400,000","222,600,000","180,600,000","145,900,000","141,300,000","64,200,000","59,100,000"
				Depreciation,"252,000,000","253,000,000","248,000,000","279,000,000","321,000,000","321,000,000","317,000,000","303,000,000","324,000,000","281,000,000","306,000,000","185,000,000","143,000,000","127,000,000","139,000,000","148,000,000","133,000,000","124,000,000","112,000,000","109,000,000","106,000,000","103,000,000","101,200,000","117,200,000","114,900,000","116,300,000","103,900,000",,,,
				AmortizationCashFlow,"393,000,000","382,000,000","360,000,000","481,000,000","566,000,000","601,000,000","632,000,000","648,000,000","586,000,000","604,000,000","711,000,000","550,000,000","438,000,000","366,000,000","357,000,000","326,000,000","308,000,000","247,000,000","183,000,000","153,000,000","139,000,000","127,000,000","102,500,000","89,300,000","130,500,000","106,300,000","76,700,000",,,,
