name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalRevenue,"258,003,000,000","232,261,000,000","176,954,000,000","140,800,000,000","126,946,000,000","122,021,000,000","111,831,000,000","111,696,000,000","111,780,000,000","107,927,000,000","88,806,000,000","83,572,000,000","78,026,000,000","66,346,000,000","60,776,000,000","51,078,000,000","45,666,120,400","41,888,774,000","38,751,814,800","33,713,685,040","29,233,563,870","26,613,062,700","25,154,110,260","23,717,034,390","20,815,014,000","16,442,054,240","13,648,809,860","16,984,033,110","14,903,938,620","13,713,124,800","13,517,840,700","13,145,607,000","10,670,777,000","9,829,419,700","8,331,880,000","7,619,108,250","5,629,806,000","5,027,783,550","4,187,427,750","4,158,399,600"
	OperatingRevenue,"634,387,000,000","608,645,000,000","455,692,000,000","340,180,000,000","298,187,000,000","270,431,000,000","230,701,000,000","216,174,000,000","198,924,000,000","182,779,000,000","131,841,000,000","115,906,000,000","103,948,000,000","84,386,000,000","75,811,000,000","51,078,000,000","45,666,120,400","41,888,774,000","38,751,814,800","33,713,685,040","29,233,563,870","26,613,062,700","25,154,110,260","23,717,034,390","20,815,014,000","16,442,054,240","13,648,809,860","16,984,033,110","14,903,938,620","13,713,124,800","13,517,840,700","13,145,607,000","10,670,777,000","9,829,419,700","8,331,880,000","7,619,108,250","5,629,806,000","5,027,783,550","4,187,427,750","4,158,399,600"
CostOfRevenue,"39,917,000,000","35,765,000,000","28,448,000,000","23,658,000,000","20,932,000,000","20,088,000,000","17,617,000,000","17,632,000,000","17,183,000,000","16,188,000,000","14,562,000,000","14,140,000,000","13,465,000,000","12,589,000,000","11,680,000,000","10,438,000,000","10,131,384,800","9,803,538,000","9,589,068,200","9,165,986,920","8,105,495,370","7,461,827,400","6,624,717,840","5,964,763,140","4,379,575,200","3,629,967,910","3,216,355,100","4,721,704,992","4,167,384,276","3,829,522,000","3,833,399,360","6,407,685,000","2,526,563,000","4,795,257,150","4,125,219,200","3,764,953,500","2,716,604,800","2,589,793,200","3,293,845,500","2,073,373,200"
GrossProfit,"218,086,000,000","196,496,000,000","148,506,000,000","117,142,000,000","106,014,000,000","101,933,000,000","94,214,000,000","94,064,000,000","94,597,000,000","91,739,000,000","74,244,000,000","69,432,000,000","64,561,000,000","53,757,000,000","49,096,000,000","40,640,000,000","35,534,735,600","32,085,236,000","29,162,746,600","24,547,698,120","21,128,068,500","19,151,235,300","18,529,392,420","17,752,271,250","16,435,438,800","12,812,086,330","10,432,454,760","12,262,328,118","10,736,554,344","9,883,602,800","9,684,441,340","6,737,922,000","8,144,214,000","5,034,162,550","4,206,660,800","3,854,154,750","2,913,201,200","2,437,990,350","893,582,250","2,085,026,400"
OperatingExpense,"106,627,000,000","93,922,000,000","73,697,000,000","58,498,000,000","51,888,000,000","49,450,000,000","46,966,000,000","45,097,000,000","46,165,000,000","42,295,000,000","39,752,000,000","37,939,000,000","35,087,000,000","31,383,000,000","30,205,000,000","25,366,000,000","23,124,591,600","23,125,508,000","20,042,678,200","16,472,299,740","14,098,183,890","12,753,693,900","12,555,822,060","12,155,084,550","12,192,224,000","9,891,847,380","8,999,425,260","9,928,179,000","8,756,510,700","8,010,961,000","7,844,361,000","4,793,872,500","6,985,683,250","3,630,297,650","3,154,273,600","2,804,223,000","1,976,962,400","1,790,542,050","224,680,500","1,351,771,200"
	SellingGeneralAndAdministration,"63,205,000,000","61,598,000,000","50,684,000,000","41,058,000,000","36,886,000,000","35,830,000,000","33,313,000,000","32,124,000,000","32,339,000,000","32,169,000,000","26,760,000,000","26,888,000,000","24,856,000,000","22,249,000,000","21,260,000,000","18,184,000,000","15,822,933,600","14,897,082,000","13,996,536,200","11,794,746,580","10,295,131,560","9,673,177,200","9,420,405,390","9,055,746,840","7,932,966,800","6,357,988,600","5,362,714,840","6,016,476,474","7,689,050,348","6,872,080,000","6,789,324,850","3,994,780,500","6,291,944,750","3,038,356,300","2,633,856,000","2,332,447,500","1,653,197,000","1,524,125,000",,"1,151,874,000"
		GeneralAndAdministrativeExpense,"5,026,000,000","4,855,000,000","4,467,000,000","4,050,000,000","3,958,000,000","4,007,000,000","3,916,000,000","3,784,000,000","3,962,000,000","3,857,000,000","3,537,000,000","3,508,000,000","3,312,000,000","3,245,000,000","3,065,000,000","2,764,000,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"5,026,000,000","4,855,000,000","4,467,000,000","4,050,000,000","3,958,000,000","4,007,000,000","3,916,000,000","3,784,000,000","3,962,000,000","3,857,000,000","3,537,000,000","3,508,000,000","3,312,000,000","3,245,000,000","3,065,000,000","2,764,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"58,179,000,000","56,743,000,000","46,217,000,000","37,008,000,000","32,928,000,000","31,823,000,000","29,397,000,000","28,340,000,000","28,377,000,000","28,312,000,000","23,223,000,000","23,380,000,000","21,544,000,000","19,004,000,000","18,195,000,000","15,420,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"43,360,000,000","32,443,000,000","24,047,000,000","17,772,000,000","15,462,000,000","14,220,000,000","14,805,000,000","14,014,000,000","14,563,000,000","13,608,000,000","13,762,000,000","11,733,000,000","10,897,000,000","9,628,000,000","9,602,000,000","7,864,000,000","7,874,022,400","8,550,608,000","6,317,370,800","5,074,703,900","4,384,760,190","4,203,929,700","4,133,370,960","3,959,800,740","3,224,522,400","2,587,553,500","2,649,512,320","2,769,619,590",,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"1,034,734,800","946,305,280","987,198,100","1,142,082,936","1,067,460,352","1,138,881,000","1,055,036,150","799,092,000","693,738,500","591,941,350","520,417,600","471,775,500","323,765,400","266,417,050","224,680,500","199,897,200"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"1,034,734,800","946,305,280","987,198,100","1,142,082,936","1,067,460,352","1,138,881,000","1,055,036,150","799,092,000","693,738,500","591,941,350","520,417,600","471,775,500","323,765,400","266,417,050","224,680,500","199,897,200"
	OtherOperatingExpenses,"62,000,000","-119,000,000","-1,034,000,000","-332,000,000","-460,000,000","-600,000,000","-1,152,000,000","-1,041,000,000","-737,000,000","-3,482,000,000","-770,000,000","-682,000,000","-666,000,000","-494,000,000","-657,000,000","-682,000,000","-572,364,400","-322,182,000","-271,228,800","-397,150,740","-581,707,860","-1,123,413,000","-997,954,290","-860,463,030",,,,,,,,,,,,,,,,
OperatingIncome,"111,459,000,000","102,574,000,000","74,809,000,000","58,644,000,000","54,126,000,000","52,483,000,000","47,248,000,000","48,967,000,000","48,432,000,000","49,444,000,000","34,492,000,000","31,493,000,000","29,474,000,000","22,374,000,000","18,891,000,000","15,274,000,000","12,410,144,000","8,959,728,000","9,120,068,400","8,075,398,380","7,029,884,610","6,397,541,400","5,973,570,360","5,597,186,700","4,243,214,800","2,920,238,950","1,433,029,500","2,334,149,118","1,980,043,644","1,872,641,800","1,840,080,340","1,944,049,500","1,158,530,750","1,403,864,900","1,052,387,200","1,049,931,750","936,238,800","647,448,300","668,901,750","733,255,200"
NetNonOperatingInterestIncomeExpense,"-296,000,000","330,000,000","-320,000,000","-180,000,000","-203,000,000","-436,000,000","-106,000,000","-89,000,000","-98,000,000","-92,000,000","-49,000,000","-95,000,000","-17,000,000","-100,000,000","-311,000,000","-890,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"3,604,000,000","1,069,000,000","239,000,000","231,000,000","337,000,000","65,000,000","51,000,000","69,000,000","52,000,000","56,000,000","101,000,000","56,000,000","124,000,000","274,000,000","235,000,000","375,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"3,703,000,000","542,000,000","378,000,000","289,000,000","390,000,000","220,000,000","85,000,000","90,000,000","65,000,000","67,000,000","39,000,000","55,000,000","58,000,000","275,000,000","500,000,000","1,265,000,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,"197,000,000","181,000,000","122,000,000","150,000,000","281,000,000","72,000,000","68,000,000","85,000,000","81,000,000","111,000,000","96,000,000","83,000,000","99,000,000","46,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,,"1,770,000,000","-5,427,000,000","616,000,000","-793,000,000","-3,494,000,000","473,000,000","-198,000,000","-536,000,000","-5,869,000,000","-347,000,000","1,141,000,000","-1,646,000,000","-349,000,000","-294,000,000","-396,000,000","502,824,800","2,352,440,000","242,975,800","718,653,720","460,976,040","2,016,230,700","1,252,751,130","918,941,100","368,975,200","310,506,420","1,560,409,900","1,168,786,314","894,117,181","399,578,200","474,310,200","479,047,500","1,039,980,500","452,974,100","387,569,600","256,371,000","244,027,000","205,452,050","218,072,250","259,956,000"
	GainOnSaleOfSecurity,,"1,689,000,000","-5,238,000,000","640,000,000","-942,000,000","-3,357,000,000","461,000,000","-212,000,000","-560,000,000","-5,883,000,000","-347,000,000","1,141,000,000","-1,646,000,000","-349,000,000","-294,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,"81,000,000","-189,000,000","-24,000,000","149,000,000","-137,000,000","12,000,000","14,000,000","24,000,000","14,000,000","0",,,,,,"123,031,600","1,232,474,000","-259,927,600",,,,,"50,124,060",,,,,,,,,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,,"490,000,000","413,000,000","-396,000,000","379,793,200","1,119,966,000","502,903,400","718,653,720","460,976,040","2,016,230,700","1,252,751,130","868,817,040","368,975,200","310,506,420","1,560,409,900","1,168,786,314","894,117,181","399,578,200","474,310,200","479,047,500","1,039,980,500","452,974,100","387,569,600","256,371,000","244,027,000","205,452,050","218,072,250","259,956,000"
