name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalAssets,"99,945,000,000","117,453,000,000","131,795,000,000","127,778,000,000","118,370,000,000","145,563,000,000","133,079,000,000","130,124,000,000","131,556,000,000","125,387,000,000","126,254,000,000","124,191,000,000","117,496,000,000","123,318,000,000","95,505,000,000","78,299,000,000","75,452,000,000","68,008,000,000","57,732,000,000","52,488,000,000","49,317,000,000","45,025,000,000","40,305,000,000","36,058,000,000","41,144,000,000","40,861,191,860.465"
	CurrentAssets,"30,481,000,000","36,910,000,000","45,718,000,000","29,673,000,000","29,504,000,000","35,563,000,000","28,208,000,000","24,931,000,000","22,845,000,000","37,561,000,000","30,542,000,000","28,004,000,000","24,084,000,000","26,685,000,000","33,691,000,000","20,881,000,000","27,430,000,000","21,404,000,000","21,443,000,000","23,920,000,000","22,273,000,000","20,815,000,000","20,640,000,000","20,409,000,000","21,775,000,000","21,768,168,604.651"
		CashCashEquivalentsAndShortTermInvestments,"13,962,000,000","18,615,000,000","28,113,000,000","11,293,000,000","11,234,000,000","15,964,000,000","9,485,000,000","7,777,000,000","5,447,000,000","13,862,000,000","9,222,000,000","8,119,000,000","5,075,000,000","8,134,000,000","17,449,000,000","6,117,000,000","13,201,000,000","7,955,000,000","10,933,000,000","13,892,000,000","13,259,000,000","12,542,000,000","13,183,000,000","12,716,000,000","10,253,000,000","10,297,965,116.279"
			CashAndCashEquivalents,"13,393,000,000","7,517,000,000","12,407,000,000","9,658,000,000","11,112,000,000","13,271,000,000","8,860,000,000","7,007,000,000","4,674,000,000","13,023,000,000","6,687,000,000","5,552,000,000","3,709,000,000","5,319,000,000","2,894,000,000","2,038,000,000","5,360,000,000","3,815,000,000","6,321,000,000","6,083,000,000","5,646,000,000","5,798,000,000","6,727,000,000","5,454,000,000","3,944,000,000","4,833,575,581.395"
				CashFinancial,"3,207,000,000","2,877,000,000","3,396,000,000","3,750,000,000","3,247,000,000","3,121,000,000","2,970,000,000","1,912,000,000","3,074,000,000","3,607,000,000","3,995,000,000","2,323,000,000","1,877,000,000",,,,,,,,,,,,,
				CashEquivalents,"10,186,000,000","4,640,000,000","9,011,000,000","5,908,000,000","7,865,000,000","10,150,000,000","5,890,000,000","5,095,000,000","1,600,000,000","9,416,000,000","2,692,000,000","3,229,000,000","1,832,000,000",,,,,,,,,,,,,
			OtherShortTermInvestments,"569,000,000","11,098,000,000","15,706,000,000","1,635,000,000","122,000,000","2,693,000,000","625,000,000","770,000,000","773,000,000","839,000,000","2,535,000,000","2,567,000,000","1,366,000,000","2,815,000,000","14,555,000,000","4,079,000,000","7,841,000,000","4,140,000,000","4,612,000,000","7,809,000,000","7,613,000,000","6,744,000,000","6,456,000,000","7,262,000,000","6,309,000,000","5,464,389,534.884"
		Receivables,"9,376,000,000","9,894,000,000","9,621,000,000","10,036,000,000","10,337,000,000","11,024,000,000","11,100,000,000","10,202,000,000","10,551,000,000","10,255,000,000","12,623,000,000","12,533,000,000","12,373,000,000","11,716,000,000","10,010,000,000","8,573,000,000","8,504,000,000","7,971,000,000","6,563,000,000","6,199,000,000","5,480,000,000","4,982,000,000","3,228,000,000","3,273,000,000","4,421,000,000","4,225,290,697.674"
			AccountsReceivable,"7,107,000,000","8,066,000,000","8,005,000,000","8,217,000,000","8,301,000,000","8,727,000,000","8,600,000,000","8,202,000,000","8,180,000,000","8,275,000,000","9,902,000,000","10,051,000,000","10,323,000,000","9,873,000,000","8,310,000,000","7,026,000,000","6,648,000,000","6,161,000,000","5,343,000,000","4,851,000,000","4,376,000,000","3,697,000,000","3,228,000,000","3,273,000,000","4,421,000,000","4,225,290,697.674"
				GrossAccountsReceivable,"7,158,000,000","8,128,000,000","8,088,000,000","8,310,000,000","8,396,000,000","8,853,000,000","8,790,000,000","8,364,000,000","8,322,000,000","8,431,000,000","10,097,000,000","10,268,000,000","10,542,000,000","10,094,000,000","8,453,000,000","7,208,000,000","6,817,000,000","6,359,000,000","5,546,000,000","5,102,000,000","4,603,000,000","3,915,000,000",,,,
