name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998
TotalRevenue,"48,860,000,000","46,660,000,000","43,461,000,000","43,974,000,000","49,898,000,000","48,677,000,000","46,099,000,000","43,404,000,000","49,436,000,000","50,387,000,000","53,634,000,000","52,716,000,000","51,971,000,000","59,375,000,000","51,561,000,000","45,103,000,000","42,584,000,000","38,947,000,000","35,105,000,000","29,753,000,000","27,277,000,000","24,930,000,000","20,877,000,000","18,762,000,000","22,185,000,000","20,385,000,000","23,039,244,186.047"
	OperatingRevenue,"47,546,000,000","45,440,000,000","42,206,000,000","42,781,000,000","48,659,000,000","47,498,000,000","44,833,000,000","42,381,000,000","48,518,000,000","49,440,000,000","52,419,000,000","52,090,000,000","51,330,000,000","58,566,000,000","50,624,000,000","44,267,000,000","41,459,000,000","38,072,000,000","34,393,000,000","29,446,000,000","27,126,000,000","24,864,000,000","20,877,000,000","18,762,000,000","22,185,000,000","20,385,000,000","23,039,244,186.047"
CostOfRevenue,"12,408,000,000","12,472,000,000","11,582,000,000","11,735,000,000","15,121,000,000","14,425,000,000","14,510,000,000","13,633,000,000","17,520,000,000","17,404,000,000","17,345,000,000","16,579,000,000","15,866,000,000","18,983,000,000","14,488,000,000","12,179,000,000","11,439,000,000","11,032,000,000","9,411,000,000","7,439,000,000","6,700,000,000","6,457,000,000","4,994,000,000","4,744,000,000","6,346,000,000","5,220,000,000","7,305,232,558.14"
GrossProfit,"36,452,000,000","34,188,000,000","31,879,000,000","32,239,000,000","34,777,000,000","34,252,000,000","31,589,000,000","29,771,000,000","31,916,000,000","32,983,000,000","36,289,000,000","36,137,000,000","36,105,000,000","40,392,000,000","37,073,000,000","32,924,000,000","31,145,000,000","27,915,000,000","25,694,000,000","22,314,000,000","20,577,000,000","18,473,000,000","15,883,000,000","14,018,000,000","15,839,000,000","15,165,000,000","15,734,011,627.907"
OperatingExpense,"24,721,000,000","24,419,000,000","23,933,000,000","22,183,000,000","24,625,000,000","25,166,000,000","23,186,000,000","21,069,000,000","23,648,000,000","24,006,000,000","25,200,000,000","25,154,000,000","24,598,000,000","29,612,000,000","25,547,000,000","22,942,000,000","22,181,000,000","21,134,000,000","18,052,000,000","15,807,000,000","14,460,000,000","12,838,000,000","10,791,000,000","9,693,000,000","10,955,000,000","10,555,000,000","10,704,941,860.465"
	SellingGeneralAndAdministration,"12,466,000,000","12,517,000,000","12,193,000,000","12,827,000,000","14,197,000,000","14,369,000,000","13,717,000,000","12,465,000,000","14,192,000,000","14,247,000,000","14,993,000,000","15,241,000,000","15,117,000,000","18,049,000,000","15,797,000,000","14,331,000,000","14,097,000,000","13,259,000,000","11,974,000,000","10,633,000,000","9,989,000,000","9,235,000,000","7,883,000,000","7,165,000,000","8,069,000,000","6,941,000,000","7,866,279,069.767"
		GeneralAndAdministrativeExpense,,,,,,,,"2,136,000,000","2,194,000,000","2,475,000,000","2,616,000,000","2,603,000,000","2,530,000,000","2,970,000,000","2,481,000,000","2,281,000,000","2,245,000,000","2,133,000,000","1,882,000,000","1,614,000,000","1,486,000,000","1,381,000,000","1,146,000,000",,,,"1,478,197,674.419"
			OtherGandA,,,,,,,,"2,136,000,000","2,194,000,000","2,475,000,000","2,616,000,000","2,603,000,000","2,530,000,000","2,970,000,000","2,481,000,000","2,281,000,000","2,245,000,000","2,133,000,000","1,882,000,000","1,614,000,000","1,486,000,000","1,381,000,000","1,146,000,000",,,,"1,478,197,674.419"
		SellingAndMarketingExpense,,,,,,,,"12,861,000,000","11,998,000,000","11,772,000,000","12,377,000,000","12,638,000,000","12,587,000,000","15,079,000,000","13,316,000,000","12,050,000,000","11,852,000,000","11,126,000,000","10,092,000,000","9,019,000,000","8,503,000,000","7,854,000,000","6,737,000,000","7,165,000,000",,,"6,388,081,395.349"
	ResearchAndDevelopment,"11,280,000,000","11,371,000,000","9,172,000,000","8,641,000,000","8,980,000,000","9,402,000,000","8,489,000,000","8,389,000,000","9,039,000,000","8,935,000,000","9,086,000,000","9,071,000,000","8,588,000,000","9,583,000,000","9,070,000,000","7,469,000,000","7,217,000,000","6,430,000,000","5,321,000,000","4,797,000,000","4,152,000,000","3,729,000,000","2,843,000,000","2,528,000,000","2,885,000,000","2,666,000,000","2,838,662,790.698"
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"948,000,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,"948,000,000",
	OtherOperatingExpenses,"975,000,000","531,000,000","2,568,000,000","715,000,000","1,448,000,000","1,395,000,000","980,000,000","215,000,000","417,000,000","824,000,000","1,121,000,000","842,000,000","893,000,000","1,980,000,000","680,000,000","1,142,000,000","867,000,000","1,445,000,000","757,000,000","377,000,000","319,000,000","-126,000,000","65,000,000",,"1,000,000",,
OperatingIncome,"11,731,000,000","9,769,000,000","7,946,000,000","10,056,000,000","10,152,000,000","9,086,000,000","8,403,000,000","8,702,000,000","8,268,000,000","8,977,000,000","11,089,000,000","10,983,000,000","11,507,000,000","10,780,000,000","11,526,000,000","9,982,000,000","8,964,000,000","6,781,000,000","7,642,000,000","6,507,000,000","6,117,000,000","5,635,000,000","5,092,000,000","4,325,000,000","4,884,000,000","4,610,000,000","5,029,069,767.442"
NetNonOperatingInterestIncomeExpense,"-578,000,000","-419,000,000","-574,000,000","-794,000,000","-812,000,000","-805,000,000","-746,000,000","-650,000,000","-684,000,000","-717,000,000","-757,000,000","-701,000,000","-713,000,000","-727,000,000","-628,000,000","-418,000,000","-32,000,000","130,000,000","53,000,000","65,000,000","87,000,000","48,000,000","157,000,000","75,000,000",,,
	InterestIncomeNonOperating,,"627,000,000","377,000,000","70,000,000","91,000,000","245,000,000","292,000,000","110,000,000","43,000,000","33,000,000","33,000,000","34,000,000","50,000,000","62,000,000","103,000,000","156,000,000","306,000,000","423,000,000","367,000,000","405,000,000","388,000,000","323,000,000","416,000,000","379,000,000",,,
	InterestExpenseNonOperating,"906,000,000","855,000,000","800,000,000","787,000,000","869,000,000","850,000,000","932,000,000","750,000,000","707,000,000","655,000,000","704,000,000","683,000,000","724,000,000","751,000,000","692,000,000","551,000,000","290,000,000","237,000,000","266,000,000","294,000,000","261,000,000","243,000,000","194,000,000","218,000,000",,,
	TotalOtherFinanceCost,"299,000,000","191,000,000","151,000,000","77,000,000","34,000,000","200,000,000","106,000,000","10,000,000","20,000,000","95,000,000","86,000,000","52,000,000","39,000,000","38,000,000","39,000,000","23,000,000","48,000,000","56,000,000","48,000,000","46,000,000","40,000,000","32,000,000","65,000,000","86,000,000",,,
OtherIncomeExpense,"-254,000,000","-227,000,000","-195,000,000","15,268,000,000","538,000,000","659,000,000","6,438,000,000","1,050,000,000","233,000,000","-126,000,000","1,940,000,000","525,000,000","442,000,000","502,000,000","804,000,000","358,000,000","567,000,000","576,000,000","299,000,000","295,000,000","206,000,000","51,000,000","449,000,000","292,000,000","400,000,000","368,000,000",
	GainOnSaleOfSecurity,,"-214,000,000","-184,000,000","-69,000,000","-135,000,000","-160,000,000","-64,000,000","-58,000,000","-477,000,000","-260,000,000","22,000,000","-60,000,000","-107,000,000","-23,000,000","4,000,000","85,000,000","295,000,000","250,000,000","60,000,000","151,000,000","204,000,000","396,000,000","456,000,000","209,000,000",,,
