name,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
TotalAssets,"3,318,417,000","3,353,729,000","3,670,681,000","3,429,273,000","3,513,905,000","3,441,036,000","3,760,612,000","3,911,348,000","2,948,791,000","2,641,967,000","1,795,663,000","1,739,799,000","1,758,276,000","1,056,918,000","791,412,000","801,381,000","1,049,156,000","1,063,416,000","1,038,645,000","996,600,000","326,622,000","142,056,000","174,039,000","151,292,000"
	CurrentAssets,"375,043,000","391,743,000","293,267,000","269,835,000","365,654,000","300,938,000","303,477,000","334,434,000","249,013,000","201,707,000","177,185,000","164,173,000","147,035,000","107,582,000","112,150,000","103,563,000","85,375,000","83,768,000","86,011,000","74,936,000","30,754,000",,,
		CashCashEquivalentsAndShortTermInvestments,"46,469,000","58,489,000","27,185,000","32,302,000","94,760,000","27,530,000","32,548,000","41,855,000","27,230,000","21,318,000","28,331,000","15,670,000","19,015,000","13,334,000","41,097,000","35,181,000","6,078,000","13,758,000","8,200,000","5,334,000","3,393,000","3,530,000","7,884,000",
			CashAndCashEquivalents,"46,469,000","58,489,000","27,185,000","32,302,000","94,760,000","27,530,000","32,548,000","41,855,000","27,230,000","21,318,000","28,331,000","15,670,000","19,015,000","13,334,000","41,097,000","35,181,000","6,078,000","13,758,000","8,200,000","5,334,000","3,393,000","3,530,000","7,884,000",
				CashFinancial,,,,,,,,,,,,,,,,,,,,,"3,393,000",,,
		Receivables,"176,775,000","167,016,000","139,330,000","114,671,000","150,517,000","148,787,000","140,881,000","136,742,000","95,247,000","87,858,000","65,050,000","73,053,000","60,228,000","44,393,000","30,621,000","36,025,000","44,219,000","35,167,000","40,042,000","35,918,000","15,732,000",,,
			AccountsReceivable,"185,027,000","183,372,000","158,998,000","114,671,000","149,957,000","148,082,000","140,098,000","135,329,000","93,986,000","85,505,000","63,690,000","72,438,000","50,860,000","44,393,000","30,621,000","36,025,000","44,219,000","35,167,000","40,042,000","35,083,000","15,732,000",,,
				GrossAccountsReceivable,,,"159,050,000","131,128,000","170,151,000","161,047,000","152,832,000","148,339,000","105,592,000","95,411,000","73,632,000","79,746,000","55,721,000",,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-19,720,000","-16,457,000","-20,194,000","-12,965,000","-12,734,000","-13,010,000","-11,606,000","-9,906,000","-9,942,000","-7,308,000","-4,861,000",,,,,,,,,,,
			LoansReceivable,"5,938,000","3,800,000","0",,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"2,187,000","49,000","52,000","40,000","560,000","705,000","783,000","1,413,000","1,261,000","2,353,000","1,360,000","615,000","9,368,000",,,,,,,"835,000","341,000",,,
			ReceivablesAdjustmentsAllowances,"-16,377,000","-20,205,000","-19,720,000",,,,,,,,,,,,,,,,,,,,,
		Inventory,"138,717,000","162,121,000","120,342,000","114,959,000","116,026,000","119,880,000","118,547,000","115,609,000","91,263,000","74,000,000","65,586,000","60,201,000","51,113,000","39,751,000","27,676,000","25,939,000","29,696,000","30,173,000","33,841,000","24,833,000","9,748,000",,,
			RawMaterials,"19,210,000","20,634,000","16,984,000","8,463,000","9,803,000","17,082,000","13,112,000","9,984,000","7,563,000","7,588,000","3,099,000","1,875,000","1,189,000","1,287,000","1,818,000","1,955,000","2,463,000","2,842,000","3,278,000","3,587,000",,,,
			WorkInProcess,"636,000","220,000","338,000","326,000","355,000","161,000","157,000","369,000","0",,,,,,,,,,,,,,,
			FinishedGoods,"118,871,000","141,267,000","103,020,000","106,170,000","105,868,000","102,637,000","105,278,000","105,256,000","83,700,000","66,412,000","62,487,000","58,326,000","49,924,000","38,464,000","25,858,000","23,984,000","27,233,000","27,331,000","30,563,000","21,246,000",,,,
		PrepaidAssets,,,"6,410,000","7,903,000","4,351,000","4,741,000","11,501,000","40,228,000","25,165,000","10,434,000","11,674,000","8,900,000","11,396,000","4,812,000","4,917,000","1,358,000","2,316,000","1,935,000","701,000","3,152,000","234,000",,,
		CurrentDeferredAssets,,,,,,,"26,000","0","10,108,000","8,097,000","6,544,000","6,349,000","5,283,000","5,292,000","6,353,000","4,022,000","3,066,000","2,735,000","3,227,000","5,699,000","1,647,000",,,
			CurrentDeferredTaxesAssets,,,,,,,"26,000","0","10,108,000","8,097,000","6,544,000","6,349,000","5,283,000","5,292,000","6,353,000","4,022,000","3,066,000","2,735,000","3,227,000","5,699,000","1,647,000",,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,"0","1,486,000",,,,,,,,,
		OtherCurrentAssets,"13,082,000","4,117,000","6,410,000","7,903,000","4,351,000","4,741,000","11,501,000","40,228,000","25,165,000","10,434,000","11,674,000","8,900,000","11,396,000","4,812,000",,"1,038,000",,,,,,,,
	TotalNonCurrentAssets,"2,943,374,000","2,961,986,000","3,377,414,000","3,159,438,000","3,148,251,000","3,140,098,000","3,457,135,000","3,576,914,000","2,699,778,000","2,440,260,000","1,618,478,000","1,575,626,000","1,611,241,000","949,336,000","679,262,000","697,818,000","963,781,000","979,648,000","952,634,000","921,664,000","295,868,000",,,
		NetPPE,"89,333,000","89,535,000","98,530,000","102,767,000","90,718,000","51,176,000","52,552,000","50,595,000","15,540,000","13,744,000","9,597,000","9,896,000","1,304,000","1,444,000","1,396,000","1,367,000","1,433,000","1,449,000","1,653,000","2,324,000","880,000",,,
			GrossPPE,"161,693,000","156,530,000","159,245,000","157,122,000","136,458,000","89,988,000","82,739,000","70,819,000","30,361,000","25,700,000","17,442,000","14,362,000","4,824,000","4,218,000","3,847,000","3,173,000","2,692,000","2,665,000","5,352,000","4,287,000","880,000",,,
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,
				LandAndImprovements,"550,000","550,000","550,000","550,000","550,000","550,000","550,000","550,000","0",,,,,,,,,,,,,,,
				BuildingsAndImprovements,"31,009,000","30,447,000","29,046,000","27,180,000","16,508,000","13,960,000","13,746,000","13,156,000","0",,,,,,,,"344,000","372,000","340,000","173,000",,,,
				MachineryFurnitureEquipment,"104,340,000","80,281,000","76,873,000","73,076,000","67,937,000","62,677,000","59,639,000","49,616,000","22,972,000","18,566,000","12,708,000","9,649,000","4,388,000","3,795,000","3,429,000","2,816,000","2,348,000","2,293,000","5,012,000","4,114,000",,,,
				OtherProperties,"12,826,000","19,123,000","27,230,000","32,708,000","34,730,000",,,,,,,,,,,,,,,,,,,
				ConstructionInProgress,"2,413,000","17,089,000","16,466,000","14,537,000","7,769,000","3,711,000",,,,,,,,,,,,,,,,,,
				Leases,"10,555,000","9,040,000","9,080,000","9,071,000","8,964,000","9,090,000","8,804,000","7,497,000","7,389,000","7,134,000","4,734,000","4,713,000","436,000","423,000","418,000","357,000",,,,,,,,
			AccumulatedDepreciation,"-72,360,000","-66,995,000","-60,715,000","-54,355,000","-45,740,000","-38,812,000","-30,187,000","-20,224,000","-14,821,000","-11,956,000","-7,845,000","-4,466,000","-3,520,000","-2,774,000","-2,451,000","-1,806,000","-1,259,000","-1,216,000","-3,699,000","-1,963,000",,,,
		GoodwillAndOtherIntangibleAssets,"2,848,316,000","2,869,446,000","3,275,611,000","3,053,808,000","3,054,570,000","3,085,793,000","3,401,014,000","3,518,865,000","2,682,914,000","2,425,351,000","1,585,728,000","1,540,786,000","1,574,224,000","941,257,000","665,848,000","683,377,000","955,598,000","968,104,000","935,132,000","903,344,000","55,594,000",,,
