name,ttm,03/31/2024,03/31/2023,03/31/2022,03/31/2021,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004,03/31/2003,03/31/2002,03/31/2001
TotalRevenue,"1,113,190,000","1,125,357,000","1,127,725,000","1,086,812,000","943,365,000","963,010,000","975,777,000","1,041,179,000","882,060,000","806,247,000","714,623,000","597,381,000","620,118,000","441,085,000","336,510,000","292,602,000","303,147,000","326,603,000","318,634,000","296,668,000","289,069,000","87,920,000","71,734,000","46,253,000","8,655,000"
	OperatingRevenue,"1,112,582,000","1,125,046,000","1,127,618,000","1,086,770,000","943,324,000","962,936,000","975,692,000","1,040,792,000","881,113,000","803,088,000","710,070,000","592,454,000","616,915,000","437,838,000","333,715,000","287,552,000","303,147,000","326,603,000","318,634,000","296,668,000","289,069,000","87,920,000","71,734,000","46,253,000","8,655,000"
CostOfRevenue,"497,393,000","500,909,000","502,431,000","466,166,000","395,893,000","410,787,000","420,201,000","464,674,000","381,774,000","339,036,000","308,400,000","261,830,000","276,381,000","213,701,000","165,632,000","139,158,000","144,196,000","158,096,000","153,147,000","139,430,000","139,009,000","36,277,000","27,017,000","18,735,000","3,075,000"
GrossProfit,"615,797,000","624,448,000","625,294,000","620,646,000","547,472,000","552,223,000","555,576,000","576,505,000","500,286,000","467,211,000","406,223,000","335,551,000","343,737,000","227,384,000","170,878,000","153,444,000","158,951,000","168,507,000","165,487,000","157,238,000","150,060,000","51,643,000","44,717,000","27,518,000","5,580,000"
OperatingExpense,"286,516,000","282,019,000","277,492,000","289,670,000","247,636,000","261,068,000","489,357,000","261,107,000","242,823,000","206,896,000","198,664,000","146,935,000","151,853,000","124,561,000","94,733,000","75,119,000","79,088,000","77,093,000","70,805,000","73,334,000","59,695,000","34,840,000","17,349,000","12,568,000","709,000"
	SellingGeneralAndAdministration,"263,824,000","259,467,000","252,415,000","264,802,000","223,695,000","236,306,000","462,310,000","232,679,000","217,472,000","183,220,000","180,924,000","133,449,000","138,618,000","113,827,000","84,857,000","65,118,000","69,665,000","66,079,000","60,421,000","53,240,000","49,895,000","28,007,000","12,075,000","8,576,000","709,000"
		GeneralAndAdministrativeExpense,"107,375,000","106,152,000","107,354,000","107,459,000","83,106,000","89,112,000","319,220,000","85,393,000","89,113,000","72,418,000","81,273,000","48,481,000","51,467,000","56,700,000","41,960,000","34,195,000","31,888,000","31,414,000","28,416,000","21,158,000","20,198,000","13,717,000",,,"560,000"
			OtherGandA,"107,375,000","106,152,000","107,354,000","107,459,000","83,106,000","89,112,000","319,220,000","85,393,000","89,113,000","72,418,000","81,273,000","48,481,000","51,467,000","56,700,000","41,960,000","34,195,000","31,888,000","31,414,000","28,416,000","21,158,000","20,198,000","13,717,000",,,"560,000"
		SellingAndMarketingExpense,"156,449,000","153,315,000","145,061,000","157,343,000","140,589,000","147,194,000","143,090,000","147,286,000","128,359,000","110,802,000","99,651,000","84,968,000","87,151,000","57,127,000","42,897,000","30,923,000","37,777,000","34,665,000","32,005,000","32,082,000","29,697,000","14,290,000",,,"149,000"
	DepreciationAmortizationDepletionIncomeStatement,"22,692,000","22,552,000","25,077,000","24,868,000","23,941,000","24,762,000","27,047,000","28,428,000","25,351,000","23,676,000","17,740,000","13,486,000","13,235,000","10,734,000","9,876,000","10,001,000","9,423,000","11,014,000","10,384,000","10,777,000","9,800,000","5,429,000","5,274,000","3,992,000",
		DepreciationAndAmortizationInIncomeStatement,"22,692,000","22,552,000","25,077,000","24,868,000","23,941,000","24,762,000","27,047,000","28,428,000","25,351,000","23,676,000","17,740,000","13,486,000","13,235,000","10,734,000","9,876,000","10,001,000","9,423,000","11,014,000","10,384,000","10,777,000","9,800,000","5,429,000","5,274,000","3,992,000",
			DepreciationIncomeStatement,,,,,,,,,,,,,,,,,,,"744,000","1,736,000","1,899,000","288,000",,,
			Amortization,,,,,,,,,,,,,,,,,,,"9,640,000","9,041,000","7,901,000","5,141,000",,,
				AmortizationOfIntangiblesIncomeStatement,,,,,,,,,,,,,,,,,,,"9,640,000","9,041,000","7,901,000","5,141,000",,,
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,"9,317,000",,"1,404,000",,,
OperatingIncome,"329,281,000","342,429,000","347,802,000","330,976,000","299,836,000","291,155,000","66,219,000","315,398,000","257,463,000","260,315,000","207,559,000","188,616,000","191,884,000","102,823,000","76,145,000","78,325,000","79,863,000","91,414,000","94,682,000","83,904,000","90,365,000","16,803,000","27,368,000","14,950,000","4,871,000"
NetNonOperatingInterestIncomeExpense,"-62,578,000","-67,160,000","-69,164,000","-64,287,000","-82,328,000","-96,224,000","-105,082,000","-105,879,000","-93,343,000","-85,160,000","-81,234,000","-68,582,000","-84,407,000","-41,320,000","-27,317,000","-22,935,000","-28,436,000",,,,,,,,
	InterestIncomeNonOperating,"365,000",,,,,"342,000","217,000","388,000","203,000","162,000","92,000","60,000","13,000","18,000","1,000","1,000","143,000",,,,,,,,
	InterestExpenseNonOperating,"62,578,000","67,160,000","69,164,000","64,287,000","82,328,000","96,224,000","105,082,000","106,267,000","93,546,000","85,322,000","81,326,000","68,642,000","84,420,000","41,338,000","27,318,000","22,936,000","28,579,000",,,,,,,,
OtherIncomeExpense,"-978,000","756,000","-372,553,000","-4,231,000","-13,395,000","-3,780,000","808,000","-102,433,000","-53,270,000","-17,970,000","1,133,000","-18,286,000","-1,443,000","-346,000","-300,000","-2,656,000","-249,285,000","187,000",,"-9,317,000","-26,863,000",,,,
	GainOnSaleOfSecurity,,,,,,,,,,,,,,"5,063,000",,,,,,,,,,,
	SpecialIncomeCharges,,"0","-370,217,000","-3,179,000","-14,761,000","-2,155,000","1,284,000","-102,825,000","-53,240,000","-17,970,000","1,133,000","-18,286,000","-1,443,000","-5,409,000","-300,000","-2,656,000","-249,285,000","187,000",,"-9,317,000","-26,863,000","0",,,
		ImpairmentOfCapitalAssets,,"0","370,217,000","1,057,000","2,434,000","0","229,461,000","99,924,000","0",,,,,,"0","2,751,000","249,285,000",,,,,,,,
		OtherSpecialCharges,,,,"2,122,000","12,327,000","2,155,000",,"2,901,000","1,420,000","17,970,000",,"18,286,000","1,443,000","5,409,000","300,000","2,656,000",,,,,,,,,
		GainOnSaleOfBusiness,,,,,"0","0","1,284,000","0","-51,820,000","0","0",,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,"0","0","1,133,000","0","0",,,,,,,,,"0",,,
	OtherNonOperatingIncomeExpenses,"-978,000","756,000","-2,336,000","-1,052,000","1,366,000","-1,625,000","-476,000","392,000","-30,000",,,,,,,,,,,,,,,,
PretaxIncome,"265,725,000","276,025,000","-93,915,000","262,458,000","204,113,000","191,151,000","-38,055,000","107,086,000","110,850,000","157,185,000","127,458,000","101,748,000","106,034,000","61,157,000","48,528,000","52,734,000","-197,858,000","54,208,000","55,176,000","47,558,000","18,776,000","6,921,000","5,820,000","979,000","2,391,000"
TaxProvision,"60,594,000","66,686,000","-11,609,000","57,077,000","39,431,000","48,870,000","-2,255,000","-232,484,000","41,455,000","57,278,000","49,198,000","29,133,000","40,529,000","23,945,000","19,349,000","20,664,000","-9,905,000","20,289,000","19,098,000","21,281,000","8,556,000","2,738,000",,,
NetIncomeCommonStockholders,"205,131,000","209,339,000","-82,306,000","205,381,000","164,682,000","142,281,000","-35,800,000","339,570,000","69,395,000","99,907,000","78,260,000","72,615,000","65,505,000","37,212,000","29,220,000","32,115,000","-186,776,000","33,919,000","36,078,000","26,277,000","-15,175,000","400,000","-14,897,070","546,100","0"
	NetIncome,"205,131,000","209,339,000","-82,306,000","205,381,000","164,682,000","142,281,000","-35,800,000","339,570,000","69,395,000","99,907,000","78,260,000","72,615,000","65,505,000","37,212,000","29,220,000","32,115,000","-186,776,000","33,919,000","36,078,000","26,277,000","10,220,000","4,183,000","-14,896,000","545,000","2,528,000"
		NetIncomeIncludingNoncontrollingInterests,"205,131,000","209,339,000","-82,306,000","205,381,000","164,682,000","142,281,000","-35,800,000","339,570,000","69,395,000","99,907,000","78,260,000","72,615,000","65,505,000","37,212,000","29,220,000","32,115,000","-186,776,000","33,919,000","36,078,000","26,277,000","10,220,000","4,183,000","-14,896,000","545,000","2,528,000"
			NetIncomeContinuousOperations,"205,131,000","209,339,000","-82,306,000","205,381,000","164,682,000","142,281,000","-35,800,000","339,570,000","69,395,000","99,907,000","78,260,000","72,615,000","65,505,000","37,212,000","29,179,000","32,070,000","-187,953,000","33,919,000","36,078,000","26,277,000","10,220,000","4,183,000","2,533,000","611,000","2,468,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,"0","0","41,000","45,000","1,177,000",,,,,"0","-5,644,000","-66,000","60,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,"0",,,"0"
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,"25,395,000","1,390,000","1,070","-1,100",
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,,,,,,,,,"2,393,000",,,"2,528,000"
DilutedNIAvailtoComStockholders,"205,131,000","209,339,000","-82,306,000","205,381,000","164,682,000","142,281,000","-35,800,000","339,570,000","69,395,000","99,907,000","78,260,000","72,615,000","65,505,000","37,212,000","29,220,000","32,115,000","-186,776,000","33,919,000","36,078,000","26,277,000","-15,175,000","400,000","-14,897,070","546,100","0"
BasicEPS,"4.12","4.21","-1.65","4.09","3.28","2.81","-0.69","6.4","1.31","1.89","1.5","1.41","1.29","0.74","0.58","0.64","-3.74","0.68","0.73","0.54","-0.55","0.02","0.54","-0.55","0"
DilutedEPS,"4.09","4.17","-1.65","4.04","3.25","2.78","-0.69","6.34","1.3","1.88","1.49","1.39","1.27","0.73","0.58","0.64","-3.74","0.68","0.72","0.53","-0.55","0.02","0.53","-0.55","0"
BasicAverageShares,"49,786,750","49,757,000","49,889,000","50,259,000","50,210,000","50,723,000","52,068,000","53,099,000","52,976,000","52,754,000","52,170,000","51,641,000","50,633,000","50,270,000","50,081,000","50,013,000","49,935,000","49,751,000","49,460,000","48,908,000","27,546,000","26,571,155","48,908,000","27,546,000","24,617,000"
