name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"226,501,000,000","197,205,000,000","181,476,000,000","154,229,000,000","167,594,000,000","159,422,000,000","171,797,000,000","171,615,000,000","167,381,000,000","167,566,000,000","172,101,000,000","185,798,000,000","188,002,000,000","195,014,000,000","212,949,000,000","111,148,000,000","115,268,000,000","115,546,000,000","116,970,000,000","123,078,000,000","116,775,000,000","46,356,000,000","39,153,000,000","33,510,000,000","31,372,000,000","18,302,000,000","14,991,000,000","14,667,000,000","12,729,300,000","11,098,500,000","9,330,900,000","9,590,100,000","9,634,600,000","9,052,000,000","8,324,800,000","7,637,600,000","6,922,600,000","5,163,700,000","4,462,900,000"
	CurrentAssets,"43,333,000,000","51,259,000,000","59,693,000,000","35,067,000,000","32,803,000,000","49,926,000,000","41,141,000,000","38,949,000,000","43,804,000,000","55,595,000,000","56,244,000,000","64,831,000,000","60,817,000,000","60,468,000,000","61,670,000,000","43,076,000,000","46,849,000,000","47,658,000,000","46,835,000,000","39,088,000,000","30,677,000,000","24,781,000,000","19,212,000,000","17,187,000,000","16,311,000,000","9,931,000,000","7,442,000,000","6,468,000,000","6,152,400,000","5,788,400,000","4,733,200,000","5,384,800,000","4,808,200,000","4,435,900,000","4,504,800,000","4,094,800,000","4,100,700,000","2,339,900,000","2,158,000,000"
		CashCashEquivalentsAndShortTermInvestments,"12,690,000,000","22,732,000,000","31,069,000,000","12,223,000,000","9,646,000,000","18,833,000,000","19,992,000,000","17,850,000,000","23,290,000,000","36,122,000,000","32,408,000,000","32,399,000,000","26,452,000,000","28,012,000,000","25,969,000,000","23,731,000,000","25,475,000,000","27,713,000,000","22,226,000,000","19,893,000,000","11,952,000,000","12,551,000,000","8,615,000,000","6,863,000,000","6,386,000,000","1,552,000,000","877,000,000","1,150,000,000","403,300,000","1,458,500,000","729,400,000","1,257,100,000","1,317,600,000","870,300,000","825,400,000","807,500,000","1,031,100,000","398,600,000","412,600,000"
			CashAndCashEquivalents,"2,853,000,000","416,000,000","1,944,000,000","1,786,000,000","1,121,000,000","1,139,000,000","1,342,000,000","2,595,000,000","3,641,000,000","3,343,000,000","2,183,000,000","10,081,000,000","3,182,000,000","1,735,000,000","1,978,000,000","2,122,000,000","3,406,000,000","1,827,000,000","2,247,000,000","1,808,000,000","1,520,000,000","1,878,000,000","1,036,000,000","1,099,000,000","2,358,000,000","1,552,000,000","877,000,000","1,150,000,000","403,300,000","1,458,500,000","729,400,000","1,257,100,000","1,317,600,000","870,300,000","825,400,000","807,500,000","1,031,100,000","398,600,000","412,600,000"
			OtherShortTermInvestments,"9,837,000,000","22,316,000,000","29,125,000,000","10,437,000,000","8,525,000,000","17,694,000,000","18,650,000,000","15,255,000,000","19,649,000,000","32,779,000,000","30,225,000,000","22,318,000,000","23,270,000,000","26,277,000,000","23,991,000,000","21,609,000,000","22,069,000,000","25,886,000,000","19,979,000,000","18,085,000,000","10,432,000,000","10,673,000,000","7,579,000,000","5,764,000,000","4,028,000,000",,,,,,,,,,,,,,
		Receivables,"15,155,000,000","14,529,000,000","15,745,000,000","11,177,000,000","9,508,000,000","11,399,000,000","11,271,000,000","11,266,000,000","10,838,000,000","10,967,000,000","9,357,000,000","10,675,000,000","22,438,000,000","15,079,000,000","15,840,000,000","9,782,000,000","10,460,000,000","9,906,000,000","9,613,000,000","10,020,000,000","9,027,000,000","6,184,000,000","5,067,000,000","5,489,000,000","5,368,000,000","2,914,000,000","2,220,000,000","2,252,000,000","2,024,000,000","1,665,000,000","1,468,700,000","1,400,300,000","1,403,900,000","1,377,200,000","2,064,900,000","1,167,200,000","1,184,400,000","960,900,000","813,100,000"
			AccountsReceivable,"11,177,000,000","10,952,000,000","11,479,000,000","7,913,000,000","6,772,000,000","8,025,000,000","8,221,000,000","8,225,000,000","8,176,000,000","8,401,000,000","9,357,000,000","10,675,000,000","13,058,000,000","14,612,000,000","14,645,000,000","8,958,000,000","9,843,000,000","9,392,000,000","9,103,000,000","9,367,000,000","8,636,000,000","5,785,000,000","4,798,000,000","5,489,000,000","5,368,000,000",,,,,,,,,,,,,,
				GrossAccountsReceivable,"11,647,000,000","11,401,000,000","11,971,000,000","8,421,000,000","7,265,000,000","8,566,000,000","8,805,000,000","8,834,000,000","8,560,000,000","8,813,000,000","9,835,000,000","10,999,000,000","13,284,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-470,000,000","-449,000,000","-492,000,000","-508,000,000","-493,000,000","-541,000,000","-584,000,000","-609,000,000","-384,000,000","-412,000,000","-478,000,000","-324,000,000","-226,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,"51,000,000","467,000,000","1,195,000,000","824,000,000","617,000,000","514,000,000","510,000,000","653,000,000","391,000,000","399,000,000","269,000,000",,,,,,,,,,,,,,,,
