name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
TotalRevenue,"13,489,100,000","13,117,200,000","12,172,900,000","16,071,700,000","8,497,100,000","6,557,600,000","5,145,600,000","5,872,200,000","4,860,400,000","4,103,728,000","2,819,557,000","2,104,745,000","1,378,477,000","445,824,000","459,074,000","379,268,000","238,457,000","125,024,000","63,447,000","66,193,000","174,017,000","57,497,000","21,988,000","21,973,000","59,276,000","34,500,000","38,300,000","26,900,000","24,100,000","27,400,000","23,200,000","10,600,000","11,500,000","7,300,000","5,000,000"
	OperatingRevenue,"12,916,900,000","12,581,100,000","11,807,800,000","15,790,500,000","7,940,100,000","6,383,600,000","5,016,600,000","5,533,800,000","4,741,400,000","4,028,839,000","2,787,616,000","2,076,239,000","1,378,477,000","445,824,000","459,074,000","379,268,000","238,457,000","125,024,000","63,447,000","66,193,000","174,017,000","57,497,000","21,988,000","21,973,000","59,276,000","34,500,000","38,300,000","26,900,000","24,100,000","27,400,000","23,200,000","10,600,000","11,500,000","7,300,000","5,000,000"
CostOfRevenue,"1,867,400,000","1,815,800,000","1,560,400,000","2,437,500,000","1,119,900,000","765,100,000","417,500,000","397,100,000","299,700,000","392,709,000","205,018,000","155,355,000","84,455,000","4,216,000","2,093,000","1,686,000","923,000","0","8,146,000","9,557,000","15,214,000","6,676,000","6,483,000","6,509,000","15,566,000","3,600,000","5,000,000","2,600,000","1,100,000",,,,,"12,800,000","6,300,000"
GrossProfit,"11,621,700,000","11,301,400,000","10,612,500,000","13,634,200,000","7,377,200,000","5,792,500,000","4,728,100,000","5,475,100,000","4,560,700,000","3,711,019,000","2,614,539,000","1,949,390,000","1,294,022,000","441,608,000","456,981,000","377,582,000","237,534,000","125,024,000","55,301,000","56,636,000","158,803,000","50,821,000","15,505,000","15,464,000","43,710,000","30,900,000","33,300,000","24,300,000","23,000,000",,,,,"-5,500,000","-1,300,000"
OperatingExpense,"7,555,800,000","7,068,200,000","5,618,500,000","4,639,400,000","3,800,600,000","3,582,700,000","2,193,700,000","3,395,500,000","3,230,000,000","2,459,103,000","1,790,620,000","1,206,340,000","836,309,000","646,767,000","554,453,000","451,685,000","323,783,000","239,478,000","162,956,000","-67,785,000","153,157,000","150,809,000","137,458,000","101,147,000","68,986,000","54,700,000","45,800,000","38,000,000","40,300,000","35,000,000","52,400,000","49,400,000","29,800,000","4,100,000","2,000,000"
	SellingGeneralAndAdministration,"2,826,000,000","2,631,300,000","2,115,900,000","1,824,900,000","1,346,000,000","1,341,900,000","1,127,200,000","1,320,400,000","1,177,700,000","838,526,000","519,267,000","346,393,000","210,755,000","117,261,000","65,201,000","52,923,000","48,880,000","37,865,000","25,892,000","25,476,000","17,062,000","14,785,000","12,532,000","9,607,000","8,309,000","6,400,000","5,800,000","5,800,000","5,900,000","5,800,000","8,500,000","46,300,000","27,800,000","3,300,000","1,700,000"
	ResearchAndDevelopment,"4,700,900,000","4,439,000,000","3,592,500,000","2,860,100,000","2,735,000,000","2,450,000,000","1,468,800,000","2,075,100,000","2,052,300,000","1,620,577,000","1,271,353,000","859,947,000","625,554,000","529,506,000","489,252,000","398,762,000","274,903,000","201,613,000","137,064,000","155,581,000","136,095,000","136,024,000","124,926,000","91,540,000","56,256,000","44,900,000","37,000,000","27,800,000","28,300,000","23,300,000","39,700,000",,,,
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"4,421,000","3,400,000","3,000,000","4,400,000","6,100,000","5,900,000","4,200,000","3,100,000","2,000,000","800,000","300,000"
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,"4,421,000","3,400,000","3,000,000","4,400,000","6,100,000","5,900,000","4,200,000","3,100,000","2,000,000","800,000","300,000"
	OtherOperatingExpenses,"28,900,000","-2,100,000","-89,900,000","-45,600,000","-280,400,000","-209,200,000","-402,300,000",,,,,,,,,,,,,"-248,842,000",,,,,,,,,,,,,,,
