name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,03/31/1987,03/31/1986
TotalAssets,"43,479,000,000","44,011,000,000","47,666,000,000","50,640,000,000","57,470,000,000","60,683,000,000","70,615,000,000","93,057,000,000","54,233,000,000","46,420,000,000","47,508,000,000","50,609,000,000","50,142,000,000","38,152,000,000","33,210,000,000","32,904,000,000","23,412,000,000","20,471,000,000","10,387,000,000","9,632,000,000","5,915,900,000","4,626,800,000","3,460,152,000","2,855,618,000","1,755,279,000","1,435,998,000","1,188,400,000","1,241,400,000","1,039,400,000","676,000,000","563,000,000","445,000,000","376,700,000","343,800,000","286,700,000","248,100,000","142,800,000","139,100,000"
	CurrentAssets,"12,485,000,000","12,051,000,000","12,573,000,000","13,005,000,000","13,464,000,000","13,794,000,000","15,382,000,000","17,228,000,000","18,398,000,000","14,396,000,000","13,720,000,000","16,355,000,000","14,453,000,000","12,042,000,000","12,041,000,000","11,426,000,000","9,859,000,000","7,640,000,000","5,505,000,000","4,202,000,000","3,716,400,000","2,901,400,000","2,177,884,000","1,608,846,000","918,031,000","776,200,000","668,800,000","725,900,000","547,000,000","399,600,000","334,300,000","263,000,000","227,200,000","200,700,000","158,000,000","128,400,000","86,500,000","86,000,000"
		CashCashEquivalentsAndShortTermInvestments,"3,226,000,000","2,801,000,000","2,165,000,000","2,177,000,000","1,975,000,000","1,782,000,000","963,000,000","988,000,000","6,946,000,000","2,226,000,000","1,038,000,000","2,879,000,000","1,096,000,000","1,284,000,000","2,248,000,000","1,907,000,000","2,875,000,000","2,044,000,000","2,212,000,000","1,041,000,000","1,379,400,000","1,045,600,000","790,145,000","424,535,000","94,403,000","49,200,000","58,600,000","69,200,000","75,200,000","50,700,000","39,900,000","13,800,000","7,900,000","15,400,000","4,600,000","13,100,000","15,900,000","22,400,000"
			CashAndCashEquivalents,"3,226,000,000","2,801,000,000","2,165,000,000","2,177,000,000","1,975,000,000","1,782,000,000","963,000,000","988,000,000","6,946,000,000","2,226,000,000","1,038,000,000","2,879,000,000","1,096,000,000","1,248,000,000","1,995,000,000","1,854,000,000","1,488,000,000","1,332,000,000","1,276,000,000","784,000,000","1,057,300,000","809,900,000","768,918,000","420,634,000","77,177,000","47,100,000","50,900,000","61,200,000","64,900,000","42,400,000","39,900,000","13,800,000","7,900,000","15,400,000","4,600,000","13,100,000","15,900,000","22,400,000"
				CashFinancial,"1,522,000,000","1,579,000,000","1,945,000,000","1,810,000,000","1,398,000,000","1,579,000,000","958,000,000","964,000,000","6,784,000,000","2,216,000,000","1,029,000,000","2,548,000,000","1,023,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"1,704,000,000","1,222,000,000","220,000,000","367,000,000","577,000,000","203,000,000","5,000,000","24,000,000","162,000,000","10,000,000","9,000,000","331,000,000","73,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,"36,000,000","253,000,000","53,000,000","1,387,000,000","712,000,000","936,000,000","257,000,000","322,100,000","235,700,000","21,227,000","3,901,000","17,226,000","2,100,000","7,700,000","8,000,000","10,300,000","8,300,000",,,,,,,,
		Receivables,"3,408,000,000","3,696,000,000","4,529,000,000","4,581,000,000","5,676,000,000","5,822,000,000","7,128,000,000","7,523,000,000","5,350,000,000","5,408,000,000","5,338,000,000","5,572,000,000","6,213,000,000","5,476,000,000","5,019,000,000","4,653,000,000","3,546,000,000","2,922,000,000","2,180,000,000","1,874,000,000","1,332,400,000","1,074,700,000","817,591,000","680,818,000","472,150,000","373,800,000","307,700,000","328,100,000","239,800,000","193,800,000","132,600,000","134,700,000","122,600,000","106,400,000","86,700,000","62,400,000","37,700,000","36,000,000"
			AccountsReceivable,"3,408,000,000","3,696,000,000","4,529,000,000","4,581,000,000","5,676,000,000","5,822,000,000","7,128,000,000","7,523,000,000","5,350,000,000","5,408,000,000","5,338,000,000","5,572,000,000","6,213,000,000","5,476,000,000","5,019,000,000","4,653,000,000","3,546,000,000","2,922,000,000","1,769,000,000","1,476,000,000","1,031,800,000","855,800,000","651,188,000","543,664,000","361,293,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"3,503,000,000","3,787,000,000","4,619,000,000","4,707,000,000","5,811,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-95,000,000","-91,000,000","-90,000,000","-126,000,000","-135,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,,,"411,000,000","398,000,000","300,600,000","218,900,000","166,403,000","137,154,000","110,857,000",,,,,,,,,,,,,
		Inventory,"4,021,000,000","3,833,000,000","3,818,000,000","4,403,000,000","4,422,000,000","4,731,000,000","4,924,000,000","4,954,000,000","3,966,000,000","4,371,000,000","5,053,000,000","5,502,000,000","5,012,000,000","3,866,000,000","3,332,000,000","3,396,000,000","2,440,000,000","1,879,000,000","1,114,000,000","1,286,000,000","1,004,600,000","781,100,000","570,148,000","503,493,000","351,478,000","353,200,000","302,500,000","328,600,000","232,100,000","155,100,000","146,100,000","110,500,000","88,400,000","78,900,000","66,600,000","52,900,000","32,900,000","27,200,000"
			RawMaterials,"1,176,000,000","1,291,000,000","1,299,000,000","1,420,000,000","1,334,000,000","1,476,000,000","1,638,000,000","1,584,000,000","1,381,000,000","1,465,000,000","1,771,000,000","1,880,000,000","1,729,000,000","1,339,000,000","1,152,000,000","933,000,000","663,000,000","477,000,000","410,000,000","459,000,000","395,200,000","270,900,000","170,093,000","151,406,000","104,459,000",,,,,,,,,,,,,
			WorkInProcess,"500,000,000","555,000,000","587,000,000","605,000,000","583,000,000","590,000,000","597,000,000","538,000,000","535,000,000","638,000,000","715,000,000","751,000,000","781,000,000","579,000,000","522,000,000","559,000,000","330,000,000","279,000,000","149,000,000","169,000,000","149,600,000","133,400,000","117,367,000","85,269,000","80,692,000",,,,,,,,,,,,,
			FinishedGoods,"2,346,000,000","1,987,000,000","1,932,000,000","2,378,000,000","2,504,000,000","2,665,000,000","2,689,000,000","2,832,000,000","2,050,000,000","2,268,000,000","2,567,000,000","2,871,000,000","2,502,000,000","1,948,000,000","1,658,000,000","1,904,000,000","1,417,000,000","1,097,000,000","518,000,000","620,000,000","445,600,000","370,400,000","272,840,000","255,563,000","161,409,000",,,,,,,,,,,,,
			OtherInventories,"-1,000,000",,,,"1,000,000",,,,,,,,,,,,"30,000,000","26,000,000","37,000,000","38,000,000","14,200,000","6,400,000",,"11,255,000","4,918,000",,,,,,,,,,,,,
			InventoriesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,,,,,,"9,848,000",,,,,,,,,,,,,,,
		PrepaidAssets,"1,255,000,000","1,162,000,000","1,075,000,000","945,000,000","870,000,000","899,000,000","1,100,000,000","1,629,000,000","910,000,000",,,,,,"1,542,000,000","1,470,000,000","998,000,000","795,000,000",,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,"0","735,000,000","993,000,000","1,084,000,000","1,142,000,000","966,000,000","1,416,000,000","1,442,000,000",,,,,,,,,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,"0","735,000,000","993,000,000","1,084,000,000","1,142,000,000","966,000,000","1,416,000,000","1,442,000,000",,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"70,000,000","10,000,000","19,000,000","189,000,000","87,000,000","92,000,000","566,000,000","841,000,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,"505,000,000","549,000,000","967,000,000","710,000,000","434,000,000","468,000,000","701,000,000","1,293,000,000","491,000,000","1,398,000,000","1,207,000,000","1,260,000,000","1,166,000,000",,,,,,"-1,000,000","1,000,000",,,,,,,,,"-100,000",,"15,700,000","4,000,000","8,300,000",,"100,000",,,"400,000"
	TotalNonCurrentAssets,"30,993,000,000","31,960,000,000","35,094,000,000","37,634,000,000","44,005,000,000","46,889,000,000","55,233,000,000","75,829,000,000","35,835,000,000","32,024,000,000","33,788,000,000","34,254,000,000","35,689,000,000","26,110,000,000","21,169,000,000","21,478,000,000","13,553,000,000","12,831,000,000","4,882,000,000","5,430,000,000","2,199,500,000","1,725,400,000","1,282,268,000","1,246,772,000","837,248,000","659,798,000","519,600,000","515,500,000","492,400,000","276,400,000","228,700,000","182,000,000","149,500,000","143,100,000","128,700,000","119,700,000","56,300,000","53,100,000"
		NetPPE,"6,147,000,000","6,158,000,000","6,477,000,000","6,854,000,000","6,950,000,000","6,868,000,000","7,673,000,000","8,073,000,000","6,544,000,000","6,535,000,000","6,635,000,000","6,315,000,000","5,947,000,000","4,357,000,000","3,766,000,000","3,699,000,000","2,515,000,000","2,193,000,000","1,361,000,000","1,278,000,000","827,400,000","675,400,000","554,137,000","534,140,000","478,536,000","455,000,000","417,300,000","413,700,000","378,000,000","192,500,000","143,600,000","123,200,000","103,200,000","99,900,000","87,200,000","78,200,000","32,100,000","35,100,000"
			GrossPPE,"11,784,000,000","11,676,000,000","11,718,000,000","11,946,000,000","11,864,000,000","11,796,000,000","12,178,000,000","11,926,000,000","10,073,000,000","9,880,000,000","9,740,000,000","9,138,000,000","8,376,000,000","6,621,000,000","5,691,000,000","5,243,000,000","3,912,000,000","3,303,000,000","2,239,000,000","2,043,000,000","1,436,300,000","1,208,300,000","1,034,302,000","968,500,000","856,493,000","754,700,000","642,400,000","647,900,000","556,600,000","304,200,000","238,600,000","968,800,000","174,200,000","167,300,000","141,100,000","123,300,000","64,000,000","66,300,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,
				LandAndImprovements,"246,000,000","246,000,000","262,000,000","292,000,000","323,000,000","351,000,000","390,000,000","439,000,000","394,000,000","372,000,000","446,000,000","475,000,000","453,000,000","372,000,000","366,000,000","293,000,000","161,000,000","165,000,000","84,000,000","75,000,000","72,500,000","55,700,000","50,338,000","42,686,000",,,,,,,,,,,,,,
				BuildingsAndImprovements,"2,488,000,000","2,463,000,000","2,568,000,000","2,720,000,000","2,839,000,000","3,133,000,000","3,329,000,000","3,331,000,000","2,591,000,000","2,653,000,000","2,635,000,000","2,521,000,000","2,429,000,000","1,935,000,000","1,507,000,000","1,568,000,000","1,063,000,000","920,000,000","580,000,000","509,000,000","327,500,000","282,300,000","272,519,000","251,767,000",,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"7,226,000,000","7,349,000,000","7,359,000,000","7,442,000,000","7,516,000,000","7,747,000,000","7,825,000,000","7,522,000,000","6,563,000,000","6,284,000,000","5,943,000,000","5,416,000,000","4,920,000,000","3,983,000,000","3,507,000,000","3,105,000,000","2,534,000,000","2,081,000,000","1,486,000,000","1,367,000,000","965,900,000","828,300,000","547,884,000","663,679,000",,,,,,,,,,,,,,
				OtherProperties,"397,000,000","419,000,000","495,000,000","559,000,000","514,000,000","514,000,000","634,000,000","634,000,000","525,000,000","571,000,000","716,000,000","726,000,000","574,000,000","331,000,000","311,000,000","277,000,000","154,000,000","137,000,000","89,000,000","92,000,000","70,400,000","42,000,000","163,561,000","10,368,000",,,,,,,,,,,,,,
				ConstructionInProgress,"1,427,000,000","1,199,000,000","1,034,000,000","933,000,000","672,000,000","565,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-5,637,000,000","-5,518,000,000","-5,241,000,000","-5,092,000,000","-4,914,000,000","-4,928,000,000","-4,505,000,000","-3,853,000,000","-3,529,000,000","-3,345,000,000","-3,105,000,000","-2,823,000,000","-2,429,000,000","-2,264,000,000","-1,925,000,000","-1,544,000,000","-1,397,000,000","-1,110,000,000","-878,000,000","-765,000,000","-608,900,000","-532,900,000","-480,165,000","-434,360,000","-377,957,000","-299,700,000","-225,100,000","-234,200,000","-178,600,000","-111,700,000","-95,000,000","-845,600,000","-71,000,000","-67,400,000","-53,900,000","-45,100,000","-31,900,000","-31,200,000"
		GoodwillAndOtherIntangibleAssets,"22,564,000,000","23,903,000,000","27,506,000,000","29,547,000,000","36,078,000,000","38,922,000,000","46,054,000,000","65,896,000,000","26,700,000,000","23,920,000,000","25,457,000,000","26,601,000,000","28,609,000,000","20,983,000,000","16,727,000,000","16,878,000,000","10,326,000,000","10,025,000,000","3,111,000,000","3,309,000,000","927,000,000","736,500,000","586,216,000","612,578,000","293,319,000","172,200,000","81,600,000","85,100,000","66,000,000","56,900,000","57,500,000","55,900,000","42,100,000","39,400,000","37,500,000","36,500,000","12,300,000",
			Goodwill,"17,177,000,000","17,633,000,000","20,040,000,000","20,624,000,000","24,846,000,000","24,917,000,000","28,414,000,000","44,409,000,000","19,025,000,000","18,408,000,000","18,981,000,000","18,856,000,000","18,293,000,000","15,232,000,000","12,674,000,000","12,297,000,000","8,407,000,000","8,038,000,000",,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"5,387,000,000","6,270,000,000","7,466,000,000","8,923,000,000","11,232,000,000","14,005,000,000","17,640,000,000","21,487,000,000","7,675,000,000","5,512,000,000","6,476,000,000","7,745,000,000","10,316,000,000","5,751,000,000","4,053,000,000","4,581,000,000","1,919,000,000","1,987,000,000","3,111,000,000","3,309,000,000","927,000,000","736,500,000","586,216,000","612,578,000","293,319,000","172,200,000","81,600,000","85,100,000","66,000,000","56,900,000","57,500,000","55,900,000","42,100,000","39,400,000","37,500,000","36,500,000","12,300,000",
		InvestmentsAndAdvances,,,,,,,,,,,,,"991,000,000","632,000,000","534,000,000","425,000,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"1,812,000,000","1,458,000,000","596,000,000","695,000,000","386,000,000","368,000,000","574,000,000","625,000,000","250,000,000",,,,"142,000,000","138,000,000","142,000,000","476,000,000",,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"1,812,000,000","1,458,000,000","596,000,000","695,000,000","386,000,000","368,000,000","574,000,000","625,000,000","250,000,000",,,,"142,000,000","138,000,000","142,000,000","476,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"470,000,000","441,000,000","515,000,000","538,000,000","591,000,000","731,000,000","932,000,000","1,235,000,000","2,341,000,000","1,569,000,000","1,696,000,000","1,338,000,000","1,133,000,000",,,,"712,000,000","613,000,000","410,000,000","843,000,000","445,100,000","313,500,000","141,915,000","100,054,000","65,393,000","32,598,000","20,700,000","16,700,000","48,400,000","27,000,000","27,600,000","2,900,000","4,200,000","3,800,000","4,000,000","5,000,000","11,900,000","18,000,000"
TotalLiabilitiesNetMinorityInterest,"35,353,000,000","35,413,000,000","36,422,000,000","39,579,000,000","42,407,000,000","44,889,000,000","51,870,000,000","58,064,000,000","24,306,000,000","23,065,000,000","24,872,000,000","27,742,000,000","27,799,000,000","16,150,000,000","13,951,000,000","16,544,000,000","9,652,000,000","9,294,000,000","4,337,000,000","4,232,000,000","2,619,800,000","2,792,500,000","2,077,311,000","1,702,635,000","1,008,036,000","776,398,000","575,600,000","706,200,000","552,200,000","333,600,000","295,100,000","221,900,000","193,700,000","208,200,000","167,300,000","149,000,000","85,000,000","89,200,000"
