name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991
OperatingCashFlow,"1,168,000,000","1,368,000,000","1,590,000,000","798,000,000","1,216,000,000","748,000,000","2,446,000,000","2,225,000,000","3,890,000,000","5,542,000,000","5,127,000,000","3,237,000,000","4,572,000,000","4,134,000,000","4,136,000,000","3,373,000,000","3,231,000,000","1,813,000,000","2,058,000,000","1,370,000,000","1,246,000,000","626,600,000","353,700,000","273,148,000","165,626,000","155,056,000","72,714,000","193,600,000","-6,800,000","106,300,000","45,200,000","36,400,000","26,400,000","9,100,000"
	CashFlowFromContinuingOperatingActivities,"1,168,000,000","1,368,000,000","1,590,000,000","798,000,000","1,216,000,000","748,000,000","2,446,000,000","2,225,000,000","3,890,000,000","5,542,000,000","5,127,000,000","3,237,000,000","4,572,000,000","4,134,000,000","4,136,000,000","3,373,000,000","3,231,000,000","1,813,000,000","2,058,000,000","1,370,000,000","1,246,000,000","626,600,000","353,700,000","273,148,000","165,626,000","155,056,000","72,714,000","193,600,000","-6,800,000","106,300,000","45,200,000","36,400,000","26,400,000","9,100,000"
		NetIncomeFromContinuingOperations,"-750,000,000","-615,000,000","-2,499,000,000","456,000,000","-4,099,000,000","-1,000,000,000","-2,472,000,000","-16,449,000,000","311,000,000","1,597,000,000","3,042,000,000","1,253,000,000","1,910,000,000","2,768,000,000","3,339,000,000","2,004,000,000","635,000,000","1,952,000,000","546,000,000","1,072,000,000","332,000,000","691,000,000","410,300,000","278,212,000","148,417,000","116,779,000","70,803,000","101,500,000","73,400,000","70,300,000","67,600,000","57,500,000","31,700,000","23,700,000"
		OperatingGainsLosses,"-16,000,000","-41,000,000","10,000,000","104,000,000","-213,000,000","-18,000,000","-19,000,000","-707,000,000","-764,000,000","-86,000,000","1,000,000","18,000,000","-3,000,000","-207,000,000","-55,000,000","23,000,000",,"16,000,000","1,304,000,000","-27,000,000","609,000,000","-73,600,000","19,300,000","23,878,000","39,744,000","18,066,000","2,848,000","-3,300,000","9,100,000","2,800,000","4,300,000","-3,400,000","-2,300,000","100,000"
			GainLossOnSaleOfBusiness,,,,,,"0","0","383,000,000","0","0",,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,"10,000,000","104,000,000","-213,000,000","-18,000,000","-19,000,000","-1,090,000,000","-764,000,000","-86,000,000","1,000,000","18,000,000","-3,000,000","-72,000,000","-55,000,000",,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,,,,,,,,,"603,000,000",,"0",,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-41,000,000","10,000,000","104,000,000",,,,,,"736,000,000",,,,"-135,000,000",,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"1,080,000,000","1,153,000,000","1,308,000,000","1,330,000,000","1,557,000,000","1,722,000,000","1,842,000,000","2,112,000,000","1,524,000,000","1,308,000,000","1,508,000,000","1,642,000,000","1,708,000,000","1,069,000,000","977,000,000","908,000,000","493,000,000","521,000,000","431,000,000","243,000,000","218,000,000","127,700,000","96,900,000","109,129,000","94,985,000","68,424,000","58,741,000","52,000,000","43,700,000","33,000,000","30,800,000","19,600,000","18,100,000","13,800,000"
			DepreciationAndAmortization,"1,080,000,000","1,153,000,000","1,308,000,000","1,330,000,000","1,557,000,000","1,722,000,000","1,842,000,000","2,112,000,000","1,524,000,000","1,308,000,000","1,508,000,000","1,642,000,000","1,708,000,000","1,069,000,000","977,000,000","908,000,000","493,000,000","521,000,000","431,000,000","243,000,000","218,000,000","127,700,000","96,900,000","109,129,000","94,985,000","68,424,000","58,741,000","52,000,000","43,700,000","33,000,000","30,800,000","19,600,000","18,100,000","13,800,000"
				Depreciation,,"537,000,000","576,000,000","528,000,000",,,,,,,,,,,,,"315,000,000",,,,,,"96,800,000","71,503,000",,,,,,,,,,
				AmortizationCashFlow,,"616,000,000","732,000,000","802,000,000",,,,,,,,,,,,,"178,000,000",,,,,,"100,000","37,626,000",,,,,,,,,,
					AmortizationOfIntangibles,,"616,000,000","732,000,000","802,000,000",,,,,,,,,,,,,"178,000,000",,,,,,"100,000","37,626,000",,,,,,,,,,
		DeferredTax,"-780,000,000","-317,000,000","-1,064,000,000","-120,000,000","-696,000,000","-985,000,000","-837,000,000","-2,331,000,000","15,000,000","237,000,000","-226,000,000","-1,380,000,000","-690,000,000","-500,000,000","-199,000,000","-140,000,000","27,000,000","111,000,000","-89,000,000","-7,000,000","27,000,000","-28,600,000","-31,700,000","-874,000","-3,296,000","4,339,000","1,266,000","20,800,000","-8,700,000","-4,400,000","-2,800,000","-2,100,000","4,200,000","2,100,000"
			DeferredIncomeTax,"-780,000,000","-317,000,000","-1,064,000,000","-120,000,000","-696,000,000","-985,000,000","-837,000,000","-2,331,000,000","15,000,000","237,000,000","-226,000,000","-1,380,000,000","-690,000,000","-500,000,000","-199,000,000","-140,000,000","27,000,000","111,000,000","-89,000,000","-7,000,000","27,000,000","-28,600,000","-31,700,000","-874,000","-3,296,000","4,339,000","1,266,000","20,800,000","-8,700,000","-4,400,000","-2,800,000","-2,100,000","4,200,000","2,100,000"
		AssetImpairmentCharge,"1,325,000,000","1,078,000,000","2,447,000,000","584,000,000","6,546,000,000","1,778,000,000","5,621,000,000","20,924,000,000","2,388,000,000","1,221,000,000","393,000,000","524,000,000","1,071,000,000","201,000,000","124,000,000","110,000,000","476,000,000",,,,,,,,,,,,,,,,,
		StockBasedCompensation,"119,000,000","121,000,000","124,000,000","119,000,000","129,000,000","119,000,000","155,000,000","133,000,000","124,000,000","117,000,000","95,000,000","64,000,000","82,000,000","91,000,000","80,000,000","54,000,000","63,000,000",,,,,,,,,,,,,,,,,
		OtherNonCashItems,"632,000,000","61,000,000","-91,000,000","26,000,000","180,000,000","28,000,000","-21,000,000","188,000,000","408,000,000","181,000,000","24,000,000","148,000,000","80,000,000","118,000,000","75,000,000","-8,000,000","1,461,000,000","67,000,000","84,000,000",,"30,000,000",,,,,,"100,000",,"100,000","-100,000","100,000","-100,000","100,000","1,300,000"
		ChangeInWorkingCapital,"-442,000,000","-72,000,000","1,355,000,000","-1,701,000,000","-2,188,000,000","-896,000,000","-1,823,000,000","-1,645,000,000","-116,000,000","967,000,000","290,000,000","968,000,000","414,000,000","594,000,000","-205,000,000","445,000,000","76,000,000","-854,000,000","-218,000,000","89,000,000","30,000,000","-89,900,000","-141,100,000","-137,197,000","-114,224,000","-52,552,000","-60,944,000","22,600,000","-124,400,000","4,700,000","-54,800,000","-35,100,000","-25,400,000","-31,900,000"
			ChangeInReceivables,,"12,000,000","334,000,000","-574,000,000","-293,000,000","-394,000,000","88,000,000","514,000,000","343,000,000","763,000,000","710,000,000","85,000,000","936,000,000","701,000,000","55,000,000","-318,000,000","-775,000,000","-316,000,000","-478,000,000","-437,000,000","-257,000,000","-165,400,000","-101,800,000","-147,485,000","-115,538,000","-82,024,000","-14,998,000","-13,500,000","-28,600,000","-23,800,000","-57,100,000","-23,200,000","-7,900,000","-24,500,000"
				ChangesInAccountReceivables,,"12,000,000","334,000,000","-574,000,000","-293,000,000","-394,000,000","88,000,000","514,000,000","343,000,000","763,000,000","710,000,000","85,000,000","936,000,000","701,000,000","55,000,000","-318,000,000","-775,000,000",,,,,,,,,,,,,,,,,
			ChangeInInventory,,"-147,000,000","-163,000,000","380,000,000","41,000,000","271,000,000","26,000,000","266,000,000","753,000,000","129,000,000","230,000,000","399,000,000","-449,000,000","-410,000,000","-16,000,000","163,000,000","-548,000,000","-421,000,000","-112,000,000","103,000,000","-85,000,000","-155,600,000","-149,100,000","-73,358,000","-56,211,000","16,568,000","-4,760,000","17,000,000","-77,700,000","-5,300,000","-4,900,000","-38,700,000","-18,100,000","-16,300,000"
			ChangeInPayablesAndAccruedExpense,,"1,588,000,000","2,012,000,000","764,000,000","-463,000,000","643,000,000","-500,000,000","-3,083,000,000","-695,000,000","-12,000,000","-614,000,000","378,000,000","-19,000,000","543,000,000","-295,000,000","295,000,000","1,399,000,000","-117,000,000","372,000,000","423,000,000","372,000,000","231,100,000","109,800,000","83,646,000","57,525,000","12,904,000","-41,186,000","19,100,000","-18,100,000","33,800,000","7,200,000","26,800,000","600,000","8,900,000"
				ChangeInPayable,,"1,588,000,000","2,012,000,000","764,000,000","-463,000,000","643,000,000","-500,000,000","-3,083,000,000","-695,000,000","-12,000,000","-614,000,000","378,000,000","-19,000,000","543,000,000","-295,000,000","295,000,000","1,399,000,000",,,,,,,,,,,,,,,,,
					ChangeInAccountPayable,,"1,588,000,000","2,012,000,000","764,000,000","-463,000,000","643,000,000","-500,000,000","-3,083,000,000","-695,000,000","-12,000,000","-614,000,000","378,000,000","-19,000,000","543,000,000","-295,000,000","295,000,000","1,399,000,000",,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentAssets,,"-1,525,000,000","-828,000,000","-2,271,000,000","-1,473,000,000","-1,416,000,000","-1,437,000,000","658,000,000","-517,000,000","87,000,000","-36,000,000","106,000,000","-54,000,000","-240,000,000","51,000,000","137,000,000",,,,,,,,,,,,,,,,,,
			ChangeInOtherCurrentLiabilities,,,,,,,,,,,,,,,"369,000,000","168,000,000",,,,,,,,,,,,,,,,,,
InvestingCashFlow,"807,000,000","968,000,000","656,000,000","1,523,000,000","863,000,000","1,355,000,000","1,866,000,000","3,446,000,000","-34,405,000,000","-5,565,000,000","-1,450,000,000","-1,147,000,000","-1,134,000,000","-7,601,000,000","-5,455,000,000","-916,000,000","-4,137,000,000","-1,353,000,000","-4,058,000,000","-538,000,000","-2,393,000,000","-435,100,000","-664,900,000","-190,653,000","-84,307,000","-271,873,000","-133,113,000","-65,200,000","-127,000,000","-127,300,000","-85,900,000","-54,600,000","-44,600,000","-48,300,000"
	CashFlowFromContinuingInvestingActivities,"807,000,000","968,000,000","656,000,000","1,523,000,000","863,000,000","1,355,000,000","1,866,000,000","3,446,000,000","-34,405,000,000","-5,565,000,000","-1,450,000,000","-1,147,000,000","-1,134,000,000","-7,601,000,000","-5,455,000,000","-916,000,000","-4,137,000,000","-1,353,000,000","-4,058,000,000","-538,000,000","-2,393,000,000","-435,100,000","-664,900,000","-190,653,000","-84,307,000","-271,873,000","-133,113,000","-65,200,000","-127,000,000","-127,300,000","-85,900,000","-54,600,000","-44,600,000","-48,300,000"
