name,ttm,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,03/31/1987,03/31/1986
TotalRevenue,"16,289,000,000","15,845,000,000","14,925,000,000","15,879,000,000","16,658,000,000","16,887,000,000","18,271,000,000","21,853,000,000","21,903,000,000","19,652,000,000","20,272,000,000","20,314,000,000","20,317,000,000","18,312,000,000","16,121,000,000","13,899,000,000","11,085,000,000","9,408,000,000","8,408,000,000","5,250,000,000","4,799,000,000","3,276,400,000","2,518,600,000","2,077,370,000","1,749,854,000","1,282,406,000","1,115,928,000","1,116,897,000","953,800,000","811,300,000","728,300,000","502,000,000","396,300,000","327,100,000","329,000,000","281,100,000","211,100,000","139,600,000","91,200,000"
	OperatingRevenue,"15,692,000,000","15,275,000,000","14,497,000,000","15,379,000,000","15,978,000,000","16,171,000,000","17,419,000,000","20,967,000,000","21,266,000,000","19,652,000,000","20,272,000,000","20,314,000,000","20,317,000,000","18,312,000,000","16,121,000,000","13,899,000,000","11,085,000,000","9,408,000,000","8,408,000,000","5,250,000,000","4,799,000,000","3,276,400,000","2,518,600,000","2,077,370,000","1,749,854,000","1,282,406,000","1,115,928,000","1,116,897,000","953,800,000","811,300,000","728,300,000","502,000,000","396,300,000","327,100,000","329,000,000","281,100,000","211,100,000","139,600,000","91,200,000"
CostOfRevenue,"8,227,000,000","8,200,000,000","7,952,000,000","8,284,000,000","8,933,000,000","9,351,000,000","9,975,000,000","11,237,000,000","10,250,000,000","8,296,000,000","9,216,000,000","9,607,000,000","9,665,000,000","8,797,000,000","7,056,000,000","6,532,000,000","5,117,000,000","4,531,000,000","4,149,000,000","2,770,000,000","2,560,000,000","1,757,500,000","1,423,200,000","1,230,077,000","962,990,000","699,203,000","636,100,000","628,900,000","550,400,000","481,500,000","416,200,000","268,500,000","223,800,000","194,100,000","191,300,000","180,700,000","129,500,000","84,900,000","58,800,000"
GrossProfit,"8,062,000,000","7,645,000,000","6,973,000,000","7,594,000,000","7,726,000,000","7,537,000,000","8,296,000,000","10,615,000,000","11,653,000,000","11,356,000,000","11,056,000,000","10,707,000,000","10,652,000,000","9,515,000,000","9,065,000,000","7,367,000,000","5,968,000,000","4,877,000,000","4,259,000,000","2,480,000,000","2,239,000,000","1,518,900,000","1,095,400,000","847,293,000","786,864,000","583,203,000","479,828,000","487,997,000","403,400,000","329,800,000","312,100,000","233,500,000","172,500,000","133,000,000","137,700,000","100,400,000","81,600,000","54,700,000","32,400,000"
OperatingExpense,"4,564,000,000","4,451,000,000","4,283,000,000","4,495,000,000","4,668,000,000","4,816,000,000","5,427,000,000","6,624,000,000","7,050,000,000","6,363,000,000","6,566,000,000","6,746,000,000","6,473,000,000","5,505,000,000","4,784,000,000","4,301,000,000","4,699,000,000","2,482,000,000","2,163,000,000","1,168,000,000","1,064,000,000","634,100,000","571,400,000","470,837,000","411,654,000","315,733,000","276,094,000","314,200,000","274,100,000","225,600,000","208,600,000","145,500,000","117,800,000","80,900,000","97,400,000","56,200,000","59,100,000","35,400,000","20,500,000"
	SellingGeneralAndAdministration,"3,573,000,000","3,498,000,000","3,445,000,000","3,528,000,000","3,671,000,000","3,806,000,000","4,214,000,000","4,846,000,000","4,973,000,000","4,838,000,000","5,078,000,000","5,319,000,000","5,117,000,000","4,410,000,000","3,833,000,000","3,499,000,000","2,511,000,000","1,901,000,000","1,572,000,000","799,000,000","697,000,000","520,600,000","406,400,000","363,564,000","307,079,000","233,891,000","208,000,000","197,000,000","167,600,000","145,400,000","129,700,000","101,200,000","82,500,000","67,100,000","84,800,000","56,100,000","51,300,000","30,300,000","17,000,000"
		GeneralAndAdministrativeExpense,"1,121,000,000","1,162,000,000","1,180,000,000","1,099,000,000","1,173,000,000","1,192,000,000","1,298,000,000","1,451,000,000","1,390,000,000","1,360,000,000","1,217,000,000","1,239,000,000","1,238,000,000","932,000,000","865,000,000","823,000,000",,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"1,121,000,000","1,162,000,000","1,180,000,000","1,099,000,000","1,173,000,000","1,192,000,000","1,298,000,000","1,451,000,000","1,390,000,000","1,360,000,000","1,217,000,000","1,239,000,000","1,238,000,000","932,000,000","865,000,000","823,000,000",,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"2,452,000,000","2,336,000,000","2,265,000,000","2,429,000,000","2,498,000,000","2,614,000,000","2,916,000,000","3,395,000,000","3,583,000,000","3,478,000,000","3,861,000,000","4,080,000,000","3,879,000,000","3,478,000,000","2,968,000,000","2,676,000,000",,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"991,000,000","953,000,000","838,000,000","967,000,000","997,000,000","1,010,000,000","1,213,000,000","1,778,000,000","2,077,000,000","1,525,000,000","1,488,000,000","1,427,000,000","1,356,000,000","1,095,000,000","951,000,000","802,000,000","2,188,000,000","581,000,000","495,000,000","369,000,000","338,000,000","213,500,000","165,000,000","107,273,000","104,575,000","81,842,000","68,100,000","65,200,000","62,800,000","47,200,000","48,100,000","24,700,000","17,200,000",,,,,,
