name,12/31/2023,12/31/2022,12/31/2021,12/31/2020,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
TotalAssets,"273,720,000,000","245,705,000,000","212,206,000,000","197,289,000,000","173,889,000,000","152,221,000,000","139,058,000,000","122,810,000,000","111,254,000,000","86,382,000,000","81,882,000,000","80,885,000,000","67,889,000,000","63,063,000,000","59,045,000,000","55,815,000,000","50,899,000,000","48,320,000,000","41,288,000,000","27,879,000,000","17,668,000,000","14,164,000,000","12,486,000,000","11,053,000,000","10,273,000,000","9,675,000,000","7,623,000,000","6,996,630,000","6,160,986,000","3,489,479,000","1,494,000,000","993,600,000","574,000,000","293,300,000","237,000,000","168,600,000","210,200,000","198,200,000","42,100,000"
	CurrentAssets,"78,437,000,000","69,069,000,000","61,758,000,000","53,718,000,000","42,634,000,000","38,692,000,000","37,084,000,000","33,879,000,000","31,639,000,000","23,556,000,000","20,380,000,000","21,052,000,000","20,350,000,000","18,393,000,000","18,200,000,000","14,990,000,000","15,544,000,000","16,044,000,000","10,547,000,000","8,241,000,000","6,120,000,000","5,174,000,000","4,946,000,000","4,405,000,000","4,568,000,000","4,254,000,000","2,193,000,000","2,739,664,000","2,867,121,000","1,908,215,000","431,100,000","319,800,000","301,000,000","141,600,000","174,900,000","113,300,000","94,700,000","86,200,000","24,800,000"
		CashCashEquivalentsAndShortTermInvestments,"29,628,000,000","27,911,000,000","23,907,000,000","19,781,000,000","14,245,000,000","14,324,000,000","15,490,000,000","13,275,000,000","12,911,000,000","9,236,000,000","9,213,000,000","11,437,000,000","12,006,000,000","11,195,000,000","11,039,000,000","8,209,000,000","9,619,000,000","10,940,000,000","6,011,000,000","4,505,000,000","2,748,000,000","1,831,000,000","1,810,000,000","1,619,000,000","3,114,000,000","1,814,000,000","1,256,000,000","1,647,288,000","1,803,925,000","1,654,336,000","146,400,000","128,700,000","138,000,000","53,900,000","63,700,000","95,100,000","61,100,000","48,500,000","17,100,000"
			CashAndCashEquivalents,"25,427,000,000","23,365,000,000","21,375,000,000","16,921,000,000","10,985,000,000","10,866,000,000","11,981,000,000","10,430,000,000","10,923,000,000","7,495,000,000","7,276,000,000","8,406,000,000","9,429,000,000","9,123,000,000","9,800,000,000","7,426,000,000","8,865,000,000","10,320,000,000","5,421,000,000","3,991,000,000","2,262,000,000","1,130,000,000","1,540,000,000","1,419,000,000","0","1,644,000,000","750,000,000","1,036,716,000","940,110,000","1,519,049,000","146,400,000","128,700,000","138,000,000","53,900,000","63,700,000","95,100,000","61,100,000","48,500,000","17,100,000"
			OtherShortTermInvestments,"4,201,000,000","4,546,000,000","2,532,000,000","2,860,000,000","3,260,000,000","3,458,000,000","3,509,000,000","2,845,000,000","1,988,000,000","1,741,000,000","1,937,000,000","3,031,000,000","2,577,000,000","2,072,000,000","1,239,000,000","783,000,000","754,000,000","620,000,000","590,000,000","514,000,000","486,000,000","701,000,000","270,000,000","200,000,000","3,114,000,000","170,000,000","506,000,000","610,572,000","863,815,000","135,287,000",,,,,,,,,
		Receivables,"38,970,000,000","30,450,000,000","28,082,000,000","25,404,000,000","11,822,000,000","11,388,000,000","15,830,000,000","15,651,000,000","13,324,000,000","9,750,000,000","7,050,000,000","5,598,000,000","4,549,000,000","3,704,000,000","3,792,000,000","3,644,000,000","2,900,000,000","1,323,000,000","1,207,000,000","906,000,000","745,000,000","664,000,000","856,000,000","867,000,000","912,000,000","965,000,000","768,000,000","605,801,000","550,313,000","167,369,000","142,700,000","71,100,000","45,200,000","26,200,000","20,500,000","15,400,000","30,400,000","34,800,000","6,100,000"
			AccountsReceivable,"21,276,000,000","17,681,000,000","14,216,000,000","12,870,000,000","11,822,000,000","11,388,000,000","9,568,000,000","8,152,000,000","6,523,000,000","4,252,000,000","3,052,000,000","2,709,000,000","2,294,000,000","2,061,000,000","1,954,000,000","1,929,000,000","1,574,000,000","1,323,000,000","1,207,000,000","906,000,000","745,000,000","664,000,000","856,000,000","867,000,000","912,000,000","965,000,000","768,000,000","605,801,000","550,313,000","167,369,000",,,,,,,,,
				GrossAccountsReceivable,"22,276,000,000","18,558,000,000","15,170,000,000","13,860,000,000","12,341,000,000","12,100,000,000","10,209,000,000","8,666,000,000","6,856,000,000","4,512,000,000","3,248,000,000","2,898,000,000","2,490,000,000",,,"2,077,000,000","1,695,000,000","1,443,000,000","1,315,000,000","1,007,000,000","833,000,000","750,000,000",,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,000,000,000","-877,000,000","-954,000,000","-990,000,000","-519,000,000","-712,000,000","-641,000,000","-514,000,000","-333,000,000","-260,000,000","-196,000,000","-189,000,000","-196,000,000",,,"-148,000,000","-121,000,000","-120,000,000","-108,000,000","-101,000,000","-88,000,000","-86,000,000",,,,,,,,,,,,,,,,,
			OtherReceivables,"17,694,000,000","12,769,000,000","13,866,000,000","12,534,000,000",,"7,364,000,000","6,262,000,000","7,499,000,000","6,801,000,000","5,498,000,000","3,998,000,000","2,889,000,000","2,255,000,000","1,643,000,000","1,838,000,000","1,715,000,000","1,326,000,000",,,,,,,,,,,,,,,,,,,,,,
			ReceivablesAdjustmentsAllowances,,,,,,"-502,000,000","-440,000,000","-409,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,,,"5,320,000,000","4,457,000,000","3,851,000,000","3,086,000,000","2,663,000,000","1,848,000,000","2,406,000,000","1,052,000,000","930,000,000","781,000,000","615,000,000","541,000,000","538,000,000","514,000,000","429,000,000",,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,"860,000,000","556,000,000","430,000,000","463,000,000","472,000,000","403,000,000","448,000,000","424,000,000","386,000,000","561,000,000","650,000,000","353,000,000","269,000,000","389,000,000","316,000,000",,,,,,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,"860,000,000","556,000,000","430,000,000","463,000,000","472,000,000","403,000,000","448,000,000","424,000,000","386,000,000","561,000,000","650,000,000","353,000,000","269,000,000","389,000,000","316,000,000",,,,,,,,,,,,,,,,
